name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,09/30/1995,06/30/1995,12/31/1993,09/30/1993
OperatingCashFlow,"149,428,000","31,155,000","30,445,000","37,586,000","50,242,000","41,987,000","63,861,000","40,669,000","93,220,000","46,485,000","23,068,000","-11,607,000","36,565,000","7,567,000","31,294,000","-34,157,000","51,635,000","30,161,000","44,864,000","-19,438,000","68,672,000","35,139,000","100,399,000","12,414,000","74,721,000","32,210,000","93,859,000","5,785,000","115,313,000","15,918,000","51,637,000","2,614,000","62,487,000","48,793,000","19,880,000","53,608,000","53,098,000","6,682,000","34,027,000","27,155,000","44,240,000","39,807,000","14,588,000","23,325,000","18,227,000","29,781,000","22,627,000","-11,977,000","32,439,000","27,777,000","18,897,000","-8,083,000","31,068,000","7,496,000","12,221,000","-29,160,000","3,319,000","10,140,000","7,967,000","3,060,000","14,926,000","20,830,000","10,802,000","19,873,000","31,156,000","13,869,000","6,990,000","529,000","10,344,000","16,526,000","14,882,000","-6,779,000","14,453,000","3,732,000","19,323,000","-6,707,000","2,254,000","7,455,000","13,439,000","-1,207,000","9,749,000","7,365,000","9,093,000","-3,615,000","2,541,000","14,370,000","2,015,000","3,915,000","5,042,000","-778,000","5,300,000","1,000,000","2,700,000","3,500,000","1,700,000","400,000","2,400,000","-900,000","0","-900,000","1,800,000","1,000,000","300,000","-100,000","2,000,000","-100,000","800,000","100,000","-300,000"
	CashFlowFromContinuingOperatingActivities,"149,428,000","31,155,000","30,445,000","37,586,000","50,242,000","41,987,000","63,861,000","40,669,000","92,822,000","46,944,000","20,729,000","-3,581,000","37,476,000","13,056,000","17,239,000","-18,252,000","53,938,000","41,944,000","44,864,000","-19,438,000","68,672,000","35,139,000","100,399,000","12,414,000","74,721,000","32,210,000","93,859,000","5,785,000","115,313,000","15,918,000","51,637,000","2,614,000","62,487,000","48,793,000","19,880,000","53,608,000","53,098,000","6,682,000","34,027,000","27,155,000","44,240,000","39,807,000","14,588,000","23,325,000","18,227,000","29,781,000","22,627,000","-11,977,000","32,439,000","27,777,000","18,897,000","-8,083,000","31,068,000","7,496,000","12,221,000","-29,160,000","3,319,000","10,140,000","7,967,000","3,060,000","14,926,000","20,830,000","10,802,000","19,873,000","31,156,000","13,869,000","6,990,000","529,000","10,344,000","16,526,000","14,882,000","-6,779,000","14,453,000","3,732,000","19,323,000","-6,707,000","2,254,000","7,455,000","13,439,000","-1,207,000","9,749,000","7,365,000","9,093,000","-3,615,000","2,541,000","14,370,000","2,015,000","3,915,000","5,042,000","-778,000","5,300,000","1,000,000","2,700,000","3,500,000","1,700,000","400,000","2,400,000","-900,000","0","-900,000","1,800,000","1,000,000","300,000","-100,000","2,000,000","-100,000","800,000","100,000","-300,000"
		NetIncomeFromContinuingOperations,"115,316,000","24,531,000","30,889,000","19,411,000","40,485,000","34,254,000","2,151,000","-10,781,000","3,699,000","25,036,000","1,852,000","-4,953,000","-7,654,000","10,088,000","-29,278,000","-23,101,000","-4,556,000","20,035,000","47,103,000","19,846,000","313,000","31,328,000","27,185,000","8,604,000","-89,805,000","48,985,000","56,947,000","31,302,000","71,072,000","33,394,000","44,575,000","18,855,000","35,724,000","35,241,000","41,231,000","27,655,000","25,933,000","40,715,000","31,622,000","16,386,000","23,390,000",,,"11,690,000","12,848,000","16,772,000","16,267,000","9,095,000","6,691,000","2,656,000","11,182,000","8,090,000","1,265,000","-41,150,000","8,140,000","7,022,000","6,504,000","8,315,000","15,582,000","10,820,000","11,264,000","12,416,000","14,768,000","9,034,000","7,287,000","9,748,000","12,669,000","7,363,000","-2,688,000","7,698,000","10,678,000","6,182,000","5,080,000","5,014,000","10,372,000","6,542,000","6,761,000","7,856,000","8,186,000","4,689,000","-12,814,000","5,137,000","5,205,000","5,443,000","2,677,000","4,241,000","10,266,000","6,405,000","-23,894,000","4,791,000","5,000,000","2,700,000","3,500,000","3,200,000","2,500,000","1,800,000","1,700,000","1,400,000","1,000,000","500,000","300,000","0","500,000","300,000","500,000","400,000","500,000","-500,000","-400,000"
		OperatingGainsLosses,"-15,650,000","435,000","-8,180,000","250,000","-6,938,000","-70,000","1,076,000","19,000","770,000","564,000","338,000","317,000","264,000","205,000","11,000","175,000","-235,000","101,000","-194,000","-11,000","-84,000","3,361,000","-1,782,000","-1,624,000","-61,000","161,000","31,000","-84,000","-174,000","-2,909,000","-308,000","-5,354,000","-1,857,000","2,694,000","-2,621,000","-572,000","-144,000","821,000","-596,000","3,824,000","-293,000","-28,000","-751,000","-68,000","2,643,000","-322,000","0","-173,000","-1,109,000","653,000","1,346,000","996,000",,,,,"0","0","0","-2,003,000","-874,000","0","-17,000","-2,510,000","866,000","-560,000","587,000","252,000","16,868,000","-30,000","-214,000","236,000","626,000","299,000","-207,000","92,000","93,000","194,000","-38,000","-100,000","15,010,000","-7,000","328,000","74,000","5,000","282,000","20,000","132,000","3,982,000","-693,000","100,000","100,000",,,,,"0",,,,"200,000","0",,,"0",,,"400,000","400,000"
			GainLossOnSaleOfBusiness,"-3,821,000",,,"0","-3,897,000",,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-2,922,000","0","-5,334,000","0","2,777,000","-1,148,000","0","0","1,114,000","0","3,086,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,"-1,744,000","-1,440,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"1,940,000","383,000","465,000","526,000","566,000","-70,000","1,076,000","19,000","770,000","564,000","338,000","317,000","264,000","205,000","11,000","175,000","-235,000","101,000","-194,000","-11,000","-84,000","177,000","-38,000","-184,000","-61,000","161,000","31,000","-84,000","-174,000","13,000","-308,000","-20,000","-1,857,000","-83,000","-1,473,000","-572,000","-144,000","-293,000","-596,000","738,000","-293,000","-28,000","-751,000","-68,000","2,643,000","121,000","-443,000","-173,000","-46,000","653,000","136,000","996,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,"0","0","0",,"455,000","10,031,000","19,241,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"46,197,000","12,638,000","10,903,000","10,855,000","11,801,000","12,814,000","11,193,000","13,761,000","12,019,000","12,927,000","13,219,000","13,923,000","14,840,000","13,968,000","13,722,000","14,384,000","15,670,000","10,167,000","17,346,000","17,626,000","17,397,000","17,132,000","16,948,000","17,220,000","18,128,000","16,085,000","15,853,000","15,556,000","13,523,000","14,162,000","14,322,000","14,580,000","13,443,000","12,789,000","11,355,000","10,453,000","13,276,000","9,794,000","8,975,000","8,050,000","8,092,000","7,775,000","8,278,000","6,314,000","6,463,000","5,948,000","5,770,000","5,943,000","4,710,000","4,703,000","4,779,000","4,580,000","5,095,000","5,183,000","5,690,000","5,386,000","5,603,000","5,144,000","4,764,000","4,469,000","4,765,000","3,839,000","3,769,000","3,319,000","3,419,000","3,114,000","2,809,000","3,207,000","3,662,000","3,359,000","3,712,000","3,105,000","1,990,000","2,442,000","2,739,000","2,592,000","2,289,000","2,167,000","2,150,000","2,013,000","2,329,000","2,177,000","1,864,000","1,989,000","3,405,000","3,234,000","3,125,000","3,071,000","4,995,000","2,362,000","2,300,000","2,100,000","1,500,000","1,100,000","1,100,000","1,100,000","500,000","600,000","500,000","400,000","300,000","400,000","400,000","300,000","400,000","300,000","300,000",,
			DepreciationAndAmortization,"46,197,000","12,638,000","10,903,000","10,855,000","11,801,000","12,814,000","11,193,000","13,761,000","12,019,000","12,927,000","13,219,000","13,923,000","14,840,000","13,968,000","13,722,000","14,384,000","15,670,000","10,167,000","17,346,000","17,626,000","17,397,000","17,132,000","16,948,000","17,220,000","18,128,000","16,085,000","15,853,000","15,556,000","13,523,000","14,162,000","14,322,000","14,580,000","13,443,000","12,789,000","11,355,000","10,453,000","13,276,000","9,794,000","8,975,000","8,050,000","8,092,000",,,,,,"5,770,000","5,943,000","4,710,000","4,703,000","4,779,000","4,580,000","5,095,000","5,183,000","5,690,000","5,386,000","5,603,000","5,144,000","4,764,000","4,469,000","4,765,000","3,839,000","3,769,000","3,319,000","3,419,000","3,114,000","2,809,000","3,207,000","3,662,000","3,359,000","3,712,000","3,105,000","1,990,000","2,442,000","2,739,000","2,592,000","2,289,000","2,167,000","2,150,000","2,013,000","2,329,000","2,177,000","1,864,000","1,989,000","3,405,000","3,234,000","3,125,000","3,071,000","4,995,000","2,362,000","2,300,000","2,100,000","1,500,000","1,100,000","1,100,000","1,100,000","500,000","600,000","500,000","400,000","300,000","400,000","400,000","300,000","400,000","300,000","300,000",,
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,104,000","2,010,000","1,714,000","1,859,000","1,642,000","1,706,000","1,444,000","1,495,000",,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225,000","167,000","150,000","130,000","1,763,000","1,528,000","1,681,000","1,576,000",,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225,000","167,000","150,000","130,000","1,763,000","1,528,000","1,681,000","1,576,000",,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"14,042,000","10,645,000","-1,166,000","-2,105,000","6,668,000","3,124,000","1,022,000","-930,000","45,195,000","-3,880,000","-751,000","-4,404,000","-1,137,000","-1,863,000","-9,514,000","-13,276,000","8,612,000","-1,307,000","-28,171,000","-637,000","-3,913,000","-1,243,000","-1,279,000","-4,021,000","42,470,000","-684,000","-7,012,000","-1,681,000","-5,814,000","-745,000","-3,339,000","-1,705,000","1,223,000","-280,000","-708,000","-1,585,000","-2,289,000","-2,811,000","-1,781,000","-522,000","-2,181,000","2,555,000","1,941,000","-673,000","7,765,000","1,132,000","-636,000","-576,000","-925,000","6,460,000","-1,014,000","-475,000","2,439,000","-4,736,000","28,000","-330,000",,,,,"11,734,000","0","0","-857,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"14,042,000","10,645,000","-1,166,000","-2,105,000","6,668,000","3,124,000","1,022,000","-930,000","45,195,000","-3,880,000","-751,000","-4,404,000","-1,137,000","-1,863,000","-9,514,000","-13,276,000","8,612,000","-1,307,000","-28,171,000","-637,000","-3,913,000","-1,243,000","-1,279,000","-4,021,000","42,470,000","-684,000","-7,012,000","-1,681,000","-5,814,000","-745,000","-3,339,000","-1,705,000","1,223,000","-280,000","-708,000","-1,585,000","-2,289,000","-2,811,000","-1,781,000","-522,000","-2,181,000","2,555,000","1,941,000","-673,000","7,765,000","1,132,000","-636,000","-576,000","-925,000","6,460,000","-1,014,000","-475,000","2,439,000","-4,736,000","28,000","-330,000",,,,,"11,734,000","0","0","-857,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,"547,000","0","303,000","0","244,000","0","25,179,000","32,497,000","12,473,000","13,525,000",,,"10,010,000","0","19,473,000","4,236,000","13,276,000","6,701,000",,,,,,,"127,748,000",,,,"0",,,,,,,,,,,,,,,,,,,,"0",,,,"63,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"16,060,000","3,846,000","4,156,000","4,287,000","3,771,000","3,698,000","3,823,000","4,367,000","3,497,000","3,761,000","3,083,000","2,737,000","4,001,000","3,937,000","1,891,000","103,000","919,000","2,936,000","4,158,000","3,164,000","2,139,000","2,284,000","2,531,000","2,704,000","2,683,000","2,776,000","4,023,000","3,206,000","3,263,000","2,935,000","3,060,000","2,939,000","2,792,000","3,020,000","3,399,000","3,237,000","3,173,000","3,236,000","3,709,000","2,892,000","1,969,000","2,558,000","1,969,000","1,794,000","1,743,000","3,377,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,000",,,"49,000","-1,790,000","2,070,000","61,000","-27,000","330,000","924,000","112,000","110,000","336,000","43,000","548,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
