name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991
TotalRevenue,"1,304,546,000","309,064,000","380,930,000","319,432,000","295,120,000","299,125,000","318,835,000","251,005,000","216,025,000","115,413,000","271,003,000","224,121,000","203,817,000","201,313,000","264,412,000","215,107,000","201,080,000","204,897,000","281,172,000","224,307,000","195,650,000","212,251,000","279,960,000","239,213,000","212,157,000","243,543,000","332,031,000","280,187,000","236,053,000","271,345,000","353,541,000","292,201,000","235,725,000","271,675,000","338,999,000","286,761,000","232,529,000","269,712,000","360,615,000","284,147,000","215,483,000","263,762,000","337,076,000","273,400,000","212,378,000","240,092,000","303,056,000","243,346,000","188,639,000","214,797,000","274,446,000","231,238,000","192,906,000","199,697,000","251,414,000","210,567,000","169,765,000","160,300,000","206,961,000","167,559,000","124,257,000","121,111,000","174,986,000","143,084,000","102,398,000","109,606,000","153,357,000","138,067,000","104,130,000","105,547,000","145,593,000","133,722,000","96,848,000","94,774,000","134,099,000","121,325,000","85,683,000","81,713,000","123,253,000","114,436,000","83,516,000","79,855,000","121,461,000","111,142,000","78,596,000","76,439,000","123,474,000","114,161,000","77,111,000","78,501,000","108,826,000","107,500,000","79,600,000","79,700,000","103,500,000","96,800,000","70,500,000","67,000,000","84,800,000","79,600,000","55,200,000","48,300,000","62,100,000","61,100,000","43,300,000","39,900,000","56,500,000","50,300,000","34,600,000","30,900,000","45,000,000","42,600,000","30,800,000","26,600,000","38,800,000","39,900,000","27,800,000","23,100,000","34,200,000","34,300,000","24,600,000","19,800,000","26,200,000","25,400,000","19,300,000","15,900,000"
	OperatingRevenue,"1,304,546,000","309,064,000","380,930,000","319,432,000","295,120,000","299,125,000","318,835,000","251,005,000","216,025,000","115,413,000","333,881,000","224,121,000","203,817,000","201,313,000","341,380,000","215,107,000","201,080,000","204,897,000","368,561,000","224,307,000","195,650,000","212,251,000","381,335,000","239,213,000","212,157,000","243,543,000","445,356,000","280,187,000","236,053,000","271,345,000","464,334,000","292,201,000","235,725,000","271,675,000","447,850,000","286,761,000","232,529,000","269,712,000","467,227,000","284,147,000","215,483,000","263,762,000","432,552,000","273,400,000","212,378,000","240,092,000","386,843,000","243,346,000","188,639,000","214,797,000","348,042,000","231,238,000","192,906,000","199,697,000","251,414,000","210,567,000","169,765,000","160,300,000","206,961,000","167,559,000","124,257,000","121,111,000","174,986,000","143,084,000","102,398,000","109,606,000","153,357,000","138,067,000","104,130,000","105,547,000","145,593,000","133,722,000","96,848,000","94,774,000","134,099,000","121,325,000","85,683,000","81,713,000","123,253,000","114,436,000","83,516,000","79,855,000","121,461,000","111,142,000","78,596,000","76,439,000","123,474,000","114,161,000","77,111,000","78,501,000","108,826,000","107,500,000","79,600,000","79,700,000","103,500,000","96,800,000","70,500,000","67,000,000","84,800,000","79,600,000","55,200,000","48,300,000","62,100,000","61,100,000","43,300,000","39,900,000","56,500,000","50,300,000","34,600,000","30,900,000","45,000,000","42,600,000","30,800,000","26,600,000","38,800,000","39,900,000","27,800,000","23,100,000","34,200,000","34,300,000","24,600,000","19,800,000","26,200,000","25,400,000","19,300,000","15,900,000"
CostOfRevenue,"646,930,000","156,904,000","178,559,000","158,366,000","153,101,000","151,572,000","155,324,000","134,055,000","122,643,000","88,588,000","142,413,000","130,587,000","125,120,000","124,660,000","143,118,000","128,950,000","122,149,000","125,206,000","147,933,000","133,379,000","121,511,000","130,534,000","154,277,000","142,339,000","132,275,000","148,814,000","176,086,000","162,923,000","141,458,000","157,748,000","186,126,000","164,409,000","140,800,000","154,475,000","177,573,000","160,536,000","138,042,000","152,705,000","187,413,000","158,732,000","128,980,000","149,567,000","177,175,000","154,735,000","125,233,000","137,148,000","158,708,000","137,404,000","113,251,000","121,346,000","144,925,000","129,121,000","110,628,000","112,994,000","135,621,000","118,762,000","99,497,000","94,678,000","115,088,000","96,810,000","77,844,000","75,608,000","99,416,000","84,435,000","68,330,000","70,579,000","89,064,000","81,818,000","67,883,000","68,298,000","87,413,000","81,480,000","67,003,000","64,062,000","82,292,000","77,680,000","61,085,000","58,844,000","78,890,000","74,198,000","59,706,000","56,739,000","77,236,000","72,412,000","56,411,000","53,586,000","75,145,000","71,317,000","52,095,000","51,893,000","66,029,000","66,300,000","50,700,000","50,600,000","62,500,000","59,700,000","44,600,000","42,900,000","51,000,000","49,400,000","36,500,000","32,300,000","39,300,000","38,900,000","29,600,000","27,300,000","35,300,000","32,500,000","23,900,000","21,200,000","28,600,000","27,700,000","21,100,000","18,100,000","24,300,000","26,100,000","19,200,000","15,400,000","21,200,000","21,200,000","15,800,000","13,000,000",,,,
GrossProfit,"657,616,000","152,160,000","202,371,000","161,066,000","142,019,000","147,553,000","163,511,000","116,950,000","93,382,000","26,825,000","128,590,000","93,534,000","78,697,000","76,653,000","121,294,000","86,157,000","78,931,000","79,691,000","133,239,000","90,928,000","74,139,000","81,717,000","125,683,000","96,874,000","79,882,000","94,729,000","155,945,000","117,264,000","94,595,000","113,597,000","167,415,000","127,792,000","94,925,000","117,200,000","161,426,000","126,225,000","94,487,000","117,007,000","173,202,000","125,415,000","86,503,000","114,195,000","159,901,000","118,665,000","87,145,000","102,944,000","144,348,000","105,942,000","75,388,000","93,451,000","129,521,000","102,117,000","82,278,000","86,703,000","115,793,000","91,805,000","70,268,000","65,622,000","91,873,000","70,749,000","46,413,000","45,503,000","75,570,000","58,649,000","34,068,000","39,027,000","64,293,000","56,249,000","36,247,000","37,249,000","58,180,000","52,242,000","29,845,000","30,712,000","51,807,000","43,645,000","24,598,000","22,869,000","44,363,000","40,238,000","23,810,000","23,116,000","44,225,000","38,730,000","22,185,000","22,853,000","48,329,000","42,844,000","25,016,000","26,608,000","42,797,000","41,200,000","28,900,000","29,100,000","41,000,000","37,100,000","25,900,000","24,100,000","33,800,000","30,200,000","18,700,000","16,000,000","22,800,000","22,200,000","13,700,000","12,600,000","21,200,000","17,800,000","10,700,000","9,700,000","16,400,000","14,900,000","9,700,000","8,500,000","14,500,000","13,800,000","8,600,000","7,700,000","13,000,000","13,100,000","8,800,000","6,800,000",,,,
OperatingExpense,"324,860,000","79,101,000","92,771,000","78,851,000","74,137,000","71,751,000","78,965,000","62,824,000","47,850,000","43,007,000","68,739,000","60,224,000","59,095,000","57,919,000","70,088,000","59,856,000","58,770,000","56,431,000","72,551,000","59,991,000","56,724,000","56,679,000","70,255,000","60,054,000","55,800,000","58,299,000","72,634,000","60,969,000","57,418,000","60,792,000","72,978,000","63,239,000","56,154,000","57,988,000","67,150,000","62,167,000","55,084,000","57,750,000","75,602,000","59,252,000","50,113,000","56,173,000","72,085,000","58,290,000","50,370,000","51,590,000","66,643,000","51,593,000","42,862,000","47,264,000","61,584,000","50,444,000","44,154,000","44,975,000","59,666,000","46,415,000","36,957,000","38,254,000","48,941,000","37,610,000","29,956,000","28,404,000","43,937,000","32,808,000","25,779,000","25,769,000","35,968,000","31,156,000","25,571,000","25,021,000","33,525,000","29,599,000","22,252,000","22,231,000","30,403,000","25,175,000","19,851,000","19,284,000","26,669,000","23,044,000","18,439,000","17,581,000","24,305,000","21,983,000","17,190,000","17,247,000","16,144,000","24,764,000","19,635,000","19,457,000","23,265,000","23,200,000","19,100,000","19,300,000","22,600,000","20,700,000","16,600,000","16,600,000","19,000,000","17,900,000","13,600,000","12,700,000","14,700,000","14,600,000","10,800,000","10,700,000","14,600,000","12,200,000","9,100,000","8,900,000","11,900,000","10,200,000","8,000,000","7,700,000","10,300,000","9,400,000","7,100,000","6,800,000","9,000,000","8,900,000","6,300,000","5,700,000",,,,
	SellingGeneralAndAdministration,"324,860,000","79,101,000","92,771,000","78,851,000","74,137,000","71,751,000","78,965,000","62,824,000","47,850,000","43,007,000","68,739,000","60,224,000","59,095,000","57,919,000","70,088,000","59,856,000","58,770,000","56,431,000","72,551,000","59,991,000","56,724,000","56,679,000","70,255,000","60,054,000","55,800,000","58,299,000","72,634,000","60,969,000","57,418,000","60,792,000","72,978,000","63,239,000","56,154,000","57,988,000","67,150,000","62,167,000","55,084,000","57,750,000","75,602,000","59,252,000","50,113,000","56,173,000","72,085,000","58,290,000","50,370,000","51,590,000","66,643,000","51,593,000","42,862,000","47,264,000","61,584,000","50,444,000","44,154,000","44,975,000","59,666,000","46,415,000","36,957,000","38,254,000","48,941,000","37,610,000","29,956,000","28,404,000","43,937,000","32,808,000","25,779,000","25,769,000","35,968,000","31,156,000","25,571,000","25,021,000","33,525,000","29,599,000","22,252,000","22,231,000","30,403,000","25,175,000","19,851,000","19,284,000","26,669,000","23,044,000","18,439,000","17,581,000","24,305,000","21,983,000","17,190,000","17,247,000","24,746,000","21,738,000","16,736,000","16,780,000","20,277,000","20,600,000","16,800,000","17,300,000","20,200,000","19,100,000","15,000,000","15,200,000","17,600,000","16,600,000","12,300,000","11,400,000","13,300,000","13,300,000","9,500,000","9,400,000","13,200,000","10,800,000","7,800,000","7,600,000","10,500,000","8,900,000","6,700,000","6,600,000","9,000,000","8,300,000","6,100,000","6,000,000","8,100,000","7,500,000","5,700,000","5,100,000",,,,
		GeneralAndAdministrativeExpense,"51,190,000","11,855,000","17,174,000","11,080,000","11,081,000","11,751,000","12,462,000","9,930,000","9,593,000","9,503,000","10,685,000","8,942,000","10,560,000","11,310,000","12,417,000","9,244,000","10,874,000","10,578,000","10,764,000","9,307,000","10,045,000","9,761,000","8,770,000","9,234,000","9,735,000","10,736,000","7,883,000","8,701,000","11,060,000","11,638,000","7,345,000","10,289,000","9,843,000","10,194,000","4,482,000","10,176,000","10,140,000","10,460,000","10,657,000","9,995,000","8,622,000","9,903,000","12,094,000","8,146,000","7,942,000","8,859,000","9,583,000","7,530,000","6,218,000","7,421,000","10,964,000","7,427,000","6,647,000","7,378,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"51,190,000","11,855,000","17,174,000","11,080,000","11,081,000","11,751,000","12,462,000","9,930,000","9,593,000","9,503,000","10,685,000","8,942,000","10,560,000","11,310,000","12,417,000","9,244,000","10,874,000","10,578,000","10,764,000","9,307,000","10,045,000","9,761,000","8,770,000","9,234,000","9,735,000","10,736,000","7,883,000","8,701,000","11,060,000","11,638,000","7,345,000","10,289,000","9,843,000","10,194,000","4,482,000","10,176,000","10,140,000","10,460,000","10,657,000","9,995,000","8,622,000","9,903,000","12,094,000","8,146,000","7,942,000","8,859,000","9,583,000","7,530,000","6,218,000","7,421,000","10,964,000","7,427,000","6,647,000","7,378,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"273,670,000","67,246,000","75,597,000","67,771,000","63,056,000","60,000,000","66,503,000","52,894,000","38,257,000","33,504,000","58,054,000","51,282,000","48,535,000","46,609,000","57,671,000","50,612,000","47,896,000","45,853,000","61,787,000","50,684,000","46,679,000","46,918,000","61,485,000","50,820,000","46,065,000","47,563,000","64,751,000","52,268,000","46,358,000","49,154,000","65,633,000","52,950,000","46,311,000","47,794,000","62,668,000","51,991,000","44,944,000","47,290,000","64,945,000","49,257,000","41,491,000","46,270,000","59,991,000","50,144,000","42,428,000","42,731,000","57,060,000","44,063,000","36,644,000","39,843,000","50,620,000","43,017,000","37,507,000","37,597,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,094,000","3,026,000","2,899,000","2,677,000","2,988,000","2,600,000","2,300,000","2,000,000","2,400,000","1,600,000","1,600,000","1,400,000","1,400,000","1,300,000","1,300,000","1,300,000","1,400,000","1,300,000","1,300,000","1,300,000","1,400,000","1,400,000","1,300,000","1,300,000","1,400,000","1,300,000","1,300,000","1,100,000","1,300,000","1,100,000","1,000,000","800,000","900,000","1,400,000","600,000","600,000",,,,
