name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,06/30/2005,03/31/2005
OperatingCashFlow,"40,311,000","49,465,000","20,778,000","77,971,000","-107,903,000","-124,341,000","-22,374,000","-91,012,000","74,199,000","-98,621,000","145,198,000","14,193,000","102,815,000","-47,680,000","66,848,000","54,559,000","60,842,000","5,026,000","75,519,000","92,307,000","29,909,000","-50,147,000","120,136,000","101,392,000","72,595,000","16,170,000","172,687,000","71,787,000","44,737,000","9,722,000","159,568,000","108,329,000","52,481,000","28,045,000","163,517,000","147,248,000","70,601,000","33,274,000","129,232,000","65,716,000","64,812,000","95,378,000","165,562,000","155,224,000","156,969,000","39,463,000","156,083,000","196,197,000","61,833,000","111,104,000","171,382,000","130,231,000","90,717,000","48,934,000","156,135,000","201,370,000","190,926,000","55,193,000","254,922,000","194,614,000","158,445,000","86,449,000","152,096,000","156,422,000","149,879,000","80,144,000","510,088,000","97,144,000","70,145,000"
	CashFlowFromContinuingOperatingActivities,"40,311,000","49,465,000","20,778,000","77,971,000","-107,903,000","-124,341,000","-22,374,000","-91,012,000","74,199,000","-98,621,000","145,198,000","14,193,000","102,815,000","-47,680,000","66,848,000","54,559,000","60,842,000","5,026,000","75,519,000","92,307,000","29,909,000","-50,147,000","120,136,000","101,392,000","72,595,000","16,170,000","172,687,000","71,787,000","44,737,000","9,722,000","159,568,000","108,329,000","52,481,000","28,045,000","163,517,000","147,248,000","70,601,000","33,274,000","129,232,000","65,716,000","64,812,000","95,378,000","165,562,000","155,224,000","156,969,000","39,463,000","156,083,000","196,197,000","61,833,000","111,104,000","171,382,000","130,231,000","90,717,000","48,934,000","156,135,000","201,370,000","190,926,000","55,193,000","254,922,000","194,614,000","158,445,000","86,449,000","152,096,000","156,422,000","149,879,000","80,144,000",,"97,144,000","70,145,000"
		NetIncomeFromContinuingOperations,"-189,393,000","-89,729,000","65,525,000","-40,788,000","-124,401,000","-333,456,000","-32,556,000","-135,844,000","-142,603,000","-289,223,000","31,551,000","-212,369,000","-11,405,000","-169,554,000","31,332,000","-58,396,000","-44,433,000","-131,348,000","-542,973,000","-55,402,000","1,854,000","-30,996,000","108,341,000","-23,742,000","-61,242,000","141,076,000","-32,439,000","-15,202,000","9,286,000","-32,953,000","51,944,000","1,420,000","60,124,000","-96,369,000","19,103,000","11,990,000","18,730,000","-74,149,000","-139,494,000","24,825,000","652,000","-45,193,000","29,613,000","9,786,000",,,"6,748,000","-31,882,000","-2,504,000","-48,779,000","-57,768,000","-34,051,000","-689,361,000","-91,355,000","-3,029,451,000","9,115,000","80,347,000","88,906,000","106,593,000","54,716,000","68,597,000","16,084,000","65,059,000","31,833,000","48,047,000","8,133,000",,"17,512,000","-5,892,000"
		OperatingGainsLosses,"50,282,000","-5,155,000","-480,000","9,494,000","46,351,000","45,670,000","-11,920,000","-225,000","-72,585,000","24,216,000","-28,594,000","119,525,000","2,663,000","8,526,000","10,624,000","5,450,000","33,214,000","-19,976,000","-5,143,000","-10,336,000","-8,546,000","-32,850,000","-131,144,000","-4,404,000","59,271,000","-285,519,000","1,910,000","-4,776,000","-1,247,000","-1,355,000","-277,000","-4,623,000","-247,000","-2,654,000","-10,557,000","-6,604,000","-3,697,000","-2,103,000","221,852,000",,,,"5,375,000",,,,"5,309,000",,,,"23,704,000","12,201,000","17,402,000","-2,319,000","45,532,000","-62,092,000","71,943,000","-80,415,000","14,059,000","-414,000","-3,550,000","-4,746,000","967,000","-9,424,000","10,097,000","-22,568,000",,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,910,000","-4,776,000","-1,247,000","-1,355,000",,,,,"-10,575,000",,,,"-1,797,000",,,,"548,000",,,,"-1,181,000",,,,,,"-4,353,000","-4,612,000",,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,"6,686,000",,"12,140,000","-3,254,000","-5,431,000","-16,120,000","-7,113,000","3,976,000","18,755,000","-26,721,000","25,344,000","4,189,000","-564,000","12,201,000","6,844,000","34,135,000","-19,600,000","-7,297,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,"207,000","-520,000","-202,000","6,000","-188,000","161,000","628,000","-271,000","472,000","315,000","727,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,348,000","2,046,000","21,755,000","2,293,000",,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"251,710,000","60,407,000","63,136,000","65,600,000","62,567,000","180,802,000","65,049,000","62,427,000","66,192,000","75,753,000","77,848,000","76,226,000","80,174,000","75,076,000","74,720,000","77,405,000","82,767,000","84,060,000","89,111,000","81,096,000","78,290,000","77,494,000","85,975,000","85,780,000","86,974,000","85,395,000","95,423,000","93,040,000","93,405,000","94,094,000","108,360,000","100,416,000","98,725,000","98,742,000","106,933,000","98,344,000","97,566,000","100,327,000","106,907,000","100,352,000","99,668,000","92,337,000","109,171,000","114,934,000","105,600,000","102,330,000","102,747,000","103,833,000","105,299,000","101,709,000","111,878,000","111,053,000","114,808,000","101,908,000","143,698,000","118,798,000","104,764,000","105,090,000","105,867,000","99,793,000","98,153,000","95,670,000","108,460,000","102,123,000","100,827,000","96,320,000",,"96,562,000","98,266,000"
			DepreciationAndAmortization,"251,710,000","60,407,000","63,136,000","65,600,000","62,567,000","180,802,000","65,049,000","62,427,000","66,192,000","75,753,000","77,848,000","76,226,000","80,174,000","75,076,000","74,720,000","77,405,000","82,767,000","84,060,000","89,111,000","81,096,000","78,290,000","77,494,000","85,975,000","85,780,000","86,974,000","85,395,000","95,423,000","93,040,000","93,405,000","94,094,000","108,360,000","100,416,000","98,725,000","98,742,000","106,933,000","98,344,000","97,566,000","100,327,000","106,907,000","100,352,000","99,668,000","92,337,000","109,171,000","114,934,000","105,600,000","102,330,000","102,747,000","103,833,000","105,299,000","101,709,000","111,878,000","111,053,000","114,808,000","101,908,000","143,698,000","118,798,000","104,764,000","105,090,000","105,867,000","99,793,000","98,153,000","95,670,000","108,460,000","102,123,000","100,827,000","96,320,000",,"96,562,000","98,266,000"
