name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020
OperatingCashFlow,"-56,449,000","-28,156,000","-1,094,000","-10,079,000","-17,120,000","-21,521,000","-7,360,000","-14,136,000"
	CashFlowFromContinuingOperatingActivities,"-56,449,000","-28,156,000","-1,094,000","-10,079,000","-17,120,000","-21,521,000","-7,360,000","-14,136,000"
		NetIncomeFromContinuingOperations,"-155,891,000","-26,613,000","-46,764,000","-41,748,000","-40,766,000","-28,282,000","-120,038,000","-28,608,000"
		OperatingGainsLosses,"1,595,000","-17,773,000","637,000","9,913,000","8,818,000","1,021,000","-10,708,000","4,147,000"
			GainLossOnSaleOfBusiness,,"-17,798,000",,,,"0",,
			NetForeignCurrencyExchangeGainLoss,"19,137,000","-231,000","637,000","9,913,000","8,818,000","1,021,000","-10,708,000","4,147,000"
			EarningsLossesFromEquityInvestments,,"256,000",,,,"0",,
		DepreciationAmortizationDepletion,"2,263,000","1,139,000","957,000","82,000","85,000","84,000","85,000","83,000"
			DepreciationAndAmortization,"2,263,000","1,139,000","957,000","82,000","85,000","84,000","85,000","83,000"
				Depreciation,"1,101,000","558,000",,,,"0",,
				AmortizationCashFlow,"1,162,000","581,000","414,000","82,000","85,000","84,000","85,000","83,000"
					AmortizationOfIntangibles,"1,162,000","581,000","414,000","82,000","85,000","84,000","85,000","83,000"
		StockBasedCompensation,"44,049,000","17,471,000","12,767,000","8,579,000","5,232,000","3,431,000","106,168,000","2,056,000"
		OtherNonCashItems,"37,421,000","10,545,000","10,138,000","8,471,000","8,267,000","6,689,000","6,192,000","5,079,000"
		ChangeInWorkingCapital,"14,114,000","-12,925,000","21,171,000","4,624,000","1,244,000","-4,464,000","10,941,000","3,107,000"
			ChangeInReceivables,"-33,601,000","8,674,000","-20,873,000","-10,291,000","-11,111,000","4,052,000","3,766,000","-16,114,000"
				ChangesInAccountReceivables,"-33,601,000","8,674,000","-20,873,000","-10,291,000","-11,111,000","4,052,000","3,766,000","-16,114,000"
			ChangeInPrepaidAssets,"-9,101,000","-2,158,000","-4,846,000","-3,158,000","1,061,000","-1,276,000","2,629,000","-74,000"
			ChangeInPayablesAndAccruedExpense,"20,160,000","2,369,000","13,025,000","-916,000","5,682,000","-1,961,000","206,000","1,489,000"
				ChangeInPayable,"2,949,000","800,000","91,000","2,975,000","-917,000","-272,000","1,156,000","178,000"
					ChangeInAccountPayable,"2,949,000","800,000","91,000","2,975,000","-917,000","-272,000","1,156,000","178,000"
				ChangeInAccruedExpense,"17,211,000","1,569,000","12,934,000","-3,891,000","6,599,000","-1,689,000","-950,000","1,311,000"
			ChangeInOtherCurrentAssets,"-2,214,000","-61,000","-254,000","-1,202,000","-697,000","-1,221,000","788,000","112,000"
			ChangeInOtherCurrentLiabilities,"2,104,000","2,419,000","-1,496,000","1,668,000","-487,000","622,000","-29,000","151,000"
			ChangeInOtherWorkingCapital,"36,766,000","-24,168,000","35,615,000","18,523,000","6,796,000","-4,680,000","3,581,000","17,543,000"
InvestingCashFlow,"-62,719,000","-8,824,000","46,136,000","-100,031,000","0","0","91,000","0"
	CashFlowFromContinuingInvestingActivities,"-62,719,000","-8,824,000","46,136,000","-100,031,000","0","0","91,000","0"
		NetPPEPurchaseAndSale,"-5,415,000","-1,874,000",,,,"0",,
			PurchaseOfPPE,"-5,415,000","-1,874,000",,,,"0",,
		NetIntangiblesPurchaseAndSale,,,,"0",,,"0","0"
