name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,06/30/2017,09/30/2016,06/30/2016,09/30/2015,06/30/2015,09/30/2014,06/30/2014,09/30/2013,06/30/2013,09/30/2012,06/30/2012
OperatingCashFlow,"-2,334,000","-11,624,000","6,938,000","-2,499,000","4,851,000","5,716,000","2,180,000","14,629,000","14,702,000","-27,525,000","5,281,000","-15,981,000","-17,566,000","-3,157,000","-18,289,000","5,247,000","22,967,000","-5,984,000","-23,363,000","10,301,000","-10,903,000","71,194,000","92,697,000","154,344,000","30,945,000","6,233,000","3,595,000","77,179,000","69,080,000"
	CashFlowFromContinuingOperatingActivities,"-2,334,000","-11,624,000","6,938,000","-2,499,000","4,851,000","5,716,000","2,180,000","14,629,000","14,702,000","-27,525,000","5,281,000","-15,981,000","-17,566,000","-3,157,000","-18,289,000","5,247,000","22,967,000","-5,984,000","-23,363,000","10,301,000","-10,903,000","71,194,000","92,697,000","154,344,000","30,945,000","6,233,000","3,595,000","77,179,000","69,080,000"
		NetIncomeFromContinuingOperations,"-106,404,000","-12,271,000","-38,079,000","-26,407,000","-29,647,000","-35,527,000","-29,427,000","-38,081,000","-110,664,000","-18,524,000","-60,574,000","-43,806,000","-15,553,000","-21,286,000","-90,377,000","-31,183,000","-11,182,000","-39,029,000","-524,410,000","-177,623,000","-88,643,000","-43,999,000","-15,164,000","60,825,000","43,699,000","54,172,000","30,083,000","41,356,000","32,856,000"
		OperatingGainsLosses,"11,787,000","-207,000","10,988,000","74,000","932,000","2,007,000","-80,000","-520,000","-1,660,000","-5,331,000","-612,000","-217,000","610,000","-1,005,000","-729,000","1,777,000","10,830,000","13,794,000","-7,290,000","-8,020,000","-5,535,000","-17,788,000","10,750,000","-6,467,000","-6,941,000","-2,818,000","-5,538,000","-4,250,000","-2,452,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,"-271,000","494,000","-1,270,000","-8,938,000","1,571,000","-1,338,000","-1,919,000","-3,189,000","-6,253,000","-5,643,000","-21,069,000","7,607,000","-3,590,000","-2,943,000","-49,000","-2,140,000","-1,833,000","-838,000"
			EarningsLossesFromEquityInvestments,,,,,,,,,"0","0","604,000","54,000","116,000","265,000","90,000","206,000","12,168,000","15,713,000","-4,101,000","-1,767,000","108,000","3,281,000","3,143,000","-2,877,000","-3,998,000","-2,769,000","-3,398,000","-2,417,000","-1,614,000"
		DepreciationAmortizationDepletion,"72,426,000","17,673,000","18,618,000","17,911,000","18,224,000","18,470,000","19,416,000","19,343,000","16,986,000","17,285,000","19,416,000","19,047,000","19,548,000","19,034,000","17,383,000","11,377,000","11,192,000","11,380,000","36,287,000","43,845,000","44,552,000","45,979,000","45,657,000","43,708,000","43,111,000","42,056,000","40,108,000","36,047,000","35,784,000"
			DepreciationAndAmortization,"72,426,000","17,673,000","18,618,000","17,911,000","18,224,000","18,470,000","19,416,000","19,343,000","16,986,000","17,285,000","19,416,000","19,047,000","19,548,000","19,034,000","17,383,000","11,377,000","11,192,000","11,380,000","36,287,000","43,845,000","44,552,000","45,979,000","45,657,000","43,708,000","43,111,000","42,056,000","40,108,000","36,047,000","35,784,000"
				Depreciation,,,,,,,,"19,343,000","16,986,000","17,285,000",,,,,,,,,,,,,,,,,,,
		DeferredTax,"-1,140,000","177,000","-1,454,000","-481,000","618,000","30,000","1,117,000","-99,000","206,000","0","-87,000","753,000","-163,000","169,000","572,000",,,"0","-5,543,000","0","0","64,000","64,000","-1,145,000","2,432,000","1,936,000","-12,151,000","-1,718,000","-2,654,000"
