name,01/31/2022,07/31/2021,01/31/2021,07/31/2020,01/31/2020,07/31/2019,01/31/2019,07/31/2018,01/31/2018,07/31/2017
TotalAssets,"1,582,146,000","1,609,667,000","1,446,048,025","1,344,247,268","1,394,189,523","1,352,525,987","1,294,559,110","1,415,841,788","1,467,466,990","1,435,650,051"
TotalLiabilitiesNetMinorityInterest,"33,774,000","3,503,000","4,382,198","51,345,548","34,374,150","25,347,890","12,847,372","21,624,314","14,881,612","53,464,115"
TotalEquityGrossMinorityInterest,"1,548,372,000","1,606,164,000","1,441,665,827","1,292,901,720","1,359,815,373","1,327,178,097","1,281,711,738","1,394,217,474","1,452,585,378","1,382,185,936"
	StockholdersEquity,"1,548,372,000","1,606,164,000","1,441,665,827","1,292,901,720","1,359,815,373","1,327,178,097","1,281,711,738","1,394,217,474","1,452,585,378","1,382,185,936"
		CapitalStock,"1,000","1,000","948","948","948","948","948","948","948","948"
			CommonStock,"1,000","1,000","948","948","948","948","948","948","948","948"
		AdditionalPaidInCapital,"1,276,956,000","1,276,956,000","1,276,955,614","1,303,932,532","1,303,932,532","1,309,832,336","1,309,832,336","1,327,402,207","1,327,402,207","1,564,468,707"
		RetainedEarnings,"271,415,000","329,207,000","164,709,265","-11,031,760","55,881,893","17,344,813","-28,121,546","-29,975,876","-87,230","-46,832,116"
TotalCapitalization,,,,,,,,,,"1,382,185,936"
CommonStockEquity,"1,548,372,000","1,606,164,000","1,441,665,827","1,292,901,720","1,359,815,373","1,327,178,097","1,281,711,738","1,394,217,474","1,452,585,378","1,382,185,936"
NetTangibleAssets,"1,548,372,000","1,606,164,000","1,441,665,827","1,292,901,720","1,359,815,373","1,327,178,097","1,281,711,738","1,394,217,474","1,452,585,378","1,382,185,936"
TangibleBookValue,"1,548,372,000","1,606,164,000","1,441,665,827","1,292,901,720","1,359,815,373","1,327,178,097","1,281,711,738","1,394,217,474","1,452,585,378","1,382,185,936"
ShareIssued,"94,801,581","94,801,581","94,801,581","94,801,581","94,801,581","94,801,581","94,801,581","94,801,581","94,801,581","94,801,581"
OrdinarySharesNumber,"94,801,581","94,801,581","94,801,581","94,801,581","94,801,581","94,801,581","94,801,581","94,801,581","94,801,581","94,801,581"
