name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,12/31/1994
TotalAssets,"529,494,000","503,401,000","522,626,000","518,132,000","493,354,000","479,049,000","478,226,000","438,833,000","405,488,000","381,125,000","409,307,000","426,185,000","424,612,000","379,908,000","391,652,000","394,220,000","389,264,000","384,304,000","406,198,000","389,860,000","388,993,000","365,421,000","368,572,000","369,849,000","360,091,000","351,822,000","372,557,000","372,412,000","360,038,000","363,922,000","354,623,000","366,095,000","352,294,000","347,768,000","362,302,000","345,169,000","340,981,000","325,149,000","352,722,000","369,467,000","409,409,000","409,672,000","420,397,000","404,923,000","402,798,000","391,044,000","392,949,000","386,067,000","360,328,000","339,825,000","345,938,000","343,902,000","349,143,000","350,815,000","448,031,000","461,918,000","473,040,000","476,136,000","476,075,000","464,768,000","457,208,000","442,618,000","391,464,000","381,614,000","379,806,000","324,746,000","305,554,000","304,561,000","309,014,000","273,195,000","273,310,000","263,554,000","167,996,000","160,317,000","161,447,000","158,644,000","156,288,000","152,177,000","206,087,000","209,822,000","215,725,000","222,772,000","239,218,000","256,843,000","269,449,000","278,018,000","292,126,000","296,309,000","309,003,000","296,200,000","320,800,000","323,600,000","315,600,000","333,800,000","336,700,000","319,100,000","203,300,000","197,100,000","112,200,000","93,400,000","83,700,000","77,600,000","77,000,000","73,600,000","23,200,000","21,000,000","21,400,000","7,000,000"
	CurrentAssets,"405,454,000","372,111,000","393,585,000","391,690,000","352,471,000","338,892,000","338,688,000","302,325,000","274,762,000","245,235,000","277,319,000","299,767,000","255,536,000","248,462,000","252,004,000","254,490,000","250,872,000","245,445,000","259,124,000","241,577,000","241,979,000","223,505,000","227,753,000","234,410,000","225,709,000","214,534,000","233,863,000","233,665,000","221,161,000","224,409,000","219,154,000","223,734,000","210,095,000","202,886,000","205,474,000","190,104,000","185,794,000","171,559,000","187,630,000","202,435,000","197,001,000","186,239,000","198,625,000","181,393,000","176,793,000","165,201,000","168,401,000","158,164,000","157,140,000","137,137,000","142,566,000","140,737,000","145,424,000","145,746,000","157,153,000","169,189,000","178,883,000","180,914,000","180,560,000","169,786,000","164,462,000","150,454,000","165,130,000","157,389,000","154,824,000","155,559,000","132,288,000","127,598,000","133,034,000","113,993,000","112,453,000","102,906,000","85,413,000","79,044,000","81,064,000","76,416,000","73,095,000","68,792,000","86,028,000","84,726,000","82,177,000","85,614,000","106,354,000","120,116,000","129,976,000","136,350,000","150,104,000","152,459,000","164,745,000","150,700,000","180,100,000","184,300,000","179,000,000","204,700,000","210,900,000","210,100,000","120,900,000","115,800,000","37,400,000","59,900,000","55,200,000","59,200,000","59,300,000","58,000,000","13,100,000","16,800,000","17,700,000","5,300,000"
		CashCashEquivalentsAndShortTermInvestments,"116,627,000","96,989,000","115,631,000","117,279,000","101,341,000","103,486,000","101,273,000","52,371,000","31,774,000","19,831,000","41,320,000","65,047,000","259,000","112,000","466,000","473,000","257,000","379,000","703,000","3,532,000","2,738,000","1,482,000","925,000","1,043,000","920,000","1,497,000","1,246,000","1,651,000","1,928,000","1,238,000","1,117,000","1,296,000","816,000","875,000","803,000","1,064,000","907,000","1,381,000","5,418,000","812,000","862,000","939,000","1,025,000","685,000","448,000","1,055,000","454,000","410,000","1,143,000","2,812,000","499,000","467,000","900,000","660,000","921,000","2,056,000","834,000","1,083,000","1,052,000","1,322,000","566,000","1,589,000","782,000","835,000","427,000","37,104,000","2,118,000","601,000","189,000","363,000","2,907,000","509,000","10,243,000","13,715,000","13,227,000","9,238,000","1,803,000","1,053,000","10,645,000","3,301,000","1,279,000","255,000","120,000","854,000","3,333,000","1,865,000","2,273,000","1,209,000","1,808,000","7,900,000","22,900,000","41,600,000","40,800,000","68,800,000","76,600,000","95,100,000","72,500,000","77,900,000","2,500,000","30,400,000","31,000,000","39,600,000","40,400,000","43,100,000","600,000","600,000","1,700,000","700,000"
			CashAndCashEquivalents,"116,627,000","96,989,000","115,631,000","117,279,000","101,341,000","103,486,000","101,273,000","52,371,000","31,774,000","19,831,000","41,320,000","65,047,000","259,000","112,000","466,000","473,000","257,000","379,000","703,000","3,532,000","2,738,000","1,482,000","925,000","1,043,000","920,000","1,497,000","1,246,000","1,651,000","1,928,000","1,238,000","1,117,000","1,296,000","816,000","875,000","803,000","1,064,000","907,000","1,381,000","5,418,000","812,000","862,000","939,000","1,025,000","685,000","448,000","1,055,000","454,000","410,000","1,143,000","2,812,000","499,000","467,000","900,000","660,000","921,000","2,056,000","834,000","1,083,000","1,052,000","1,322,000","566,000","1,589,000","782,000","835,000","427,000","37,104,000","2,118,000","601,000","189,000","363,000","2,907,000","509,000","10,243,000","13,715,000","13,227,000","9,238,000","1,803,000","1,053,000","10,645,000","3,301,000","1,279,000","255,000","120,000","854,000","3,333,000","1,865,000","2,273,000","1,209,000","1,808,000","7,900,000","22,900,000","41,600,000","40,800,000","68,800,000","76,600,000","95,100,000","72,500,000","77,900,000","2,500,000","30,400,000","31,000,000","39,600,000","40,400,000","43,100,000","600,000","600,000","1,700,000","700,000"
		Receivables,"281,307,000","268,332,000","269,910,000","266,919,000","244,226,000","228,373,000","230,002,000","242,391,000","235,587,000","217,929,000","228,048,000","226,028,000","220,633,000","235,214,000","237,918,000","240,029,000","238,621,000","232,981,000","245,736,000","227,125,000","228,532,000","206,533,000","210,169,000","216,623,000","210,511,000","199,459,000","218,292,000","217,277,000","204,206,000","208,021,000","202,459,000","205,485,000","193,118,000","186,815,000","186,114,000","169,910,000","166,664,000","153,320,000","169,233,000","179,513,000","176,481,000","175,014,000","186,887,000","169,546,000","164,749,000","154,182,000","156,688,000","145,440,000","142,990,000","123,390,000","131,010,000","128,151,000","131,378,000","132,915,000","140,971,000","151,744,000","164,144,000","167,154,000","166,797,000","154,353,000","150,785,000","135,520,000","149,528,000","136,176,000","132,344,000","99,426,000","110,129,000","105,555,000","108,543,000","91,288,000","102,698,000","94,784,000","69,866,000","62,274,000","64,438,000","63,237,000","66,388,000","63,901,000","69,376,000","74,300,000","72,355,000","76,366,000","92,922,000","103,776,000","116,230,000","125,931,000","137,159,000","142,220,000","156,406,000","135,600,000","144,700,000","132,600,000","128,500,000","114,600,000","113,400,000","103,600,000","45,700,000","35,800,000","31,500,000","24,100,000","21,700,000","17,300,000","16,500,000","13,400,000","10,800,000","7,700,000","7,600,000","3,500,000"
			AccountsReceivable,"278,064,000","265,322,000","269,910,000","266,919,000","244,226,000","228,373,000","230,002,000","242,391,000","235,587,000","217,929,000","227,829,000","225,810,000","220,520,000","234,895,000","237,613,000","239,083,000","237,847,000","225,865,000","243,843,000","225,408,000","227,634,000","206,361,000","209,430,000","215,657,000","210,444,000","198,933,000","216,078,000","215,283,000","203,483,000","204,710,000","202,420,000","200,955,000","187,844,000","179,095,000","181,934,000","164,713,000","164,487,000","151,570,000","168,954,000","179,408,000","173,125,000","174,764,000","186,843,000","166,724,000","163,151,000","148,507,000","154,160,000","142,912,000","141,866,000","123,144,000","128,526,000","127,844,000","131,085,000","132,428,000","140,483,000","151,282,000","163,715,000","166,777,000","166,465,000","152,170,000","150,645,000","134,453,000","146,939,000","132,376,000","130,191,000","99,354,000","110,057,000","105,478,000","108,227,000","90,682,000","102,131,000","94,784,000","69,670,000","62,274,000","63,965,000","62,759,000","65,651,000","63,092,000","68,650,000","68,747,000","71,868,000","71,133,000","92,922,000","103,776,000","116,230,000",,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"280,584,000","267,664,000","272,174,000","269,428,000","246,442,000","231,577,000","234,103,000","246,963,000","239,962,000","220,007,000","230,830,000","228,849,000","223,435,000","237,695,000","240,257,000","241,651,000","239,956,000","228,198,000","246,282,000","227,634,000","230,197,000","208,427,000","211,457,000","217,881,000","212,912,000","201,054,000",,"217,816,000","205,821,000","206,750,000","204,659,000","203,226,000","189,897,000","181,123,000","183,997,000","166,979,000","166,794,000","153,723,000","171,604,000","182,981,000","175,960,000","177,221,000","189,677,000","169,287,000","166,296,000","152,528,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,520,000","-2,342,000","-2,264,000","-2,509,000","-2,216,000","-3,204,000","-4,101,000","-4,572,000","-4,375,000","-2,078,000","-3,001,000","-3,039,000","-2,915,000","-2,800,000","-2,644,000","-2,568,000","-2,109,000","-2,333,000","-2,439,000","-2,226,000","-2,563,000","-2,066,000","-2,027,000","-2,224,000","-2,468,000","-2,121,000",,"-2,533,000","-2,338,000","-2,040,000","-2,239,000","-2,271,000","-2,053,000","-2,028,000","-2,063,000","-2,266,000","-2,307,000","-2,153,000","-2,650,000","-3,573,000","-2,835,000","-2,457,000","-2,834,000","-2,563,000","-3,145,000","-4,021,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"3,243,000","3,010,000",,,,,,,,"33,000","219,000","218,000","113,000","319,000","305,000","946,000","774,000","7,116,000","1,893,000","1,717,000","898,000","172,000","739,000","966,000","67,000","526,000","2,214,000","1,994,000","723,000","3,311,000","39,000","4,530,000","5,274,000","7,720,000","4,180,000","5,197,000","2,177,000","1,750,000","279,000","105,000","3,356,000","250,000","44,000","2,822,000","1,598,000","5,675,000","2,528,000","2,528,000","1,124,000","246,000","2,484,000","307,000","293,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"487,000","488,000","462,000","429,000","377,000","332,000","2,183,000","140,000","1,067,000","2,589,000","3,800,000","2,153,000","72,000","72,000","77,000","316,000","606,000","567,000",,"196,000",,"473,000","478,000","737,000","809,000","726,000","5,553,000","487,000","5,233,000",,,,,,,,,,,,,,,,,,,,,,,,,,
