name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
MarketCap,"622,819,475","944,202,738","864,511,473","1,340,483,053","1,439,201,740","1,942,874,904","544,587,821","119,530,371","12,296,474","11,984,209","32,532,265","44,786,153","23,414,482","25,531,867","16,935,542","32,016,932","17,565,807","10,469,349","12,874,761","10,124,897","11,175,630","17,174,715","23,605,296","63,512,947","52,648,296","7,582,680","13,396,216","29,148,496","53,952,384","29,399,721","31,879,520","34,108,719","59,427,422","80,189,059","97,940,210","90,592,827","89,473,832","91,969,460","60,992,935","84,152,939","132,966,715","243,552,162","163,941,740","144,741,296","408,285,838","511,448,842"
EnterpriseValue,"403,100,475","718,875,738","653,956,473","1,169,586,053","915,106,740","1,865,802,904","477,759,821","128,863,371","17,664,474","10,331,209","25,527,265","29,311,153","1,489,482","4,351,867","-9,225,458","16,717,932","24,429,807","18,146,349","18,186,761","15,893,897","8,509,630","23,423,715","26,662,296","81,251,947","82,318,296","27,237,680","34,875,216","43,601,496","85,464,384","62,952,721","57,167,520","73,295,719","74,836,422","80,192,059","90,188,210","86,213,827","80,400,832","74,737,460","43,760,935","77,988,939","92,225,715","177,570,162","85,754,740","66,554,296","322,863,838","415,078,842"
PeRatio,,,,"36.889",,,,,,,,"1.009",,,,,,,"0.444","0.205",,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"624.728","1,288.775","780.474","1,066.977","481.213","105.086","10.891","0.791","0.48","0.408","1.042","1.22","0.453","0.325","0.177","0.143","0.12","0.273","0.279","0.233","0.168","0.161","0.282","0.433","0.342","0.126","0.214","0.421","0.621","0.572","1.067","1.733","7.971","6.411","7.182","9.873","5.647","2.996","2.06","0.988","2.016","3.261","2.661","2.356","8.99","16.316"
PbRatio,"1.038","1.725","1.544","2.327","2.416","13.273","4.046","1.996","0.191","0.165","0.423","0.523","0.253","0.293","0.182","0.322","0.493","0.165","0.194","0.183","0.145","0.248","0.365","1.092","1.11","0.157","0.253","0.501","1.187","0.626","0.554","0.782","0.988","1.13","1.512","1.138","1.086","1.007","0.623","1.341","1.736","2.669","1.606","1.401","3.589","4.109"
EnterprisesValueRevenueRatio,"474.236","3,098.602","12,110.305","8,236.522","2,644.817","143,523.3","1,134.821","1,056.257","18.752","2.701","3.706","4.802","0.294","0.68","-1.393","1.95","2.593","2.208","2.723","2.064","1.128","4.171","4.569","11.701","10.146","4.31","4.779","5.439","9.577","10.672","6.017","7.228","9.693","88.806","53.208","76.499","43.25","21.094","22.745","138.77","13.124","11.94","4.977","3.802","22.216","27.163"
EnterprisesValueEBITDARatio,"-6.815","-50.522","-44.234","-89.193","-53.754","-209.57","-29.189","-26.369","-4.561","-1.464","-5.798","-4.59","-0.316","-1.155","1.945","-3.719","-2.73","-585.366","-9.375","-9.41","-1.082","-6.609","35.082","-13.558","-4.682","163.1","-8.247","-15.673","-7.971","-17.266","-7.744","22.415","-7.071","-8.401","-6.214","-6.488","-6.664","-5.247","9.128","-3.315","-6.2","-10.186","-7.182","-6.455","-30.869","-56.099"
