name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996
OperatingCashFlow,"393,800,000","139,200,000","22,400,000","137,300,000","94,900,000","152,300,000","11,500,000","200,400,000","135,000,000","99,800,000","19,500,000","195,400,000","141,500,000","62,200,000","-9,600,000","197,200,000","51,300,000","58,200,000","-53,700,000","199,900,000","89,600,000","59,600,000","-44,100,000","143,000,000","100,300,000","83,900,000","-26,200,000","132,900,000","99,900,000","33,400,000","-59,900,000","145,000,000","76,900,000","102,700,000","-62,800,000","131,600,000","79,800,000","107,700,000","-68,800,000","153,500,000","151,700,000","161,000,000","7,200,000","149,616,000","35,230,000","55,654,000","-68,160,000","160,336,000","87,826,000","25,716,000","-95,767,000","177,220,000","142,222,000","63,434,000","-116,352,000","120,775,000","69,842,000","34,847,000","-85,628,000","222,613,000","83,916,000","79,339,000","2,368,000","86,741,000","93,873,000","66,649,000","-18,155,000","119,302,000","72,350,000","-1,030,000","-2,246,000","177,374,000","37,349,000","23,796,000","-2,279,000","41,304,000","28,692,000","33,022,000","-3,720,000","62,940,000","-4,000,000","59,598,000","28,487,000","11,473,000","39,409,000","10,511,000","37,472,000","30,273,000","36,836,000","8,820,000","41,300,000","3,666,000","32,800,000","18,700,000","16,600,000","11,200,000","26,000,000","24,900,000","14,800,000","15,100,000","7,000,000","10,800,000","7,200,000","7,400,000","30,500,000","21,900,000","22,100,000"
	CashFlowFromContinuingOperatingActivities,"393,800,000","139,200,000","22,400,000","137,300,000","94,900,000","152,300,000","11,500,000","200,400,000","135,000,000","99,800,000","19,500,000","195,400,000","141,500,000","62,200,000","-9,600,000","197,200,000","51,300,000","58,200,000","-53,700,000","199,900,000","89,600,000","59,600,000","-44,100,000","143,000,000","100,300,000","83,900,000","-26,200,000","132,900,000","99,900,000","33,400,000","-59,900,000","145,000,000","76,900,000","102,700,000","-62,800,000","131,600,000","79,800,000","107,700,000","-68,800,000","153,500,000","151,700,000","161,000,000","7,200,000","149,616,000","35,230,000","55,654,000","-68,160,000","160,336,000","87,826,000","25,716,000","-95,767,000","177,220,000","142,222,000","63,434,000","-116,352,000","120,775,000","69,842,000","34,847,000","-85,628,000","222,613,000","83,916,000","79,339,000","2,368,000","86,741,000","93,873,000","66,649,000","-18,155,000","119,302,000","72,350,000","-1,030,000","-2,246,000","177,374,000","37,349,000","23,796,000","-2,279,000","41,304,000","28,692,000","33,022,000","-3,720,000","62,940,000","-4,000,000","59,598,000","28,487,000","11,473,000","39,409,000","10,511,000","37,472,000","30,273,000","36,836,000","8,820,000","41,300,000","3,666,000","32,800,000","18,700,000","16,600,000","11,200,000","26,000,000","24,900,000","14,800,000","15,100,000","7,000,000","10,800,000","7,200,000","7,400,000","30,500,000","21,900,000","22,100,000"
		NetIncomeFromContinuingOperations,"373,600,000","126,700,000","18,600,000","109,900,000","118,400,000","154,000,000","30,900,000","48,000,000","24,400,000","15,800,000","36,100,000","69,800,000","67,500,000","21,100,000","35,800,000","45,500,000","72,000,000","51,900,000","60,100,000","39,700,000","47,500,000","39,900,000","8,000,000","6,500,000","46,400,000","32,500,000","-9,900,000","9,200,000","9,300,000","20,500,000","28,200,000","-30,200,000","10,000,000","34,500,000","30,600,000","33,000,000","46,800,000","43,000,000","26,200,000","24,600,000","46,200,000","36,200,000","24,600,000","20,512,000","64,974,000","50,591,000","41,097,000","76,635,000","67,759,000","44,832,000","26,231,000","79,294,000","39,731,000","12,142,000","1,266,000","60,423,000","64,590,000","48,654,000","60,687,000","54,984,000","48,781,000","18,624,000","33,979,000","41,738,000","38,336,000","28,693,000","33,352,000","22,041,000","50,712,000","16,767,000","15,136,000","27,817,000","14,869,000","8,449,000","-3,366,000","7,391,000","2,980,000","-5,139,000","4,264,000","12,306,000","7,951,000","6,916,000","3,806,000","14,328,000","12,913,000","22,958,000","38,575,000","19,987,000","18,829,000","13,978,000","23,000,000","25,973,000","10,900,000","10,800,000","3,700,000","15,400,000","-4,500,000","12,600,000","9,600,000","5,400,000","4,600,000","3,600,000","4,500,000","15,700,000","9,600,000","6,600,000","10,800,000"
		OperatingGainsLosses,"7,000,000","9,600,000","2,000,000","-1,900,000","-2,700,000","-94,500,000","10,000,000","-19,800,000","-200,000","35,800,000","-100,000","-5,700,000","1,600,000","11,300,000","-400,000","0","-1,700,000","-2,000,000","-2,100,000","9,000,000","1,500,000","-2,600,000","25,100,000","17,800,000","-2,900,000","-7,700,000","1,100,000","5,800,000","-6,900,000","9,900,000","-30,900,000","-27,800,000","3,200,000","-6,300,000","-11,800,000","-16,300,000","-1,400,000","-4,600,000","3,400,000","-100,000","-2,600,000","-2,500,000","-3,800,000","-3,560,000","-10,700,000","-2,832,000","-2,601,000","-4,797,000","-8,016,000","-943,000","-1,217,000","-22,622,000","-3,894,000","-2,239,000","-1,273,000","-2,934,000","-3,062,000","-13,071,000","-36,864,000","-8,785,000","-468,000","21,305,000","-5,636,000","-229,000","-10,699,000","-14,785,000","-33,212,000","-399,000","-46,206,000","-4,087,000","-10,141,000","-1,743,000","-3,143,000","-962,000","-3,345,000","-4,092,000","2,530,000","7,885,000","-14,395,000","-3,070,000","-3,106,000","-1,719,000","-11,179,000","27,138,000","-38,258,000","-35,126,000","-44,862,000","-6,773,000","1,435,000","-4,240,000","-1,900,000","-15,317,000","2,200,000","-2,400,000","-3,200,000",,,,,,,,,,,,
			GainLossOnSaleOfBusiness,"-4,000,000","-4,200,000","0","200,000","0","100,000","-100,000","900,000","-500,000",,,"700,000","1,300,000",,,"-900,000","100,000","0","0","3,900,000","-800,000","-1,900,000","500,000","18,600,000","-1,300,000",,,"700,000","-1,100,000","10,400,000","-800,000",,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-7,100,000","-300,000","-1,400,000","-2,400,000","-3,000,000","-95,600,000","1,600,000","-17,100,000","-300,000","-1,300,000","-500,000","-6,800,000","-1,300,000","-4,900,000","-900,000","1,900,000","-1,400,000","-1,500,000","-4,600,000","3,500,000","-1,100,000","-1,800,000","-1,000,000","-800,000","-700,000","-7,900,000","-900,000","2,300,000","-7,000,000","-700,000","-25,900,000","-12,700,000","6,500,000","-9,700,000","-9,500,000","-17,000,000","-1,800,000","-3,100,000","-1,200,000","-1,200,000","-2,100,000","-3,200,000","-1,100,000","-714,000","-9,205,000","-2,857,000","-2,079,000","-4,530,000","-4,875,000","-701,000","-1,328,000","-24,622,000","-5,256,000","-2,237,000","-2,317,000","-6,877,000","-3,062,000","-13,071,000","-36,864,000","-9,533,000","-986,000","-2,298,000","-5,969,000","-2,149,000","-9,173,000","-14,785,000","-33,212,000","-479,000","-46,594,000","-4,194,000","-10,344,000","-2,275,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"-5,000,000","-8,500,000","3,400,000","200,000","-100,000",,,"-4,000,000","600,000","-1,300,000","500,000","400,000","1,500,000","600,000","500,000","-1,900,000","-800,000","-500,000","2,500,000","100,000","2,400,000","0","2,100,000","0","-900,000","3,000,000","2,000,000","2,800,000","1,200,000","200,000","-4,200,000","-2,600,000","-2,600,000","3,500,000","-2,200,000","2,100,000","1,600,000","-1,300,000","4,700,000",,,,"-2,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,000,000","-700,000","-100,000","-100,000","-1,400,000","-1,200,000","-200,000","-100,000","1,200,000","-500,000","-2,000,000","0","-2,846,000","-1,495,000","25,000","-522,000","-267,000","-3,141,000","-242,000","111,000","1,218,000","1,362,000","-2,000","1,044,000",,,,,"748,000","518,000","124,000","333,000",,,,,"80,000","388,000","107,000","203,000","532,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"500,000","0","0","100,000","400,000","100,000","8,500,000","400,000","0","0","-100,000","0",,,,"900,000","400,000","0","0","1,500,000","1,000,000","1,100,000","23,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"230,300,000","54,600,000","59,400,000","58,200,000","58,100,000","58,800,000","59,300,000","60,100,000","59,900,000","46,300,000","76,200,000","59,300,000","60,000,000","55,500,000","31,300,000","30,400,000","32,400,000","32,400,000","31,700,000","31,100,000","27,700,000","31,000,000","30,700,000","31,900,000","31,500,000","32,000,000","32,300,000","33,700,000","31,600,000","34,700,000","34,600,000","36,000,000","38,800,000","41,900,000","39,100,000","39,000,000","39,500,000","38,900,000","39,500,000","38,900,000","37,400,000","39,700,000","38,700,000","41,574,000","34,915,000","34,594,000","33,108,000","31,047,000","27,748,000","27,673,000","29,506,000","28,065,000","25,044,000","24,229,000","25,289,000","27,404,000","26,336,000","26,775,000","25,863,000","26,003,000","23,016,000","27,104,000","26,172,000","21,867,000","20,622,000","23,326,000","24,673,000","20,522,000","24,402,000","25,192,000","24,982,000","22,760,000","24,327,000","26,097,000","26,710,000","24,001,000","22,242,000","22,287,000","21,240,000","22,581,000","26,303,000","24,608,000","23,985,000","24,045,000","23,450,000","22,214,000","11,798,000","11,707,000","9,226,000","12,189,000","12,100,000","9,560,000","10,900,000","10,800,000","11,100,000","8,400,000","12,800,000","9,800,000","8,700,000","8,100,000","8,900,000","6,900,000","8,000,000","7,000,000","6,300,000","6,600,000","6,500,000"
