name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015
TotalRevenue,"3,371,000,000","886,000,000","858,000,000","835,000,000","792,000,000","701,000,000","653,000,000","652,000,000","516,000,000","578,000,000","607,000,000","629,000,000","613,000,000","591,000,000","557,000,000","594,000,000","577,000,000","569,000,000","545,000,000","547,000,000","534,000,000","514,000,000","489,000,000","493,800,000","499,000,000","480,000,000","456,000,000","483,800,000","509,700,000"
	OperatingRevenue,"3,371,000,000","886,000,000","858,000,000","835,000,000","792,000,000","701,000,000","653,000,000","652,000,000","516,000,000","578,000,000","607,000,000","629,000,000","613,000,000","591,000,000","557,000,000","594,000,000","577,000,000","569,000,000","545,000,000","547,000,000","534,000,000","514,000,000","489,000,000","493,800,000","499,000,000","480,000,000","456,000,000","483,800,000","509,700,000"
CostOfRevenue,"2,372,000,000","636,000,000","614,000,000","589,000,000","533,000,000","454,000,000","425,000,000","394,000,000","329,000,000","371,000,000","396,000,000","412,000,000","406,000,000","388,000,000","374,000,000","391,000,000","376,000,000","362,000,000","350,000,000","349,000,000","337,000,000","316,000,000","304,000,000","300,200,000","300,000,000","288,000,000","280,000,000","326,300,000","320,600,000"
GrossProfit,"999,000,000","250,000,000","244,000,000","246,000,000","259,000,000","247,000,000","228,000,000","258,000,000","187,000,000","207,000,000","211,000,000","217,000,000","207,000,000","203,000,000","183,000,000","203,000,000","201,000,000","207,000,000","195,000,000","198,000,000","197,000,000","198,000,000","185,000,000","193,600,000","199,000,000","192,000,000","176,000,000","157,500,000","189,100,000"
OperatingExpense,"546,000,000","137,000,000","135,000,000","138,000,000","136,000,000","129,000,000","117,000,000","123,000,000","106,000,000","96,000,000","117,000,000","115,000,000","116,000,000","113,000,000","105,000,000","83,000,000","110,000,000","111,000,000","114,000,000","70,000,000","100,000,000","97,000,000","95,000,000","76,800,000","93,000,000","93,000,000","87,000,000","114,800,000","83,200,000"
	SellingGeneralAndAdministration,"546,000,000","137,000,000","135,000,000","138,000,000","136,000,000","129,000,000","117,000,000","123,000,000","106,000,000","96,000,000","117,000,000","115,000,000","116,000,000","113,000,000","105,000,000","102,000,000","110,000,000","111,000,000","114,000,000","83,000,000","100,000,000","97,000,000","95,000,000","59,400,000","93,000,000","93,000,000","87,000,000","96,300,000","66,100,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,"17,400,000",,,,"18,500,000","17,100,000"
OperatingIncome,"453,000,000","113,000,000","109,000,000","108,000,000","123,000,000","118,000,000","111,000,000","135,000,000","81,000,000","111,000,000","94,000,000","102,000,000","91,000,000","90,000,000","78,000,000","120,000,000","91,000,000","96,000,000","81,000,000","128,000,000","97,000,000","101,000,000","90,000,000","116,800,000","106,000,000","99,000,000","89,000,000","42,700,000","105,900,000"
NetNonOperatingInterestIncomeExpense,"-71,000,000","-18,000,000","-17,000,000","-19,000,000","-17,000,000","-55,000,000","-20,000,000","-20,000,000","-19,000,000","-38,000,000","-16,000,000","-18,000,000","-19,000,000","-19,000,000","-17,000,000","-18,000,000","-15,000,000","-16,000,000","-14,000,000","-14,000,000","-10,000,000","-8,000,000","-10,000,000",,"0","0","0",,
	InterestExpenseNonOperating,"71,000,000","18,000,000","17,000,000","19,000,000","17,000,000","55,000,000","20,000,000","20,000,000","19,000,000","38,000,000","16,000,000","18,000,000","19,000,000","19,000,000","17,000,000","18,000,000","15,000,000","16,000,000","14,000,000","14,000,000","10,000,000","8,000,000","10,000,000",,"0","0","0",,
