name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,09/30/2013
TotalRevenue,"4,526,700,000","1,174,100,000","1,137,200,000","1,088,600,000","1,126,800,000","1,063,600,000","1,074,500,000","1,026,900,000","652,700,000","983,500,000","1,098,400,000","1,107,000,000","1,157,500,000","1,119,300,000","1,165,800,000","1,146,000,000","1,212,200,000","1,172,000,000","1,172,400,000","1,096,300,000","1,094,600,000","1,013,700,000","1,034,600,000","1,029,100,000","1,072,100,000","961,600,000","1,009,600,000","1,005,100,000","1,101,100,000","997,500,000","1,087,000,000","1,115,800,000","1,134,300,000","1,054,400,000",
	OperatingRevenue,"4,526,700,000","1,174,100,000","1,137,200,000","1,088,600,000","1,126,800,000","1,063,600,000","1,074,500,000","1,026,900,000","652,700,000","983,500,000","1,098,400,000","1,107,000,000","1,157,500,000","1,119,300,000","1,158,100,000","1,139,300,000","1,206,500,000","1,165,800,000","1,164,800,000","1,091,800,000","1,088,500,000","1,007,800,000","1,029,400,000","1,023,400,000","1,065,100,000","955,600,000","1,003,600,000","1,000,300,000","1,094,100,000","989,200,000","1,078,800,000","1,108,900,000","1,126,600,000","1,047,400,000",
CostOfRevenue,"3,140,200,000","837,400,000","804,700,000","745,300,000","752,800,000","684,500,000","677,800,000","634,100,000","499,200,000","646,800,000","710,800,000","707,400,000","748,400,000","751,300,000","777,400,000","759,100,000","793,800,000","776,000,000","746,000,000","702,500,000","690,000,000","641,100,000","641,800,000","630,400,000","649,000,000","606,400,000","639,200,000","628,600,000","679,700,000","649,800,000","723,100,000","728,100,000","742,500,000","703,500,000",
GrossProfit,"1,386,500,000","336,700,000","332,500,000","343,300,000","374,000,000","379,100,000","396,700,000","392,800,000","153,500,000","336,700,000","387,600,000","399,600,000","409,100,000","368,000,000","388,400,000","386,900,000","418,400,000","396,000,000","426,400,000","393,800,000","404,600,000","372,600,000","392,800,000","398,700,000","423,100,000","355,200,000","370,400,000","376,500,000","421,400,000","347,700,000","363,900,000","387,700,000","391,800,000","350,900,000",
OperatingExpense,"890,400,000","250,400,000","237,800,000","218,600,000","183,600,000","326,500,000","233,500,000","251,100,000","218,000,000","271,600,000","282,300,000","277,100,000","252,500,000","264,200,000","260,600,000","339,100,000","271,900,000","276,000,000","325,500,000","289,800,000","286,300,000","262,600,000","301,100,000","278,500,000","272,100,000","251,900,000","270,200,000","252,600,000","278,400,000","245,900,000","278,000,000","283,700,000","284,000,000","279,100,000",
	SellingGeneralAndAdministration,"753,100,000","193,500,000","194,400,000","181,000,000","184,200,000","179,100,000","178,900,000","166,500,000","154,200,000","195,400,000","166,900,000","231,500,000","206,200,000","217,500,000","213,300,000","293,400,000","224,600,000","227,800,000","279,900,000","246,400,000","246,100,000","225,300,000","263,400,000","242,300,000","237,700,000","219,100,000","237,100,000","219,200,000","245,500,000","213,000,000","244,800,000","249,400,000","250,600,000","246,700,000",
	ResearchAndDevelopment,"63,200,000","16,400,000","15,600,000","15,400,000","15,800,000","15,600,000","14,000,000","13,400,000","11,200,000","16,600,000","16,700,000","17,400,000","17,900,000","18,200,000","18,800,000","17,000,000","18,000,000","19,300,000","16,700,000","16,600,000","16,400,000","15,600,000","16,100,000","14,900,000","14,100,000","12,600,000","12,900,000","13,000,000","12,800,000","12,900,000","12,700,000","13,400,000","12,100,000","11,300,000",
	DepreciationAmortizationDepletionIncomeStatement,"125,200,000","32,800,000","33,300,000","29,800,000","29,300,000","29,000,000","28,700,000","28,600,000","27,900,000","28,000,000","28,000,000","28,200,000","28,400,000","28,500,000","28,500,000","28,700,000","29,300,000","28,900,000","28,900,000","26,800,000","23,800,000","21,700,000","21,600,000","21,300,000","20,300,000","20,200,000","20,200,000","20,400,000","20,100,000","20,000,000","20,500,000","20,900,000","21,300,000","21,100,000",
		DepreciationAndAmortizationInIncomeStatement,"125,200,000","32,800,000","33,300,000","29,800,000","29,300,000","29,000,000","28,700,000","28,600,000","27,900,000","28,000,000","28,000,000","28,200,000","28,400,000","28,500,000","28,500,000","28,700,000","29,300,000","28,900,000","28,900,000","26,800,000","23,800,000","21,700,000","21,600,000","21,300,000","20,300,000","20,200,000","20,200,000","20,400,000","20,100,000","20,000,000","20,500,000","20,900,000","21,300,000","21,100,000",
			Amortization,"125,200,000","32,800,000","33,300,000","29,800,000","29,300,000","29,000,000","28,700,000","28,600,000","27,900,000","28,000,000","28,000,000","28,200,000","28,400,000","28,500,000","28,500,000","28,700,000","29,300,000","28,900,000","28,900,000","26,800,000","23,800,000","21,700,000","21,600,000","21,300,000","20,300,000","20,200,000","20,200,000","20,400,000","20,100,000","20,000,000","20,500,000","20,900,000","21,300,000","21,100,000",
				AmortizationOfIntangiblesIncomeStatement,"125,200,000","32,800,000","33,300,000","29,800,000","29,300,000","29,000,000","28,700,000","28,600,000","27,900,000","28,000,000","28,000,000","28,200,000","28,400,000","28,500,000","28,500,000","28,700,000","29,300,000","28,900,000","28,900,000","26,800,000","23,800,000","21,700,000","21,600,000","21,300,000","20,300,000","20,200,000","20,200,000","20,400,000","20,100,000","20,000,000","20,500,000","20,900,000","21,300,000","21,100,000",
	OtherOperatingExpenses,"-51,100,000","7,700,000","-5,500,000","-7,600,000","-45,700,000","102,800,000","11,900,000","42,600,000","24,700,000","31,600,000","29,300,000",,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"496,100,000","86,300,000","94,700,000","124,700,000","190,400,000","52,600,000","163,200,000","141,700,000","-64,500,000","65,100,000","105,300,000","122,500,000","156,600,000","103,800,000","127,800,000","47,800,000","146,500,000","120,000,000","100,900,000","104,000,000","118,300,000","110,000,000","91,700,000","120,200,000","151,000,000","103,300,000","100,200,000","123,900,000","143,000,000","101,800,000","85,900,000","104,000,000","107,800,000","71,800,000",
NetNonOperatingInterestIncomeExpense,"-133,300,000","-32,600,000","-33,500,000","-33,800,000","-33,400,000","-33,500,000","-37,500,000","-39,800,000","-36,100,000","-36,500,000","-40,100,000","-40,200,000","-41,000,000","-41,300,000","-41,100,000","-39,800,000","-39,300,000","-39,400,000","-37,900,000","-37,700,000","-35,600,000","-35,800,000","-37,400,000","-42,900,000","-47,800,000","-50,100,000","-46,500,000","-50,800,000","-49,200,000","-50,000,000","-51,200,000","-52,600,000","-54,900,000","-59,000,000",
	InterestExpenseNonOperating,"133,300,000","32,600,000","33,500,000","33,800,000","33,400,000","33,500,000","37,500,000","39,800,000","36,100,000","36,500,000","40,100,000","40,200,000","41,000,000","41,300,000","41,100,000","39,800,000","39,300,000","39,400,000","37,900,000","37,700,000","35,600,000","35,800,000","37,400,000","42,900,000","47,800,000","50,100,000","46,500,000","50,800,000","49,200,000","50,000,000","51,200,000","52,600,000","54,900,000","59,000,000",
	TotalOtherFinanceCost,"162,600,000",,,,,,,,,,"40,100,000","40,200,000","41,000,000","41,300,000","41,100,000","39,800,000","39,300,000","39,400,000","37,900,000","37,700,000","35,600,000","35,800,000","37,400,000","42,900,000","47,800,000","50,100,000","46,500,000","50,800,000","49,200,000","50,000,000","51,200,000","52,600,000","54,900,000","59,000,000",
OtherIncomeExpense,"10,100,000","-1,800,000","1,400,000","2,400,000","8,100,000","400,000","-32,500,000","-2,300,000","2,200,000","-800,000","4,000,000","2,400,000","2,200,000","-4,200,000","-3,600,000","-5,500,000","-8,100,000","2,200,000","1,800,000","-7,900,000","-92,100,000","1,600,000","-72,400,000","-87,400,000","-32,800,000","-8,000,000","200,000","-18,900,000","-88,600,000","-3,900,000","-49,900,000","-62,200,000","1,600,000","-4,500,000",
