name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"12,677,159,000","1,004,017,000","4,053,596,000","4,483,365,000","3,136,181,000","4,563,006,000","2,005,164,000","1,895,238,000","1,331,994,000","-1,001,505,000","1,063,071,000","790,485,000","1,179,864,000","1,187,480,000","-178,056,000","1,129,666,000","971,620,000","472,606,000","941,648,000","692,877,000","931,788,000","715,952,000","481,475,000","687,056,000","576,757,000","162,805,000","307,923,000","188,626,000","255,874,000","291,345,000","212,944,000","344,768,000","249,370,000","302,926,000","224,902,000","220,028,000","166,376,000","151,240,000","-7,289,755,000","2,558,917,000","1,864,975,000","3,434,305,000","924,456,000","-3,055,990,000","1,539,294,000","2,771,976,000","3,611,953,000","1,820,545,000","1,312,029,000","2,869,967,000","2,119,564,000","4,282,698,000","2,359,092,000","-676,275,000"
	OperatingRevenue,"12,677,159,000","1,004,017,000","4,053,596,000","4,483,365,000","3,136,181,000","4,563,006,000","2,005,164,000","1,895,238,000","1,331,994,000","-1,001,505,000","1,063,071,000","790,485,000","1,179,864,000","1,187,480,000","-178,056,000","1,129,666,000","971,620,000","472,606,000","941,648,000","692,877,000","931,788,000","715,952,000","481,475,000","687,056,000","576,757,000","162,805,000","307,923,000","188,626,000","255,874,000","291,345,000","212,944,000","344,768,000","249,370,000","302,926,000","224,902,000","220,028,000","166,376,000","151,240,000","-7,289,755,000","2,558,917,000","1,864,975,000","3,434,305,000","924,456,000","-3,055,990,000","1,539,294,000","2,771,976,000","3,611,953,000","1,820,545,000","1,312,029,000","2,869,967,000","2,119,564,000","4,282,698,000","2,359,092,000","-676,275,000"
CostOfRevenue,"7,702,069,000","1,009,732,000","2,471,832,000","2,709,883,000","1,510,622,000","2,792,115,000","940,964,000","882,339,000","591,324,000","-262,137,000","535,834,000","427,527,000","608,967,000","544,562,000","43,293,000","560,434,000","472,500,000","298,136,000","461,173,000","368,513,000","462,841,000","402,963,000","283,751,000","358,161,000","296,412,000","125,489,000","306,942,000","96,959,000","411,691,000","364,999,000","253,661,000","320,423,000","358,730,000","331,038,000","405,687,000","329,182,000","200,602,000","331,121,000","261,454,000",,,,,,,,,,,,,,,
GrossProfit,"4,975,090,000","-5,715,000","1,581,764,000","1,773,482,000","1,625,559,000","1,770,891,000","1,064,200,000","1,012,899,000","740,670,000","-739,368,000","527,237,000","362,958,000","570,897,000","642,918,000","-221,349,000","569,232,000","499,120,000","174,470,000","480,475,000","324,364,000","468,947,000","312,989,000","197,724,000","328,895,000","280,345,000","37,316,000","981,000","91,667,000","-155,817,000","-73,654,000","-40,717,000","24,345,000","-109,360,000","-28,112,000","-180,785,000","-109,154,000","-34,226,000","-179,881,000","-83,833,000",,,,,,,,,,,,,,,
OperatingExpense,"2,164,895,000","536,771,000","668,554,000","469,822,000","489,748,000","314,236,000","238,093,000","211,360,000","165,744,000","165,445,000","215,486,000","192,006,000","199,844,000","184,205,000","194,443,000","179,656,000","202,550,000","138,465,000","175,530,000","161,734,000","166,887,000","137,051,000","169,065,000","152,956,000","126,806,000","182,834,000","218,153,000","179,961,000","142,486,000","150,034,000","379,500,000","183,987,000","226,595,000","142,133,000","174,604,000","126,313,000","91,420,000","108,209,000","96,818,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"2,164,895,000","536,771,000","668,554,000","469,822,000","489,748,000","314,236,000","238,093,000","211,360,000","165,744,000","165,445,000","215,486,000","192,006,000","199,844,000","184,205,000","194,443,000","179,656,000","202,550,000","138,465,000","175,530,000","161,734,000","166,887,000","137,051,000","169,065,000","152,956,000","126,806,000","182,834,000","218,153,000","179,961,000","142,486,000","150,034,000","379,500,000","183,987,000","226,595,000","142,133,000","174,604,000","126,313,000","91,420,000","108,209,000","-878,946,000","432,175,000","334,644,000","430,061,000","314,940,000","115,128,000","318,457,000","411,198,000","408,778,000","439,494,000","421,076,000","453,623,000","828,737,000","145,146,000","87,941,000","95,873,000"
		GeneralAndAdministrativeExpense,"2,164,895,000","536,771,000","668,554,000","469,822,000","489,748,000","314,236,000","238,093,000","211,360,000","165,744,000","165,445,000","215,486,000","192,006,000","199,844,000","184,205,000","194,443,000","179,656,000","202,550,000","138,465,000","175,530,000","161,734,000","166,887,000","137,051,000","169,065,000","152,956,000","126,806,000","182,834,000","218,153,000","179,961,000","142,486,000","150,034,000","379,500,000","183,987,000","226,595,000","142,133,000","174,604,000","126,313,000","91,420,000","108,209,000","-878,946,000","432,175,000","334,644,000","430,061,000","314,940,000","115,128,000","318,457,000","411,198,000","408,778,000","439,494,000","421,076,000","453,623,000","828,737,000","145,146,000","87,941,000","95,873,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"366,350,000","280,640,000","372,410,000","190,832,000","48,948,000","272,415,000","356,554,000","299,123,000","331,180,000","348,621,000","365,531,000","686,021,000","58,602,000","47,907,000","45,542,000"
			RentAndLandingFees,"72,033,000","18,149,000","17,795,000","17,438,000","18,651,000","15,200,000","20,878,000","17,321,000","17,579,000","16,322,000","15,951,000","14,894,000","17,193,000","14,690,000","14,919,000","15,250,000","15,322,000","14,215,000","14,572,000","15,267,000","14,032,000","14,851,000","15,463,000","16,405,000","16,188,000","16,566,000","17,295,000","16,484,000","16,172,000","15,732,000","15,596,000","15,501,000","16,059,000","15,408,000","15,684,000","17,637,000","13,878,000","14,521,000","14,569,000",,,,,,,,,,,,,,,
			InsuranceAndClaims,"423,537,000","116,743,000","116,287,000","89,534,000","100,973,000","52,084,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
