name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988
OtherIncomeExpense,"254,000","21,000","7,000","128,000","98,000","39,000","283,000","334,000","233,000","148,000","93,000","146,000","288,000","156,000","-63,000","174,000","-394,000","375,000","144,000","309,000","337,000","301,000","-87,000","190,000","64,000","61,000","-2,000","-14,000","28,000","-34,000","-23,000","-2,071,000","59,000","30,000","-34,000","24,000","-81,000","-1,365,000","-70,000","30,000","42,000","19,000","-126,000","-73,000","546,000","-282,000","-82,000","87,000","425,000","-131,000","-3,133,000","251,000","-193,000","-3,210,000","-911,000","-172,000","-45,000","-493,000","-179,000","190,000","649,000","76,000","-41,722,000","1,318,000","1,409,000","72,000","562,000","261,000","2,433,000","494,000","779,000","544,000","94,000","215,000","-414,000","-114,000","-39,000","377,000","-452,000","478,000","-63,000","-567,000","2,060,000","42,000","918,000","1,102,000","1,088,000","743,000","791,000","1,164,000","1,100,000","800,000","800,000","700,000","1,100,000","1,100,000","1,300,000","1,400,000","1,300,000","1,300,000","1,200,000","1,102,000","1,000,000","1,000,000","900,000","1,000,000","1,200,000","1,100,000","1,000,000","900,000","700,000","500,000","500,000","600,000","600,000","600,000","600,000","700,000","700,000","600,000","500,000","500,000","700,000","500,000","200,000",,,,,,,,,,,,,
	GainOnSaleOfSecurity,"-376,000","-206,000","-50,000","-109,000","-11,000","-162,000","182,000","1,000","1,000","1,000","-107,000","1,000","1,000","-57,000","-259,000","-64,000","2,000","163,000","325,000","3,000","113,000","98,000","-299,000","-11,000","3,000","59,000","-57,000","-22,000","6,000","-76,000","169,000","-98,000","41,000","39,000","-62,000","7,000","-91,000","-25,000","-51,000","19,000",,"-27,000","-41,000","-127,000",,,,,,"-39,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-639,000","-87,000","-172,000","-790,000","-212,000","-159,000","-709,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,"-5,000","39,000","-106,000",,,,,,"38,000","0","0","9,000","-5,000","39,000","-350,000","14,000",,,"21,000","2,000","0","0",,"2,000","6,000","2,000","18,000","35,000","-208,000","-1,983,000","2,000","0","23,000","0","0","-1,358,000","-99,000","11,000","42,000","46,000","-85,000","54,000","546,000","-282,000","-82,000","87,000","425,000","-92,000","-3,133,000","251,000","-193,000","-3,210,000","-272,000","-85,000","127,000","297,000","33,000","349,000","1,358,000","76,000","-41,722,000","1,318,000","1,409,000","72,000","562,000","261,000","2,433,000","494,000","779,000","544,000","94,000","215,000","-414,000","-114,000","-39,000","377,000","-452,000","478,000","-63,000","-567,000","2,060,000","42,000","918,000","1,102,000","1,088,000","743,000","791,000","1,164,000","1,100,000","800,000","800,000","700,000","1,100,000","1,100,000","1,300,000","1,400,000","1,300,000","1,300,000","1,200,000","1,102,000","1,000,000","1,000,000","900,000","1,000,000","1,200,000","1,100,000","1,000,000","900,000","700,000","500,000","500,000","600,000","600,000","600,000","600,000","700,000","700,000","600,000","500,000","500,000","700,000","500,000","200,000",,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,,,,"0","0","0",,"62,000","-10,000","350,000",,,,,,,,,,,"0",,,"224,000","1,983,000","0","0","0","0","0","1,361,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,000","-3,000","-6,000","-473,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,911,000","-13,000","-33,000","-22,000",,"-21,000",,,,,,"49,000","3,136,000","-245,000","666,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,"-5,000","39,000","-106,000",,,,,,,,,"9,000",,"29,000",,"14,000",,,"21,000","2,000","0","0",,"2,000","6,000","2,000","18,000","35,000","16,000",,"2,000",,"23,000","0","0","3,000","2,000","-2,000","9,000","24,000","-9,000","33,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"702,000","227,000","62,000","198,000","215,000","201,000","88,000","333,000","232,000","147,000","162,000","145,000","287,000","204,000","201,000","199,000","-46,000","198,000","-195,000","306,000","203,000","201,000","212,000","201,000","61,000","-23,000","49,000","6,000","4,000","7,000","16,000","10,000","16,000","30,000","5,000","17,000","10,000","18,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"46,795,000","4,942,000","9,105,000","12,366,000","20,382,000","14,952,000","11,983,000","6,437,000","2,266,000","-2,225,000","1,288,000","6,198,000","2,669,000","4,732,000","7,270,000","13,275,000","8,272,000","4,116,000","724,000","409,000","-178,000","-1,053,000","-2,623,000","2,484,000","-537,000","-5,354,000","-2,438,000","-2,217,000","832,000","3,581,000","42,000","-4,196,000","-4,932,000","-5,409,000","-3,644,000","-1,304,000","-7,036,000","-8,481,000","-4,265,000","366,000","791,000","517,000","1,206,000","1,674,000","4,930,000","6,222,000","10,441,000","11,469,000","5,066,000","2,643,000","2,693,000","2,183,000","2,302,000","-1,723,000","-1,951,000","169,000","-801,000","1,652,000","1,943,000","-903,000","2,028,000","2,391,000","-37,712,000","2,083,000","2,833,000","3,706,000","2,505,000","1,541,000","495,000","339,000","-1,787,000","-72,000","362,000","-906,000","-4,985,000","-7,803,000","-5,729,000","-6,374,000","-5,565,000","-4,134,000","-7,642,000","-7,765,000","-2,679,000","175,000","-1,541,000","3,150,000","12,761,000","14,656,000","11,992,000","10,387,000","8,300,000","8,200,000","6,200,000","5,400,000","4,200,000","4,300,000","6,400,000","8,300,000","10,400,000","11,100,000","10,000,000","9,338,000","9,400,000","9,700,000","10,600,000","10,600,000","11,200,000","12,300,000","11,900,000","11,300,000","10,200,000","9,300,000","8,400,000","7,700,000","6,900,000","6,200,000","5,600,000","5,600,000","4,800,000","4,900,000","4,900,000","4,600,000","5,500,000","5,300,000","4,100,000","3,300,000","2,900,000","2,300,000","1,700,000",,,,,,,,,
