name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,12/31/2020
TotalAssets,"476,138,000","503,226,000","509,526,000","526,950,000","40,592,000"
	CurrentAssets,"439,779,000","477,172,000","505,202,000","524,093,000","37,858,000"
		CashCashEquivalentsAndShortTermInvestments,"434,794,000","471,304,000","500,205,000","521,936,000","36,910,000"
			CashAndCashEquivalents,"34,984,000","35,785,000","62,103,000","521,936,000","36,910,000"
			OtherShortTermInvestments,"399,810,000","435,519,000","438,102,000",,"0"
		Receivables,,,,"150,000",
			DuefromRelatedPartiesCurrent,,,,"150,000",
		PrepaidAssets,"4,985,000","5,868,000","4,997,000","2,007,000","948,000"
	TotalNonCurrentAssets,"36,359,000","26,054,000","4,324,000","2,857,000","2,734,000"
		NetPPE,"26,186,000","15,881,000","4,207,000","2,857,000","1,996,000"
			GrossPPE,"30,513,000","19,756,000","8,151,000","6,537,000","5,228,000"
				Properties,"0","0","0",,"0"
				MachineryFurnitureEquipment,"1,258,000","918,000","1,199,000","1,106,000","948,000"
				OtherProperties,"24,244,000","14,438,000","5,885,000","5,322,000","4,245,000"
				ConstructionInProgress,"4,041,000","3,610,000","1,045,000","109,000","35,000"
				Leases,"970,000","790,000","22,000",,"0"
			AccumulatedDepreciation,"-4,327,000","-3,875,000","-3,944,000","-3,680,000","-3,232,000"
		GoodwillAndOtherIntangibleAssets,"9,483,000","9,483,000",,,"0"
			Goodwill,"9,483,000","9,483,000",,,"0"
		OtherNonCurrentAssets,"690,000","690,000","117,000",,"738,000"
TotalLiabilitiesNetMinorityInterest,"34,263,000","26,192,000","15,611,000","23,014,000","4,503,000"
	CurrentLiabilities,"14,045,000","11,528,000","7,196,000","7,864,000","2,754,000"
		PayablesAndAccruedExpenses,"10,607,000","7,966,000","7,136,000","7,842,000","2,175,000"
			Payables,"4,293,000","3,393,000","3,172,000","3,918,000","1,329,000"
				AccountsPayable,"4,293,000","3,393,000","3,172,000","3,032,000","1,329,000"
				DuetoRelatedPartiesCurrent,,,,"886,000",
			CurrentAccruedExpenses,"6,314,000","4,573,000","3,964,000","3,924,000","846,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"2,448,000","2,680,000",,,"511,000"
		CurrentDebtAndCapitalLeaseObligation,"973,000","859,000",,,
			CurrentCapitalLeaseObligation,"973,000","859,000",,,"0"
		OtherCurrentLiabilities,"17,000","23,000","60,000","22,000","68,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"20,218,000","14,664,000","8,415,000","15,150,000","1,749,000"
		LongTermDebtAndCapitalLeaseObligation,"15,386,000","7,219,000",,,"1,749,000"
			LongTermDebt,,,,,"1,749,000"
			LongTermCapitalLeaseObligation,"15,386,000","7,219,000",,,"0"
		DerivativeProductLiabilities,"4,592,000","7,239,000","8,176,000","15,150,000","0"
		OtherNonCurrentLiabilities,"240,000","206,000","239,000",,
TotalEquityGrossMinorityInterest,"441,875,000","477,034,000","493,915,000","503,936,000","36,089,000"
	StockholdersEquity,"441,875,000","477,034,000","493,915,000","503,936,000","36,089,000"
		CapitalStock,"14,000","14,000","14,000","14,000","195,815,000"
			PreferredStock,,"0","0",,"195,814,000"
			CommonStock,"14,000","14,000","14,000","14,000","1,000"
		AdditionalPaidInCapital,"744,268,000","744,252,000","731,711,000","723,641,000","12,517,000"
		RetainedEarnings,"-302,407,000","-267,232,000","-237,810,000","-219,719,000","-172,243,000"
TotalCapitalization,"441,875,000","477,034,000","493,915,000","503,936,000","37,838,000"
PreferredStockEquity,,,,,"195,814,000"
CommonStockEquity,"441,875,000","477,034,000","493,915,000","503,936,000","-159,725,000"
CapitalLeaseObligations,"16,359,000","8,078,000",,,"0"
NetTangibleAssets,"432,392,000","467,551,000","493,915,000","503,936,000","36,089,000"
WorkingCapital,"425,734,000","465,644,000","498,006,000","516,229,000","35,104,000"
InvestedCapital,"441,875,000","477,034,000","493,915,000","503,936,000","-157,976,000"
TangibleBookValue,"432,392,000","467,551,000","493,915,000","503,936,000","-159,725,000"
TotalDebt,"16,359,000","8,078,000",,,"1,749,000"
ShareIssued,"138,909,897","137,962,910","136,655,490","136,400,660","136,400,660"
OrdinarySharesNumber,"138,909,897","137,962,910","136,655,490","136,400,660","136,400,660"
