name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
TotalAssets,"1,036,465,000","1,184,429,000","1,209,634,000","1,133,819,000","1,157,891,000","1,189,728,000","1,116,820,000","920,768,000","820,033,000","920,753,000","873,664,000","801,015,000","779,102,000","766,961,000","691,603,000","596,781,000","649,437,000","691,522,000","610,661,000","544,791,000","514,281,000","507,912,000","458,626,000","416,813,000","490,803,000","521,743,000","489,813,000","484,131,000","457,668,000","493,213,000","460,732,000","443,140,000","411,179,000","416,337,000","404,105,000","396,685,000","347,251,000","356,796,000","350,734,000","333,403,000","325,836,000","332,213,000","301,926,000","273,863,000","265,302,000","254,331,000","228,921,000","212,861,000","197,244,000","199,584,000","182,382,000","165,620,000","162,092,000","163,678,000","173,837,000","147,024,000","146,065,000","169,092,000","146,284,000","125,545,000","116,867,000","135,308,000","136,971,000","109,900,000","119,640,000","124,935,000","59,966,572"
	CurrentAssets,"646,906,000","789,533,000","888,734,000","815,933,000","843,154,000","881,221,000","807,704,000","596,238,000","489,532,000","594,217,000","548,049,000","481,150,000","466,607,000","514,437,000","441,783,000","348,446,000","390,688,000","434,726,000","468,060,000","399,242,000","388,004,000","383,670,000","341,908,000","295,732,000","359,872,000","389,349,000","376,526,000","368,073,000","340,484,000","374,859,000","343,651,000","325,997,000","294,611,000","300,661,000","286,763,000","279,429,000","228,288,000","237,558,000","296,873,000","276,685,000","266,203,000","284,180,000","253,280,000","223,439,000","215,884,000","206,593,000","184,460,000","170,856,000","156,606,000","159,011,000","145,596,000","127,440,000","123,562,000","123,995,000","133,034,000","101,980,000","105,851,000","146,605,000","133,164,000","113,417,000","105,609,000","124,607,000","128,909,000","102,567,000","112,596,000","117,969,000","53,949,996"
		CashCashEquivalentsAndShortTermInvestments,"113,499,000","234,501,000","247,921,000","415,841,000","500,754,000","483,716,000","357,336,000","242,294,000","263,527,000","256,424,000","91,072,000","156,779,000","200,457,000","161,978,000","135,116,000","127,334,000","184,461,000","165,860,000","278,228,000","260,112,000","275,670,000","254,453,000","202,731,000","173,293,000","246,736,000","213,039,000","212,221,000","223,843,000","220,917,000","222,123,000","186,760,000","182,704,000","185,364,000","187,358,000","156,679,000","152,871,000","137,445,000","139,200,000","189,719,000","176,724,000","182,075,000","184,119,000","145,324,000","122,541,000","124,305,000","122,311,000","107,179,000","98,767,000","85,349,000","76,815,000","62,747,000","50,989,000","54,737,000","40,852,000","26,712,000","15,960,000","22,861,000","43,285,000","49,500,000","70,261,000","69,797,000","70,383,000","72,168,000","75,132,000","82,056,000","76,064,000","9,217,294"
			CashAndCashEquivalents,"112,038,000","201,457,000","218,012,000","415,841,000","500,754,000","432,635,000","297,206,000","230,734,000","248,768,000","239,392,000","70,542,000","132,795,000","173,094,000","130,373,000","100,122,000","88,783,000","144,501,000","128,635,000","241,786,000","220,173,000","235,728,000","214,523,000","164,552,000","138,466,000","215,990,000","179,915,000","176,430,000","186,616,000","183,661,000","185,957,000","148,424,000","147,718,000","154,824,000","165,404,000","139,731,000","133,857,000","123,576,000","126,770,000","169,658,000","156,543,000","166,798,000","166,308,000","131,662,000","108,725,000","107,999,000","108,383,000","90,603,000","75,810,000","62,857,000","71,856,000","62,747,000","50,989,000","54,737,000","40,852,000","10,515,000","14,760,000","22,861,000","26,735,000","23,200,000","10,261,000","9,397,000","5,583,000","8,318,000","7,732,000","11,931,000","76,064,000","9,217,294"
			OtherShortTermInvestments,"1,461,000","33,044,000","29,909,000","0","0","51,081,000","60,130,000","11,560,000","14,759,000","17,032,000","20,530,000","23,984,000","27,363,000","31,605,000","34,994,000","38,551,000","39,960,000","37,225,000","36,442,000","39,939,000","39,942,000","39,930,000","38,179,000","34,827,000","30,746,000","33,124,000","35,791,000","37,227,000","37,256,000","36,166,000","38,336,000","34,986,000","30,540,000","21,954,000","16,948,000","19,014,000","13,869,000","12,430,000","20,061,000","20,181,000","15,277,000","17,811,000","13,662,000","13,816,000","16,306,000","13,928,000","16,576,000","22,957,000","22,492,000","4,959,000",,,,,"16,197,000","1,200,000",,"16,550,000","26,300,000","60,000,000","60,400,000","64,800,000","63,850,000","67,400,000","70,125,000",,
		Receivables,"105,573,000","160,642,000","240,722,000","74,759,000","67,918,000","170,526,000","179,709,000","128,334,000","37,013,000","146,161,000","169,562,000","90,401,000","54,496,000","162,166,000","109,583,000","75,127,000","69,532,000","142,829,000","78,624,000","41,672,000","47,892,000","73,048,000","67,751,000","59,330,000","28,636,000","105,131,000","76,894,000","66,478,000","38,338,000","73,670,000","69,526,000","54,742,000","37,471,000","40,204,000","55,583,000","52,155,000","29,532,000","30,609,000","55,072,000","41,600,000","31,147,000","45,700,000","49,299,000","42,563,000","35,543,000","38,068,000","27,794,000","27,133,000","26,079,000","35,171,000","43,934,000","31,291,000","23,192,000","35,930,000","48,593,000","26,443,000","21,923,000","49,925,000","37,914,000","19,168,000","17,780,000","30,471,000","31,756,000","9,323,000","12,465,000","24,469,000","28,757,559"
			AccountsReceivable,"105,573,000","160,642,000","240,722,000","74,759,000","67,918,000","170,526,000","179,709,000","128,334,000","37,013,000","146,161,000","169,562,000","90,401,000","54,496,000","162,166,000","109,583,000","75,127,000","69,532,000","142,829,000","76,956,000","37,510,000","47,780,000","72,909,000","67,612,000","59,191,000","28,497,000","104,679,000","76,314,000","65,593,000","37,705,000","71,056,000","68,347,000","53,880,000","36,540,000","39,348,000","54,027,000","51,104,000","27,280,000","29,413,000","53,379,000","39,527,000","29,907,000","43,338,000","41,400,000","34,529,000","27,609,000","34,056,000","27,794,000","27,133,000","26,079,000","35,171,000","43,934,000","31,291,000","23,192,000","35,930,000","48,593,000","26,443,000","21,923,000","49,925,000","37,914,000","19,168,000","17,780,000","30,471,000","31,756,000","9,323,000","12,465,000","23,045,000","27,796,420"
				GrossAccountsReceivable,,,,,,,,,,"246,161,000",,,,,,,,,,,"47,810,000","72,938,000","67,641,000","59,220,000","28,526,000","104,712,000","76,380,000","65,660,000","37,772,000","71,123,000","68,414,000","53,947,000","36,607,000","39,415,000","54,108,000","51,185,000","27,391,000","29,524,000","53,464,000","39,612,000","29,992,000",,"41,488,000","34,617,000",,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,"-100,000,000",,,,,,,,,,,"-30,000","-29,000","-29,000","-29,000","-29,000","-33,000","-66,000","-67,000","-67,000","-67,000","-67,000","-67,000","-67,000","-67,000","-81,000","-81,000","-111,000","-111,000","-85,000","-85,000","-85,000",,"-88,000","-88,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,"1,668,000","4,162,000","112,000","139,000","139,000","139,000","139,000","452,000","580,000","885,000","633,000","2,614,000","1,179,000","862,000","931,000","856,000","1,556,000","1,051,000","2,252,000","1,196,000","1,693,000","2,073,000","1,240,000","2,362,000","7,899,000","8,034,000","7,934,000","4,012,000","2,534,000","2,313,000","3,291,000",,,,,,,,,,,,,,,,,"1,424,000","961,139"
		Inventory,"331,085,000","333,296,000","353,724,000","276,517,000","233,113,000","181,756,000","218,134,000","133,055,000","147,249,000","157,347,000","248,303,000","192,010,000","181,128,000","164,633,000","160,752,000","115,377,000","112,111,000","106,932,000","92,813,000","83,247,000","57,125,000","50,578,000","61,069,000","46,899,000","52,764,000","61,678,000","58,665,000","45,977,000","49,698,000","47,857,000","54,148,000","50,796,000","41,390,000","46,107,000","48,853,000","41,560,000","32,160,000","36,965,000","32,592,000","34,597,000","31,681,000","31,089,000","31,989,000","34,202,000","35,071,000","27,160,000","33,969,000","30,684,000","29,868,000","32,406,000","24,653,000","28,638,000","30,742,000","34,560,000","42,596,000","43,288,000","46,216,000","45,222,000","43,711,000","22,008,000","16,199,000","20,890,000","23,824,000","16,843,000","16,674,000","15,903,000","14,321,756"
			RawMaterials,,,,,,,"479,000","198,000","182,000","2,825,000","2,801,000","2,922,000","2,910,000","2,992,000","3,998,000","3,822,000","3,853,000","4,036,000","2,928,000","2,855,000","2,838,000","4,717,000","4,021,000","5,042,000","7,149,000","9,082,000","7,780,000","7,580,000","8,150,000","9,455,000","8,777,000","7,962,000","8,692,000","8,520,000","5,754,000","4,492,000","5,490,000","8,849,000","7,104,000","8,352,000","8,282,000","7,769,000","6,348,000","7,946,000","8,176,000","6,723,000","7,055,000","5,771,000","6,914,000","3,735,000","3,435,000","4,483,000","4,125,000","3,443,000","4,006,000","3,878,000","2,772,000","1,641,000","1,820,000","1,839,000","1,445,000","1,248,000","1,906,000","1,772,000","1,331,000","990,000","968,551"
			WorkInProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","59,000","60,000",,"6,000",,"0","21,000","28,000","44,000","27,000","590,000","232,000","10,000","687,000","1,029,000","1,327,000","1,246,000","746,000","1,000,000","540,000","473,000","517,000","868,000","570,000","113,000","311,000","93,000",,,"15,000",
