name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991
TotalRevenue,"1,924,800,000","519,100,000","476,900,000","473,200,000","455,600,000","452,600,000","431,800,000","388,300,000","357,200,000","417,500,000","440,200,000","449,300,000","463,800,000","437,700,000","447,500,000","464,100,000","464,700,000","431,300,000","432,200,000","424,400,000","414,100,000","405,000,000","401,300,000","399,500,000","427,000,000","410,200,000","430,000,000","451,000,000","463,400,000","453,300,000","516,000,000","543,500,000","421,100,000","244,396,000","256,632,000","254,192,000","256,844,000","251,289,000","244,166,000","250,346,000","253,969,000","257,138,000","251,742,000","262,192,000","268,399,000","262,520,000","243,315,000","249,812,000","255,770,000","253,457,000","256,208,000","234,256,000","208,598,000","208,259,000","239,981,000","294,917,000","299,794,000","277,520,000","250,484,000","274,221,000","279,475,000","273,541,000","261,457,000","265,324,000","266,486,000","266,040,000","253,458,000","246,830,000","244,734,000","250,816,000","248,478,000","236,424,000","229,292,000","209,473,000","211,685,000","198,234,000","202,374,000","201,450,000","194,718,000","192,134,000","186,828,000","179,000,000","174,795,000","174,911,000","170,738,000","163,975,000","190,093,000","160,938,000","165,231,000","154,655,000","170,300,000","159,800,000","158,800,000","148,600,000","155,200,000","154,100,000","155,800,000","144,100,000","157,900,000","155,000,000","151,800,000","137,600,000","143,300,000","144,100,000","140,500,000","128,100,000","129,900,000","135,800,000","138,600,000","120,200,000","123,900,000","119,800,000","121,000,000","107,900,000","112,100,000","108,300,000","109,300,000","98,600,000","104,200,000","98,000,000","99,500,000","92,300,000","96,200,000","89,800,000","87,800,000","85,600,000"
	OperatingRevenue,"1,924,800,000","519,100,000","476,900,000","473,200,000","455,600,000","452,600,000","431,800,000","388,300,000","357,200,000","417,500,000","440,200,000","449,300,000","463,800,000","437,700,000","447,500,000","464,100,000","464,700,000","431,300,000","432,200,000","424,400,000","414,100,000","405,000,000","401,300,000","399,500,000","427,000,000","410,200,000","430,000,000","451,000,000","463,400,000","453,300,000","516,000,000","543,500,000","421,100,000","244,396,000","256,632,000","254,192,000","256,844,000","251,289,000","244,166,000","250,346,000","253,969,000","257,138,000","251,742,000","262,192,000","268,399,000","262,520,000","243,315,000","249,812,000","255,770,000","253,457,000","256,208,000","234,256,000","208,598,000","208,259,000","239,981,000","294,917,000","299,794,000","277,520,000","250,484,000","274,221,000","279,475,000","273,541,000","261,457,000","265,324,000","266,486,000","266,040,000","253,458,000","246,830,000","244,734,000","250,816,000","248,478,000","236,424,000","229,292,000","209,473,000","211,685,000","198,234,000","202,374,000","201,450,000","194,718,000","192,134,000","186,828,000","179,000,000","174,795,000","174,911,000","170,738,000","163,975,000","190,093,000","160,938,000","165,231,000","154,655,000","170,300,000","159,800,000","158,800,000","148,600,000","155,200,000","154,100,000","155,800,000","144,100,000","157,900,000","155,000,000","151,800,000","137,600,000","143,300,000","144,100,000","140,500,000","128,100,000","129,900,000","135,800,000","138,600,000","120,200,000","123,900,000","119,800,000","121,000,000","107,900,000","112,100,000","108,300,000","109,300,000","98,600,000","104,200,000","98,000,000","99,500,000","92,300,000","96,200,000","89,800,000","87,800,000","85,600,000"
CostOfRevenue,"1,468,400,000","397,400,000","370,900,000","359,900,000","340,200,000","340,800,000","320,500,000","289,900,000","268,300,000","310,700,000","332,500,000","338,100,000","351,800,000","328,000,000","334,700,000","344,900,000","348,800,000","317,800,000","317,600,000","305,200,000","294,400,000","291,300,000","289,900,000","284,300,000","305,900,000","297,500,000","320,600,000","332,100,000","337,200,000","336,700,000","383,600,000","398,500,000","318,400,000","189,084,000","197,639,000","194,272,000","197,995,000","196,401,000","191,070,000","195,347,000","197,627,000","202,201,000","199,072,000","209,282,000","214,725,000","209,578,000","192,713,000","197,634,000","200,725,000","202,089,000","210,030,000","190,266,000","176,192,000","175,015,000","201,959,000","235,482,000","237,512,000","216,785,000","185,582,000","220,091,000","220,837,000","218,626,000","207,862,000","207,442,000","210,527,000","212,184,000","202,716,000","195,767,000","193,339,000","192,985,000","192,932,000","181,295,000","174,998,000","159,807,000","160,940,000","150,748,000","152,378,000","151,683,000","148,162,000","145,737,000","140,662,000","133,424,000","127,974,000","128,820,000","125,255,000","120,476,000","131,385,000","96,325,000","97,180,000","91,827,000","100,200,000","96,100,000","94,400,000","89,200,000","92,300,000","91,200,000","93,900,000","86,100,000","98,100,000","95,000,000","93,600,000","85,000,000","89,500,000","90,300,000","88,000,000","82,400,000","81,800,000","87,600,000","89,400,000","76,500,000","78,800,000","75,100,000","77,400,000","68,200,000","69,500,000","76,400,000","69,400,000","70,800,000",,,,,,,,
GrossProfit,"456,400,000","121,700,000","106,000,000","113,300,000","115,400,000","111,800,000","111,300,000","98,400,000","88,900,000","106,800,000","107,700,000","111,200,000","112,000,000","109,700,000","112,800,000","119,200,000","115,900,000","113,500,000","114,600,000","119,200,000","119,700,000","113,700,000","111,400,000","115,200,000","121,100,000","112,700,000","109,400,000","118,900,000","126,200,000","116,600,000","132,400,000","145,000,000","102,700,000","55,312,000","58,993,000","59,920,000","58,849,000","54,888,000","53,096,000","54,999,000","56,342,000","54,937,000","52,670,000","52,910,000","53,674,000","52,942,000","50,602,000","52,178,000","55,045,000","51,368,000","46,178,000","43,990,000","32,406,000","33,244,000","38,022,000","59,435,000","62,282,000","60,735,000","64,902,000","54,130,000","58,638,000","54,915,000","53,595,000","57,882,000","55,959,000","53,856,000","50,742,000","51,063,000","51,395,000","57,831,000","55,546,000","55,129,000","54,294,000","49,666,000","50,745,000","47,486,000","49,996,000","49,767,000","46,556,000","46,397,000","46,166,000","45,576,000","46,821,000","46,091,000","45,483,000","43,499,000","58,708,000","64,613,000","68,051,000","62,828,000","70,100,000","63,700,000","64,400,000","59,400,000","62,900,000","62,900,000","61,900,000","58,000,000","59,800,000","60,000,000","58,200,000","52,600,000","53,800,000","53,800,000","52,500,000","45,700,000","48,100,000","48,200,000","49,200,000","43,700,000","45,100,000","44,700,000","43,600,000","39,700,000","42,600,000","31,900,000","39,900,000","27,800,000",,,,,,,,
OperatingExpense,"206,600,000","53,900,000","51,300,000","50,100,000","51,300,000","53,000,000","54,100,000","46,900,000","46,900,000","48,500,000","54,700,000","52,100,000","53,300,000","47,700,000","48,700,000","50,400,000","51,700,000","50,500,000","54,200,000","51,500,000","50,200,000","50,200,000","51,100,000","48,300,000","51,200,000","52,600,000","50,500,000","56,100,000","53,900,000","53,300,000","58,300,000","68,200,000","53,600,000","26,627,000","25,529,000","27,163,000","26,470,000","27,752,000","27,371,000","27,151,000","26,866,000","27,945,000","27,507,000","27,276,000","28,607,000","27,998,000","27,845,000","27,222,000","27,520,000","27,464,000","28,924,000","29,730,000","26,955,000","25,407,000","28,703,000","31,442,000","32,604,000","32,160,000","-18,577,000","174,238,000","34,375,000","35,031,000","32,979,000","33,436,000","35,102,000","34,892,000","32,920,000","31,924,000","30,585,000","33,772,000","32,770,000","30,661,000","30,957,000","29,028,000","33,901,000","27,947,000","28,397,000","27,222,000","29,731,000","24,768,000","25,182,000","24,140,000","24,991,000","24,034,000","24,896,000","24,013,000","43,240,000","40,370,000","41,591,000","39,293,000","43,100,000","38,400,000","40,200,000","38,500,000","39,700,000","38,100,000","38,500,000","37,000,000","38,900,000","38,100,000","38,100,000","35,500,000","34,900,000","35,300,000","35,600,000","32,600,000","33,300,000","32,600,000","34,100,000","30,400,000","31,200,000","30,600,000","30,400,000","28,300,000","30,000,000","19,900,000","28,300,000","17,500,000",,,,,,,,
	SellingGeneralAndAdministration,"187,000,000","48,800,000","46,300,000","45,500,000","46,400,000","48,000,000","49,200,000","42,100,000","41,800,000","43,400,000","49,300,000","46,900,000","48,400,000","42,900,000","43,500,000","45,400,000","45,300,000","44,400,000","48,300,000","45,600,000","44,100,000","44,400,000","45,200,000","42,400,000","45,100,000","46,700,000","42,700,000","47,900,000","46,200,000","45,500,000","50,000,000","59,700,000","46,300,000","21,533,000","20,422,000","21,861,000","21,644,000","22,934,000","22,377,000","22,046,000","21,840,000","22,898,000","22,666,000","22,553,000","23,710,000","23,129,000","22,955,000","22,587,000","22,592,000","22,340,000","23,355,000","24,583,000","22,591,000","20,546,000","23,218,000","26,009,000","26,590,000","26,040,000","24,256,000","26,040,000","27,010,000","27,343,000","25,699,000","25,780,000","27,241,000","27,673,000","25,967,000","24,544,000","23,263,000","26,618,000","24,960,000","23,670,000","23,579,000","22,211,000","24,263,000","21,854,000","21,862,000","21,137,000","23,117,000","19,464,000","19,357,000","18,436,000","19,123,000","18,376,000","18,800,000","18,126,000","21,084,000","17,588,000","20,340,000","18,356,000","20,500,000","18,300,000","19,300,000","18,400,000","21,000,000","19,500,000","19,800,000","18,900,000","20,300,000","19,500,000","19,000,000","18,400,000","18,100,000","18,200,000","19,100,000","17,100,000","18,300,000","17,300,000","18,400,000","16,400,000","22,400,000","21,300,000","21,100,000","19,900,000","21,700,000","19,900,000","20,000,000","17,500,000",,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,300,000",,,,"-2,491,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-2,300,000",,,"0","-2,491,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,"46,300,000",,"46,400,000",,,,,"43,400,000","49,300,000","46,900,000","48,400,000","42,900,000","43,500,000","45,400,000","45,300,000","44,400,000","48,300,000","45,600,000","44,100,000","44,400,000","45,200,000","42,400,000","45,100,000","46,700,000","42,700,000","47,900,000","46,200,000","45,500,000","50,000,000","59,700,000","46,300,000","21,533,000","22,913,000","21,861,000","21,644,000","22,934,000","22,377,000",,,,,,,"23,129,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"19,600,000","5,100,000","5,000,000","4,600,000","4,900,000","5,000,000","4,900,000","4,800,000","5,100,000","5,100,000","5,400,000","5,200,000","4,900,000","4,800,000","5,200,000","5,000,000","6,400,000","6,100,000","5,900,000","5,900,000","6,100,000","5,800,000","5,900,000","5,900,000","6,100,000","5,900,000","5,800,000","6,200,000","5,800,000","5,900,000","6,400,000","6,600,000","6,300,000","5,094,000","5,107,000","5,302,000","4,826,000","4,818,000","4,994,000","5,105,000","5,026,000","5,047,000","4,841,000","4,723,000","4,897,000","4,869,000","4,890,000","4,635,000","4,928,000","5,124,000","5,569,000","5,147,000","4,364,000","4,861,000","5,485,000","5,433,000","6,014,000","6,120,000","4,045,000","7,250,000","7,365,000","7,688,000","7,280,000","7,656,000","7,861,000","7,219,000","7,206,000","7,380,000","7,322,000","7,154,000","7,810,000","6,991,000","7,378,000","6,817,000","6,436,000","6,093,000","6,535,000","6,085,000","5,864,000","5,304,000","5,825,000","5,704,000","5,868,000","5,658,000","6,096,000","5,887,000","7,262,000","6,605,000","6,574,000","5,890,000","6,800,000","6,000,000","6,200,000","6,000,000","5,700,000","5,100,000","5,300,000","4,900,000","5,200,000","5,000,000","5,200,000","5,000,000","5,000,000","4,900,000","5,000,000","4,800,000","4,800,000","5,000,000","5,100,000","4,800,000",,,,,,,,,,,,,,,,
