name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016
OperatingCashFlow,"-268,559,000","-100,087,000","-91,894,000","36,599,000","-113,177,000","-92,943,000","574,147,000","-48,592,000","-61,984,000","-19,229,000","-66,795,000","-68,337,000","-66,811,000","-53,108,000","-62,099,000","-64,126,000","-44,755,000","-34,989,000","-30,905,000","-24,804,000","-26,557,000","-10,665,000","-6,863,000","-687,000","0"
	CashFlowFromContinuingOperatingActivities,"-268,559,000","-100,087,000","-91,894,000","36,599,000","-113,177,000","-92,943,000","574,147,000","-48,592,000","-61,984,000","-19,229,000","-66,795,000","-68,337,000","-66,811,000","-53,108,000","-62,099,000","-64,126,000","-44,755,000","-34,989,000","-30,905,000","-24,804,000","-26,557,000","-10,665,000","-6,863,000","-687,000","0"
		NetIncomeFromContinuingOperations,"-205,981,000","-59,285,000","-63,445,000","-21,591,000","-61,660,000","-81,363,000","-73,849,000","-67,062,000","-32,860,000","-64,913,000","-85,604,000","-70,568,000","-67,904,000","-75,014,000","-70,633,000","-65,770,000","-62,134,000","-48,253,000","-41,777,000","-29,908,000","-23,317,000","-21,674,000","-8,083,000","-34,712,511","-18,970,489"
		OperatingGainsLosses,,,,,,"2,000","-5,891,000","-6,718,000","-3,569,000","0",,,,"1,032,000","-150,000","-72,000","425,000","115,000","-379,000","-116,000","264,000","-1,157,000","-1,002,000","27,984,457","1,832,543"
			NetForeignCurrencyExchangeGainLoss,"0","0","0","0","0","2,000","-5,891,000","-6,718,000","-3,569,000",,,,,"1,032,000","-150,000","-72,000","425,000","115,000","-379,000","-116,000","264,000",,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,"-1,297,000","-1,002,000","27,984,457","1,832,543"
		DepreciationAmortizationDepletion,"3,072,000","760,000","776,000","812,000","724,000","692,000","641,000","595,000","551,000","529,000","510,000","370,000","356,000","140,000","107,000","100,000","91,000","76,000","63,000","54,000","50,000","52,000","8,000",,
			DepreciationAndAmortization,"3,072,000","760,000","776,000","812,000","724,000","692,000","641,000","595,000","551,000","529,000","510,000","370,000","356,000","140,000","107,000","100,000","91,000","76,000","63,000","54,000","50,000","52,000","8,000",,
				Depreciation,"3,072,000","760,000",,,,,,,,,,,,"140,000","107,000","100,000","91,000","76,000","63,000","54,000","50,000","52,000","8,000",,
		StockBasedCompensation,"38,928,000","8,604,000","7,199,000","11,863,000","11,262,000","31,930,000","7,010,000","6,924,000","7,812,000","6,073,000","19,795,000","7,931,000","6,452,000","4,933,000","4,794,000","4,725,000","4,244,000","3,340,000","3,293,000","2,749,000","2,201,000","1,936,000","2,010,000","2,150,498","2,620,502"
		OtherNonCashItems,"2,423,000","596,000","617,000","609,000","601,000","594,000","185,000","299,000","94,000","-806,000","-414,000","884,000","-158,000","110,000","826,000","641,000","507,000","272,000",,,,"0","0","0","13,117,000"
		ChangeInWorkingCapital,"-107,001,000","-50,762,000","-37,041,000","44,906,000","-64,104,000","-44,798,000","646,051,000","17,370,000","-34,012,000","39,888,000","-5,933,000","-6,954,000","-5,557,000","15,691,000","2,957,000","-3,750,000","12,112,000","9,461,000","7,505,000","2,417,000","-5,755,000","10,178,000","204,000","3,889,556","1,400,444"
			ChangeInReceivables,"-20,306,000","-4,416,000","-5,058,000","96,206,000","-107,038,000","-3,570,000","0","0","0","0","17,000","314,000","193,000","243,000","0","88,000","145,000","-393,000",,,,"-90,000",,,
				ChangesInAccountReceivables,"-19,726,000","-4,386,000","-4,508,000","-3,794,000","-7,038,000",,,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"-4,973,000","-847,000","-596,000","-1,969,000","-1,561,000",,,,,,,,,,,,,,,,,,,,
			ChangeInPrepaidAssets,"-8,962,000","-1,703,000","-2,845,000","-498,000","-3,916,000","-5,356,000","-2,568,000","3,758,000","-1,101,000","3,817,000","-2,117,000","-1,276,000","1,501,000","2,180,000","-3,995,000","-2,677,000","-563,000","140,000","-1,541,000","1,444,000","-1,961,000","-2,068,000","-1,115,000",,
			ChangeInPayablesAndAccruedExpense,"48,824,000","5,071,000","33,756,000","11,780,000","-1,783,000","7,538,000","8,929,000","14,101,000","-10,077,000","-7,438,000","1,142,000","-6,299,000","-8,827,000","11,521,000","6,632,000","-1,173,000","11,766,000","10,495,000","9,397,000","-111,000","-1,033,000","12,331,000","1,334,000","4,027,556","1,400,444"
				ChangeInPayable,"24,842,000","-5,100,000","21,667,000","8,384,000","-109,000","7,288,000","4,693,000","2,904,000","-9,946,000","8,717,000","527,000","-4,110,000","-940,000","5,603,000","-3,400,000","-1,237,000","3,636,000","764,000","3,128,000","-3,366,000","-347,000","576,000","1,334,000","4,027,556","1,400,444"
					ChangeInTaxPayable,,,,,,,,,,,,,,,,,,,,"-265,000","826,000",,,"-2,054","3,054"
