name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994,05/31/1994,02/28/1994,11/30/1993,08/31/1993,05/31/1993,02/28/1993,11/30/1992,08/31/1992,05/31/1992,02/29/1992,11/30/1991,08/31/1991
		OtherNonCashItems,"11,358,000","2,453,000","2,734,000","2,639,000","3,532,000","2,957,000","3,219,000","3,150,000","4,158,000","2,356,000","2,021,000","2,195,000","-4,140,000","1,838,000","1,804,000","1,864,000","121,202,000","1,931,000","1,928,000","1,999,000","-15,194,000","1,854,000","1,998,000","1,950,000","-50,148,000","1,869,000","1,812,000","1,726,000","1,956,000","1,356,000","1,397,000","1,521,000","1,961,000","1,637,000","1,547,000","1,711,000","2,382,000","1,952,000","3,905,000","1,941,000","2,640,000","-352,629,000","3,573,000","1,738,000","2,902,000","2,162,000","2,173,000","1,725,000","1,990,000","1,506,000","1,510,000","1,489,000",,,"1,698,000","3,556,000","1,029,000","3,043,000","3,624,000","2,387,000","3,436,000","1,914,000","-1,915,000","-1,496,000",,,,,,,,,,,,,,"2,021,000",,,,"9,081,000",,,,,,,,"2,397,000","9,300,000","900,000","-1,000,000","-7,800,000","22,400,000","-13,500,000","600,000","-17,800,000","2,100,000","-5,700,000","15,500,000","-8,300,000","800,000","-10,900,000","3,600,000","-8,700,000","10,500,000","-5,300,000","14,300,000","-8,100,000","-1,400,000","-2,800,000",,,,,,,,,,,,"-100,000",
		ChangeInWorkingCapital,"316,208,000","88,146,000","-251,695,000","88,075,000","391,682,000","475,660,000","-88,888,000","127,554,000","507,654,000","191,247,000","-208,756,000","-7,117,000","132,284,000","-42,979,000","-23,155,000","-4,487,000","168,633,000","35,171,000","-230,154,000","184,387,000","-36,381,000","22,772,000","-161,398,000","37,945,000","16,887,000","137,088,000","-102,184,000","10,762,000","-13,260,000","152,797,000","-156,108,000","76,233,000","-95,962,000","117,496,000","-85,875,000","76,787,000","39,816,000","78,769,000","54,197,000","80,394,000","26,491,000","47,133,000","4,208,000","98,138,000","-22,251,000","188,951,000","-103,384,000","137,730,000","132,842,000","146,158,000","-42,645,000","35,161,000","62,755,000","162,004,000","-163,325,000","-35,798,000","75,313,000","-9,418,000","-29,881,000","-3,586,000","63,618,000","15,191,000","30,304,000","-45,591,000","78,650,000","67,180,000","-57,480,000","-18,970,000","-32,201,000","147,147,000","-169,172,000","-41,641,000","27,716,000","-23,306,000","-54,072,000","-16,025,000","52,551,000","93,611,000","6,329,000","-184,691,000","64,125,000","148,825,000","24,064,000","-114,968,000","63,303,000","118,684,000","-96,572,000","-56,673,000","127,710,000","11,372,000","-3,000,000","-60,900,000","-20,200,000","23,600,000","-87,100,000","-25,200,000","72,500,000","39,900,000","-64,600,000","-4,900,000","19,500,000","13,500,000","-85,700,000","-31,900,000","-2,900,000","-6,100,000","-67,900,000","14,900,000","9,000,000","18,600,000","-37,000,000","7,600,000","-18,900,000","15,300,000","-26,600,000","8,800,000","11,700,000","14,800,000","-20,100,000","8,300,000","11,400,000","7,900,000","4,500,000","10,200,000","22,300,000"
			ChangeInReceivables,"-80,735,000","-33,976,000","-25,809,000","-1,576,000","-19,374,000","-7,656,000","-1,500,000","17,491,000","-95,407,000","65,740,000","-5,651,000","-23,246,000","-26,896,000","16,722,000","-22,000,000","-16,338,000","3,280,000","7,393,000","-9,810,000","6,671,000","-3,040,000","-27,862,000","23,762,000","14,935,000","6,062,000","2,578,000","-50,175,000","88,000","-41,861,000","-15,982,000","-2,131,000","23,508,000","-10,206,000","676,000","-17,192,000","-1,241,000","-17,347,000","4,782,000","4,369,000","-12,362,000","-27,832,000","10,352,000","-3,796,000","4,856,000","-4,733,000","4,031,000","-23,525,000","9,622,000","-4,525,000","26,156,000","-4,705,000","-16,144,000","13,514,000","-14,736,000","-58,655,000","3,054,000","3,944,000","-9,695,000","-11,370,000","5,976,000","-7,134,000","7,173,000","13,917,000","6,531,000","22,237,000","21,667,000","-10,506,000","4,502,000","2,719,000","-13,487,000","-29,461,000","-2,256,000","4,522,000","2,913,000","-12,320,000","-21,216,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ChangesInAccountReceivables,"-80,735,000","-33,976,000","-25,809,000","-1,576,000","-19,374,000","-7,656,000","-1,500,000","17,491,000","-95,407,000","65,740,000","-5,651,000","-23,246,000","-26,896,000","16,722,000","-22,000,000","-16,338,000","3,280,000","7,393,000","-9,810,000","6,671,000","-3,040,000","-27,862,000","23,762,000","14,935,000","6,062,000","2,578,000","-50,175,000","88,000","-41,861,000","-15,982,000","-2,131,000","23,508,000","-10,206,000","676,000","-17,192,000","-1,241,000","-17,347,000","4,782,000","4,369,000","-12,362,000","-27,832,000","10,352,000","-3,796,000","4,856,000","-4,733,000","4,031,000","-23,525,000","9,622,000","-4,525,000","26,156,000","-4,705,000","-16,144,000","13,514,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"-647,333,000","-277,628,000","-256,471,000","-136,988,000","23,754,000","67,271,000","-104,796,000","-124,746,000","-8,890,000","86,950,000","-129,028,000","-133,206,000","-9,264,000","-20,491,000","-196,938,000","-167,454,000","66,330,000","14,098,000","-117,814,000","-151,396,000","-3,179,000","57,293,000","-130,003,000","-160,918,000","-41,786,000","7,644,000","-102,956,000","-90,420,000","27,554,000","-16,476,000","-193,356,000","-84,498,000","-9,033,000","-39,137,000","-145,035,000","-83,629,000","-77,787,000","-31,882,000","-123,177,000","-74,808,000","1,664,000","-56,128,000","-113,450,000","-75,122,000","18,717,000","-69,368,000","-55,467,000","-49,303,000","-16,900,000","-26,617,000","1,858,000","-54,418,000","31,710,000","-50,026,000","-4,193,000","-53,828,000","-38,798,000","-37,990,000","-16,959,000","-44,094,000","-28,192,000","-68,389,000","-27,501,000","-36,698,000","-93,963,000","-30,006,000","-41,666,000","-17,155,000","-26,728,000","-58,388,000","32,151,000","-71,601,000","-86,228,000","-57,149,000","32,095,000","-8,257,000","-13,673,000","-7,471,000","-5,473,000","-109,115,000","-84,396,000","-17,768,000","16,555,000","-82,541,000","-58,200,000","-55,781,000","20,838,000","-71,021,000","24,204,000","14,211,000","33,400,000","-51,100,000","-39,500,000","-95,700,000","-28,000,000","-38,400,000","-12,100,000","-24,800,000","5,000,000","-15,400,000","41,100,000","-86,400,000","-53,700,000","-54,600,000","-24,700,000","-41,700,000","-65,500,000","-26,800,000","-16,900,000","-3,400,000","-25,700,000","-15,700,000","-13,000,000","-28,600,000","-22,800,000","-9,600,000","-9,000,000","-36,500,000","-13,100,000","-3,200,000","15,000,000","-4,400,000","-12,900,000","9,700,000","30,200,000"
			ChangeInPayablesAndAccruedExpense,"1,070,442,000","377,503,000","94,928,000","196,679,000","401,332,000","430,327,000","91,889,000","135,831,000","588,062,000","15,546,000","-99,965,000","117,660,000","183,473,000","-18,456,000","157,134,000","131,536,000","121,316,000","-13,080,000","-103,366,000","308,301,000","-29,535,000","988,000","-65,381,000","172,883,000","60,862,000","123,078,000","43,084,000","94,296,000","13,900,000","168,411,000","31,829,000","151,867,000","-51,435,000","149,304,000","57,886,000","175,891,000","162,107,000","100,878,000","154,953,000","159,508,000","58,873,000","87,681,000","107,606,000","158,208,000","-11,836,000","247,511,000","-26,420,000","167,890,000","174,066,000","131,033,000","-37,115,000","93,612,000","30,273,000","188,356,000","-1,916,000","-47,291,000","182,952,000","17,845,000","-1,990,000","-23,074,000","186,820,000","25,515,000","24,016,000","-50,123,000","280,718,000","4,884,000","-77,595,000","-23,021,000","43,593,000","184,520,000","-159,341,000","40,569,000","82,973,000","37,580,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,200,000","22,000,000","-11,300,000","23,300,000","-13,700,000","48,400,000","-2,100,000","20,300,000","17,600,000","55,000,000","-4,900,000","11,300,000","-4,100,000","13,500,000","16,200,000","3,000,000","-18,000,000"
				ChangeInPayable,"1,070,442,000","377,503,000","94,928,000","196,679,000","401,332,000","430,327,000","91,889,000","135,831,000","588,062,000","15,546,000","-99,965,000","117,660,000","183,473,000","-18,456,000","157,134,000","131,536,000","121,316,000","-13,080,000","-103,366,000","308,301,000","-29,535,000","988,000","-65,381,000","172,883,000","60,862,000","123,078,000","43,084,000","94,296,000","13,900,000","168,411,000","31,829,000","151,867,000","-51,435,000","149,304,000","57,886,000","175,891,000","162,107,000","100,878,000","154,953,000","159,508,000","58,873,000","87,681,000","107,606,000","158,208,000","-11,836,000","247,511,000","-26,420,000","167,890,000","174,066,000","131,033,000","-37,115,000","93,612,000","30,273,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,"20,361,000","1,109,000","-94,637,000","107,411,000","6,478,000","11,809,000","-68,378,000","79,558,000","77,838,000","1,210,000","-58,266,000","69,390,000","-21,074,000","-21,116,000","-32,073,000","63,774,000","-24,938,000","25,467,000","-130,259,000","123,292,000","-97,137,000","10,858,000","-12,903,000","95,523,000","-70,207,000","55,107,000","-8,735,000","73,957,000","-46,803,000","41,516,000","-3,406,000","83,180,000","-96,370,000","44,242,000","14,045,000","84,638,000","-38,623,000","14,114,000","85,512,000","86,914,000","-35,684,000","33,927,000","58,511,000","70,891,000","-77,504,000","36,310,000","-13,448,000","88,961,000","-49,434,000","15,376,000","-5,516,000","52,048,000","-22,185,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,"20,361,000","1,109,000","-94,637,000","107,411,000","6,478,000","11,809,000","-68,378,000","79,558,000","77,838,000","1,210,000","-58,266,000","69,390,000","-21,074,000","-21,116,000","-32,073,000","63,774,000","-24,938,000","25,467,000","-130,259,000","123,292,000","-97,137,000","10,858,000","-12,903,000","95,523,000","-70,207,000","55,107,000","-8,735,000","73,957,000","-46,803,000","41,516,000","-3,406,000","83,180,000","-96,370,000","44,242,000","14,045,000","84,638,000","-38,623,000","14,114,000","85,512,000","86,914,000","-35,684,000","33,927,000","58,511,000","70,891,000","-77,504,000","36,310,000","-13,448,000","88,961,000","-49,434,000","15,376,000","-5,516,000","52,048,000","-22,185,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"1,050,081,000","376,394,000","189,565,000","89,268,000","394,854,000","418,518,000","160,267,000","56,273,000","510,224,000","14,336,000","-41,699,000","48,270,000","204,547,000","2,660,000","189,207,000","67,762,000","146,254,000","-38,547,000","26,893,000","185,009,000","67,602,000","-9,870,000","-52,478,000","77,360,000","131,069,000","67,971,000","51,819,000","20,339,000","60,703,000","126,895,000","35,235,000","68,687,000","44,935,000","105,062,000","43,841,000","91,253,000","200,730,000","86,764,000","69,441,000","72,594,000","94,557,000",,"49,095,000","87,317,000","65,668,000","211,201,000","-12,972,000","78,929,000","223,500,000","115,657,000","-31,599,000","41,564,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
