name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005,12/31/2004
TotalAssets,"267,083,000","235,336,000","221,809,000","211,167,000","212,368,000","186,973,000","192,840,000","136,913,000","112,574,000","87,946,000","105,570,000","108,966,000","108,078,000","97,965,000","106,369,000","104,744,000","111,733,000","100,698,000","108,900,000","110,718,000","88,165,000","82,134,000","83,466,000","76,218,000","78,861,000","83,756,000","80,261,000","78,115,000","83,839,000","82,907,000","73,684,000","65,489,000","67,932,000","69,182,000","73,746,000","69,296,000","81,347,000","88,877,000","124,632,000","127,142,000","133,559,000","142,216,000","147,789,000","149,122,000","150,343,000","153,537,000","161,197,000","118,050,000","110,611,000","104,614,000","102,478,000","96,475,000","92,966,000","90,430,000","94,516,000","98,636,000","109,778,000","110,056,000","109,606,000","110,533,000","112,523,000","69,910,000","69,059,000","14,484,000","13,111,000"
	CurrentAssets,"197,018,000","168,602,000","166,854,000","160,508,000","163,413,000","139,375,000","149,557,000","102,073,000","82,200,000","62,373,000","57,383,000","62,390,000","66,088,000","58,785,000","68,899,000","67,288,000","73,718,000","62,532,000","66,344,000","67,572,000","70,377,000","63,658,000","63,290,000","55,871,000","58,114,000","62,529,000","58,805,000","57,934,000","63,860,000","62,550,000","53,120,000","44,370,000","45,885,000","46,114,000","50,183,000","45,026,000","49,435,000","55,513,000","63,232,000","64,757,000","69,943,000","75,621,000","75,594,000","76,812,000","76,994,000","79,611,000","88,954,000","74,823,000","67,738,000","63,976,000","61,132,000","55,970,000","52,313,000","48,921,000","50,500,000","54,562,000","52,674,000","58,786,000","59,447,000","59,468,000","61,478,000","16,049,000","15,619,000","12,014,000","8,650,000"
		CashCashEquivalentsAndShortTermInvestments,"25,035,000","18,144,000","20,680,000","33,149,000","45,896,000","35,802,000","58,971,000","24,860,000","14,148,000","2,273,000","1,111,000","890,000","4,837,000","2,032,000","8,305,000","6,829,000","9,232,000","2,859,000","6,680,000","9,936,000","7,206,000","6,673,000","7,537,000","4,990,000","4,607,000","5,602,000","5,739,000","6,667,000","7,983,000","7,715,000","1,294,000","2,461,000","1,431,000","865,000","1,192,000","969,000","1,408,000","1,140,000","1,175,000","1,501,000","10,727,000","11,460,000","16,268,000","17,361,000","19,950,000","18,657,000","25,606,000","40,180,000","41,377,000","37,322,000","37,709,000","36,693,000","33,939,000","32,473,000","33,122,000","34,120,000","32,156,000","42,049,000","42,186,000","42,324,000","45,611,000","2,381,000","3,287,000","1,353,000","2,840,000"
			CashAndCashEquivalents,"25,035,000","18,144,000","20,680,000","33,149,000","45,896,000","35,802,000","58,971,000","24,860,000","14,148,000","2,273,000","1,108,000","883,000","4,835,000","2,031,000","8,300,000","6,824,000","9,222,000","2,850,000","6,673,000","9,928,000","7,198,000","6,643,000","7,505,000","4,913,000","4,542,000","5,537,000","5,676,000","6,608,000","7,917,000","7,653,000","1,255,000","1,675,000","1,392,000","818,000","1,099,000","851,000","1,297,000","1,030,000","1,076,000","1,405,000","8,834,000","10,335,000","15,151,000","16,249,000","18,884,000","17,595,000","24,540,000","15,197,000","25,047,000","26,251,000","33,609,000","32,597,000","33,939,000","32,473,000","33,122,000","34,120,000","32,156,000","19,399,000","17,186,000","42,324,000","45,611,000","2,381,000","3,287,000","1,353,000","2,130,000"
			OtherShortTermInvestments,,,,,,,,,,,"3,000","7,000","2,000","1,000","5,000","5,000","10,000","9,000","7,000","8,000","8,000","30,000","32,000","77,000","65,000","65,000","63,000","59,000","66,000","62,000","39,000","786,000","39,000","47,000","93,000","118,000","111,000","110,000","99,000","96,000","1,893,000","1,125,000","1,117,000","1,112,000","1,066,000","1,062,000","1,066,000","24,983,000","16,330,000","11,071,000","4,100,000","4,096,000",,"0",,,,"22,650,000","25,000,000",,,,,,"710,000"
		Receivables,"6,461,000","5,015,000","8,055,000","6,994,000","9,735,000","6,318,000","6,975,000","5,278,000","5,031,000","2,669,000","4,349,000","4,040,000","5,746,000","3,727,000","3,032,000","2,633,000","3,357,000","2,470,000","2,930,000","2,698,000","3,161,000","3,266,000","2,991,000","2,971,000","3,461,000","3,236,000","3,543,000","3,118,000","4,209,000","3,804,000","3,958,000","3,731,000","4,882,000","5,029,000","5,044,000","5,344,000","7,040,000","7,431,000","8,583,000","9,488,000","9,189,000","7,922,000","8,805,000","8,839,000","8,303,000","6,849,000","4,549,000","2,581,000","3,167,000","3,383,000","2,816,000","1,864,000","2,008,000","1,353,000","1,489,000","2,435,000","2,877,000","2,907,000","2,486,000","2,779,000","3,024,000","2,789,000","2,540,000","1,637,000","1,149,000"
			AccountsReceivable,"6,461,000","5,015,000","8,055,000","6,994,000","9,735,000","6,318,000","6,975,000","5,278,000","5,031,000","2,669,000","4,349,000","4,040,000","5,746,000","3,727,000","3,032,000","2,633,000","3,357,000","2,470,000","2,930,000","2,698,000","3,161,000","3,266,000","2,991,000","2,971,000","3,461,000","3,236,000","3,543,000","3,118,000","4,209,000","3,804,000","3,958,000","3,731,000","4,882,000","5,029,000","5,044,000","5,344,000","7,040,000","7,431,000","8,583,000","9,488,000","9,189,000","7,922,000","8,805,000","8,839,000","8,303,000","6,849,000","4,549,000","2,581,000","3,167,000","3,383,000","2,816,000","1,864,000","2,008,000","1,353,000","1,489,000","2,435,000","2,877,000","2,907,000","2,486,000","2,779,000","3,024,000","2,789,000","2,540,000","1,637,000","1,149,000"
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,"2,936,000","2,744,000","3,197,000","3,302,000","3,081,000","3,007,000","3,495,000","3,253,000","3,550,000","3,157,000","4,247,000","3,845,000","4,216,000","4,026,000","5,034,000","5,242,000","5,289,000","5,559,000","7,282,000","7,652,000","8,814,000","9,674,000","9,425,000","8,294,000","8,999,000","9,039,000","8,667,000",,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,"-6,000","-46,000","-36,000","-36,000","-90,000","-36,000","-34,000","-17,000","-7,000","-39,000","-38,000","-41,000","-258,000","-295,000","-152,000","-213,000","-245,000","-215,000","-242,000","-221,000","-231,000","-186,000","-236,000","-372,000","-194,000","-200,000","-364,000",,,,,,,,,,,,,,,,,,,,
		Inventory,"157,937,000","138,851,000","131,768,000","113,964,000","97,942,000","89,316,000","76,729,000","65,383,000","57,360,000","52,500,000","47,699,000","52,552,000","51,706,000","49,626,000","53,362,000","54,187,000","58,120,000","54,231,000","53,719,000","52,195,000","57,186,000","50,904,000","49,471,000","44,421,000","46,937,000","51,216,000","46,185,000","45,220,000","48,347,000","48,362,000","44,816,000","35,178,000","36,613,000","36,986,000","40,177,000","34,181,000","37,633,000","42,727,000","48,658,000","49,229,000","46,109,000","52,245,000","45,717,000","45,804,000","42,679,000","48,100,000","46,429,000","26,536,000","17,981,000","18,610,000","15,365,000","12,185,000","11,337,000","10,910,000","12,105,000","13,842,000","12,639,000","11,191,000","11,943,000","11,519,000","10,218,000","8,796,000","7,591,000","8,663,000","4,586,000"
