name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,12/31/2018
TotalAssets,"698,048,000","678,209,000","367,443,000","334,383,000","324,076,000","136,011,000","127,697,000","155,476,000","128,214,000","123,391,000","71,193,000","72,689,000"
	CurrentAssets,"637,748,000","625,943,000","323,054,000","302,557,000","297,699,000","113,180,000","105,353,000","132,430,000","104,971,000","99,662,000","44,197,000","53,104,000"
		CashCashEquivalentsAndShortTermInvestments,"571,454,000","559,461,000","267,042,000","253,538,000","256,952,000","73,525,000","69,208,000","102,486,000","71,248,000","63,418,000","9,232,000","7,889,000"
			CashAndCashEquivalents,"571,454,000","559,461,000","267,042,000","253,538,000","256,952,000","73,525,000","69,208,000","102,486,000","71,248,000","63,418,000","9,232,000","7,889,000"
		Receivables,"30,651,000","38,376,000","32,471,000","27,681,000","23,190,000","24,656,000","17,962,000","13,582,000","16,385,000","18,732,000","18,135,000","20,616,000"
			AccountsReceivable,"30,651,000","38,376,000","32,471,000","27,681,000","23,190,000","24,656,000","17,962,000","13,582,000","16,385,000","18,732,000","18,135,000","20,616,000"
				GrossAccountsReceivable,"30,701,000","38,426,000","32,521,000","27,731,000","23,240,000","24,706,000","18,012,000","13,632,000",,,,
				AllowanceForDoubtfulAccountsReceivable,"-50,000","-50,000","-50,000","-50,000","-50,000","-50,000","-50,000","-50,000",,,,
		Inventory,"30,753,000","23,630,000","19,635,000","18,494,000","14,980,000","12,350,000","15,208,000","14,781,000","14,159,000","11,911,000","13,010,000","20,543,000"
			RawMaterials,"3,848,000","1,841,000","1,015,000","1,619,000","1,900,000","435,000","1,382,000","1,131,000","856,000","304,000","576,000","2,723,000"
			WorkInProcess,"19,945,000","16,963,000","14,306,000","13,567,000","11,210,000","10,184,000","11,937,000","9,567,000","9,582,000","8,160,000","8,733,000","14,582,000"
			FinishedGoods,"6,960,000","4,826,000","4,314,000","3,308,000","1,870,000","1,731,000","1,889,000","4,083,000","3,721,000","3,447,000","3,701,000","3,238,000"
		PrepaidAssets,"3,078,000","2,398,000","2,504,000","2,039,000","1,692,000","1,927,000","1,921,000","866,000","2,384,000","4,617,000","3,135,000","1,207,000"
		OtherCurrentAssets,"1,812,000","2,078,000","1,402,000","805,000","885,000","722,000","1,054,000","715,000","795,000","984,000","685,000","2,849,000"
	TotalNonCurrentAssets,"60,300,000","52,266,000","44,389,000","31,826,000","26,377,000","22,831,000","22,344,000","23,046,000","23,243,000","23,729,000","26,996,000","19,585,000"
		NetPPE,"55,689,000","46,096,000","39,687,000","29,189,000","23,657,000","20,600,000","20,079,000","19,882,000","19,407,000","19,078,000","19,821,000","11,281,000"
			GrossPPE,"78,854,000","67,198,000","59,619,000","47,648,000","41,129,000","36,980,000","36,202,000","35,048,000","33,698,000","32,502,000","32,342,000","21,408,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0"
