name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,10/31/2009,10/31/2008
TotalRevenue,"1,440,328,000","400,617,000","330,839,000","339,499,000","369,373,000","393,486,000","284,281,000","291,070,000","316,240,000","362,169,000","249,307,000","240,448,000","278,326,000","340,514,000","243,993,000","236,730,000","264,138,000","320,598,000","216,420,000","204,248,000","224,871,000","255,855,000","164,664,000","156,131,000","175,021,000","230,325,000","152,041,000","147,488,000","171,365,000","228,543,000","151,674,000","145,641,000","148,055,000","160,246,000","143,286,000","137,344,000","141,463,000","154,968,000","136,997,000","134,349,000","136,681,000","142,332,000","119,674,000","115,387,000","115,030,000","117,307,000","91,847,000","88,904,000","90,318,000","92,819,000","66,265,000","52,609,000"
	OperatingRevenue,"1,440,328,000","400,617,000","330,839,000","339,499,000","369,373,000","393,486,000","284,281,000","291,070,000","316,240,000","362,169,000","249,307,000","240,448,000","278,326,000","340,514,000","243,993,000","236,730,000","264,138,000","320,598,000","216,420,000","204,248,000","224,871,000","255,855,000","164,664,000","156,131,000","175,021,000","230,325,000","152,041,000","147,488,000","171,979,000","230,449,000","154,065,000","147,772,000","150,077,000","162,634,000","145,845,000","139,931,000","143,430,000","156,577,000","145,248,000","134,349,000","136,681,000","142,332,000","119,674,000","115,387,000","115,030,000","117,307,000","91,847,000","88,904,000","90,318,000","92,819,000","66,265,000","52,609,000"
CostOfRevenue,"659,890,000","178,443,000","166,295,000","160,814,000","154,338,000","172,673,000","137,271,000","135,274,000","130,681,000","124,209,000","92,860,000","95,800,000","97,685,000","114,578,000","100,242,000","102,112,000","102,467,000","104,448,000","98,101,000","82,695,000","97,153,000","83,825,000","65,676,000","65,033,000","69,044,000","76,381,000","70,218,000","62,516,000","70,130,000","73,450,000","55,792,000","51,033,000","47,529,000","49,058,000","57,685,000","54,596,000","51,164,000","53,770,000","192,451,000","0","0","0","0","0","0","0","0","0","0","0","0","0"
GrossProfit,"780,438,000","222,174,000","164,544,000","178,685,000","215,035,000","220,813,000","147,010,000","155,796,000","185,559,000","237,960,000","156,447,000","144,648,000","180,641,000","225,936,000","143,751,000","134,618,000","161,671,000","216,150,000","118,319,000","121,553,000","127,718,000","172,030,000","98,988,000","91,098,000","105,977,000","153,944,000","81,823,000","84,972,000","101,235,000","155,093,000","95,882,000","94,608,000","100,526,000","111,188,000","85,601,000","82,748,000","90,299,000","101,198,000","-55,454,000","134,349,000","136,681,000","142,332,000","119,674,000","115,387,000","115,030,000","117,307,000","91,847,000","88,904,000","90,318,000","92,819,000","66,265,000","52,609,000"
OperatingExpense,"696,557,000","170,669,000","172,725,000","169,893,000","183,270,000","186,865,000","178,564,000","158,485,000","180,612,000","179,160,000","156,779,000","146,947,000","136,843,000","146,022,000","131,422,000","134,938,000","130,327,000","135,686,000","112,697,000","107,263,000","106,737,000","109,465,000","102,117,000","91,408,000","92,983,000","101,938,000","93,923,000","87,015,000","94,748,000","89,315,000","95,761,000","80,315,000","77,784,000","86,567,000","84,188,000","73,996,000","72,105,000","77,057,000","-69,357,000","117,823,000","117,825,000","115,479,000","97,388,000","94,079,000","95,680,000","96,802,000","79,190,000","73,481,000","73,164,000","68,734,000","48,388,000","42,773,000"
	SellingGeneralAndAdministration,"696,557,000","170,669,000","172,725,000","169,893,000","183,270,000","186,865,000","178,564,000","158,485,000","180,612,000","179,160,000","156,779,000","146,947,000","136,843,000","146,022,000","131,422,000","134,938,000","130,327,000","135,686,000","112,697,000","107,263,000","106,737,000","109,465,000","102,117,000","91,408,000","92,983,000","101,938,000","93,923,000","87,015,000","94,748,000","89,315,000","95,761,000","80,315,000","77,784,000","86,567,000","84,188,000","73,996,000","72,105,000","77,057,000","-69,357,000","117,823,000","117,825,000","115,479,000","97,388,000","94,079,000","95,680,000","96,802,000","79,190,000","73,481,000","73,164,000","68,734,000","48,388,000","42,773,000"
		GeneralAndAdministrativeExpense,"349,771,000","87,143,000","89,974,000","85,891,000","86,763,000","67,962,000","83,191,000","62,296,000","73,801,000","62,422,000","54,424,000","48,595,000","49,411,000","47,321,000","52,280,000","62,193,000","47,849,000","43,718,000","39,551,000","41,677,000","36,593,000","37,780,000","36,630,000","34,740,000","29,906,000","38,074,000","33,479,000","34,142,000","38,903,000","28,036,000","33,576,000","24,716,000","20,584,000","26,324,000","25,717,000","21,954,000","20,425,000","20,880,000","-121,711,000","65,893,000","64,811,000","62,907,000","54,805,000","53,228,000","52,906,000","54,263,000","44,077,000","43,176,000","41,731,000","42,695,000","30,223,000","22,235,000"
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,041,000","27,880,000","26,153,000","23,105,000","21,763,000","21,666,000","21,137,000","19,628,000","17,621,000","16,593,000","16,260,000","12,067,000","9,191,000"
			OtherGandA,"349,771,000","87,143,000","89,974,000","85,891,000","86,763,000","67,962,000","83,191,000","62,296,000","73,801,000","62,422,000","54,424,000","48,595,000","49,411,000","47,321,000","52,280,000","62,193,000","47,849,000","43,718,000","39,551,000","41,677,000","36,593,000","37,780,000","36,630,000","34,740,000","29,906,000","38,074,000","33,479,000","34,142,000","38,903,000","28,036,000","33,576,000","24,716,000","20,584,000","26,324,000","25,717,000","21,954,000","20,425,000","20,880,000","-38,637,000","36,852,000","36,931,000","36,754,000","31,700,000","31,465,000","31,240,000","33,126,000","24,449,000","25,555,000","25,138,000","26,435,000","18,156,000","13,044,000"
		SellingAndMarketingExpense,"346,786,000","83,526,000","82,751,000","84,002,000","96,507,000","118,903,000","95,373,000","96,189,000","106,811,000","116,738,000","102,355,000","98,352,000","87,432,000","98,701,000","79,142,000","72,745,000","82,478,000","91,968,000","73,146,000","65,586,000","70,144,000","71,685,000","65,487,000","56,668,000","63,077,000","63,864,000","60,444,000","52,873,000","55,845,000","61,279,000","62,185,000","55,599,000","57,200,000","60,243,000","58,471,000","52,042,000","51,680,000","56,177,000","52,354,000","51,930,000","53,014,000","52,572,000","42,583,000","40,851,000","42,774,000","42,539,000","35,113,000","30,305,000","31,433,000","26,039,000","18,165,000","20,538,000"
	OtherOperatingExpenses,,,,,,,,,"-2,154,000",,,,,,,,,,,,,,,,,,,,,,"-760,000","-6,369,000",,,,,,,,,,,,,,,,,,,,
OperatingIncome,"83,881,000","51,505,000","-8,181,000","8,792,000","31,765,000","33,948,000","-31,554,000","-2,689,000","4,947,000","58,800,000","-332,000","-2,299,000","43,798,000","79,914,000","12,329,000","-320,000","31,344,000","80,464,000","5,622,000","14,290,000","20,981,000","62,565,000","-3,129,000","-310,000","12,994,000","52,006,000","-12,100,000","-2,043,000","6,487,000","65,778,000","121,000","14,293,000","22,742,000","24,621,000","1,413,000","8,752,000","18,194,000","24,141,000","13,903,000","16,526,000","18,856,000","26,853,000","22,286,000","21,308,000","19,350,000","20,505,000","12,657,000","15,423,000","17,154,000","24,085,000","17,877,000","9,836,000"
NetNonOperatingInterestIncomeExpense,,,,,,"-37,000","-38,000","-39,000","-443,000","-49,000","-89,000","-112,000","-165,000","9,346,000","4,207,000","4,765,000","4,163,000","4,084,000","1,917,000","1,238,000","790,000","1,189,000","393,000","207,000","125,000","-2,480,000","-321,000","-337,000","-431,000","-118,000","-148,000","965,000","1,010,000","961,000","949,000","778,000","839,000","802,000","933,000","962,000","1,168,000","935,000","192,000","134,000","136,000","102,000","92,000","88,000","84,000","49,000","60,000","210,000"
	InterestIncomeNonOperating,,,,,,,,,,,,,"8,306,000","10,817,000","6,159,000","6,153,000","5,789,000","5,600,000","3,431,000","2,635,000","2,323,000","2,854,000","1,896,000","1,637,000","1,533,000","2,301,000","1,113,000","1,128,000","1,118,000","1,378,000","1,066,000","982,000","1,039,000","977,000","966,000","800,000","855,000","819,000","958,000","982,000","1,185,000","1,199,000","336,000","239,000","232,000","103,000","96,000","111,000","86,000","72,000","60,000","210,000"
	InterestExpenseNonOperating,,,,,,"37,000","38,000","39,000","443,000","49,000","89,000","112,000","165,000","1,471,000","1,952,000","1,388,000","1,626,000","1,516,000","1,514,000","1,397,000","1,533,000","1,665,000","1,503,000","1,430,000","1,408,000","4,781,000","1,434,000","1,465,000","1,549,000","1,496,000","1,214,000","17,000","29,000","16,000","17,000","22,000","16,000","17,000","25,000","20,000","17,000","264,000","144,000","105,000","96,000","1,000","4,000","23,000","2,000","23,000","0","0"
	TotalOtherFinanceCost,,,,,,,,,,,"89,000","112,000","165,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-2,308,000","-770,000","-4,020,000","849,000","1,633,000","-1,086,000","-1,913,000","-1,650,000","2,154,000",,,,,,,,,,,,,,,,,,,,,,"760,000","6,369,000",,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-2,308,000","-770,000","-4,020,000","849,000","1,633,000","-1,086,000","-1,913,000","-1,650,000","2,154,000",,,,,,,,,,,,,,,,,,,,,,"760,000","6,369,000",,,,,,,,,,,,,,,,,,,,
PretaxIncome,"81,573,000","50,735,000","-12,201,000","9,641,000","33,398,000","32,862,000","-33,467,000","-4,339,000","7,101,000","58,800,000","-332,000","-2,299,000","43,798,000","79,914,000","12,329,000","-320,000","31,344,000","80,464,000","5,622,000","14,290,000","20,981,000","62,565,000","-3,129,000","-310,000","12,994,000","52,006,000","-12,100,000","-2,043,000","6,487,000","65,778,000","881,000","20,662,000","22,742,000","24,621,000","1,413,000","8,752,000","18,194,000","24,141,000","10,838,000","17,488,000","20,024,000","27,788,000","22,478,000","21,442,000","19,486,000","20,607,000","12,749,000","15,511,000","17,238,000","24,134,000","17,937,000","10,046,000"
TaxProvision,"21,204,000","12,111,000","-1,678,000","2,306,000","8,465,000","7,127,000","-9,451,000","-1,347,000","3,807,000","11,955,000","-2,025,000","-1,768,000","9,106,000","15,871,000","-1,943,000","-4,893,000","1,517,000","10,433,000","-6,606,000","651,000","1,715,000","21,811,000","-1,784,000","-2,347,000","4,968,000","19,124,000","-6,027,000","-2,222,000","2,991,000","24,965,000","1,727,000","6,771,000","8,399,000","9,316,000","377,000","2,638,000","6,890,000","8,555,000","3,239,000","6,875,000","8,133,000","10,672,000","8,469,000","8,139,000","7,416,000","7,906,000","4,811,000","6,540,000","4,730,000","11,319,000","7,533,000","4,219,000"
NetIncomeCommonStockholders,"59,957,000","38,624,000","-10,388,000","7,277,000","24,698,000","25,735,000","-23,620,000","-2,949,000","3,242,000","46,037,000","1,693,000","-531,000","34,692,000","64,043,000","14,272,000","4,573,000","29,827,000","70,031,000","12,228,000","13,639,000","19,266,000","40,754,000","-1,045,000","2,002,000","7,782,000","31,910,000","-5,895,000","174,000","3,393,000","39,567,000","-30,000","12,156,000","12,502,000","12,836,000","1,555,000","4,707,000","8,249,000","11,247,000","-334,000","8,909,000","9,970,000","14,344,000","13,451,000","13,303,000","12,070,000","12,701,000","9,373,000","7,716,000","4,591,000","4,371,000","3,391,000","1,418,000"
	NetIncome,"60,369,000","38,624,000","-10,523,000","7,335,000","24,933,000","25,735,000","-24,016,000","-2,992,000","3,294,000","46,845,000","1,693,000","-531,000","34,692,000","64,043,000","14,272,000","4,573,000","29,827,000","70,031,000","12,228,000","13,639,000","19,266,000","40,754,000","-1,345,000","2,037,000","8,026,000","32,882,000","-6,073,000","179,000","3,496,000","40,813,000","-846,000","13,891,000","14,343,000","15,305,000","1,036,000","6,114,000","11,304,000","15,586,000","7,599,000","10,613,000","11,891,000","17,116,000","14,009,000","13,303,000","12,070,000","12,701,000","7,938,000","8,971,000","12,508,000","12,815,000","10,404,000","5,827,000"
