name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalRevenue,"3,315,000,000","809,000,000","870,000,000","839,000,000","797,000,000","628,000,000","645,000,000","614,000,000","343,000,000","558,000,000","981,000,000","1,105,000,000","1,039,000,000","918,000,000","955,000,000","1,062,000,000","1,007,000,000","1,190,000,000","649,000,000","1,629,000,000","1,479,000,000","1,319,000,000","1,320,000,000","1,573,000,000","1,403,000,000","1,303,000,000","1,312,000,000","1,564,000,000","1,398,000,000","1,262,000,000","1,231,000,000","1,514,000,000","1,343,000,000","1,193,000,000","1,195,000,000","1,427,000,000","1,253,000,000","1,133,000,000","1,094,000,000","1,265,000,000","1,139,000,000","1,036,000,000","1,001,000,000","1,212,000,000","1,090,000,000","952,000,000","937,000,000","1,065,000,000","963,000,000","886,000,000","913,000,000","1,016,000,000","920,000,000","901,000,000","911,000,000","1,226,000,000","1,132,000,000","1,012,000,000","1,032,000,000","1,216,000,000","1,100,000,000","1,012,000,000","970,000,000","1,047,000,000","955,000,000","870,000,000","725,000,000","948,000,000","867,000,000","795,000,000"
	OperatingRevenue,"3,261,000,000","797,000,000","854,000,000","825,000,000","784,000,000","618,000,000","633,000,000","602,000,000","333,000,000","544,000,000","959,000,000","1,086,000,000","1,018,000,000","905,000,000","940,000,000","1,046,000,000","991,000,000","1,114,000,000","569,000,000","1,544,000,000","1,392,000,000","1,239,000,000","1,243,000,000","1,491,000,000","1,321,000,000","1,221,000,000","1,231,000,000","1,482,000,000","1,323,000,000","1,186,000,000","1,151,000,000","1,429,000,000","1,270,000,000","1,125,000,000","1,127,000,000","1,357,000,000","1,188,000,000","1,059,000,000","892,000,000","1,265,000,000","1,139,000,000","1,036,000,000","1,001,000,000","1,212,000,000","1,090,000,000","952,000,000","937,000,000","1,065,000,000","963,000,000","886,000,000","913,000,000","1,016,000,000","920,000,000","901,000,000","911,000,000","1,226,000,000","1,132,000,000","1,012,000,000","1,032,000,000","1,216,000,000","1,100,000,000","1,012,000,000","1,073,000,000","1,011,000,000","922,000,000","839,000,000","725,000,000","948,000,000","867,000,000","795,000,000"
CostOfRevenue,"1,700,000,000","438,000,000","437,000,000","414,000,000","410,000,000","335,000,000","322,000,000","311,000,000","208,000,000","392,000,000","452,000,000","536,000,000","497,000,000","453,000,000","468,000,000","507,000,000","485,000,000","563,000,000","281,000,000","771,000,000","711,000,000","655,000,000","647,000,000","745,000,000","673,000,000","668,000,000","657,000,000","752,000,000","676,000,000","615,000,000","602,000,000","680,000,000","631,000,000","590,000,000","582,000,000","651,000,000","600,000,000","559,000,000","520,000,000","563,000,000","516,000,000","493,000,000","485,000,000","546,000,000","529,000,000","466,000,000","479,000,000","489,000,000","465,000,000","441,000,000","432,000,000","475,000,000","462,000,000","454,000,000","428,000,000","559,000,000","545,000,000","501,000,000","499,000,000","570,000,000","551,000,000","497,000,000","469,000,000","474,000,000","449,000,000","399,000,000","1,289,000,000","97,000,000","85,000,000","69,000,000"
GrossProfit,"1,615,000,000","371,000,000","433,000,000","425,000,000","387,000,000","293,000,000","323,000,000","303,000,000","135,000,000","166,000,000","529,000,000","569,000,000","542,000,000","465,000,000","487,000,000","555,000,000","522,000,000","627,000,000","368,000,000","858,000,000","768,000,000","664,000,000","673,000,000","828,000,000","730,000,000","635,000,000","655,000,000","812,000,000","722,000,000","647,000,000","629,000,000","834,000,000","712,000,000","603,000,000","613,000,000","776,000,000","653,000,000","574,000,000","574,000,000","702,000,000","623,000,000","543,000,000","516,000,000","666,000,000","561,000,000","486,000,000","458,000,000","576,000,000","498,000,000","445,000,000","481,000,000","541,000,000","458,000,000","447,000,000","483,000,000","667,000,000","587,000,000","511,000,000","533,000,000","646,000,000","549,000,000","515,000,000","501,000,000","573,000,000","506,000,000","471,000,000","-564,000,000","851,000,000","782,000,000","726,000,000"
OperatingExpense,"959,000,000","244,000,000","242,000,000","238,000,000","235,000,000","206,000,000","217,000,000","217,000,000","148,000,000","272,000,000","304,000,000","348,000,000","321,000,000","307,000,000","288,000,000","327,000,000","324,000,000","417,000,000","204,000,000","492,000,000","488,000,000","451,000,000","418,000,000","478,000,000","459,000,000","440,000,000","449,000,000","477,000,000","451,000,000","432,000,000","437,000,000","475,000,000","446,000,000","432,000,000","429,000,000","453,000,000","412,000,000","393,000,000","403,000,000","414,000,000","392,000,000","365,000,000","372,000,000","382,000,000","324,000,000","321,000,000","312,000,000","293,000,000","326,000,000","315,000,000","316,000,000","335,000,000","304,000,000","315,000,000","313,000,000","419,000,000","416,000,000","426,000,000","343,000,000","446,000,000","372,000,000","355,000,000","416,000,000","366,000,000","376,000,000","323,000,000","-708,000,000","651,000,000","633,000,000","599,000,000"
	SellingGeneralAndAdministration,"836,000,000","214,000,000","211,000,000","207,000,000","204,000,000","175,000,000","185,000,000","185,000,000","117,000,000","241,000,000","273,000,000","317,000,000","293,000,000","276,000,000","255,000,000","295,000,000","288,000,000","361,000,000","188,000,000","423,000,000","422,000,000","388,000,000","353,000,000","415,000,000","396,000,000","378,000,000","388,000,000","418,000,000","393,000,000","376,000,000","379,000,000","415,000,000","387,000,000","376,000,000","373,000,000","399,000,000","358,000,000","341,000,000","354,000,000","369,000,000","346,000,000","320,000,000","327,000,000","339,000,000","279,000,000","276,000,000","267,000,000","250,000,000","284,000,000","271,000,000","272,000,000","289,000,000","259,000,000","272,000,000","294,000,000","372,000,000","370,000,000","354,000,000","299,000,000","403,000,000","331,000,000","317,000,000","276,000,000","329,000,000","335,000,000","289,000,000","371,000,000","270,000,000","274,000,000","110,000,000"
		GeneralAndAdministrativeExpense,"448,000,000","120,000,000","109,000,000","106,000,000","112,000,000","106,000,000","103,000,000","101,000,000","85,000,000","110,000,000","112,000,000","129,000,000","123,000,000","129,000,000","111,000,000","116,000,000","133,000,000","173,000,000","91,000,000","173,000,000","191,000,000","193,000,000","169,000,000","173,000,000","185,000,000","186,000,000","199,000,000","200,000,000","182,000,000","181,000,000","191,000,000","188,000,000","181,000,000","195,000,000","192,000,000","186,000,000","177,000,000","164,000,000","185,000,000","172,000,000","156,000,000","153,000,000","171,000,000","157,000,000","126,000,000","139,000,000","146,000,000","101,000,000","146,000,000","148,000,000","135,000,000","140,000,000","122,000,000","135,000,000",,,,,,,,,,,,,,"103,000,000","110,000,000","-45,000,000"
			OtherGandA,"448,000,000","120,000,000","109,000,000","106,000,000","112,000,000","106,000,000","103,000,000","101,000,000","85,000,000","110,000,000","112,000,000","129,000,000","123,000,000","129,000,000","111,000,000","116,000,000","133,000,000","173,000,000","91,000,000","173,000,000","191,000,000","193,000,000","169,000,000","173,000,000","185,000,000","186,000,000","199,000,000","200,000,000","182,000,000","181,000,000","191,000,000","188,000,000","181,000,000","195,000,000","192,000,000","186,000,000","177,000,000","164,000,000","185,000,000","172,000,000","156,000,000","153,000,000","171,000,000","157,000,000","126,000,000","139,000,000","146,000,000","101,000,000","146,000,000","148,000,000","135,000,000","140,000,000","122,000,000","135,000,000",,,,,,,,,,,,,,"103,000,000","110,000,000","-45,000,000"
		SellingAndMarketingExpense,"388,000,000","94,000,000","102,000,000","101,000,000","92,000,000","69,000,000","82,000,000","84,000,000","32,000,000","131,000,000","161,000,000","188,000,000","170,000,000","147,000,000","144,000,000","179,000,000","155,000,000","188,000,000","97,000,000","250,000,000","231,000,000","195,000,000","184,000,000","242,000,000","211,000,000","192,000,000","189,000,000","218,000,000","211,000,000","195,000,000","188,000,000","227,000,000","206,000,000","181,000,000","181,000,000","213,000,000","181,000,000","177,000,000","169,000,000","197,000,000","190,000,000","167,000,000","156,000,000","182,000,000","153,000,000","137,000,000","121,000,000","149,000,000","138,000,000","123,000,000","137,000,000","149,000,000","137,000,000","137,000,000",,,,,,,,,,,,,,"167,000,000","164,000,000","155,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"123,000,000","30,000,000","31,000,000","31,000,000","31,000,000","31,000,000","32,000,000","32,000,000","31,000,000","31,000,000","31,000,000","31,000,000","28,000,000","31,000,000","33,000,000","32,000,000","36,000,000","56,000,000","16,000,000","69,000,000","66,000,000","63,000,000","65,000,000","63,000,000","63,000,000","62,000,000","61,000,000","59,000,000","58,000,000","56,000,000","58,000,000","60,000,000","59,000,000","56,000,000","56,000,000","54,000,000","54,000,000","52,000,000","49,000,000","45,000,000","46,000,000","45,000,000","45,000,000","43,000,000","45,000,000","45,000,000","45,000,000","43,000,000","42,000,000","44,000,000","44,000,000","46,000,000","45,000,000","43,000,000","47,000,000","47,000,000","46,000,000","44,000,000","44,000,000","43,000,000","41,000,000","38,000,000","41,000,000","37,000,000","36,000,000","34,000,000","34,000,000","33,000,000","33,000,000","32,000,000"
