name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014
MarketCap,"6,970,349,559","7,675,180,444","9,404,772,160","10,867,759,626","12,412,540,884","10,478,643,570","11,594,112,000","8,531,661,464","7,226,265,269","4,739,914,513","4,036,055,520","3,281,149,440","3,060,825,636","3,130,338,525","2,588,661,200","2,547,335,444","1,994,132,388","1,717,503,037","1,384,596,133","1,317,285,760","1,185,665,920","896,148,240","751,622,021","830,522,560","625,392,600","460,421,990","445,135,500","186,846,300","262,786,580","275,842,720","220,962,560","317,013,420","348,523,200"
EnterpriseValue,"7,285,497,559","8,030,835,444","9,816,829,160","11,128,985,626","12,602,081,884","10,528,319,570","11,470,081,000","8,500,549,464","7,127,516,269","4,643,289,513","3,936,911,520","3,195,510,440","2,978,583,636","3,046,438,525","2,515,858,200","2,478,990,444","1,960,694,388","1,695,298,037","1,367,236,133","1,305,932,760","1,175,089,920","883,825,240","738,959,021","816,420,560","612,823,600","448,554,990","432,262,500","169,252,300","238,894,580","245,249,720","186,099,560","272,858,420","421,771,200"
PeRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.002","2.496",
ForwardPeRatio,"81.301","97.087","120.482","125","196.078","200","212.766","133.333","149.254","90.09","76.336","63.291","76.336","78.74","63.694","67.114","119.048","129.87","128.205","169.492","1,428.571",,,,,,,,,,,,
PegRatio,"2.489",,,,"13.146","13.362","14.179","8.913","7.113","3.456","3.813",,,,,,,,,,,,,,,,,,,,,,
PsRatio,"10.423","12.227","16.315","20.335","25.11","23.06","27.488","21.593","19.354","14.073","12.727","10.986","11.038","11.908","10.416","10.96","9.065","8.175","7.136","7.115","6.656","5.315","4.771","5.525","4.41","3.459","3.572","1.59","2.378","2.028","2.205","3.379","3.713"
PbRatio,"32.517","36.353","54.976","66.794","86.075","37.536","44.187","33.535","35","24.127","22.678","19.698","20.636","22.071","20.242","21.478","25.041","36.669","37.303","41.349","40.906","29.549","29.374","31.396","24.279","17.52","16.771","6.111","7.465","6.607","4.589","5.512",
EnterprisesValueRevenueRatio,"11.132","43.938","56.549","72.113","87.647","76.357","89.691","75.801","71.424","48.831","42.671","38.147","38.465","40.871","34.781","37.961","32.079","28.78","24.678","26.076","24.621","18.799","16.716","19.921","15.759","11.799","11.996","5.242","7.891","8.101","6.582","10.548","17.086"
EnterprisesValueEBITDARatio,"-281.674","-478.14","12,765.708","-1,583.972","-4,481.537","43,685.973","1,522.847","1,372.606","-11,999.186","1,872.294","391.538","476.8","490.463","541.589","247.065","495.996","688.204","660.163","569.919","351.719","-1,470.701","-396.512","224.063","-1,030.834","-4,506.056","-292.028","-973.564","-57.904","-55.882","-41.073","-28.373","-31.223","-72.37"
