name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,02/28/2021,12/31/2020
TotalAssets,"346,474,353","346,874,077","347,146,742","347,560,583","348,205,069","348,521,725","280,000"
	CurrentAssets,"1,410,860","1,737,606","2,123,341","2,541,621","3,198,628","3,521,725","25,000"
		CashCashEquivalentsAndShortTermInvestments,"784,438","1,102,919","1,209,700","1,454,809","1,982,144","3,521,725",
			CashAndCashEquivalents,"784,438","1,102,919","1,209,700","1,454,809","1,982,144","3,521,725",
				CashFinancial,"784,438","1,102,919","1,209,700","1,454,809","1,982,144","3,521,725",
		PrepaidAssets,"626,422","634,687","913,641","1,086,812","1,216,484",,
		RestrictedCash,,,,,,,"25,000"
	TotalNonCurrentAssets,"345,063,493","345,136,471","345,023,401","345,018,962","345,006,441","345,000,000","255,000"
		NonCurrentDeferredAssets,,"0","0","0","0",,"255,000"
		NonCurrentPrepaidAssets,"0","105,781",,,,,
		OtherNonCurrentAssets,"345,063,493","345,030,690","345,023,401","345,018,962","345,006,441","345,000,000",
TotalLiabilitiesNetMinorityInterest,"15,988,484","18,761,207","18,474,459","22,460,379","23,700,809","12,753,713","260,000"
	CurrentLiabilities,"500,656","491,165","338,802","234,125","476,401","678,713","260,000"
		PayablesAndAccruedExpenses,"500,656","491,165","338,802","234,125","476,401","489,823","260,000"
			CurrentAccruedExpenses,"500,656","491,165","338,802","234,125","476,401","489,823","260,000"
		CurrentDebtAndCapitalLeaseObligation,,,,,,"188,890",
			CurrentDebt,,,,,,"188,890",
				CurrentNotesPayable,,,,,,"188,890",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"15,487,828","18,270,042","18,135,657","22,226,254","23,224,408","12,075,000","0"
		NonCurrentDeferredLiabilities,"12,075,000","12,075,000","12,075,000","12,075,000","12,075,000","12,075,000",
		DerivativeProductLiabilities,"3,412,828","6,195,042","6,060,657","10,151,254","11,149,408",,
TotalEquityGrossMinorityInterest,"330,485,869","328,112,870","328,672,283","325,100,204","324,504,260","335,768,012","20,000"
	StockholdersEquity,"330,485,869","328,112,870","328,672,283","325,100,204","324,504,260","335,768,012","20,000"
		CapitalStock,"345,000,096","345,000,096","345,000,096","320,100,320","319,504,378","330,768,121","86"
			PreferredStock,"0","0","0","0","0","0","0"
			CommonStock,"345,000,096","345,000,096","345,000,096","320,100,320","319,504,378","330,768,121","86"
		AdditionalPaidInCapital,"0","0","0","5,742,244","6,338,186","5,005,341","24,914"
		RetainedEarnings,"-14,514,227","-16,887,226","-16,327,813","-742,360","-1,338,304","-5,450","-5,000"
TotalCapitalization,"330,485,869","328,112,870","328,672,283","325,100,204","324,504,260","335,768,012","20,000"
CommonStockEquity,"330,485,869","328,112,870","328,672,283","325,100,204","324,504,260","335,768,012","20,000"
NetTangibleAssets,"330,485,869","328,112,870","328,672,283","325,100,204","324,504,260","335,768,012","20,000"
WorkingCapital,"910,204","1,246,441","1,784,539","2,307,496","2,722,227","2,843,012","-235,000"
InvestedCapital,"330,485,869","328,112,870","328,672,283","325,100,204","324,504,260","335,956,902","20,000"
TangibleBookValue,"330,485,869","328,112,870","328,672,283","325,100,204","324,504,260","335,768,012","20,000"
TotalDebt,,,,,,"188,890",
ShareIssued,"44,160,000","44,160,000","44,160,000","44,160,000","44,160,000",,"44,160,000"
OrdinarySharesNumber,"44,160,000","44,160,000","44,160,000","44,160,000","44,160,000",,"44,160,000"
