name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020
TotalRevenue,"386,921,276","117,891,552","121,324,201","85,838,988","62,185,997","49,688,856","31,240,225","26,936,613","22,536,729"
	OperatingRevenue,"386,921,276","117,891,552","121,324,201","85,838,988","62,185,997","49,688,856","31,240,225","26,936,613","22,536,729"
CostOfRevenue,"251,097,893","77,987,573","71,890,860","60,025,728","41,023,082","35,860,742","20,793,514","18,263,419","13,955,565"
GrossProfit,"135,823,383","39,903,979","49,433,341","25,813,260","21,162,915","13,828,114","10,446,711","8,673,194","8,581,164"
OperatingExpense,"108,497,562","29,809,414","33,980,059","24,294,042","20,904,156","15,702,072","14,884,950","11,232,453","10,293,671"
	SellingGeneralAndAdministration,"96,489,973","26,466,560","30,643,499","21,419,848","18,342,223","13,535,045","12,873,210","9,553,434","8,824,802"
		GeneralAndAdministrativeExpense,"91,316,903","25,208,599","28,914,711","20,425,447","17,152,862","12,692,184","12,549,837","9,363,772","8,787,455"
			OtherGandA,"91,316,903","25,208,599","28,914,711","20,425,447","17,152,862","12,692,184","12,549,837","9,363,772","8,787,455"
		SellingAndMarketingExpense,"5,173,070","1,257,961","1,728,788","994,401","1,189,361","842,861","323,373","189,662","37,347"
	ResearchAndDevelopment,"3,892,665","1,141,833","1,339,284","854,618","664,882","569,351","569,530","309,257","118,845"
	DepreciationAmortizationDepletionIncomeStatement,"8,114,924","2,201,021","1,997,276","2,019,576","1,897,051","1,597,676","1,442,210","1,369,762","1,350,024"
		DepreciationAndAmortizationInIncomeStatement,"8,114,924","2,201,021","1,997,276","2,019,576","1,897,051","1,597,676","1,442,210","1,369,762","1,350,024"
OperatingIncome,"27,325,821","10,094,565","15,453,282","1,519,218","258,759","-1,873,958","-4,438,239","-2,559,259","-1,712,507"
NetNonOperatingInterestIncomeExpense,"-783,627","-135,606","-262,181","-255,711","-130,129","-115,009","-129,853","-73,788","-18,312"
	InterestIncomeNonOperating,,,,"1,480",,,,,
	TotalOtherFinanceCost,"783,627","135,606","262,181","255,711","130,129","115,009","129,853","73,788","18,312"
OtherIncomeExpense,,"-146,343","5,085,980","142,667","-27,730",,"339,400","-18,784","27,732"
	GainOnSaleOfSecurity,,"-58,749",,"891,332",,,,,
	EarningsFromEquityInterest,"-150,159","-83,341",,,,"0",,,
	SpecialIncomeCharges,,,"-6,612","142,667","-27,730",,"339,400","-18,784","27,732"
		OtherSpecialCharges,,,"0","-142,667",,,,,
		GainOnSaleOfPPE,,,"-6,612","0","-27,730",,"39,400","-18,784","27,732"
	OtherNonOperatingIncomeExpenses,,"-4,253",,,,,,,
PretaxIncome,"31,596,768","9,812,616","20,277,081","1,406,174","100,900","-1,988,967","-4,228,692","-2,651,831","-1,703,087"
TaxProvision,"1,045,847","440,179","2,166","604,608","-1,107","10,029","163,925","3,518","11,000"
NetIncomeCommonStockholders,"36,051,816","10,629,694","23,560,822","3,507,520","-1,646,216","-1,678,364","-4,492,175","-2,398,351","-2,047,300"
	NetIncome,"36,051,816","10,629,694","23,560,822","3,507,520","-1,646,216","-1,678,364","-4,492,175","-2,398,351","-2,047,300"
