name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
OperatingCashFlow,"376,462,000","70,141,000","174,713,000","62,930,000","68,678,000","45,222,000","30,473,000","29,167,000","31,964,000","21,022,000","24,549,000","150,427,000","231,430,000","126,408,000","130,797,000","102,342,000","132,519,000","193,738,000","91,446,000","116,109,000","161,404,000","65,553,000","12,180,000","7,521,000","-28,888,000","-40,698,000"
	CashFlowFromContinuingOperatingActivities,"376,462,000","70,141,000","174,713,000","62,930,000","68,678,000","45,222,000","30,473,000","29,167,000","31,964,000","21,022,000","24,549,000","150,427,000","231,430,000","126,408,000","130,797,000","102,342,000","132,519,000","193,738,000","91,446,000","116,109,000","161,404,000","65,553,000","12,180,000","7,521,000","-28,888,000","-40,698,000"
		NetIncomeFromContinuingOperations,"318,485,000","146,249,000","138,490,000","38,427,000","-4,681,000","-21,355,000","-33,711,000","-14,434,000","-9,161,000","21,545,000","20,750,000","45,021,000","125,481,000","110,447,000","374,190,000","52,591,000","91,312,000","178,694,000","97,156,000","119,717,000","129,865,000","108,308,000","34,032,000","-33,642,000","-50,063,000","-61,816,000"
		OperatingGainsLosses,,"11,681,000","2,612,000",,,,,,,,"0","0","0","9,756,000",,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"11,681,000","-7,066,000",,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"134,312,000","25,797,000","39,397,000","28,967,000","40,151,000","32,903,000","39,279,000","27,965,000","22,156,000","28,692,000","23,678,000","25,741,000","25,678,000","22,233,000","25,459,000","26,071,000","21,127,000","24,552,000","17,788,000","23,393,000","19,650,000","14,582,000","9,054,000","22,538,000","15,821,000","28,958,000"
			DepreciationAndAmortization,,,,"28,967,000","40,151,000","32,903,000","39,279,000","27,965,000","22,156,000","28,692,000","23,678,000","25,741,000","25,678,000","22,233,000","25,459,000","26,071,000","21,127,000","24,552,000","17,788,000","23,393,000","19,650,000","14,582,000","9,054,000","22,538,000","15,821,000","28,958,000"
				Depreciation,,,,"28,967,000","40,151,000","32,903,000","39,279,000","27,965,000","22,156,000","28,692,000","23,678,000","25,741,000","25,678,000","22,233,000","25,459,000","26,071,000","21,127,000","24,552,000","17,788,000","23,393,000","19,650,000","14,582,000","9,054,000","22,538,000","15,821,000","28,958,000"
		DeferredTax,"58,846,000","33,382,000","26,657,000","5,433,000","-6,626,000","23,632,000","-10,807,000","-8,114,000","-4,430,000","3,276,000","-70,000","7,599,000","32,970,000","27,984,000","-223,038,000",,,,"3,687,000","-5,373,000","0","0","544,000","0","0","18,000"
			DeferredIncomeTax,"58,846,000","33,382,000","26,657,000","5,433,000","-6,626,000","23,632,000","-10,807,000","-8,114,000","-4,430,000","3,276,000","-70,000","7,599,000","32,970,000","27,984,000","-223,038,000",,,,"3,687,000","-5,373,000","0","0","544,000","0","0","18,000"
