name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
OperatingCashFlow,"856,000,000","-259,000,000","253,000,000","314,000,000","533,000,000","72,000,000","-374,000,000","-116,537,000","-110,987,000","30,524,000","52,443,000","132,225,000","62,418,000","65,440,000","59,832,000","114,944,000","70,497,000","78,007,000","58,410,000","68,306,000","-2,010,000","5,535,000","25,320,000","23,594,000","37,803,000","10,853,000","36,187,000","1,367,000","25,037,000","-5,876,000","15,380,000","11,690,000","465,000","6,344,000","-3,305,000"
	CashFlowFromContinuingOperatingActivities,"892,000,000","-246,000,000","225,000,000","302,000,000","627,000,000","45,000,000","-362,000,000","-139,537,000","-110,987,000","30,524,000","52,443,000","132,225,000","62,418,000","65,440,000","59,832,000","114,944,000","70,497,000","78,007,000","58,410,000","68,306,000","-2,010,000","5,535,000","25,320,000","23,594,000","37,803,000","10,853,000","36,187,000","1,367,000","25,037,000","-5,876,000","15,380,000","11,690,000","465,000","6,344,000","-3,305,000"
		NetIncomeFromContinuingOperations,,,,,,,,,"-99,996,000","-175,638,000","-13,219,000","37,055,000","18,936,000","38,229,000","-120,000","37,704,000","36,796,000","20,855,000","89,694,000","29,553,000","-46,328,000","1,021,000","960,000","9,682,000","10,790,000","3,370,000","110,153,000","5,399,000","4,795,000","-6,164,000","-10,834,000","-4,064,000","2,909,000","-2,333,000","7,078,000"
		OperatingGainsLosses,,,,,,,,,"-21,493,000","21,960,000","-29,595,000","302,000","1,764,000","-20,858,000","2,587,000","0","-629,000","791,000","1,413,000","10,047,000","27,466,000","190,000","96,000","-25,000","925,000","-5,000","-35,755,000","-752,000","-1,109,000","517,000","-230,000","-1,235,000","-2,161,000","380,000","-11,682,000"
			GainLossOnSaleOfPPE,,,,,,,,,"65,000","-1,458,000",,"284,000","366,000","-22,318,000",,,,"706,000",,,,"-32,000","96,000","-25,000","836,000","-71,000","4,000","6,000","-3,000","-1,000","81,000","3,000","0","0","228,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,"23,008,000","-8,305,000","-3,318,000","1,398,000","1,460,000",,,,,,,,,,,,,,,,,"0","127,000","191,000","191,000","404,000"
			EarningsLossesFromEquityInvestments,,,,,,,,,"1,450,000","252,000","309,000",,,,,,,"85,000","62,000","23,000","60,000","222,000",,,,,"-35,906,000","-2,548,000","-1,106,000","518,000","314,000","-1,238,000","-2,161,000","380,000","70,000"
		DepreciationAmortizationDepletion,,,,,,,,,"48,939,000","50,433,000","54,643,000","52,592,000","56,533,000","57,757,000","58,225,000","35,760,000","31,910,000","31,534,000","36,256,000","29,122,000","24,909,000","15,604,000","15,852,000","15,810,000","15,583,000","16,204,000","14,467,000","13,954,000","14,031,000","14,469,000","14,857,000","5,512,000","4,086,000","4,188,000","4,031,000"
			DepreciationAndAmortization,,,,,,,,,"48,939,000","50,433,000","54,643,000","52,592,000","56,533,000","57,757,000","58,225,000","35,760,000","31,910,000","31,534,000","36,256,000","29,122,000","24,909,000","15,604,000","15,852,000","15,810,000","15,583,000","16,204,000","14,467,000","13,954,000","14,031,000","14,469,000","14,857,000","5,512,000","4,086,000","4,188,000","4,031,000"
				Depreciation,,,,,,,,,,"50,433,000","54,643,000","52,592,000",,,,,,,,,,,,,,,,,,,,,,,
