name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalRevenue,"5,547,154,000","1,544,747,000","1,380,988,000","1,317,002,000","1,304,417,000","1,304,704,000","1,314,724,000","1,298,924,000","1,331,387,000","1,369,752,000","1,298,283,000","1,300,570,000","1,283,744,000","1,243,060,000","1,185,450,000","1,148,316,000","1,131,459,000","1,116,448,000","1,105,532,000","1,082,962,000","1,067,780,000","1,059,228,000","1,051,152,000"
	OperatingRevenue,"5,547,154,000","1,544,747,000","1,380,988,000","1,317,002,000","1,304,417,000","1,304,704,000","1,314,724,000","1,298,924,000","1,331,387,000","1,369,752,000","1,298,283,000","1,300,570,000","1,283,744,000","1,243,060,000","1,185,450,000","1,148,316,000","1,131,459,000","1,116,448,000","1,105,532,000","1,082,962,000","1,067,780,000","1,059,228,000","1,051,152,000"
CostOfRevenue,"1,678,775,000","509,768,000","415,437,000","371,985,000","381,585,000","381,166,000","374,300,000","357,895,000","376,347,000","407,986,000","369,681,000","356,556,000","338,089,000","325,958,000","283,431,000","263,286,000","246,225,000","248,394,000","237,641,000","224,140,000","215,250,000","218,705,000","228,073,000"
GrossProfit,"3,868,379,000","1,034,979,000","965,551,000","945,017,000","922,832,000","923,538,000","940,424,000","941,029,000","955,040,000","961,766,000","928,602,000","944,014,000","945,655,000","917,102,000","902,019,000","885,030,000","885,234,000","868,054,000","867,891,000","858,822,000","852,530,000","840,523,000","823,079,000"
OperatingExpense,"3,742,848,000","958,471,000","935,826,000","928,644,000","919,907,000","919,411,000","918,243,000","884,279,000","891,900,000","942,251,000","845,222,000","884,477,000","845,528,000","820,387,000","808,484,000","769,891,000","810,858,000","788,646,000","762,206,000","752,066,000","744,043,000","814,184,000","725,137,000"
	SellingGeneralAndAdministration,"1,821,755,000","482,348,000","445,137,000","448,634,000","445,636,000","449,602,000","444,715,000","410,933,000","414,031,000","453,227,000","358,714,000","378,645,000","344,664,000","324,509,000","324,323,000","295,119,000","322,538,000","304,970,000","286,152,000","284,137,000","285,656,000","353,255,000","297,559,000"
	DepreciationAmortizationDepletionIncomeStatement,"1,921,093,000","476,123,000","490,689,000","480,010,000","474,271,000","469,809,000","473,528,000","473,346,000","477,869,000","489,024,000","486,508,000","505,832,000","500,864,000","495,878,000","484,161,000","474,772,000","488,320,000","483,676,000","476,054,000","467,929,000","458,387,000","460,929,000","427,578,000"
		DepreciationAndAmortizationInIncomeStatement,"1,921,093,000","476,123,000","490,689,000","480,010,000","474,271,000","469,809,000","473,528,000","473,346,000","477,869,000","489,024,000","486,508,000","505,832,000","500,864,000","495,878,000","484,161,000","474,772,000","488,320,000","483,676,000","476,054,000","467,929,000","458,387,000","460,929,000","427,578,000"
OperatingIncome,"125,531,000","76,508,000","29,725,000","16,373,000","2,925,000","4,127,000","22,181,000","56,750,000","63,140,000","19,515,000","83,380,000","59,537,000","100,127,000","96,715,000","93,535,000","115,139,000","74,376,000","79,408,000","105,685,000","106,756,000","108,487,000","26,339,000","97,942,000"
NetNonOperatingInterestIncomeExpense,"-416,250,000","-6,307,000","-110,143,000","-133,275,000","-166,525,000","-47,724,000","-138,798,000","-156,759,000","-187,265,000","-225,367,000","-153,596,000","-152,431,000","-154,641,000","-158,905,000","-161,987,000","-152,405,000","-174,479,000","-174,333,000","-179,312,000","-184,369,000","-188,099,000","-181,061,000","-184,050,000"
	InterestExpenseNonOperating,"416,250,000","6,307,000","110,143,000","133,275,000","166,525,000","47,724,000","138,798,000","156,759,000","187,265,000","225,367,000","153,596,000","152,431,000","154,641,000","158,905,000","161,987,000","152,405,000","174,479,000","174,333,000","179,312,000","184,369,000","188,099,000","181,061,000","184,050,000"
	TotalOtherFinanceCost,"619,573,000",,,,,,,,,,"153,596,000","152,431,000","154,641,000","158,905,000","161,987,000","152,405,000","174,479,000","174,333,000","179,312,000","184,369,000","188,099,000","181,061,000","184,050,000"
OtherIncomeExpense,"-46,844,000","968,000","-15,818,000","-28,723,000","-3,271,000","-18,860,000","-8,676,000","-40,788,000","-10,447,000","-172,405,000","-18,243,000","-125,103,000","-72,391,000","-26,641,000","-84,640,000","-205,979,000","28,827,000","-70,080,000","-13,576,000","8,455,000","-13,273,000","-17,718,000","-35,293,000"
