name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,03/31/1996
			CurrentDebt,"34,911,000","29,590,000","29,965,000","30,328,000","30,472,000","33,735,000","32,301,000","29,470,000","29,788,000","30,101,000","29,962,000","19,652,000","19,937,000","21,755,000","47,702,000","45,300,000","45,300,000","45,599,000","22,945,000","19,300,000","288,000","284,000","281,000","277,000","274,000","270,000","267,000","264,000","260,000","1,066,000","1,056,000","1,783,000","1,856,000","1,518,000","1,587,000","1,910,000","2,230,000","1,027,000","1,270,000","1,255,000","1,240,000","1,226,000","1,212,000","1,366,000","1,128,000","760,000","471,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,900,000","7,950,000","9,950,000","14,350,000","18,350,000","18,350,000","9,900,000","17,299,000","5,518,000","168,000","336,000","504,000","726,000","816,000","907,000","1,000,000","1,000,000","1,100,000","1,200,000","1,300,000","1,400,000","1,300,000","1,100,000","1,000,000","1,100,000","900,000","1,100,000","1,000,000","800,000"
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,500,000",,"168,000","336,000",,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"34,911,000","29,590,000","29,965,000","30,328,000","30,472,000","33,735,000","32,301,000","29,470,000","29,788,000","30,101,000","29,962,000","19,652,000",,,,,,,,,,,,,,,,,,,,,,,,"1,910,000","2,230,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,799,000",,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"52,122,000","50,049,000","51,683,000","50,955,000","48,896,000","49,370,000","48,319,000","44,035,000","42,146,000","42,829,000","41,934,000","40,804,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"148,906,000","180,854,000","201,050,000","201,706,000","216,594,000","206,807,000","169,612,000","128,079,000","123,019,000","120,275,000","107,817,000","123,304,000","125,540,000","127,286,000","108,977,000","115,579,000","121,439,000","77,371,000","86,293,000","89,129,000","76,682,000","84,430,000","76,093,000","64,576,000","64,624,000","66,595,000","71,110,000","72,910,000","83,528,000","98,818,000","81,852,000","82,937,000","69,127,000","65,212,000","65,388,000","74,917,000","65,822,000",,"81,187,000",,"88,114,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"148,906,000","180,854,000","201,050,000","201,706,000","216,594,000","206,807,000","169,612,000","128,079,000","123,019,000","120,275,000","107,817,000","123,304,000","125,540,000","127,286,000","108,977,000","115,579,000","121,439,000","77,371,000","86,293,000","89,129,000","76,682,000","84,430,000","76,093,000","64,576,000","64,624,000","66,595,000","71,110,000","72,910,000","83,528,000","98,818,000","81,852,000","82,937,000","69,127,000","65,212,000","65,388,000","74,917,000","65,822,000",,"81,187,000",,"88,114,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,101,000","1,101,000","1,101,000","1,101,000","301,000","14,762,000","9,000,000","9,000,000","9,000,000",,,,,,,,,,,,,,,,,,,,,,"13,215,000","10,531,000","14,016,000","5,001,000","5,400,000","5,100,000","5,900,000","6,000,000","5,900,000","4,700,000","4,700,000","5,000,000","6,200,000","5,600,000","5,100,000","3,800,000","3,400,000","2,100,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"2,936,331,000","2,624,437,000","2,585,085,000","2,592,968,000","2,253,796,000","2,259,738,000","2,271,122,000","2,240,004,000","2,229,147,000","1,949,970,000","1,859,496,000","1,798,913,000","1,513,729,000","1,268,805,000","1,281,864,000","1,205,161,000","1,099,645,000","1,093,976,000","1,109,451,000","940,733,000","891,205,000","887,883,000","1,099,078,000","1,071,988,000","991,433,000","972,967,000","896,323,000","900,697,000","846,388,000","859,793,000","767,697,000","835,577,000","738,654,000","721,607,000","672,019,000","638,721,000","639,089,000","643,366,000","605,230,000","603,003,000","598,918,000","488,998,000","468,367,000","373,676,000","358,084,000","354,472,000","349,481,000","327,362,000","356,196,000","442,928,000","104,443,000","104,722,000","24,718,000","18,693,000","18,585,000","18,324,000","17,290,000","17,364,000","20,465,000","20,754,000","13,273,000","11,185,000","11,314,000","10,325,000","9,389,000","7,250,000","5,740,000","4,162,000","3,911,000","3,834,000","3,445,000","3,487,000","2,944,000","2,582,000","2,389,000","2,239,000","1,847,000","2,163,000","2,150,000","2,425,000","2,549,000","1,745,000","1,477,000","890,000","604,000","229,000","766,000","923,000","1,091,000","1,600,000","1,800,000","1,800,000","2,200,000","2,600,000","2,600,000","2,900,000","2,500,000","2,200,000","2,200,000","2,000,000","2,400,000","2,400,000","2,400,000"
		LongTermProvisions,"5,675,000","5,699,000","6,036,000","5,491,000","5,193,000","5,766,000","5,991,000","5,533,000","5,410,000","4,226,000","3,148,000","2,207,000","1,707,000","1,696,000","1,712,000","1,540,000","1,557,000","1,831,000","2,145,000","2,635,000","3,262,000","3,644,000","3,761,000","3,894,000","3,567,000","3,728,000","4,254,000","5,026,000","6,310,000","6,621,000","7,126,000","7,688,000","7,655,000","8,258,000","5,712,000","5,553,000","5,267,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"2,778,880,000","2,467,333,000","2,421,138,000","2,427,941,000","2,116,446,000","2,107,698,000","2,127,762,000","2,097,475,000","2,108,213,000","1,831,850,000","1,740,672,000","1,680,823,000","1,392,903,000","1,136,835,000","1,151,598,000","1,072,901,000","978,405,000","976,138,000","996,472,000","830,843,000","848,483,000","847,144,000","1,060,476,000","1,034,060,000","954,062,000","936,959,000","859,096,000","861,483,000","806,393,000","818,818,000","724,111,000","789,399,000","689,761,000","670,065,000","620,350,000","586,173,000","586,449,000","585,327,000","548,170,000","548,369,000","548,565,000","443,756,000","443,945,000","349,130,000","334,242,000","51,991,000","47,233,000","301,924,000","331,801,000","411,677,000","80,000,000","80,000,000",,,,,,,"3,540,000","4,130,000","4,130,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"168,000","336,000","500,000","700,000","1,000,000","1,200,000","1,500,000","1,800,000","2,000,000","1,500,000","1,300,000","1,100,000","1,200,000","1,400,000","1,400,000","1,700,000"
