name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,09/30/2010
TotalAssets,"1,286,493,000","1,260,118,000","1,134,145,000","1,100,112,000","1,068,395,000","1,153,682,000","1,146,428,000","1,121,127,000","1,112,799,000","1,132,207,000","1,105,574,000","1,104,327,000","1,419,946,000","1,457,843,000","1,482,495,000","1,485,715,000","1,561,170,000","1,581,260,000","1,637,123,000","1,632,879,000","1,555,732,000","1,196,695,000","1,188,551,000","913,151,000","900,398,000","898,449,000","866,251,000","806,714,000","800,249,000","777,291,000","682,234,000","679,334,000","566,278,000","567,696,000","304,231,000","293,817,000","279,732,000","270,206,000","268,073,000","252,338,000","241,759,000","198,209,000","211,268,000","204,592,000","164,836,000"
	CurrentAssets,"706,436,000","671,564,000","521,536,000","476,335,000","432,633,000","509,215,000","481,519,000","450,268,000","417,983,000","410,634,000","398,582,000","413,089,000","445,259,000","459,428,000","458,861,000","454,393,000","475,209,000","481,225,000","562,897,000","569,850,000","480,173,000","641,775,000","612,944,000","328,084,000","308,025,000","329,406,000","384,219,000","309,154,000","308,740,000","278,802,000","373,349,000","365,864,000","248,369,000","254,858,000","244,874,000","243,282,000","227,267,000","216,692,000","213,034,000","195,134,000","185,152,000","139,561,000","156,535,000","147,994,000","120,121,000"
		CashCashEquivalentsAndShortTermInvestments,"503,024,000","477,710,000","344,902,000","308,900,000","268,094,000","354,772,000","333,152,000","265,118,000","221,582,000","210,063,000","176,745,000","185,785,000","192,385,000","185,759,000","192,897,000","182,991,000","190,091,000","196,670,000","214,225,000","249,247,000","144,186,000","377,667,000","356,753,000","90,568,000","81,819,000","77,562,000","161,869,000","80,687,000","73,970,000","48,335,000","173,895,000","173,508,000","63,139,000","66,420,000","110,446,000","115,631,000","103,329,000","92,574,000","84,528,000","77,628,000","74,743,000","33,108,000","45,668,000","36,728,000","23,946,000"
			CashAndCashEquivalents,"127,575,000","273,396,000","156,537,000","144,134,000","105,540,000","128,728,000","129,441,000","131,870,000","120,735,000","108,184,000","75,519,000","85,265,000","92,677,000","87,089,000","94,676,000","85,268,000","162,695,000","152,085,000","130,104,000","167,606,000","112,615,000","353,917,000","332,977,000","66,842,000","58,187,000","47,808,000","122,312,000","80,687,000","73,970,000","48,335,000","173,895,000","173,508,000","63,139,000","66,420,000","110,446,000","115,631,000","103,329,000","92,574,000","84,528,000","77,628,000","74,743,000","33,108,000","45,668,000","36,728,000","23,946,000"
			OtherShortTermInvestments,"375,449,000","204,314,000","188,365,000","164,766,000","162,554,000","226,044,000","203,711,000","133,248,000","100,847,000","101,879,000","101,226,000","100,520,000","99,708,000","98,670,000","98,221,000","97,723,000","27,396,000","44,585,000","84,121,000","81,641,000","31,571,000","23,750,000","23,776,000","23,726,000","23,632,000","29,754,000","39,557,000",,,,,,,,,,,,,,,,,,
		Receivables,"100,552,000","97,444,000","84,570,000","71,619,000","68,281,000","55,209,000","47,124,000","79,408,000","72,122,000","68,506,000","86,451,000","84,862,000","103,151,000","127,503,000","114,976,000","121,230,000","126,063,000","116,056,000","154,589,000","150,455,000","147,908,000","133,270,000","129,938,000","108,085,000","107,681,000","92,524,000","83,950,000","89,714,000","89,350,000","79,452,000","75,156,000","79,805,000","85,490,000","72,093,000","63,876,000","59,415,000","53,515,000","54,280,000","59,123,000","50,592,000","48,489,000","41,618,000","46,212,000","49,011,000","45,522,000"
			AccountsReceivable,"100,552,000","97,444,000","84,570,000","71,619,000","68,281,000","55,209,000","45,884,000","60,504,000","53,003,000","51,777,000","69,790,000","68,084,000","87,386,000","109,683,000","97,375,000","101,285,000","107,093,000","97,123,000","136,096,000","129,838,000","127,709,000","112,245,000","108,331,000","91,962,000","91,604,000","92,524,000","83,950,000","89,714,000","89,350,000","79,452,000","75,156,000","75,795,000","67,913,000","66,468,000","62,961,000","55,195,000","49,646,000","52,142,000","54,184,000","50,592,000","48,489,000","41,618,000","46,212,000","49,011,000","45,522,000"
				GrossAccountsReceivable,,,"87,365,000",,,,"48,777,000","63,929,000","57,410,000","56,247,000","74,837,000","73,003,000","93,298,000","116,023,000","104,170,000","108,928,000","115,096,000","106,047,000","145,506,000","137,725,000","135,773,000","115,700,000","111,610,000","95,487,000","94,934,000",,"89,695,000",,,,"75,382,000",,,,"63,156,000",,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-2,795,000",,,,"-2,893,000","-3,425,000","-4,407,000","-4,470,000","-5,047,000","-4,919,000","-5,912,000","-6,340,000","-6,795,000","-7,643,000","-8,003,000","-8,924,000","-9,410,000","-7,887,000","-8,064,000","-3,455,000","-3,279,000","-3,525,000","-3,330,000",,"-5,745,000",,,,"-226,000",,,,"-195,000",,,,,,,,,,
			TaxesReceivable,,,,,,,"1,240,000","18,904,000","19,119,000","16,729,000","16,661,000","16,778,000","15,765,000","17,820,000","17,601,000","19,945,000","18,970,000","18,933,000","18,493,000","20,617,000","20,199,000","21,025,000","21,607,000","16,123,000","16,077,000",,,,,,,"4,010,000","17,577,000","5,625,000","915,000","4,220,000","3,869,000","2,138,000","4,939,000",,,,,,
