name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006
OperatingCashFlow,"-46,700,000","-13,700,000","-25,500,000","-25,800,000","18,300,000","-35,100,000","-1,000,000","62,200,000","26,400,000","-3,600,000","46,933,000","31,190,000","13,910,000","6,367,000","30,439,000","15,855,000","-6,129,000","-4,266,000","21,800,000","23,278,000","17,964,000","-21,835,000","20,070,000","2,677,000","3,681,000","-10,517,000","-18,595,000","8,746,000","785,000","-3,488,000","4,607,000","4,822,000","508,000","-1,017,000","-3,518,000","3,694,000","4,372,000","-1,200,000","-5,593,000","-3,449,000","-11,114,000","-8,903,000","-7,668,000","-836,000","-9,082,000","-7,866,000","-7,703,000","-12,864,000","-5,880,000","-9,178,000","-9,858,000","-11,002,000","-15,492,000","-12,971,000","-16,976,000","-23,423,000","-28,101,000","-14,111,000","-16,208,000","-12,765,000","-9,534,000","-11,865,000","-11,040,000"
	CashFlowFromContinuingOperatingActivities,"-46,700,000","-13,700,000","-25,500,000","-25,800,000","18,300,000","-35,100,000","-1,000,000","62,200,000","26,400,000","-3,600,000","46,933,000","31,190,000","13,910,000","6,367,000","30,439,000","15,855,000","-6,129,000","-4,266,000","21,800,000","23,278,000","17,964,000","-21,835,000","20,070,000","2,677,000","3,681,000","-10,517,000","-18,595,000","8,746,000","785,000","-3,488,000","4,607,000","4,822,000","508,000","-1,017,000","-3,518,000","3,694,000","4,372,000","-1,200,000","-5,593,000","-3,449,000","-11,114,000","-8,903,000","-7,668,000","-836,000","-9,082,000","-7,866,000","-7,703,000","-12,864,000","-5,880,000","-9,178,000","-9,858,000","-11,002,000","-15,492,000","-12,971,000","-16,976,000","-23,423,000","-28,101,000","-14,111,000","-16,208,000","-12,765,000","-9,534,000","-11,865,000","-11,040,000"
		NetIncomeFromContinuingOperations,"44,600,000","27,800,000","29,200,000","12,600,000","-25,000,000","0","-17,100,000","11,600,000","14,400,000","-2,100,000","4,968,000","852,000","1,402,000","4,378,000","9,893,000","1,659,000","-1,691,000","-6,569,000","-6,860,000","-2,227,000","-7,767,000","-9,977,000","-9,119,000","-3,081,000","-4,198,000","-12,481,000","-27,327,000","-18,927,000","-15,432,000","-11,834,000","-5,400,000","-10,845,000","-29,111,000","-6,144,000","-2,500,000","-21,290,000","-10,519,000","-10,665,000",,,,,,,,"-9,848,000","-20,858,000","-12,100,000","-14,346,000","-13,855,000","-14,932,000","-24,725,000","-20,239,000","-19,645,000","-28,283,000","-20,752,000","-23,882,000","-19,874,000","-15,668,000","-13,639,000","-12,672,000","-11,560,000","-10,880,000"
		OperatingGainsLosses,"8,700,000",,"800,000","1,500,000",,,,,,,"2,249,000",,,,,,,,,,,,"0",,,,,,,,"0","4,260,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"427,000"
		DepreciationAmortizationDepletion,"59,900,000","15,300,000","14,900,000","14,500,000","15,200,000","12,800,000","25,700,000","10,900,000","9,900,000","8,900,000","9,116,000","7,758,000","5,891,000","5,135,000","4,392,000","4,123,000","3,609,000","3,522,000","3,321,000","3,826,000","3,384,000","3,323,000","3,359,000","3,629,000","3,423,000","3,422,000","4,432,000","4,292,000","3,681,000","3,433,000","3,055,000","3,068,000","3,030,000","3,070,000","2,947,000","3,096,000","2,859,000","2,904,000","2,938,000","2,594,000","2,654,000","2,844,000","2,820,000","2,836,000","1,684,000","1,163,000","1,131,000","1,250,000","1,258,000","1,438,000","1,221,000","1,370,000","1,325,000","1,306,000","1,710,000","1,781,000","2,064,000","1,416,000","1,389,000","1,393,000","1,232,000","906,000","762,000"
			DepreciationAndAmortization,"59,900,000","15,300,000","14,900,000","14,500,000","15,200,000","12,800,000","25,700,000","10,900,000","9,900,000","8,900,000","9,116,000","7,758,000","5,891,000","5,135,000","4,392,000","4,123,000","3,609,000","3,522,000","3,321,000","3,826,000","3,384,000","3,323,000","3,359,000","3,629,000","3,423,000","3,422,000","4,432,000","4,292,000","3,681,000","3,433,000","3,055,000","3,068,000","3,030,000","3,070,000","2,947,000","3,096,000","2,859,000","2,904,000","2,938,000","2,594,000","2,654,000","2,844,000","2,820,000","2,836,000","1,684,000","1,163,000","1,131,000","1,250,000","1,258,000","1,438,000","1,221,000","1,370,000","1,325,000","1,306,000","1,710,000","1,781,000","2,064,000","1,416,000","1,389,000","1,393,000","1,232,000","906,000","762,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,163,000","1,131,000","1,250,000","1,258,000","1,438,000","1,221,000","1,370,000","1,325,000","1,306,000","1,710,000","1,781,000","1,526,000","1,358,000","1,329,000","1,333,000","1,173,000","846,000","586,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","538,000","58,000","60,000","60,000","59,000","60,000","176,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","538,000","58,000","60,000","60,000","59,000","60,000","176,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,220,000","2,142,000","1,425,000","1,424,000","7,754,000","1,887,000","2,386,000","1,238,000","1,077,000","7,823,000","1,633,000","1,039,000",,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,,,,,"0","0",,,"3,411,000","0",,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"2,000,000","800,000","300,000","700,000","200,000","1,900,000","200,000","500,000","2,000,000","600,000","1,856,000","675,000","1,162,000","807,000","794,000","1,002,000","889,000","697,000","420,000","780,000","427,000","295,000","181,000","815,000","419,000","655,000","-1,578,000","1,582,000","852,000","328,000","585,000","865,000","913,000","891,000","799,000","1,374,000","1,241,000","1,327,000","1,088,000","835,000","587,000","899,000","1,465,000","894,000","439,000","367,000",,,,,,,,,,,,,,,,,
		StockBasedCompensation,"35,300,000","9,500,000","8,600,000","8,200,000","9,000,000","8,600,000","15,600,000","6,600,000","5,800,000","7,900,000","7,996,000","6,626,000","8,294,000","5,784,000","6,316,000","16,088,000","6,936,000","8,181,000","8,390,000","8,896,000","7,531,000","7,124,000","6,767,000","6,066,000","5,513,000","5,271,000","5,326,000","4,222,000","4,325,000","5,305,000","4,272,000","9,670,000","4,217,000","4,360,000","2,883,000","2,956,000","3,849,000","2,995,000","2,420,000","2,345,000","2,546,000","2,609,000","2,128,000","1,790,000","1,855,000","1,961,000","1,107,000","1,272,000","1,374,000","1,311,000","1,017,000","954,000","1,030,000","1,201,000",,,,,,,,,
		OtherNonCashItems,"28,400,000","900,000","9,300,000","7,500,000","10,700,000","13,900,000","12,100,000","11,600,000","10,400,000","11,900,000","10,576,000","11,341,000","7,486,000","7,297,000","7,727,000","7,258,000","7,088,000","7,209,000","5,304,000","4,263,000","4,447,000","3,994,000","3,812,000","2,132,000","2,001,000","2,123,000","1,957,000","1,932,000","1,906,000","1,883,000","1,856,000","2,528,000","3,341,000","2,528,000","1,330,000","2,593,000","3,225,000","2,908,000","44,329,000","-9,849,000","-11,940,000","-12,328,000","-14,195,000","-13,416,000","-27,155,000","121,000","1,923,000","1,048,000","910,000","1,215,000","2,330,000","2,588,000","630,000","1,359,000","11,350,000","2,022,000","2,218,000","1,246,000","1,095,000","1,752,000","556,000","357,000","849,000"
