name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,03/31/2008,03/31/2007
TotalRevenue,"122,062,000","35,340,000","24,501,000","36,769,000","25,453,000","18,032,000","21,033,000","18,385,000","14,967,000","14,670,000","18,650,000","21,906,000","12,319,000","15,583,000","16,068,000","16,946,000","13,538,000","14,042,000","21,723,000","9,984,000","10,347,000","7,971,000","9,969,000","14,870,000","16,002,000","7,996,000","11,586,000","17,401,000","6,018,000","6,798,000","14,191,000","7,472,000","6,570,000","7,074,000","9,525,000","3,943,000","6,974,000","11,481,000","7,912,000","26,341,000","22,909,000","31,136,000","33,493,000","33,282,000","26,055,000","31,034,000","29,811,000","27,113,000","24,480,000","25,700,000","24,238,000","20,062,000","19,198,000","19,410,000","18,598,000","8,374,000","4,704,000"
	OperatingRevenue,"122,062,000","35,340,000","24,501,000","36,769,000","25,453,000","18,032,000","21,033,000","18,385,000","14,967,000","14,670,000","18,650,000","21,906,000","12,319,000","15,583,000","16,068,000","16,946,000","13,538,000","14,042,000","19,979,000","9,877,000","9,991,000","7,587,000","9,594,000","14,425,000","15,344,000","7,274,000","10,813,000","16,335,000","4,553,000","5,273,000","12,510,000","5,926,000","4,442,000","5,131,000","4,894,000","3,943,000","6,974,000","11,481,000","5,665,000","26,341,000","22,909,000","31,136,000","33,493,000","33,282,000","26,055,000","31,034,000","29,811,000","27,113,000","24,480,000","25,700,000","24,249,000","20,062,000","19,198,000","19,410,000","18,532,000","8,291,000","4,627,000"
CostOfRevenue,"26,512,000","8,521,000","6,806,000","6,867,000","4,318,000","4,218,000","5,860,000","3,642,000","1,699,000","2,541,000","3,402,000","5,067,000","2,772,000","4,391,000","2,392,000","3,791,000","2,611,000","3,825,000","3,559,000","3,976,000","3,790,000","3,002,000","2,287,000","2,756,000","2,221,000","2,489,000","2,577,000","1,302,000","1,250,000","1,456,000","3,547,000","1,532,000","2,123,000","2,524,000","4,764,000","494,000","3,631,000","5,665,000","5,779,000","6,397,000","5,829,000","12,642,000","13,068,000","9,958,000","7,106,000","11,650,000","8,126,000","8,563,000","6,075,000","5,218,000","4,792,000","4,618,000","3,412,000","3,856,000","5,266,000","2,887,000","1,351,000"
GrossProfit,"95,550,000","26,819,000","17,695,000","29,902,000","21,135,000","13,814,000","15,173,000","14,743,000","13,268,000","12,129,000","15,248,000","16,839,000","9,547,000","11,192,000","13,676,000","13,155,000","10,927,000","10,217,000","18,164,000","6,008,000","6,557,000","4,969,000","7,682,000","12,114,000","13,781,000","5,507,000","9,009,000","16,099,000","4,768,000","5,342,000","10,644,000","5,940,000","4,447,000","4,550,000","4,761,000","3,449,000","3,343,000","5,816,000","2,133,000","19,944,000","17,080,000","18,494,000","20,425,000","23,324,000","18,949,000","19,384,000","21,685,000","18,550,000","18,405,000","20,482,000","19,446,000","15,444,000","15,786,000","15,554,000","13,332,000","5,487,000","3,353,000"
OperatingExpense,"117,478,000","35,205,000","28,080,000","28,572,000","25,621,000","22,969,000","19,097,000","20,807,000","19,375,000","19,956,000","16,195,000","16,580,000","16,170,000","16,431,000","14,320,000","15,261,000","14,765,000","14,924,000","17,284,000","16,044,000","12,894,000","12,445,000","12,932,000","10,696,000","11,532,000","12,488,000","11,242,000","10,409,000","10,466,000","10,871,000","10,193,000","10,195,000","13,358,000","10,946,000","14,612,000","12,663,000","15,793,000","15,446,000","17,881,000","22,100,000","22,439,000","25,744,000","25,329,000","25,657,000","24,241,000","22,763,000","21,998,000","21,010,000","21,656,000","21,582,000","24,171,000","20,938,000","18,290,000","21,197,000","19,713,000","18,593,000","8,799,000"
	SellingGeneralAndAdministration,"53,630,000","15,705,000","11,723,000","13,407,000","12,795,000","11,398,000","8,742,000","8,797,000","8,522,000","8,989,000","7,322,000","7,869,000","7,896,000","8,415,000","6,806,000","7,344,000","7,395,000","7,746,000","7,867,000","7,989,000","6,546,000","6,606,000","6,968,000","5,229,000","6,420,000","6,802,000","6,026,000","5,415,000","5,296,000","5,578,000","5,146,000","5,157,000","5,625,000","6,112,000","5,782,000","5,832,000","7,169,000","8,124,000","7,286,000","7,909,000","6,789,000","9,395,000","9,782,000","8,871,000","9,276,000","9,013,000","8,649,000","7,940,000","8,652,000","8,600,000","8,932,000","8,699,000","6,178,000","6,063,000","7,409,000","8,738,000","4,036,000"
	ResearchAndDevelopment,"63,848,000","19,500,000","16,357,000","15,165,000","12,826,000","11,571,000","10,355,000","12,010,000","10,853,000","10,967,000","8,873,000","8,711,000","8,274,000","8,016,000","7,514,000","7,917,000","7,370,000","7,178,000","9,417,000","8,055,000","6,348,000","5,839,000","5,964,000","5,467,000","5,112,000","5,686,000","5,216,000","4,994,000","5,170,000","5,293,000","5,047,000","5,038,000","7,733,000","4,834,000","8,830,000","6,831,000","8,624,000","7,322,000","10,595,000","14,191,000","15,650,000","16,349,000","15,547,000","16,786,000","14,965,000","13,750,000","13,349,000","13,070,000","13,004,000","12,982,000","15,239,000","12,239,000","12,112,000","15,134,000","12,304,000","9,855,000","4,763,000"
OperatingIncome,"-21,928,000","-8,386,000","-10,385,000","1,330,000","-4,486,000","-9,155,000","-3,924,000","-6,064,000","-6,107,000","-7,827,000","-947,000","259,000","-6,623,000","-5,239,000","-644,000","-2,106,000","-3,838,000","-4,707,000","880,000","-10,036,000","-6,337,000","-7,476,000","-5,250,000","1,418,000","2,249,000","-6,981,000","-2,233,000","5,690,000","-5,698,000","-5,529,000","451,000","-4,255,000","-8,911,000","-6,396,000","-9,851,000","-9,214,000","-12,450,000","-9,630,000","-15,748,000","-2,156,000","-5,359,000","-7,250,000","-4,904,000","-2,333,000","-5,292,000","-3,379,000","-313,000","-2,460,000","-3,251,000","-1,100,000","-4,725,000","-5,494,000","-2,504,000","-5,643,000","-6,381,000","-13,106,000","-5,446,000"
NetNonOperatingInterestIncomeExpense,"324,000","42,000","35,000","41,000","206,000","177,000","43,000","39,000","57,000","266,000","358,000","480,000","220,000","231,000","227,000","199,000","174,000","71,000","51,000","28,000","49,000","18,000","20,000","12,000","13,000","15,000","7,000","4,000","4,000","4,000","3,000","3,000","3,000","9,000","8,000","9,000","16,000","27,000","64,000","61,000","-83,000","-43,000","-219,000","-335,000","87,000","32,000","-121,000","26,000","-608,000","-330,000","-468,000","-680,000","-313,000","-396,000","255,000","-705,000","336,000"
	InterestIncomeNonOperating,"324,000","42,000","35,000","41,000","206,000","177,000","43,000","39,000","57,000","266,000","358,000","480,000","220,000","231,000","227,000","199,000","174,000","71,000","51,000","28,000","49,000","18,000","20,000","12,000","13,000","15,000","7,000","4,000","4,000","4,000","3,000","3,000","3,000","9,000","7,000","9,000","16,000","27,000","42,000","61,000","74,000","75,000","78,000","76,000","87,000","49,000","31,000","61,000","46,000","28,000","39,000","64,000","45,000","31,000","103,000","761,000","368,000"
