name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
OperatingCashFlow,"33,409,000","-3,433,000","13,088,000","-22,378,000","46,132,000","3,287,000","6,046,000","-12,873,000","38,673,000","4,971,000","-2,480,760","5,707,128","3,922,632","4,865,000","1,816,454","2,119,921"
	CashFlowFromContinuingOperatingActivities,"33,409,000","-3,433,000","13,088,000","-22,378,000","46,132,000","3,287,000","6,046,000","-12,873,000","38,673,000","4,971,000","-2,480,760","5,707,128","3,922,632","4,865,000","1,816,454","2,119,921"
		NetIncomeFromContinuingOperations,"-44,588,000","44,839,000","-44,408,000","-24,222,000","-20,104,000","30,614,000","-19,118,000","-7,615,000","-7,859,000","4,707,000","-26,931,069","-2,305,576","-2,959,355","9,742,000","-862,813","52,448"
		OperatingGainsLosses,,"-15,810,000","-1,036,000","334,000",,,,,,,"6,617,161","0","-161","115,000",,
			GainLossOnInvestmentSecurities,,"-15,810,000","-1,036,000","334,000",,,,,,,,,,,,
		DepreciationAmortizationDepletion,"58,927,000","18,550,000","15,713,000","13,349,000","11,315,000","11,131,000","6,273,000","5,443,000","4,690,000","3,761,000","3,295,857","3,265,757","2,984,386","1,003,000","910,659","849,502"
			DepreciationAndAmortization,"58,927,000","18,550,000","15,713,000","13,349,000","11,315,000","11,131,000","6,273,000","5,443,000","4,690,000","3,761,000","3,295,857","3,265,757","2,984,386","1,003,000","910,659","849,502"
		StockBasedCompensation,"23,215,000","7,564,000","7,272,000","3,834,000","4,545,000","3,542,000","2,387,000","2,240,000","1,978,000","1,139,000","3,017,393","166,950","69,657","23,000","374,220","341,300"
		OtherNonCashItems,"29,535,000","-15,463,000","19,109,000","12,322,000","13,567,000","-810,000","8,437,000","6,233,000","3,384,000","1,737,000","14,908,385","1,298,157","-283,542","-2,456,000","612,912","1,110,347"
		ChangeInWorkingCapital,"-17,993,000","-43,113,000","16,438,000","-27,995,000","35,984,000","-41,190,000","8,000,000","-19,174,000","36,480,000","-6,373,000","-3,388,487","3,281,840","4,111,647","-3,562,000","781,476","-233,676"
			ChangeInReceivables,"-49,496,000","-35,359,000","-6,370,000","-5,858,000","-2,083,000","-50,190,000","5,911,000","-3,173,000","-4,330,000","-5,212,000","-5,557,418","-8,790,706","9,468,124","-1,046,000","-737,579","670,405"
				ChangesInAccountReceivables,"-49,496,000","-35,359,000","-6,351,000","-5,793,000","-1,993,000","-50,364,000","5,889,000","-3,253,000","-4,243,000","-5,221,000","-5,558,914","-8,749,622","9,347,536","-1,039,000","-647,076","598,773"
			ChangeInPrepaidAssets,"-16,473,000","-8,908,000","-2,259,000","-3,519,000","-1,618,000","-636,000","-1,841,000","564,000","300,000","-634,000","-2,246,824","-157,197","58,021","-285,000","-284,884","-85,790"
			ChangeInPayablesAndAccruedExpense,"48,064,000","627,000","24,485,000","-18,618,000","39,685,000","9,636,000","3,930,000","-16,565,000","40,510,000","-527,000","3,984,449","12,996,857","-5,737,306","-2,244,000","2,870,323","-2,249,842"
				ChangeInPayable,"48,064,000","627,000","24,485,000","-18,618,000","39,685,000","9,636,000","3,930,000","-16,565,000","40,510,000","-527,000","3,984,449","12,996,857","-5,737,306","-2,244,000","2,870,323","-2,249,842"
					ChangeInAccountPayable,"48,064,000","627,000","24,485,000","-18,618,000","39,685,000","9,636,000","3,930,000","-16,565,000","40,510,000","-527,000","3,984,449","12,996,857","-5,737,306","-2,244,000","2,870,323","-2,249,842"
