name,ttm
TotalRevenue,"30,788,158"
	OperatingRevenue,"30,788,158"
OperatingExpense,"610,244"
	SellingGeneralAndAdministration,"568,133"
		GeneralAndAdministrativeExpense,"568,133"
	OtherOperatingExpenses,"42,111"
PretaxIncome,"30,096,093"
NetIncomeCommonStockholders,"30,096,093"
	NetIncome,"30,096,093"
		NetIncomeIncludingNoncontrollingInterests,"30,096,093"
			NetIncomeContinuousOperations,"30,096,093"
DilutedNIAvailtoComStockholders,"30,096,093"
NetIncomeFromContinuingAndDiscontinuedOperation,"30,096,093"
NormalizedIncome,"30,155,822.33"
InterestIncome,"51,334,508"
InterestExpense,"3,975,506"
NetInterestIncome,"47,359,002"
NetIncomeFromContinuingOperationNetMinorityInterest,"30,096,093"
TotalUnusualItemsExcludingGoodwill,"-81,821"
TotalUnusualItems,"-81,821"
TaxRateForCalcs,"0.27"
TaxEffectOfUnusualItems,"-22,091.67"
