name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007
MarketCap,"3,022,954,659","2,652,867,616","3,221,442,840","2,660,487,628","2,569,373,647","2,628,156,253","6,051,045,314","3,665,561,178","3,894,015,537","2,378,837,584","2,487,770,044","2,043,272,747","3,176,093,743","3,046,591,080","1,814,297,991","2,286,640,493","2,943,923,377","2,810,846,941","2,392,615,227","2,481,656,320","1,443,748,417","1,018,374,548","707,361,189","1,052,820,829","733,870,551","1,058,122,832","1,212,762,229","1,743,398,685","1,674,897,563","1,048,560,163","795,028,224","471,582,648","243,385,335","133,184,336","145,642,227","115,145,479","115,641,795","157,332,400","133,012,880","256,565,821","255,068,929","183,864,167","119,210,468","133,072,151","205,505,045","244,719,716","162,191,980","108,339,854","61,909,966","88,168,531","90,009,535","198,127,860","259,264,456","203,000,309","177,430,719","336,184,521","237,463,669","237,908,358","239,020,079","371,537,258","259,253,407"
EnterpriseValue,"3,059,465,659","2,610,500,616","3,103,871,840","2,719,160,628","2,592,928,647","2,586,617,253","5,982,542,314","3,558,190,178","3,764,903,537","2,136,322,584","2,178,878,044","1,655,617,747","2,945,207,743","2,864,179,080","1,568,722,991","1,917,128,493","2,548,171,377","2,616,758,941","2,142,729,227","2,413,595,320","1,320,765,417","842,770,548","560,986,189","903,964,829","606,528,551","885,690,832","1,026,253,229","1,609,028,685","1,540,527,563","911,235,163","724,148,224","407,943,648","186,146,335","65,657,336","85,545,227","41,467,479","31,487,795","58,907,400","34,587,880","162,107,821","148,598,929","129,206,167","51,039,468","64,901,151","124,130,045","152,929,716","57,083,980","53,454,854","-4,091,034","10,223,531","15,687,535","113,097,860","161,588,456","94,870,309","57,500,719","201,502,521","94,466,669","85,688,358","80,214,079","249,271,258","194,796,407"
PeRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11.867","1.59",,,
PsRatio,"9.419","8.413","10.408","8.905","9.422","9.804","24.193","15.945","18.156","12.19","13.67","12.667","22.43","27.692","23.527","32.894","51.056","62.455","84.716","131.738","153.14","193.28","303.799",,,,,"4,320.614","1,516.178","661.726","358.665","273.015","224.173","292.458","2,988.067",,"10.623","7.845","6.633","6.686","8.381","8.516","6.942","7.75","17.402","31.175","141.381","2.024","1.001","1.23","1.396","10.289","14.39","12.541","11.993","190.29","143.55","111.561","79.756",,
PbRatio,"12.669","8.631","8.553","12.437","10.241","9.177","18.894","10.155","9.672","4.993","4.538","3.405","7.032","9.129","4.415","4.072","5.661","8.012","5.866","9.351","4.646","2.828","2.107","3.15","2.355","3.042","3.202","5.301","16.103","8.582","18.371","12.988","7.83","2.911","5.498","2.911","2.168","2.273","1.922","3.508","3.158","8.275","3.24","3.617","4.607","4.612","2.498","2.146","0.962","1.188","1.253","5.331","5.33","3.431","2.542","4.112","2.682","2.464","2.332","3.048",
EnterprisesValueRevenueRatio,"9.626","33.164","37.781","34.184","33.495","38.954","84.773","52.763","60.38","35.297","39.406","33.949","66.739","84.127","48.055","93.083","119.582","156.73","145.477","221.96","184.516","202.152","198.158","424.995",,,,,,,,"1,392.299","391.887","143.985","264.028","1,063.269",,,,,"13.97","16.62","9.066","11.194","30.725","25.634","61.913",,,,"0.317","23.02","30.141","20.597","13.234","55.161","24.814","27.117",,,
EnterprisesValueEBITDARatio,"-13.889","-36.311","-43.955","-66.661","-70.111","-47.473","-95.309","-65.888","-87.322","-25.71","-25.754","-29.088","-37.732","-25.417","-23.333","-12.495","-45.535","-57.071","-33.364","-8.901","-30.648","-16.915","-9.526","-20.317","-12.208","-21.051","-24.748","-43.036","-58.261","-38.928","-33.539","-24.879","-13.446","-4.326","-5.581","-2.93","-2.115","-3.463","-2.696","-10.228","-16.723","-10.195","-4.281","-6.944","-10.196","-11.888","-3.638","-3.617","0.381","-0.814","0.467","-8.847","-12.37","-7.947","-3.988","-22.598","-9.299","-9.556","-6.091","-21.693","-19.534"
