name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987
TotalRevenue,"1,427,312,000","98,835,000","350,936,000","753,404,000","224,137,000","9,742,000","33,877,000","87,457,000","6,586,000","53,635,000","257,246,000","714,512,000","436,190,000","66,977,000","249,784,000","663,703,000","380,316,000","54,727,000","228,162,000","652,689,000","392,798,000","48,318,000","191,966,000","650,283,000","388,034,000","58,438,000","166,916,000","644,637,000","377,408,000","46,817,000","160,807,000","595,318,000","363,014,000","40,466,000","139,077,000","592,076,000","361,620,000","41,799,000","129,205,000","553,445,000","357,606,000","28,198,000","144,845,000","572,268,000","284,490,000","26,869,000","129,689,000","545,000,000","275,587,000","27,316,000","105,570,000","519,913,000","264,126,000","26,466,000","119,274,000","540,322,000","296,234,000","40,402,000","115,447,000","567,513,000","274,014,000","29,999,000","119,866,000","542,149,000","145,429,000","23,945,000","78,029,000","317,025,000","148,852,000","24,801,000","68,159,000","305,602,000","145,001,000","23,210,000","61,050,000","282,212,000","145,215,000","21,499,000","57,833,000","273,513,000","147,569,000","23,936,000","48,019,000","285,635,000","123,665,000","19,937,000","6,118,000","266,823,000","129,504,000","20,548,000","3,200,000","240,700,000","124,200,000","23,200,000","38,000,000","234,200,000","120,500,000","18,000,000","8,700,000","174,800,000","79,200,000","1,400,000","2,900,000","167,500,000","79,800,000","300,000","1,700,000","161,200,000","54,900,000","400,000","600,000","142,100,000","55,300,000","400,000","400,000","127,000,000","51,200,000","300,000","300,000","110,800,000","41,600,000","300,000","400,000","84,100,000","43,200,000","300,000","500,000","88,300,000","32,900,000","300,000","500,000","84,600,000","34,500,000","400,000","100,000","71,200,000","31,200,000","300,000","300,000","69,100,000","33,100,000","300,000"
	OperatingRevenue,"1,427,312,000","98,835,000","350,936,000","753,404,000","224,137,000","9,742,000","33,877,000","87,457,000","6,586,000","53,635,000","257,246,000","714,512,000","436,190,000","66,977,000","249,784,000","663,703,000","380,316,000","54,727,000","228,162,000","652,689,000","392,798,000","48,318,000","191,966,000","650,283,000","388,034,000","58,438,000","166,916,000","644,637,000","377,408,000","46,817,000","160,807,000","595,318,000","363,014,000","40,466,000","139,077,000","592,076,000","361,620,000","41,799,000","129,205,000","553,445,000","357,606,000","28,198,000","144,845,000","572,268,000","284,490,000","26,869,000","129,689,000","545,000,000","275,587,000","27,316,000","105,570,000","519,913,000","264,126,000","26,466,000","119,274,000","540,322,000","296,234,000","40,402,000","115,447,000","567,513,000","274,014,000","29,999,000","119,866,000","542,149,000","145,429,000","23,945,000","78,029,000","317,025,000","148,852,000","24,801,000","68,159,000","305,602,000","145,001,000","23,210,000","61,050,000","282,212,000","145,215,000","21,499,000","57,833,000","273,513,000","147,569,000","23,936,000","48,019,000","285,635,000","123,665,000","19,937,000","6,118,000","266,823,000","129,504,000","20,548,000","3,200,000","240,700,000","124,200,000","23,200,000","38,000,000","234,200,000","120,500,000","18,000,000","8,700,000","174,800,000","79,200,000","1,400,000","2,900,000","167,500,000","79,800,000","300,000","1,700,000","161,200,000","54,900,000","400,000","600,000","142,100,000","55,300,000","400,000","400,000","127,000,000","51,200,000","300,000","300,000","110,800,000","41,600,000","300,000","400,000","84,100,000","43,200,000","300,000","500,000","88,300,000","32,900,000","300,000","500,000","84,600,000","34,500,000","400,000","100,000","71,200,000","31,200,000","300,000","300,000","69,100,000","33,100,000","300,000"
CostOfRevenue,"120,984,000","10,824,000","27,028,000","59,502,000","23,630,000","2,306,000","7,963,000","11,638,000","2,005,000","6,385,000","20,332,000","58,475,000","39,808,000","7,649,000","19,821,000","53,891,000","35,018,000","6,003,000","18,435,000","52,647,000","34,249,000","5,480,000","13,748,000","52,057,000","34,566,000","6,237,000","13,959,000","52,174,000","33,106,000","5,588,000","12,321,000","46,812,000","31,090,000","4,985,000","9,839,000","45,843,000","31,053,000","5,037,000","-369,710,000","210,664,000","178,722,000","75,372,000","91,369,000","210,210,000","152,089,000","69,240,000","422,199,000","45,591,000","26,350,000","66,633,000","77,575,000","202,213,000","142,948,000","64,932,000","-336,630,000","200,998,000","152,567,000","73,691,000","88,175,000","210,183,000","150,827,000","62,494,000","89,129,000","204,498,000","87,147,000","39,692,000","51,615,000","122,790,000","87,623,000","39,221,000","54,990,000","124,185,000","85,242,000","34,366,000","47,168,000","107,019,000","80,817,000","34,607,000","45,457,000","108,206,000","79,769,000","36,085,000","44,816,000","115,730,000","71,885,000","31,827,000","2,534,000","106,894,000","72,522,000","32,398,000","2,000,000","95,100,000","68,900,000","30,200,000","23,600,000","91,500,000","66,000,000","30,300,000","15,500,000","61,900,000","44,100,000","13,300,000","12,200,000","57,000,000","40,900,000","11,300,000","11,700,000","54,400,000","28,700,000","9,000,000",,,,"8,200,000","8,000,000","43,900,000","26,600,000","7,400,000","8,100,000","40,100,000","20,500,000","5,300,000","5,800,000","28,700,000","20,300,000","5,300,000","5,100,000","31,000,000","16,700,000","4,700,000","4,700,000","30,000,000","4,500,000",,,,,,,,,
GrossProfit,"1,306,328,000","88,011,000","323,908,000","693,902,000","200,507,000","7,436,000","25,914,000","75,819,000","4,581,000","47,250,000","236,914,000","656,037,000","396,382,000","59,328,000","229,963,000","609,812,000","345,298,000","48,724,000","209,727,000","600,042,000","358,549,000","42,838,000","178,218,000","598,226,000","353,468,000","52,201,000","152,957,000","592,463,000","344,302,000","41,229,000","148,486,000","548,506,000","331,924,000","35,481,000","129,238,000","546,233,000","330,567,000","36,762,000","498,915,000","342,781,000","178,884,000","-47,174,000","53,476,000","362,058,000","132,401,000","-42,371,000","-292,510,000","499,409,000","249,237,000","-39,317,000","27,995,000","317,700,000","121,178,000","-38,466,000","455,904,000","339,324,000","143,667,000","-33,289,000","27,272,000","357,330,000","123,187,000","-32,495,000","30,737,000","337,651,000","58,282,000","-15,747,000","26,414,000","194,235,000","61,229,000","-14,420,000","13,169,000","181,417,000","59,759,000","-11,156,000","13,882,000","175,193,000","64,398,000","-13,108,000","12,376,000","165,307,000","67,800,000","-12,149,000","3,203,000","169,905,000","51,780,000","-11,890,000","3,584,000","159,929,000","56,982,000","-11,850,000","1,200,000","145,600,000","55,300,000","-7,000,000","14,400,000","142,700,000","54,500,000","-12,300,000","-6,800,000","112,900,000","35,100,000","-11,900,000","-9,300,000","110,500,000","38,900,000","-11,000,000","-10,000,000","106,800,000","26,200,000","-8,600,000",,,,"-7,800,000","-7,600,000","83,100,000","24,600,000","-7,100,000","-7,800,000","70,700,000","21,100,000","-5,000,000","-5,400,000","55,400,000","22,900,000","-5,000,000","-4,600,000","57,300,000","16,200,000","-4,400,000","-4,200,000","54,600,000","30,000,000",,,,,,,,,
OperatingExpense,"1,139,081,000","170,235,000","290,093,000","441,750,000","237,003,000","97,957,000","135,152,000","196,399,000","145,633,000","136,265,000","218,952,000","379,040,000","293,456,000","143,460,000","188,511,000","347,993,000","273,677,000","123,031,000","180,336,000","344,433,000","263,052,000","117,273,000","150,909,000","329,076,000","257,195,000","115,407,000","147,275,000","309,018,000","250,495,000","107,959,000","136,287,000","294,098,000","240,783,000","106,061,000","125,062,000","286,616,000","233,083,000","102,482,000","488,409,000","113,740,000","92,841,000","21,830,000","44,932,000","114,597,000","79,997,000","24,705,000","-299,476,000","264,822,000","210,069,000","21,240,000","43,293,000","96,548,000","80,501,000","17,778,000","439,870,000","124,072,000","89,213,000","23,115,000","46,906,000","172,402,000","83,028,000","18,387,000","32,620,000","108,450,000","38,410,000","11,947,000","20,181,000","58,062,000","38,868,000","13,025,000","19,334,000","56,231,000","36,865,000","12,929,000","17,930,000","49,223,000","36,846,000","11,217,000","16,428,000","46,568,000","35,462,000","7,223,000","21,373,000","46,650,000","34,393,000","12,025,000","1,930,000","42,957,000","28,202,000","9,834,000","1,400,000","37,300,000","27,000,000","10,400,000","5,300,000","37,200,000","26,100,000","6,900,000","4,400,000","27,200,000","18,200,000","3,200,000","2,900,000","25,200,000","17,100,000","2,900,000","2,500,000","24,500,000","12,400,000","2,100,000",,,,"2,200,000","2,300,000","18,700,000","12,200,000","2,400,000","2,000,000","17,100,000","9,000,000","1,700,000","1,700,000","13,000,000","9,100,000","1,600,000","1,400,000","13,200,000","8,000,000","1,500,000","1,300,000","12,800,000","21,200,000",,,,,,,,,
	SellingGeneralAndAdministration,"230,194,000","40,786,000","51,479,000","90,863,000","47,066,000","30,350,000","31,437,000","28,145,000","23,727,000","24,809,000","47,725,000","83,080,000","59,781,000","31,666,000","43,496,000","67,114,000","54,041,000","28,682,000","42,628,000","71,663,000","51,860,000","27,619,000","39,748,000","65,099,000","51,371,000","25,612,000","38,213,000","61,394,000","46,065,000","25,818,000","31,638,000","57,205,000","46,617,000","21,404,000","26,879,000","58,727,000","45,767,000","21,039,000","22,823,000","52,993,000","44,511,000","17,984,000","30,300,000","51,978,000","37,233,000","20,915,000","-312,939,000","200,757,000","166,080,000","17,351,000","24,152,000","53,233,000","37,524,000","13,564,000","16,130,000","56,961,000","41,859,000","16,932,000","17,778,000","65,980,000","37,375,000","14,069,000","19,921,000","52,138,000","20,192,000","8,473,000","13,458,000","29,960,000","21,382,000","9,571,000","11,526,000","30,718,000","19,778,000","8,149,000","10,484,000","27,850,000","19,568,000","6,756,000","10,123,000","26,297,000","19,588,000","7,223,000","18,917,000","28,337,000","17,943,000","6,758,000","385,000","23,996,000","16,371,000","6,585,000","600,000","21,500,000","15,000,000","7,100,000","2,900,000","21,300,000","15,600,000","4,400,000","3,700,000","14,900,000","10,000,000","2,900,000","2,500,000","14,200,000","9,500,000","2,800,000","2,400,000","13,400,000","7,000,000","2,000,000",,,,"2,100,000","2,200,000","9,900,000","6,700,000","2,300,000","2,000,000","9,000,000","4,800,000","1,600,000","1,600,000","7,000,000","4,900,000","1,600,000","1,400,000","7,200,000","4,300,000","1,500,000","1,200,000","7,200,000","17,800,000",,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"156,949,000","9,599,000","35,897,000","77,461,000","33,992,000","1,453,000","30,102,000","67,436,000","54,923,000","5,088,000","32,628,000","68,335,000","55,904,000","13,589,000","23,415,000","74,374,000","52,219,000","5,521,000","26,985,000","70,060,000","50,812,000","5,365,000","13,701,000","64,685,000","48,299,000","5,191,000","15,456,000","59,059,000","47,105,000","4,011,000","14,761,000","58,244,000","46,974,000","4,307,000","14,174,000","57,495,000","46,032,000","4,786,000","14,183,000","60,747,000","48,330,000","3,846,000","14,632,000","62,619,000","42,764,000","3,790,000","15,172,000","63,746,000","43,989,000","3,889,000","19,141,000","66,413,000","42,977,000","4,214,000","14,580,000","60,986,000","44,089,000","6,183,000","13,448,000","67,204,000","45,653,000","4,318,000","12,699,000","56,312,000","18,218,000","3,474,000","6,723,000","28,102,000","17,486,000","3,454,000","6,718,000","24,425,000","16,104,000","3,443,000","5,941,000","20,091,000","15,443,000","3,218,000","5,270,000","18,596,000","14,516,000","3,300,000","5,080,000","21,424,000","12,900,000","3,082,000","1,545,000","18,961,000","11,831,000","3,249,000","800,000","15,800,000","12,000,000","3,300,000","2,400,000","15,900,000","10,500,000","2,500,000","700,000","12,300,000","8,200,000","300,000","400,000","11,000,000","7,600,000","100,000","100,000","11,100,000","5,400,000","100,000",,,,"100,000","100,000","8,800,000","5,500,000","100,000","0","8,100,000","4,200,000","100,000","100,000","6,000,000","4,200,000",,"0","6,000,000","3,700,000",,"100,000","5,600,000","3,400,000",,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"156,949,000","9,599,000","35,897,000","77,461,000","33,992,000","1,453,000","30,102,000","67,436,000","54,923,000","5,088,000","32,628,000","68,335,000","55,904,000","13,589,000","23,415,000","74,374,000","52,219,000","5,521,000","26,985,000","70,060,000","50,812,000","5,365,000","13,701,000","64,685,000","48,299,000","5,191,000","15,456,000","59,059,000","47,105,000","4,011,000","14,761,000","58,244,000","46,974,000","4,307,000","14,174,000","57,495,000","46,032,000","4,786,000","14,183,000","60,747,000","48,330,000","3,846,000","14,632,000","62,619,000","42,764,000","3,790,000","15,172,000","63,746,000","43,989,000","3,889,000","19,141,000","66,413,000","42,977,000","4,214,000","14,580,000","60,986,000","44,089,000","6,183,000","13,448,000","67,204,000","45,653,000","4,318,000","12,699,000","56,312,000","18,218,000","3,474,000","6,723,000","28,102,000","17,486,000","3,454,000","6,718,000","24,425,000","16,104,000","3,443,000","5,941,000","20,091,000","15,443,000","3,218,000","5,270,000","18,596,000","14,516,000","3,300,000","5,080,000","21,424,000","12,900,000","3,082,000","1,545,000","18,961,000","11,831,000","3,249,000","800,000","15,800,000","12,000,000","3,300,000","2,400,000","15,900,000","10,500,000","2,500,000","700,000","12,300,000","8,200,000","300,000","400,000","11,000,000","7,600,000","100,000","100,000","11,100,000","5,400,000","100,000",,,,"100,000","100,000","8,800,000","5,500,000","100,000","0","8,100,000","4,200,000","100,000","100,000","6,000,000","4,200,000",,"0","6,000,000","3,700,000",,"100,000","5,600,000","3,400,000",,,,,,,,,
