name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
OperatingCashFlow,"213,816,000","50,266,000","62,810,000","41,306,000","59,434,000","57,942,000","67,530,000","54,908,000","73,589,000","37,601,000","67,191,000","40,348,000","89,048,000","18,742,000","24,751,000","26,668,000","58,230,000","35,267,000","39,321,000","25,210,000","43,200,000","25,316,000","32,584,000","19,653,000","40,809,000","31,212,000","26,304,000","26,198,000","34,607,000","28,248,000","38,684,000","31,161,000","29,815,000","31,065,000","26,050,000","23,852,000","28,843,000","29,646,000","17,848,000","29,892,000","23,260,000","29,308,000","12,131,000","26,790,000","24,852,000","16,714,000","15,431,000","8,610,000","16,795,000","18,313,000","12,803,000","6,873,000","7,896,000","12,502,000","10,131,000","10,439,000","14,037,000","10,337,000"
	CashFlowFromContinuingOperatingActivities,"213,816,000","50,266,000","62,810,000","41,306,000","59,434,000","57,942,000","67,530,000","54,908,000","73,589,000","37,601,000","67,191,000","40,348,000","89,048,000","18,742,000","24,751,000","26,668,000","58,230,000","35,267,000","39,321,000","25,210,000","43,200,000","25,316,000","32,584,000","19,653,000","40,809,000","31,212,000","26,304,000","26,198,000","34,607,000","28,248,000","38,684,000","31,161,000","29,815,000","31,065,000","26,050,000","23,852,000","28,843,000","29,646,000","17,848,000","29,892,000","23,260,000","29,308,000","12,131,000","26,790,000","24,852,000","16,714,000","15,431,000","8,610,000","16,795,000","18,313,000","12,803,000","6,873,000","7,896,000","12,502,000","10,131,000","10,439,000","14,037,000","10,337,000"
		NetIncomeFromContinuingOperations,"-59,447,000","-13,407,000","16,945,000","3,712,000","-66,697,000","37,860,000","-1,664,000","-3,797,000","1,299,000","10,840,000","65,029,000","-3,939,000","-64,774,000","34,019,000","-57,695,000","-449,000","29,695,000","6,565,000","-17,991,000","10,989,000","11,677,000","7,415,000","12,065,000","11,578,000","16,813,000","17,387,000","-2,339,000","16,911,000","-191,163,000","-33,370,000","14,114,000","12,622,000","14,608,000","15,190,000","12,724,000","1,966,000","15,204,000","24,726,000",,,,,,,,"10,254,000",,"6,668,000","7,735,000","6,851,000","5,412,000","6,185,000","5,872,000","8,512,000","8,169,000","7,227,000","8,340,000","8,071,000"
		OperatingGainsLosses,"-13,854,000","-1,303,000","-23,363,000","1,052,000","9,760,000","-53,608,000","345,000","279,000","751,000","-8,336,000","-70,907,000","-10,983,000","66,365,000","-43,571,000","64,913,000","-26,793,000","-31,330,000","-22,643,000","-767,000","-7,820,000","-8,602,000","-2,739,000","-7,514,000","-8,819,000","-9,416,000","-10,038,000","-2,568,000","-10,307,000","-4,741,000","41,087,000","-5,252,000","-5,104,000","-118,000","97,000","-115,000","-64,000","-79,000","-8,244,000","2,589,000","-1,220,000","-771,000","-914,000","-1,306,000","-479,000","-46,000","-37,000","3,769,000","-34,000","24,000","28,000",,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,"0","-774,000","0","0","0","0","0","-8,168,000",,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-26,499,000","-2,149,000","-24,200,000","-36,000","-114,000","-54,004,000","-33,000","0","-66,000","-10,756,000","-71,593,000","32,544,000","17,000","-22,092,000","-3,332,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"2,951,000","846,000","837,000","688,000","580,000","396,000","378,000","279,000","260,000","276,000","686,000","-43,811,000","66,277,000","-21,893,000","67,536,000","-26,793,000","-14,001,000","-22,643,000","-767,000","-9,535,000","-8,602,000","-2,739,000","-7,514,000","-8,740,000","-9,416,000","-9,934,000","-2,568,000","-10,273,000","-4,741,000","41,087,000","-6,018,000","-4,871,000","-118,000","97,000","-115,000","-64,000","-79,000","-76,000","-80,000","-115,000","-76,000","-45,000","-28,000","-28,000","-46,000","-37,000","-17,000","-34,000","24,000","28,000",,,,,,,,
		DepreciationAmortizationDepletion,"232,932,000","59,044,000","61,152,000","58,326,000","54,410,000","63,204,000","62,041,000","61,935,000","64,088,000","62,956,000","62,175,000","73,652,000","74,085,000","77,466,000","32,505,000","42,280,000","42,313,000","43,962,000","47,549,000","20,445,000","20,359,000","20,248,000","17,933,000","17,936,000","17,674,000","17,949,000","16,725,000","16,906,000","17,014,000","16,966,000","16,956,000","17,334,000","15,918,000","15,176,000","14,511,000","14,105,000","13,892,000","13,794,000","13,606,000","13,319,000","12,504,000","12,426,000","12,583,000","10,417,000","8,859,000","8,098,000","7,126,000","5,292,000","6,015,000","5,374,000","4,507,000","4,319,000","4,139,000","3,478,000","3,528,000","3,466,000","3,434,000","3,401,000"
			DepreciationAndAmortization,"232,932,000","59,044,000","61,152,000","58,326,000","54,410,000","63,204,000","62,041,000","61,935,000","64,088,000","62,956,000","62,175,000","73,652,000","74,085,000","77,466,000","32,505,000","42,280,000","42,313,000","43,962,000","47,549,000","20,445,000","20,359,000","20,248,000","17,933,000","17,936,000","17,674,000","17,949,000","16,725,000","16,906,000","17,014,000","16,966,000","16,956,000","17,334,000","15,918,000","15,176,000","14,511,000","14,105,000","13,892,000","13,794,000","13,606,000","13,319,000","12,504,000","12,426,000","12,583,000","10,417,000","8,859,000","8,098,000","7,126,000","5,292,000","6,015,000","5,374,000","4,507,000","4,319,000","4,139,000","3,478,000","3,528,000","3,466,000","3,434,000","3,401,000"
				Depreciation,"232,932,000","59,044,000","61,152,000","58,326,000","54,410,000","63,204,000","62,041,000","61,935,000","64,088,000","62,956,000","62,175,000","73,652,000","74,085,000","77,466,000","32,505,000","42,280,000","42,313,000","43,962,000","47,549,000","20,445,000","20,359,000","20,248,000","17,933,000","17,936,000","17,674,000","17,949,000","16,725,000","16,906,000","17,014,000","16,966,000","16,956,000","17,334,000","15,918,000","15,176,000","14,511,000","14,105,000","13,892,000","13,794,000","27,958,000","8,241,000","7,868,000","7,788,000","7,628,000","6,905,000","6,381,000","5,972,000","5,568,000",,,,,,,,,,,
