name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011
TotalAssets,"1,998,694,000","1,957,263,000","1,910,578,000","1,830,213,000","1,737,890,000","1,679,485,000","1,541,739,000","1,465,802,000","1,479,365,000","1,532,077,000","1,452,182,000","1,390,746,000","1,335,919,000","1,300,670,000","1,238,506,000","1,193,833,000","1,127,660,000","1,078,502,000","1,037,160,000","995,014,000","960,421,000","927,637,000","901,743,000","869,476,000","839,988,000","834,100,000","800,661,000","764,663,000","744,129,000","703,547,000","646,439,000","618,000,000","599,422,000","566,304,000","524,672,000","498,075,000","473,620,000","447,133,000","416,042,000","367,304,000","354,809,000","329,390,000"
	CurrentAssets,"916,598,000","864,516,000","980,514,000","891,998,000","814,373,000","821,765,000","811,951,000","696,891,000","641,800,000","687,468,000","637,063,000","583,933,000","617,568,000","630,681,000","646,401,000","633,224,000","614,925,000","620,342,000","563,562,000","535,129,000","540,899,000","513,766,000","478,210,000","535,429,000","515,498,000","544,799,000","506,308,000","454,756,000","455,695,000","470,025,000","484,813,000","467,100,000","460,901,000","416,808,000","384,764,000","337,882,000","323,435,000","360,110,000","333,432,000","293,768,000","282,744,000","258,775,000"
		CashCashEquivalentsAndShortTermInvestments,"473,294,000","443,447,000","553,195,000","460,427,000","403,559,000","426,741,000","409,637,000","316,735,000","276,953,000","311,237,000","277,492,000","240,427,000","320,664,000","339,684,000","372,761,000","360,920,000","369,177,000","373,707,000","337,659,000","312,189,000","326,098,000","290,312,000","257,919,000","324,512,000","318,131,000","281,029,000","238,602,000","199,806,000","213,280,000","228,704,000","298,751,000","276,265,000","280,806,000","238,924,000","213,146,000","161,158,000","162,328,000","212,400,000","195,156,000","165,577,000","159,098,000","142,668,000"
			CashAndCashEquivalents,"229,789,000","193,069,000","361,876,000","268,783,000","184,848,000","239,397,000","250,607,000","165,554,000","166,742,000","195,474,000","166,090,000","117,790,000","129,976,000","139,747,000","145,295,000","119,944,000","119,836,000","118,817,000","154,855,000","149,669,000","182,435,000","132,639,000","90,192,000","95,342,000","81,275,000","60,152,000","50,501,000","41,559,000","75,006,000","82,265,000","169,449,000","136,500,000","104,602,000","89,962,000","101,907,000","92,314,000","131,543,000","212,400,000","195,156,000","165,577,000","159,098,000","142,668,000"
			OtherShortTermInvestments,"243,505,000","250,378,000","191,319,000","191,644,000","218,711,000","187,344,000","159,030,000","151,181,000","110,211,000","115,763,000","111,402,000","122,637,000","190,688,000","199,937,000","227,466,000","240,976,000","249,341,000","254,890,000","182,804,000","162,520,000","143,663,000","157,673,000","167,727,000","229,170,000","236,856,000","220,877,000","188,101,000","158,247,000","138,274,000","146,439,000","129,302,000","139,765,000","176,204,000","148,962,000","111,239,000","68,844,000","30,785,000",,,,,
		Receivables,"169,831,000","165,651,000","176,744,000","185,163,000","162,675,000","148,100,000","151,365,000","136,074,000","138,683,000","162,424,000","157,576,000","156,954,000","140,609,000","144,356,000","135,317,000","140,603,000","125,170,000","127,060,000","105,011,000","105,475,000","94,279,000","95,783,000","92,603,000","89,845,000","75,808,000","86,353,000","85,591,000","79,966,000","73,703,000","81,202,000","64,699,000","69,744,000","64,366,000","65,137,000","61,934,000","71,581,000","64,971,000","58,601,000","58,209,000","53,287,000","54,220,000","50,063,000"
			AccountsReceivable,"166,222,000","164,436,000","159,576,000","165,852,000","160,939,000","141,676,000","143,268,000","132,092,000","138,602,000","154,326,000","141,545,000","144,681,000","139,616,000","137,067,000","118,847,000","118,561,000","122,581,000","116,676,000","94,484,000","95,489,000","94,232,000","91,983,000","86,708,000","74,713,000","75,527,000","77,681,000","77,596,000","73,045,000","73,174,000","75,430,000","62,598,000","65,054,000","63,224,000","62,414,000","55,274,000","57,531,000","59,425,000","53,496,000","51,863,000","49,475,000","50,825,000","46,727,000"
				GrossAccountsReceivable,"170,408,000","169,398,000","164,506,000","170,539,000","165,297,000","146,084,000","150,279,000","140,209,000","145,362,000","159,925,000","148,104,000","150,091,000","143,851,000","141,293,000","122,502,000","122,485,000","126,710,000","120,639,000","98,209,000","99,134,000","97,859,000","94,754,000","89,402,000","77,051,000","78,090,000","80,194,000","79,820,000","75,256,000","74,741,000","77,077,000","64,331,000","66,608,000","64,728,000","63,995,000","56,512,000","58,669,000","60,523,000","54,457,000","52,794,000","50,381,000","51,627,000","47,329,000"
				AllowanceForDoubtfulAccountsReceivable,"-4,186,000","-4,962,000","-4,930,000","-4,687,000","-4,358,000","-4,408,000","-7,011,000","-8,117,000","-6,760,000","-5,599,000","-6,559,000","-5,410,000","-4,235,000","-4,226,000","-3,655,000","-3,924,000","-4,129,000","-3,963,000","-3,725,000","-3,645,000","-3,627,000","-2,771,000","-2,694,000","-2,338,000","-2,563,000","-2,513,000","-2,224,000","-2,211,000","-1,567,000","-1,647,000","-1,733,000","-1,554,000","-1,504,000","-1,581,000","-1,238,000","-1,138,000","-1,098,000","-961,000","-931,000","-906,000","-802,000","-602,000"
			NotesReceivable,,,,,,,,,,,,,,"0","3,333,000","3,333,000","2,500,000","1,667,000",,,,,,,,,,,,,,,,,,,,,,,,
