name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995,06/30/1995,03/31/1995,06/30/1994,12/31/1993,09/30/1993
TotalAssets,"2,441,480,000","2,485,369,000","2,142,265,000","2,205,908,000","2,239,888,000","2,265,599,000","2,199,734,000","2,188,452,000","2,236,137,000","2,284,945,000","2,236,433,000","2,582,620,000","2,778,271,000","2,803,491,000","2,903,030,000","2,946,674,000","3,120,524,000","3,087,337,000","3,031,847,000","2,931,104,000","2,933,583,000","2,920,942,000","2,966,168,000","3,008,080,000","3,231,166,000","3,316,860,000","3,152,176,000","3,097,270,000","2,981,199,000","2,991,703,000","3,004,829,000","2,965,317,000","2,838,052,000","2,372,318,000","2,344,821,000","2,258,494,000","2,137,769,000","2,149,268,000","1,699,411,000","1,673,593,000","1,683,250,000","1,648,435,000","1,337,509,000","1,333,504,000","1,325,586,000","1,282,036,000","1,280,884,000","1,198,087,000","1,113,792,000","1,121,318,000","1,118,844,000","1,123,496,000","1,170,269,000","1,245,301,000","1,277,778,000","1,259,384,000","1,234,822,000","1,130,046,000","1,104,842,000","1,058,456,000","1,051,287,000","937,934,000","915,011,000","877,684,000","842,600,000","799,702,000","728,841,000","707,136,000","696,748,000","697,546,000","685,295,000","684,231,000","631,251,000","624,029,000","600,353,000","581,548,000","556,110,000","551,337,000","477,327,000","479,248,000","489,609,000","492,950,000","467,388,000","461,693,000","453,977,000","435,226,000","433,479,000","416,017,000","307,846,000","304,200,000","299,200,000","281,800,000","188,900,000","184,000,000","177,800,000","88,300,000","84,800,000","85,300,000","49,400,000","48,900,000","45,700,000","46,700,000","47,900,000","47,400,000","49,800,000","35,300,000","34,900,000","35,000,000","31,700,000","5,100,000","1,400,000"
	CurrentAssets,"559,591,000","578,972,000","532,324,000","577,055,000","596,297,000","636,455,000","612,751,000","560,934,000","604,054,000","576,753,000","564,859,000","701,787,000","905,026,000","951,426,000","1,014,861,000","1,051,587,000","1,155,661,000","979,310,000","944,896,000","874,781,000","905,048,000","902,389,000","895,608,000","900,234,000","946,202,000","1,001,366,000","964,964,000","933,019,000","880,904,000","905,365,000","869,410,000","803,603,000","765,185,000","636,916,000","622,207,000","575,172,000","553,637,000","537,869,000","455,737,000","448,808,000","477,908,000","448,535,000","388,267,000","371,066,000","361,937,000","353,282,000","349,930,000","313,817,000","342,861,000","347,402,000","344,205,000","349,131,000","400,656,000","410,681,000","422,570,000","393,041,000","406,923,000","350,506,000","335,276,000","316,004,000","318,028,000","324,582,000","305,932,000","260,476,000","251,931,000","234,766,000","203,950,000","194,194,000","196,301,000","196,247,000","191,366,000","198,314,000","183,040,000","185,732,000","167,673,000","149,708,000","149,725,000","148,436,000","125,115,000","124,949,000","132,419,000","137,253,000","137,841,000","138,780,000","169,146,000","160,581,000","161,920,000","142,884,000","67,540,000","63,800,000","57,400,000","59,300,000","45,000,000","40,900,000","39,000,000","29,200,000","27,400,000","28,400,000","17,100,000","16,500,000","15,800,000","16,600,000","17,700,000","17,000,000","19,600,000","14,300,000","13,800,000","14,900,000","11,300,000","2,100,000","400,000"
		CashCashEquivalentsAndShortTermInvestments,"57,808,000","77,202,000","28,962,000","75,871,000","53,014,000","46,813,000","27,523,000","37,771,000","41,549,000","37,024,000","20,522,000","39,526,000","27,562,000","38,158,000","55,871,000","106,557,000","117,152,000","139,216,000","126,787,000","146,992,000","162,642,000","157,125,000","113,472,000","127,926,000","125,390,000","177,100,000","147,699,000","166,922,000","100,325,000","135,227,000","92,658,000","123,751,000","101,422,000","67,533,000","65,069,000","41,263,000","27,217,000","42,571,000","36,154,000","29,895,000","41,164,000","23,928,000","29,377,000","27,517,000","25,571,000","26,308,000","20,948,000","17,266,000","40,975,000","26,813,000","16,647,000","41,408,000","27,784,000","49,912,000","43,506,000","58,513,000","86,732,000","44,718,000","51,462,000","60,518,000","54,945,000","83,079,000","78,143,000","48,875,000","32,658,000","17,359,000","20,021,000","24,139,000","17,117,000","12,304,000","9,765,000","27,489,000","21,101,000","23,771,000","12,879,000","10,984,000","11,973,000","12,673,000","3,936,000","7,538,000","4,167,000","6,608,000","13,990,000","26,643,000","58,555,000","47,291,000","49,476,000","38,308,000","208,000","1,100,000","500,000","500,000","400,000","500,000","300,000","500,000","300,000","400,000","200,000","200,000","300,000","300,000","300,000","300,000","100,000","100,000","200,000","200,000","700,000","300,000","100,000"
			CashAndCashEquivalents,"57,808,000","77,202,000","28,962,000","75,871,000","53,014,000","46,813,000","27,523,000","37,771,000","41,549,000","37,024,000","20,522,000","39,526,000","27,562,000","38,158,000","55,871,000","106,557,000","117,152,000","139,216,000","126,787,000","146,992,000","162,642,000","157,125,000","113,472,000","127,926,000","125,390,000","177,100,000","147,699,000","166,922,000","100,325,000","135,227,000","92,658,000","123,751,000","101,422,000","67,533,000","65,069,000","41,263,000","27,217,000","42,571,000","36,154,000","29,895,000","41,164,000","23,928,000","29,377,000","27,517,000","25,571,000","26,308,000","20,948,000","17,266,000","40,975,000","26,813,000","16,647,000","41,408,000","27,784,000","49,912,000","43,506,000","58,513,000","86,732,000","44,718,000","51,462,000","60,518,000","54,945,000","83,079,000","78,143,000","48,875,000","32,658,000","17,359,000","20,021,000","24,139,000","17,117,000","12,304,000","9,765,000","27,489,000","21,101,000","23,771,000","12,879,000","10,984,000","11,973,000","12,673,000","3,936,000","7,538,000","4,167,000","6,608,000","13,990,000","26,643,000","58,555,000","47,291,000","49,476,000","38,308,000","208,000","1,100,000","500,000","500,000","400,000","500,000","300,000","500,000","300,000","400,000","200,000","200,000","300,000","300,000","300,000","300,000","100,000","100,000","200,000","200,000","700,000","300,000","100,000"
		Receivables,"158,734,000","163,672,000","181,048,000","174,066,000","190,737,000","185,576,000","166,086,000","170,969,000","237,719,000","206,583,000","206,478,000","236,945,000","256,799,000","240,520,000","246,519,000","252,708,000","261,517,000","274,728,000","272,341,000","248,436,000","241,738,000","250,581,000","256,082,000","278,933,000","360,964,000","350,408,000","330,221,000","320,197,000","337,516,000","321,523,000","319,496,000","287,915,000","302,078,000","252,386,000","233,759,000","233,641,000","232,417,000","217,429,000","181,575,000","166,677,000","192,871,000","200,973,000","150,346,000","143,348,000","141,981,000","130,558,000","131,489,000","114,215,000","116,879,000","124,929,000","131,838,000","114,506,000","128,595,000","113,586,000","127,378,000","118,867,000","131,775,000","126,547,000","111,484,000","99,092,000","115,329,000","104,106,000","95,215,000","80,764,000","90,310,000","85,798,000","73,478,000","67,148,000","72,982,000","75,699,000","70,922,000","69,392,000","70,731,000","74,876,000","74,895,000","61,215,000","64,259,000","63,390,000","55,365,000","44,018,000","55,593,000","55,671,000","54,005,000","46,404,000","51,017,000","52,477,000","46,391,000","36,120,000","29,336,000","24,200,000","25,500,000","24,300,000","22,200,000","18,700,000","18,100,000","13,600,000","12,900,000","11,500,000","8,500,000","8,900,000","7,400,000","8,600,000","7,500,000","8,700,000","8,800,000","6,900,000","7,300,000","7,200,000","4,800,000","900,000","200,000"
			AccountsReceivable,"158,734,000","163,672,000","181,048,000","174,066,000","190,737,000","185,576,000","166,086,000","170,969,000","237,719,000","206,583,000","206,478,000","236,945,000","256,799,000","240,520,000","246,519,000","252,708,000","261,517,000","274,728,000","272,341,000","248,436,000","241,738,000","250,581,000","256,082,000","278,933,000","360,964,000","350,408,000","330,221,000","320,197,000","337,516,000","321,523,000","319,496,000","287,915,000","302,078,000","252,386,000","233,759,000","233,641,000","232,417,000","217,429,000","181,575,000","166,677,000","192,871,000","200,973,000","150,346,000","143,348,000","141,981,000","130,558,000","131,489,000","114,215,000","116,879,000","124,929,000","131,838,000","114,506,000","128,595,000","113,586,000","127,378,000","118,867,000","131,775,000","126,547,000","111,484,000","95,405,000","112,181,000","104,106,000","95,215,000","80,764,000","90,310,000","85,798,000","73,478,000","67,148,000","72,982,000","75,699,000","70,922,000","69,392,000","70,731,000","74,876,000","74,895,000","61,215,000","64,259,000","63,390,000","55,365,000","44,018,000","55,593,000","55,671,000","54,005,000","46,404,000","51,017,000","52,477,000","46,391,000","36,120,000",,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"159,871,000","164,888,000","182,258,000","175,380,000","191,915,000","186,574,000","167,275,000","171,607,000","238,570,000","207,141,000","207,036,000","237,533,000","257,204,000","241,018,000",,"254,536,000","263,470,000","275,929,000","273,077,000","249,883,000","243,459,000","251,296,000","256,678,000","279,869,000","362,013,000","351,596,000","331,144,000","321,093,000","339,658,000","323,666,000","321,412,000","289,501,000","304,792,000","255,160,000","236,446,000","236,205,000","234,944,000","220,058,000","184,172,000","169,338,000","195,629,000","203,346,000","151,672,000","144,628,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,137,000","-1,216,000","-1,210,000","-1,314,000","-1,178,000","-998,000","-1,189,000","-638,000","-851,000","-558,000","-558,000","-588,000","-405,000","-498,000",,"-1,828,000","-1,953,000","-1,201,000","-736,000","-1,447,000","-1,721,000","-715,000","-596,000","-936,000","-1,049,000","-1,188,000","-923,000","-896,000","-2,142,000","-2,143,000","-1,916,000","-1,586,000","-2,714,000","-2,774,000","-2,687,000","-2,564,000","-2,527,000","-2,629,000","-2,597,000","-2,661,000","-2,758,000","-2,373,000","-1,326,000","-1,280,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,687,000","3,148,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"294,428,000","289,239,000","280,176,000","285,410,000","313,898,000","311,988,000","292,968,000","248,170,000","238,133,000","283,127,000","301,351,000","364,887,000","395,246,000","402,724,000","414,479,000","391,525,000","399,156,000","502,372,000","484,792,000","427,308,000","435,651,000","430,578,000","442,085,000","408,564,000","394,958,000","403,318,000","427,152,000","382,211,000","369,968,000","372,146,000","386,253,000","320,251,000","299,464,000","262,949,000","267,075,000","250,175,000","240,146,000","234,278,000","199,916,000","186,440,000","179,754,000","189,514,000","181,512,000","171,098,000","166,959,000","169,979,000","169,817,000","157,012,000","154,048,000","165,332,000","165,238,000","158,590,000","204,599,000","212,763,000","215,590,000","175,667,000","158,638,000","150,376,000","142,372,000","129,062,000","124,179,000","115,665,000","111,440,000","105,883,000","102,608,000","104,743,000","83,567,000","76,497,000","83,928,000","88,261,000","93,109,000","86,873,000","76,597,000","74,157,000","69,068,000","66,444,000","59,518,000","57,667,000","51,898,000","53,624,000","56,992,000","61,995,000","52,595,000","49,593,000","46,490,000","48,048,000","49,835,000","48,139,000","35,241,000","35,700,000","29,200,000","29,200,000","18,400,000","18,700,000","18,600,000","13,300,000","12,300,000","14,700,000","7,400,000","6,600,000","7,300,000","6,800,000","8,900,000","7,300,000","7,900,000","6,900,000","6,000,000","7,300,000","5,700,000","600,000","200,000"
