name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007
TotalRevenue,"478,900,000","124,700,000","131,400,000","114,400,000","108,400,000","99,400,000","106,500,000","114,200,000","106,900,000","123,300,000","142,300,000","143,000,000","143,700,000","140,700,000","178,700,000","185,800,000","218,300,000","190,700,000","181,500,000","277,200,000","177,800,000","174,200,000","180,400,000","174,300,000","176,500,000","172,100,000","166,300,000","159,200,000","140,500,000","137,700,000","141,600,000","113,700,000","92,000,000","51,500,000","29,640,000","33,208,000","35,955,000","22,397,000","22,876,000","15,240,000","14,110,000","11,830,000","32,620,000","12,776,000","8,510,000","8,727,000","18,891,000","11,773,000","9,046,000","10,826,000","86,235,000","0","21,687","19,463",,"951,016","906,706",,,
	OperatingRevenue,"478,900,000","124,700,000","131,400,000","114,400,000","108,400,000","99,400,000","106,500,000","114,200,000","106,900,000","123,300,000","142,300,000","143,000,000","143,700,000","140,700,000","178,700,000","185,800,000","218,300,000","190,700,000","181,500,000","277,200,000","177,800,000","174,200,000","180,400,000","174,300,000","176,500,000","172,100,000","166,300,000","159,200,000","140,500,000","137,700,000","141,600,000","113,700,000","92,000,000","51,500,000","29,640,000","33,208,000","35,955,000","22,397,000","22,876,000","15,240,000","14,110,000","11,830,000","32,620,000","12,776,000","8,510,000","8,727,000","18,891,000","11,773,000","9,046,000","10,826,000","86,235,000","0","21,687","19,463",,"951,016","906,706",,,
CostOfRevenue,"150,800,000","40,000,000","39,800,000","36,100,000","34,900,000","34,600,000","36,400,000","36,200,000","34,200,000","42,700,000","52,100,000","56,300,000","49,000,000","56,800,000","78,900,000","74,600,000","100,500,000","80,800,000","74,200,000","127,500,000","69,000,000","61,100,000","70,400,000","60,900,000","65,600,000","56,900,000","53,300,000","53,200,000","46,300,000","47,700,000","52,600,000","38,900,000","21,800,000","23,800,000","7,063,000","5,050,000","9,712,000","4,975,000","5,451,000","1,275,000","0","0","0","0","0","0","11,526,000","0","0","0","0","0","0","0",,,,,,
GrossProfit,"328,100,000","84,700,000","91,600,000","78,300,000","73,500,000","64,800,000","70,100,000","78,000,000","72,700,000","80,600,000","90,200,000","86,700,000","94,700,000","83,900,000","99,800,000","111,200,000","117,800,000","109,900,000","107,300,000","149,700,000","108,800,000","113,100,000","110,000,000","113,400,000","110,900,000","115,200,000","113,000,000","106,000,000","94,200,000","90,000,000","89,000,000","74,800,000","70,200,000","27,700,000","22,577,000","28,158,000","26,243,000","17,422,000","17,425,000","13,965,000","14,110,000","11,830,000","32,620,000","12,776,000","8,510,000","8,727,000","7,365,000","11,773,000","9,046,000","10,826,000","86,235,000","0","21,687","19,463",,,,,,
OperatingExpense,"417,400,000","99,100,000","130,000,000","88,400,000","99,600,000","86,200,000","112,600,000","80,100,000","81,600,000","87,100,000","102,900,000","91,600,000","94,800,000","96,300,000","108,900,000","102,600,000","112,000,000","108,100,000","131,800,000","103,700,000","109,300,000","94,400,000","123,900,000","105,200,000","103,000,000","105,900,000","111,600,000","91,300,000","95,600,000","73,700,000","87,000,000","75,300,000","66,800,000","37,000,000","37,038,000","32,258,000","30,402,000","22,602,000","31,323,000","19,585,000","18,420,000","15,441,000","24,819,000","15,569,000","13,138,000","12,525,000","13,384,000","17,647,000","12,509,000","14,871,000","93,257,444","1,164,849","183,702","266,005","599,872","437,378","167,647","215,488","71,632","404"
	SellingGeneralAndAdministration,"252,200,000","55,800,000","89,000,000","49,200,000","57,900,000","41,800,000","68,100,000","35,800,000","36,300,000","41,600,000","57,000,000","45,200,000","48,600,000","47,200,000","61,500,000","51,100,000","60,500,000","52,400,000","76,500,000","48,300,000","57,200,000","44,700,000","73,000,000","55,200,000","54,100,000","57,600,000","64,800,000","46,400,000","57,600,000","37,100,000","49,800,000","40,600,000","41,500,000","29,700,000","31,641,000","27,727,000","25,987,000","19,545,000","29,289,000","18,596,000","17,443,000","14,504,000","23,849,000","14,638,000","12,675,000","12,091,000","11,766,000","17,647,000","12,509,000","14,871,000","92,245,073","1,128,474","147,327","229,126","125,479","98,298","167,647","215,488","71,632","404"
		GeneralAndAdministrativeExpense,"252,200,000","55,800,000","89,700,000","49,100,000","57,600,000","41,500,000","67,800,000","34,900,000","35,400,000","40,900,000","56,100,000","44,000,000","47,900,000","46,200,000","60,200,000","50,000,000","58,400,000","51,000,000","75,200,000","46,200,000","55,500,000","42,700,000","71,000,000","52,700,000","52,300,000","55,800,000","61,900,000","45,200,000","55,800,000","35,700,000","48,000,000","38,600,000","40,600,000","28,700,000","30,886,000","26,716,000","24,651,000","19,047,000","28,415,000","17,225,000","16,103,000","13,539,000","22,899,000","12,997,000","11,939,000","12,091,000","8,580,000","17,647,000","12,509,000","14,871,000","92,397,965","1,128,474","147,327","229,126",,,,,,
			SalariesAndWages,"217,800,000","47,900,000","81,100,000","40,200,000","48,600,000","34,700,000","59,300,000","26,300,000","27,400,000","31,400,000","43,900,000","35,600,000","37,000,000","35,300,000","46,000,000","38,300,000","44,900,000","39,600,000","63,700,000","35,400,000","45,500,000","32,700,000","58,100,000","42,200,000","40,500,000","45,700,000","49,400,000","35,200,000","44,000,000","26,200,000","34,200,000","26,800,000","32,200,000","20,500,000","23,860,000","20,956,000","18,264,000","13,620,000","25,176,000","11,364,000","10,294,000","9,000,000","16,567,000","8,473,000","8,257,000",,,,,,,"1,042,703","79,219","163,190",,,,,,
			RentAndLandingFees,,,,,,,,,,"36,700,000","39,600,000","39,000,000","33,300,000","41,000,000","41,300,000","38,200,000","39,700,000","41,600,000","40,700,000","38,000,000","36,600,000","36,000,000","37,000,000","34,600,000","32,800,000","31,000,000","29,500,000","29,400,000","24,500,000","24,600,000","46,500,000","37,800,000","17,900,000","14,100,000","7,048,000","4,167,000","4,582,000","3,103,000","1,858,000",,,,,,,,,"897,000","283,000","241,000",,"22,307","22,308","22,308",,,,,,
			OtherGandA,"34,400,000","7,900,000","8,600,000","8,900,000","9,000,000","6,800,000","8,500,000","8,600,000","8,000,000","9,500,000","12,200,000","8,400,000","10,900,000","10,900,000","14,200,000","11,700,000","13,500,000","11,400,000","11,500,000","10,800,000","10,000,000","10,000,000","12,900,000","10,500,000","11,800,000","10,100,000","12,500,000","10,000,000","11,800,000","9,500,000","13,800,000","11,800,000","8,400,000","8,200,000","7,026,000","5,760,000","6,387,000","5,427,000","3,239,000","5,861,000","5,809,000","4,539,000","6,332,000","4,524,000","3,682,000",,"-28,154,000","16,750,000","12,226,000","14,630,000",,"63,464","45,800","43,628",,,,,,
