name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,03/31/1994
		NetOtherFinancingCharges,"-19,000,000","-7,000,000","-8,000,000","11,000,000","-14,000,000","-5,000,000","4,000,000","59,000,000","77,000,000","-8,000,000","-2,000,000","-6,000,000","-10,000,000","-8,000,000","0","-4,000,000","-7,000,000","-9,000,000","15,000,000","-9,000,000","-9,000,000","-16,000,000","-7,000,000","-2,000,000","38,000,000","-23,000,000","-17,000,000","-12,000,000","-4,000,000","-14,000,000","-2,000,000","-9,000,000","-27,000,000","-13,000,000","-39,000,000","-21,000,000","-61,000,000","-47,000,000","-41,000,000","-22,000,000","-37,000,000","-30,000,000","-45,000,000","-41,000,000","-88,000,000","-20,000,000","-112,000,000","-8,000,000","-72,000,000","-14,000,000","-13,000,000","-11,000,000","-12,000,000","-8,000,000","-15,000,000","-10,000,000","4,000,000","-3,000,000","-10,000,000","2,000,000","3,000,000","-12,000,000","-18,000,000","-17,000,000","-3,000,000","-1,000,000","-6,000,000","-14,000,000","3,000,000","-9,000,000","-2,000,000","-3,000,000","-6,000,000","-1,000,000","-4,000,000","-6,000,000","-21,000,000","-4,000,000","-7,000,000","-18,000,000",,,"526,000,000","-22,000,000",,,"9,000,000","-154,000,000","6,000,000","12,000,000","7,000,000",,,,"0","0",,,"0","33,000,000",,,"63,000,000","-19,000,000",,,"71,100,000",,,,"-18,700,000"
	CashFromDiscontinuedFinancingActivities,"80,000,000","0","0","0","80,000,000","-126,000,000",,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherCashAdjustmentInsideChangeinCash,"170,000,000","0","0","0","170,000,000","114,000,000",,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndCashPosition,"4,250,000,000","4,250,000,000","3,572,000,000","4,768,000,000","7,630,000,000","422,000,000","727,000,000","769,000,000","1,301,000,000","936,000,000","836,000,000","690,000,000","428,000,000","540,000,000","643,000,000","864,000,000","875,000,000","653,000,000","485,000,000","676,000,000","467,000,000","409,000,000","341,000,000","416,000,000","492,000,000","814,000,000","836,000,000","981,000,000","846,000,000","1,335,000,000","1,751,000,000","1,188,000,000","1,269,000,000","1,256,000,000","1,102,000,000","1,291,000,000","711,000,000","853,000,000","901,000,000","946,000,000","981,000,000","1,103,000,000","1,202,000,000","1,511,000,000","1,269,000,000","1,245,000,000","925,000,000","4,853,000,000","4,505,000,000","1,724,000,000","801,000,000","696,000,000","973,000,000","631,000,000","1,100,000,000","349,000,000","466,000,000","495,000,000","430,000,000","221,000,000","567,000,000","965,000,000","794,000,000","800,000,000","468,000,000","338,000,000","555,000,000","235,000,000","55,000,000","754,000,000","616,000,000","778,000,000","358,000,000","572,000,000","476,000,000","587,000,000","370,000,000","397,000,000","245,000,000","339,000,000","193,000,000","486,000,000","950,000,000","849,000,000","168,000,000","269,000,000","480,000,000","280,000,000","215,000,000","160,000,000","133,000,000","340,000,000","393,000,000","140,000,000","195,000,000","34,000,000","36,000,000","148,000,000","50,000,000","49,000,000","45,000,000","72,000,000","101,000,000","281,000,000","201,000,000","22,000,000","19,900,000","9,200,000","7,600,000","8,000,000","27,900,000"
	ChangesInCash,"3,828,000,000","678,000,000","-1,196,000,000","-2,862,000,000","7,208,000,000","-29,000,000","-48,000,000","-549,000,000","372,000,000","99,000,000","126,000,000","268,000,000","-105,000,000","-106,000,000","-212,000,000","-9,000,000","227,000,000","144,000,000","-199,000,000","209,000,000","54,000,000","65,000,000","-73,000,000","-65,000,000","-340,000,000","11,000,000","-141,000,000","132,000,000","-130,000,000","-414,000,000","584,000,000","-78,000,000","11,000,000","140,000,000","-208,000,000","578,000,000","-143,000,000","-34,000,000","-49,000,000","-47,000,000","-108,000,000","-107,000,000","-289,000,000","249,000,000","55,000,000","307,000,000","-3,931,000,000","333,000,000","2,791,000,000","918,000,000","105,000,000","-277,000,000","342,000,000","-469,000,000","759,000,000","-116,000,000","-30,000,000","70,000,000","-77,000,000","-78,000,000","-422,000,000","208,000,000","-8,000,000","332,000,000","129,000,000","-217,000,000","318,000,000","-289,000,000","-232,000,000","136,000,000","-157,000,000","416,000,000","-210,000,000","92,000,000","-118,000,000","217,000,000","-27,000,000","152,000,000","-96,000,000","146,000,000","-276,000,000","-464,000,000","104,000,000","681,000,000","-101,000,000","-211,000,000","200,000,000","65,000,000","55,000,000","27,000,000","-207,000,000","-53,000,000","253,000,000","-55,000,000","126,000,000","33,000,000","-112,000,000","98,000,000","1,000,000","4,000,000","-27,000,000","-29,000,000","1,000,000","-101,000,000","179,000,000","2,000,000","10,700,000","1,500,000","-400,000","-2,000,000","19,700,000"
	EffectOfExchangeRateChanges,"0","0","0","0","0","8,000,000","6,000,000","17,000,000","-7,000,000","1,000,000","20,000,000","-6,000,000","-7,000,000","3,000,000","-9,000,000","-2,000,000","-5,000,000","-2,000,000","8,000,000","0","4,000,000","3,000,000","-2,000,000","-11,000,000","18,000,000","-33,000,000","-4,000,000","3,000,000","-7,000,000","-2,000,000","-21,000,000","-3,000,000","2,000,000","14,000,000","19,000,000","2,000,000","1,000,000","-14,000,000","4,000,000","12,000,000","-14,000,000","8,000,000","-20,000,000","-7,000,000","-31,000,000","13,000,000","3,000,000","15,000,000","-10,000,000","5,000,000","0","0","0","0","-8,000,000","-3,000,000","0","-2,000,000","3,000,000","1,000,000","2,000,000","-1,000,000","2,000,000","0",,,"2,000,000",,,"2,000,000","5,000,000",,,"4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	BeginningCashPosition,"422,000,000","3,572,000,000","4,768,000,000","7,630,000,000","422,000,000","443,000,000","769,000,000","1,301,000,000","936,000,000","836,000,000","690,000,000","428,000,000","540,000,000","643,000,000","864,000,000","875,000,000","653,000,000","511,000,000","676,000,000","467,000,000","409,000,000","341,000,000","416,000,000","492,000,000","814,000,000","836,000,000","981,000,000","846,000,000","1,335,000,000","1,751,000,000","1,188,000,000","1,269,000,000","1,256,000,000","1,102,000,000","1,291,000,000","711,000,000","853,000,000","901,000,000","946,000,000","981,000,000","1,103,000,000","1,202,000,000","1,511,000,000","1,269,000,000","1,245,000,000","925,000,000","4,853,000,000","4,505,000,000","1,724,000,000","801,000,000","696,000,000","973,000,000","631,000,000","1,100,000,000","349,000,000","466,000,000","495,000,000","427,000,000","221,000,000","567,000,000","965,000,000","758,000,000","800,000,000","468,000,000","338,000,000","555,000,000","235,000,000","55,000,000","754,000,000","616,000,000","778,000,000","358,000,000","572,000,000","476,000,000","587,000,000","370,000,000","397,000,000","245,000,000","339,000,000","193,000,000","486,000,000","950,000,000","849,000,000","168,000,000","269,000,000","480,000,000","280,000,000","215,000,000","160,000,000","133,000,000","340,000,000","393,000,000","140,000,000","195,000,000","34,000,000","36,000,000","148,000,000","50,000,000","49,000,000","45,000,000","72,000,000","101,000,000","281,000,000","201,000,000","22,000,000","20,000,000","9,200,000","7,600,000","8,000,000","10,100,000","8,300,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-100,000","-100,000"
IncomeTaxPaidSupplementalData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000","33,000,000","88,000,000","136,000,000","9,000,000","43,000,000","30,000,000","102,000,000","9,000,000","59,000,000","91,000,000","82,000,000","16,000,000","50,000,000",,,"15,000,000",,,,"14,000,000",,,"113,600,000","14,200,000","16,900,000"
InterestPaidSupplementalData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88,000,000","134,000,000","72,000,000","79,000,000","78,000,000","88,000,000","62,000,000","65,000,000","52,000,000","85,000,000","41,000,000","61,000,000","50,000,000","56,000,000",,,"51,000,000",,,,"55,000,000",,,"58,000,000","50,900,000","45,900,000"
CapitalExpenditure,"-1,929,000,000","-427,000,000","-513,000,000","-491,000,000","-498,000,000","-471,000,000","-901,000,000","-772,000,000","-750,000,000","-826,000,000","-886,000,000","-723,000,000","-745,000,000","-729,000,000","-894,000,000","-817,000,000","-770,000,000","-757,000,000","-994,000,000","-789,000,000","-708,000,000","-680,000,000","-861,000,000","-736,000,000","-698,000,000","-662,000,000","-978,000,000","-889,000,000","-741,000,000","-962,000,000","-1,233,000,000","-1,050,000,000","-1,010,000,000","-892,000,000","-1,539,000,000","-971,000,000","-969,000,000","-828,000,000","-1,027,000,000","-769,000,000","-627,000,000","-682,000,000","-802,000,000","-682,000,000","-575,000,000","-428,000,000","-645,000,000","-378,000,000","-361,000,000","-305,000,000","-425,000,000","-316,000,000","-272,000,000","-300,000,000","-488,000,000","-350,000,000","-582,000,000","-330,000,000","-801,000,000","-192,000,000","-351,000,000","-341,000,000","-535,000,000","-381,000,000","-280,000,000","-198,000,000","-273,000,000","-453,000,000",,"-169,000,000","-233,000,000","-156,000,000","-171,000,000","-174,000,000","-254,000,000","-160,000,000","-188,000,000","-169,000,000","-288,000,000","-112,000,000","-141,000,000","-107,000,000","-149,000,000","-209,000,000","-99,000,000","-108,000,000","-149,000,000","-97,000,000","-112,000,000","-102,000,000","-27,000,000","-63,000,000","-162,000,000","-66,000,000","-102,000,000","-53,000,000","-70,000,000","-79,000,000","-110,000,000","-80,000,000","-48,000,000","-72,000,000","-110,000,000","-95,000,000","-87,000,000","-68,000,000","-84,500,000","-95,900,000","-119,500,000","-102,900,000","-97,900,000"
IssuanceOfCapitalStock,,,"4,000,000","5,000,000","-1,000,000","1,000,000","2,000,000","-1,000,000","13,000,000","20,000,000","1,118,000,000","14,000,000","13,000,000","22,000,000","20,000,000","531,000,000","47,000,000","100,000,000","178,000,000","98,000,000","104,000,000","73,000,000","11,000,000","57,000,000","34,000,000","42,000,000","58,000,000","62,000,000","48,000,000","35,000,000","37,000,000","20,000,000",,,"2,000,000","1,150,000,000","239,000,000","20,000,000","18,000,000","19,000,000","19,000,000","16,000,000","16,000,000","15,000,000","2,250,000,000","16,000,000","16,000,000","15,000,000","2,396,000,000","14,000,000","15,000,000","15,000,000","14,000,000","16,000,000","0","2,000,000","13,000,000","4,000,000","-668,000,000","678,000,000","17,000,000","5,000,000","8,000,000","6,000,000","250,000,000","2,000,000","1,000,000",,,"24,000,000","1,000,000","6,000,000","577,000,000","12,000,000","2,000,000","13,000,000","338,000,000","73,000,000","53,000,000","519,000,000","1,000,000","19,000,000","4,000,000","-565,000,000",,,"13,000,000","9,000,000",,,"0","0","0","8,000,000",,,"17,000,000","16,000,000","23,000,000","-233,000,000","269,000,000","17,000,000",,,,"17,000,000",,,"19,300,000","19,400,000","80,000,000"
IssuanceOfDebt,"814,000,000","916,000,000","0","0","-102,000,000","752,000,000","769,000,000","0","1,698,000,000","200,000,000","0","696,000,000","769,000,000","0","457,000,000","18,000,000","440,000,000","144,000,000","427,000,000","494,000,000","530,000,000","64,000,000","101,000,000","221,000,000","796,000,000","224,000,000","1,099,000,000","1,049,000,000",,,"0","0",,,"1,176,000,000","412,000,000","0","450,000,000","399,000,000","249,000,000",,,"500,000,000","895,000,000",,,"2,892,000,000","3,000,000","1,150,000,000","597,000,000","0","0","298,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RepaymentOfDebt,"-5,332,000,000","0","69,000,000","-2,227,000,000","-3,174,000,000","-373,000,000","-197,000,000","-975,000,000",,,"-100,000,000","0",,,"0","-27,000,000",,,"-108,000,000","0","-60,000,000","0","-25,000,000","-221,000,000","-460,000,000","-224,000,000",,,,"-1,000,000","-1,000,000","-306,000,000","0","-239,000,000","-438,000,000",,,"-8,000,000","-3,000,000",,,,"-502,000,000",,,,"424,000,000","-285,000,000","-123,000,000","-36,000,000","-82,000,000","-479,000,000","4,000,000","-511,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,,,"-721,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-46,000,000",,,"0","0",,,,,,,"0","0",,,"0","0","0","0","0","0","0","-38,000,000",,,,,,,,,,,,,,,,,"-17,000,000","-4,000,000",,,"0","-150,000,000",,,,,,,,,,,"1,000,000","-326,000,000","-45,000,000","-46,000,000",,,,,"0","0","-294,000,000","-75,000,000",,,,,,,,,"-20,000,000"
FreeCashFlow,"180,000,000","75,000,000","-221,000,000","-34,000,000","360,000,000","192,000,000","-402,000,000","176,000,000","-143,000,000","-134,000,000","-347,000,000","95,000,000","-149,000,000","-255,000,000","-283,000,000","68,000,000","-11,000,000","-191,000,000","-287,000,000","175,000,000","-53,000,000","-545,000,000","-201,000,000","324,000,000","-85,000,000","-105,000,000","-394,000,000","-171,000,000","-101,000,000","-289,000,000","-458,000,000","-5,000,000","-358,000,000","39,000,000","-905,000,000","305,000,000","-266,000,000","-584,000,000","-357,000,000","378,000,000","-408,000,000","46,000,000","-141,000,000","350,000,000","43,000,000","-232,000,000","-308,000,000","746,000,000","-587,000,000","493,000,000","180,000,000","363,000,000","-14,000,000","10,000,000","-57,000,000","-125,000,000","-73,000,000","94,000,000","-124,000,000","83,000,000","-18,000,000","-55,000,000","-35,000,000","182,000,000","118,000,000","99,000,000","74,000,000","414,000,000","-51,000,000","140,000,000","151,000,000","269,000,000","139,000,000","144,000,000","70,000,000","358,000,000","157,000,000","-16,000,000","81,000,000","296,000,000","-109,000,000","-120,000,000","166,000,000","181,000,000","-77,000,000","73,000,000","187,000,000","178,000,000","17,000,000","23,000,000","87,000,000","180,000,000","3,000,000","56,000,000","52,000,000","149,000,000","37,000,000","95,000,000","88,000,000","192,000,000","57,000,000","130,000,000","51,000,000","183,000,000","47,000,000","152,000,000","68,900,000","175,900,000","-49,800,000","94,500,000","-43,400,000"
