name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991
MarketCap,"1,247,966,449","1,452,765,619","1,365,784,093","1,283,721,780","1,228,079,216","1,443,769,997","958,748,073","842,828,573","779,758,868","1,346,012,175","1,944,044,867","2,165,031,177","1,940,639,436","1,859,974,175","2,175,518,666","2,517,411,111","1,899,897,090","2,601,943,548","3,052,680,737","2,919,042,255","3,247,519,884","3,217,127,557","2,992,425,762","2,792,276,700","2,849,052,994","2,691,988,158","2,576,970,079","2,608,061,471","2,496,035,737","2,545,831,528","2,552,502,243","2,542,284,863","2,605,462,107","2,650,918,680","2,966,806,610","2,779,027,015","3,224,371,486","2,930,532,177","2,599,895,633","2,773,201,784","2,730,570,636","2,705,789,902","2,437,356,939","2,198,588,533","2,141,368,250","1,937,500,171","1,863,645,980","1,777,678,905","1,807,373,999","1,902,838,953","1,740,847,982","1,704,759,419","1,511,147,497","1,554,584,925","1,768,406,250","1,876,293,104","1,542,190,586","1,725,700,872","1,781,746,164","1,760,085,944","1,840,839,110","1,705,127,499","1,661,151,048","1,636,550,657","1,503,008,006","1,622,083,840","1,513,136,020","1,450,459,076","1,227,971,675","1,155,468,970","1,142,186,547","1,022,157,771","995,191,722","1,020,471,060","935,726,039","748,256,923","781,712,179","680,232,362","606,420,192","436,890,045","454,980,732","466,561,815","453,378,865","384,112,911","444,541,176","278,992,695","378,513,578","277,682,240","263,318,276","446,166,941","472,215,316","561,921,999","650,360,682","669,603,943","771,425,236","563,871,881","596,825,493","622,572,508","605,498,165","591,760,195","416,242,071","344,208,564","329,061,034","315,643,380","349,671,833","307,413,833","301,090,826","272,424,244","265,784,420","239,225,300","230,340,042","247,034,298","173,706,768","181,140,632","186,056,082","195,135,674","180,915,815","174,940,202","192,618,758","159,065,679","126,977,465","136,895,818","130,941,789","133,301,155"
EnterpriseValue,"1,620,585,449","1,754,993,619","1,609,259,093","1,605,287,780","1,316,834,216","1,532,816,997","1,031,984,073","924,473,573","869,444,868","1,478,515,175","2,150,078,867","2,381,500,177","2,174,332,436","2,067,260,175","2,375,973,666","2,738,967,111","2,228,178,090","2,879,259,548","3,334,135,737","3,227,953,255","3,593,889,884","3,547,982,557","3,211,638,762","2,995,137,700","2,999,684,994","2,800,888,158","2,725,628,079","2,806,695,471","2,642,459,737","2,598,791,528","2,554,497,243","2,581,625,863","2,559,219,107","2,771,535,680","2,972,572,610","2,784,793,015","3,254,541,486","2,936,981,177","2,606,344,633","2,690,780,784","2,660,094,636","2,625,076,902","2,361,563,939","2,122,795,533","2,091,503,250","1,929,045,171","1,863,898,980","1,780,639,905","1,812,672,999","1,904,753,953","1,750,408,982","1,733,726,419","1,551,837,497","1,566,879,925","1,799,877,250","1,930,025,104","1,698,181,586","1,879,281,872","1,906,814,164","1,929,741,944","2,018,650,110","1,855,158,499","1,816,649,048","1,777,327,657","1,643,785,006","1,753,247,840","1,650,165,020","1,587,488,076","1,342,524,675","1,278,435,970","1,263,582,547","1,143,012,771","1,110,845,722","1,093,373,060","993,383,039","799,825,923","801,621,179","703,803,362","535,614,192","419,802,045","463,451,732","495,898,815","482,715,865","417,570,911","444,541,176","278,992,695","378,513,578","277,682,240","263,318,276","446,166,941","472,215,316","561,921,999","650,360,682","669,603,943","771,425,236","563,871,881","596,825,493","622,572,508","605,498,165","591,760,195","416,242,071","344,208,564","329,061,034","315,643,380","349,671,833","307,413,833","301,090,826","272,424,244","265,784,420","239,225,300","230,340,042","247,034,298","173,706,768","181,140,632","186,056,082","195,135,674","180,915,815","174,940,202","192,618,758","159,065,679","126,977,465","136,895,818","130,941,789","133,301,155"
PeRatio,"9.386","10.067","10.812",,,,,,,"1,338.115","53.94","43.301","28.888","39.45","24.582","29.161","24.448","24.275","21.089","19.518","18.765","21.29","22.939","25.98","29.75","23.981","18.883","16.522","14.396","13.912","13.518","11.721","11.872","9.277","9.164","8.599","9.695","10.612","9.46","9.353","9.319","9.464","10.028","9.048","8.61","8.349","8.417","8.779","8.548","8.339","8.016","8.193","8.605","9.287","10.111","12.584","9.603","11.215","11.49","13.268","14.274","13.75","14.142","15.448","15.103","18.056","15.248","14.63","14.351","15.43","16.502","15.704","18.048","21.212","24.173","19.869","34.095","44.469","53.846","169","35.918","35.392","34.471","22.239","21.296","11.827","12.271","7.656","7.031","10.532","10.348","12.056","13.124","13.136","16.066","12.747","14.923","15.958","15.461","16.421","12.226","10.384","10.214","10.237","11.428","10.356","10.73","10.196","9.947","9.325","8.752","9.373","6.226","6.627","6.97","8.062","7.864","7.849","8.362","6.23","6.417","7.098","7.468",
ForwardPeRatio,"33.003",,"42.194","39.683","64.935","133.333","89.286","55.866",,"100","63.291","57.471","44.053","26.81","25.381","28.49","20.833","24.876","27.624","27.855","29.07",,,,,,,,,"7.924",,,"7.663","7.686","8.17","7.407","8.104","8.006","6.882","7.375","7.032","12.331","14.124","12.854","12.755","11.574","11.655",,,,,,"13.423",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.793",,,"0.766","0.769","0.817","0.741","0.811","0.8","0.688","0.738","0.703","1.233","1.346","1.224","1.214","1.102","1.345",,,,,,"1.413",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.098","1.351","1.371","1.388","1.361","1.627","1.042","0.896","0.83","1.333","2.068","2.302","2.05","2.121","2.411","2.851","2.274","3.033","3.458","3.292","3.613","3.676","3.638","3.641","3.819","3.606","3.41","3.4","3.179","3.221","3.359","3.414","3.696","3.77","4.014","3.757","4.391","4.049","3.61","3.915","3.796","3.791","3.548","3.201","3.058","2.863","2.817","2.717","2.693","2.732","2.647","2.808","2.792","2.968","3.224","3.251","2.568","2.996","2.786","2.601","2.673","2.422","2.417","2.412","2.358","2.594","1.89","1.813","1.639","1.572","1.574","1.32","1.31","1.375","1.32","1.095","1.213","1.165","0.992","0.826","1.006","1.145","1.115","1.434","1.696","1.287","1.799","0.876","0.805","2.221","2.328","2.865","3.202","3.228","4.036","3.125","3.582","3.79","3.608","3.657","2.627","2.295","2.279","2.49","3.034","2.789","2.853","2.756","2.688","2.618","2.716","2.909","1.971","2.053","2.148","2.255","2.105","2.072","2.25","1.623","1.569","1.729","1.72",
PbRatio,"0.974","0.785","0.96","0.901","0.929","1.07","0.721","0.572","0.415","0.7","1.223","1.369","1.243","0.935","1.371","1.599","1.211","1.28","1.651","1.588","1.779","1.789","1.465","1.377","1.436","1.118","1.284","1.268","1.173","1.18","1.1","1.077","1.108","44.433","1.25","1.189","1.366","20.125","17.883","1.22","1.232","1.248","1.206","1.087","1,088.999","1.028","1.004","0.978","1.008","1.083","1.021","1.034","0.989","1.063","1.242","1.408","1.229","1.353","1.42","1.525","1.582","1.524","1.535","1.798","1.652","1.818","2.049","1.964","1.857","1.889","1.869","1.722","1.8","1.774","1.713","1.392","1.452","1.326","1.2","0.966","1.109","1.129","1.097","0.953","1.273","0.808","1.115","0.817","0.775","1.337","1.45","1.76","1.993","2.035","2.379","1.787","1.947","2.091","2.108","2.155","1.599","1.399","1.345","1.431","1.691","1.492","1.562","1.481","1.445","1.39","1.455","1.561","1.135","1.217","1.215","1.452","1.407","1.421","1.684","1.455","1.239","1.41","1.431","1.534"
EnterprisesValueRevenueRatio,"1.424","6.371","5.399","5.452","4.883","7.189","4.702","4.163","3.519","7.457","8.522","9.794","8.883","7.665","12.999","11.221","8.884","14.44","15.909","14.392","17.699","16.04","13.561","13.154","13.989","14.216","14.651","16.024","13.147","12.603","11.784","12.684","11.542","13.434","16.344","15.319","18.728","15.046","12.884","15.289","16.233","14.538","11.442","13.105","11.963","11.113","10.049","9.831","11.224","11.617","9.519","9.495","8.855","11.964","13.655","16.344","11.094","4.013","11.32","10.804","11.206","10.371","9.251","9.392","9.458","9.839","72.842","7.238","6.674","6.323","5.964","5.661","5.895","5.684","5.063","4.296","4.74","4.451","3.286","3.233","3.492","3.81","3.551","3.257","7.666","4.618","5.864","5.008","4.817","9.31","8.058","11.586","13.382","12.803","14.75","10.7","12.918","14.718","14.417","14.225","10.756","8.94","7.724","8.373","12.099","10.146","10.241","9.729","9.63","9.456","10.329","11.437","8.272","8.751","8.457","7.9","8.782","8.534","9.216","6.916","6.134","6.711","6.119","6.801"
