name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997
TotalAssets,"13,015,101,000","12,855,189,000","10,675,716,000","8,720,596,000","8,557,414,000","8,398,272,000","8,325,487,000","8,089,630,000","8,228,944,000","8,331,682,000","8,865,093,000","8,021,817,000","7,652,516,000","7,075,787,000","7,191,174,000","6,790,382,000","6,653,402,000","6,480,154,000","6,640,246,000","5,753,344,000","5,543,053,000","5,354,059,000","5,476,468,000","5,297,101,000","5,295,519,000","5,213,543,000","5,373,424,000","6,130,510,000","6,140,834,000","6,312,024,000","6,229,289,000","5,909,059,000","5,826,620,000","5,793,245,000","5,494,968,000","5,187,931,000","5,154,818,000","5,140,757,000","5,255,270,000","4,897,303,000","4,755,334,000","4,699,114,000","4,463,955,000","4,292,855,000","4,324,562,000","4,341,212,000","4,130,962,000","3,960,302,000","4,049,152,000","4,116,954,000","3,634,105,000","3,599,502,000","3,531,480,000","3,554,787,000","3,562,569,000","3,490,494,000","3,398,059,000","3,387,832,000","3,274,674,000","1,682,430,000","1,662,766,000","1,639,157,000","1,626,426,000","1,580,830,000","1,560,492,000","1,554,785,000","1,543,973,000","1,469,141,000","1,444,732,000","1,459,997,000","1,474,148,000","1,444,674,000","1,440,359,000","1,466,435,000","1,387,266,000","1,360,674,000","1,344,949,000","1,364,812,000","1,397,420,000","1,406,629,000","2,019,330,000","2,042,901,000","2,106,796,000","2,025,582,000","1,983,919,000","1,874,094,000","1,712,490,000","1,435,857,000","1,277,268,000","1,159,600,000","1,034,200,000","741,600,000","554,200,000","335,000,000","331,300,000","205,800,000","141,600,000","35,700,000"
	CurrentAssets,"4,865,615,000","4,732,577,000","5,704,134,000","3,733,935,000","3,605,571,000","3,588,389,000","3,677,008,000","3,644,755,000","3,758,600,000","3,830,986,000","4,301,927,000","3,751,932,000","3,554,544,000","3,326,104,000","3,378,122,000","3,074,836,000","2,957,069,000","2,869,907,000","2,948,239,000","2,617,199,000","2,474,913,000","2,288,745,000","2,405,351,000","2,244,387,000","2,248,374,000","2,277,519,000","2,362,664,000","2,315,567,000","2,387,640,000","2,553,976,000","2,536,467,000","2,242,928,000","2,214,457,000","2,313,318,000","2,137,387,000","2,176,827,000","2,185,665,000","2,201,727,000","2,136,427,000","1,824,501,000","1,770,113,000","1,765,154,000","1,576,877,000","1,476,580,000","1,562,324,000","1,596,364,000","1,621,262,000","1,425,373,000","1,505,484,000","1,582,792,000","1,402,960,000","1,385,892,000","1,341,386,000","1,381,491,000","1,382,782,000","1,317,621,000","1,307,137,000","1,304,762,000","1,238,462,000","987,005,000","970,989,000","990,629,000","916,078,000","862,515,000","835,761,000","831,010,000","797,980,000","708,627,000","686,867,000","700,036,000","717,341,000","660,176,000","654,327,000","676,093,000","585,727,000","550,530,000","520,877,000","529,497,000","549,402,000","555,667,000","549,098,000","577,120,000","664,431,000","627,560,000","600,783,000","602,407,000","534,106,000","432,165,000","369,419,000","335,100,000","298,700,000","222,200,000","172,400,000","104,700,000","122,100,000","66,800,000","47,200,000","16,700,000"
		CashCashEquivalentsAndShortTermInvestments,"238,258,000","229,097,000","1,696,210,000","212,473,000","200,218,000","184,620,000","216,935,000","530,670,000","377,205,000","164,798,000","80,044,000","73,356,000","85,423,000","78,687,000","113,524,000","120,357,000","101,736,000","138,285,000","91,532,000","99,565,000","106,514,000","112,183,000","117,366,000","162,344,000","155,315,000","128,771,000","49,194,000","65,427,000","135,534,000","190,515,000","144,159,000","188,948,000","273,340,000","488,777,000","309,153,000","363,113,000","366,619,000","394,701,000","128,210,000","172,868,000","177,367,000","315,349,000","257,838,000","380,382,000","503,019,000","539,221,000","441,247,000","519,818,000","659,824,000","699,629,000","584,038,000","524,356,000","508,809,000","437,901,000","266,429,000","304,791,000","372,194,000","407,081,000","371,470,000","405,792,000","406,432,000","383,687,000","351,715,000","309,521,000","284,763,000","304,267,000","223,636,000","240,737,000","254,002,000","265,560,000","217,738,000","197,317,000","195,680,000","179,626,000","77,827,000","86,115,000","61,433,000","27,901,000","15,365,000","4,577,000","6,309,000","6,287,000","2,779,000","2,772,000","6,562,000","17,306,000","18,295,000","2,373,000","2,210,000","10,800,000","12,700,000","4,200,000","5,300,000","3,200,000","2,600,000","1,800,000","5,200,000","500,000"
			CashAndCashEquivalents,"238,258,000","229,097,000","1,696,210,000","212,473,000","200,218,000","184,620,000","216,935,000","530,670,000","377,205,000","164,798,000","80,044,000","73,356,000","85,423,000","78,687,000","113,524,000","120,357,000","101,736,000","138,285,000","91,532,000","99,565,000","106,514,000","112,183,000","117,366,000","162,344,000","155,315,000","128,771,000","49,194,000","65,427,000","135,534,000","190,515,000","144,159,000","188,948,000","273,340,000","488,777,000","309,153,000","363,113,000","366,619,000","394,701,000","128,210,000","172,868,000","177,367,000","315,349,000","257,838,000","380,382,000","503,019,000","539,221,000","441,247,000","519,818,000","659,824,000","699,629,000","584,038,000","524,356,000","508,809,000","437,901,000","266,429,000","304,791,000","372,194,000","407,081,000","371,470,000","405,792,000","406,432,000","383,687,000","67,275,000","309,521,000","284,763,000","304,267,000","223,636,000","240,737,000","254,002,000","265,560,000","217,738,000","197,317,000","195,680,000","179,626,000","77,827,000","86,115,000","61,433,000","27,901,000","15,365,000","4,577,000","6,309,000","6,287,000","2,779,000","2,772,000","6,562,000","17,306,000","18,295,000","2,373,000","2,210,000","10,800,000","12,700,000","4,200,000","5,300,000","3,200,000","2,600,000","1,800,000","5,200,000","500,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"284,440,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"4,331,908,000","4,203,771,000","3,762,451,000","3,239,770,000","3,185,239,000","3,169,915,000","3,228,751,000","2,860,089,000","3,162,465,000","3,349,179,000","3,841,243,000","3,315,668,000","3,153,913,000","2,931,628,000","2,971,614,000","2,659,822,000","2,586,872,000","2,482,369,000","2,623,021,000","2,244,993,000","2,145,784,000","1,973,423,000","2,062,926,000","1,851,030,000","1,876,473,000","1,938,878,000","2,052,335,000","1,974,344,000","1,983,865,000","2,102,986,000","2,190,018,000","1,828,366,000","1,776,823,000","1,652,593,000","1,666,993,000","1,687,981,000","1,690,819,000","1,670,858,000","1,819,979,000","1,138,720,000","1,114,246,000","1,066,273,000","1,008,936,000","813,057,000","767,126,000","766,387,000","787,580,000","671,792,000","672,586,000","688,260,000","663,277,000","723,711,000","683,893,000","849,630,000","1,030,423,000","821,110,000","830,495,000","792,096,000","784,488,000","523,959,000","507,902,000","543,874,000","505,899,000","495,788,000","494,121,000","469,637,000","507,328,000","420,829,000","381,935,000","348,828,000","446,464,000","383,974,000","319,063,000","364,844,000","442,090,000","407,513,000","375,517,000","367,057,000","391,871,000","479,049,000","478,296,000","451,870,000","596,822,000","563,350,000","543,754,000","538,711,000","477,483,000","400,816,000","342,407,000","299,900,000","268,000,000","201,100,000","114,100,000","94,600,000","114,000,000","62,100,000","40,500,000","14,600,000"
			AccountsReceivable,"3,356,566,000","3,400,318,000","3,002,172,000","2,570,457,000","2,666,983,000","2,716,083,000","2,750,268,000","2,370,286,000","2,593,285,000","2,747,911,000","3,188,328,000","2,632,003,000","2,580,665,000","2,354,737,000","2,291,608,000","2,108,317,000","2,088,682,000","1,985,077,000","1,980,245,000","1,614,113,000","1,589,257,000","1,500,115,000","1,565,080,000","1,384,554,000","1,493,255,000","1,621,133,000","1,700,314,000","1,626,833,000","1,642,675,000","1,812,539,000","1,873,241,000","1,589,927,000","1,501,857,000","1,439,115,000","1,434,701,000","1,282,949,000","1,283,739,000","1,328,081,000","1,441,021,000","1,138,720,000","1,114,246,000","1,066,273,000","1,008,936,000","813,057,000","767,126,000","766,387,000","787,580,000","671,792,000","672,586,000","688,260,000","663,277,000","723,711,000","683,893,000","849,630,000","1,030,423,000","821,110,000","830,495,000","792,096,000","784,488,000","523,959,000","507,902,000","543,874,000","505,899,000","450,533,000","447,096,000","431,584,000","456,075,000","363,074,000","330,980,000","348,828,000","394,223,000","322,031,000","319,063,000","364,844,000","388,630,000","352,021,000","322,438,000","367,057,000","391,871,000","419,098,000","414,321,000","451,870,000","522,110,000","485,913,000","465,359,000",,,,,,,,,,,,,
				GrossAccountsReceivable,"3,406,482,000","3,450,067,000","3,041,881,000","2,610,170,000","2,683,432,000","2,732,629,000","2,766,672,000","2,385,234,000","2,607,731,000","2,757,309,000","3,196,011,000","2,640,544,000","2,589,141,000","2,360,576,000",,"2,113,074,000","2,093,772,000","1,989,542,000","1,985,311,000","1,619,392,000","1,594,265,000","1,502,867,000","1,567,837,000","1,387,273,000","1,495,982,000","1,626,359,000","1,705,595,000","1,632,865,000","1,649,286,000","1,818,713,000","1,879,451,000","1,596,173,000","1,507,043,000","1,444,330,000","1,439,957,000","1,288,244,000","1,289,165,000","1,333,528,000","1,446,615,000","1,143,754,000","1,118,822,000","1,070,036,000","1,015,253,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-49,916,000","-49,749,000","-39,709,000","-39,713,000","-16,449,000","-16,546,000","-16,404,000","-14,948,000","-14,446,000","-9,398,000","-7,683,000","-8,541,000","-8,476,000","-5,839,000",,"-4,757,000","-5,090,000","-4,465,000","-5,066,000","-5,279,000","-5,008,000","-2,752,000","-2,757,000","-2,719,000","-2,727,000","-5,226,000","-5,281,000","-6,032,000","-6,611,000","-6,174,000","-6,210,000","-6,246,000","-5,186,000","-5,215,000","-5,256,000","-5,295,000","-5,426,000","-5,447,000","-5,594,000","-5,034,000","-4,576,000","-3,763,000","-6,317,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"975,342,000","803,453,000","760,279,000","669,313,000","518,256,000","453,832,000","478,483,000","489,803,000","569,180,000","601,268,000","652,915,000","683,665,000","573,248,000","576,891,000","680,006,000","551,505,000","498,190,000","497,292,000","642,776,000","630,880,000","556,527,000","473,308,000","497,846,000","466,476,000","383,218,000","317,745,000","352,021,000","347,511,000","341,190,000","290,447,000","316,777,000","238,439,000","274,966,000","213,478,000","232,292,000","405,032,000","407,080,000","342,777,000","378,958,000",,,,,,,,,,"56,674,000",,"0",,,,"0",,,,,"0",,"0",,"45,255,000","47,025,000","38,053,000","51,253,000","57,755,000","50,955,000",,"52,241,000","61,943,000","0","0","53,460,000","55,492,000","53,079,000",,,"59,951,000","63,975,000",,"74,712,000","77,437,000","78,395,000",,,,,,,,,,,,,
