name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
OperatingCashFlow,"205,672,000","80,210,000","74,777,000","4,139,000","46,546,000","127,373,000","52,266,000","11,171,000","70,864,000","40,653,000","125,805,000","-6,559,000","71,830,000","63,433,000","70,058,000","43,157,000","64,450,000","33,174,000","38,075,000","24,007,000","15,434,000","47,704,000","23,456,000","6,575,000","22,150,000","50,292,000","38,866,000","52,379,000","35,123,000","45,329,000","39,906,000","26,994,000","13,060,000","18,581,000","35,516,000","47,524,000","6,375,000","28,002,000","25,129,000","41,651,000","3,302,000","22,835,000","28,672,000","36,220,000","-15,531,000","25,505,000","10,391,000","12,253,000","-3,265,000","18,275,000","5,478,000","9,669,000","941,000","29,140,000","25,664,000","15,270,000","15,337,000","5,236,000","39,176,000","10,473,000","21,517,000","9,414,000","13,466,000","28,689,000","19,399,000","15,033,000","12,413,000","19,248,000","16,837,000","3,127,000","15,014,000","6,734,000","7,955,000","6,148,000","8,303,000","11,766,000","8,928,000","2,501,000","8,883,000","5,258,000","-7,401,000","5,823,000","20,868,000","-26,106,000","18,572,000","14,300,000","6,136,000","8,070,000","15,934,000","11,210,000","-4,799,000","7,300,000","6,100,000","3,200,000","3,388,000","8,600,000","3,900,000","12,800,000","2,355,000","7,800,000","11,500,000","17,800,000","2,429,000","10,400,000","2,800,000","3,700,000"
	CashFlowFromContinuingOperatingActivities,"205,672,000","80,210,000","74,777,000","4,139,000","46,546,000","127,373,000","52,266,000","11,171,000","70,864,000","40,653,000","125,805,000","-6,559,000","71,830,000","63,433,000","70,058,000","43,157,000","64,450,000","33,174,000","38,075,000","24,007,000","15,434,000","47,704,000","23,456,000","6,575,000","22,150,000","50,292,000","38,866,000","52,379,000","35,123,000","45,329,000","39,906,000","26,994,000","13,060,000","18,581,000","35,516,000","47,524,000","6,375,000","28,002,000","25,129,000","41,651,000","3,302,000","22,835,000","28,672,000","36,220,000","-15,531,000","25,505,000","10,391,000","12,253,000","-3,265,000","18,275,000","5,478,000","9,669,000","941,000","29,140,000","25,664,000","15,270,000","15,337,000","5,236,000","39,176,000","10,473,000","21,517,000","9,414,000","13,466,000","28,689,000","19,373,000","13,211,000","12,413,000","19,248,000","16,837,000","3,127,000","15,014,000","6,734,000","7,955,000","6,148,000","8,303,000","11,766,000","8,928,000","2,501,000","8,883,000","5,258,000","-7,401,000","5,823,000","20,868,000","-26,106,000","18,572,000","14,300,000","6,136,000","8,070,000","15,934,000","11,210,000","-4,799,000","7,300,000","6,100,000","3,200,000","3,388,000","8,600,000","3,900,000","12,800,000","2,355,000","7,800,000","11,500,000","17,800,000","2,429,000","10,400,000","2,800,000","3,700,000"
		NetIncomeFromContinuingOperations,"241,747,000","87,503,000","84,314,000","43,338,000","26,592,000","17,230,000","22,388,000","24,781,000","13,154,000","13,236,000","27,955,000","26,105,000","29,217,000","23,894,000","48,911,000","114,611,000","22,051,000","16,167,000","99,943,000","15,334,000","9,542,000","10,334,000","18,244,000","17,924,000","20,672,000","17,965,000","22,374,000","19,832,000","18,467,000","10,276,000","16,356,000","4,491,000","18,676,000","12,035,000","16,536,000","18,600,000","18,610,000","15,364,000",,,,,,,,"10,498,000","12,509,000","12,617,000","9,630,000","8,702,000","9,951,000","9,831,000","8,305,000","6,178,000","14,210,000","16,930,000","14,970,000","13,135,000","17,997,000","16,608,000","13,775,000","11,419,000","13,519,000","13,494,000","12,218,000","8,474,000","10,063,000","9,610,000","7,925,000","5,348,000","7,203,000","3,304,000","4,059,000","2,713,000","2,698,000","2,826,000","1,547,000","1,359,000","1,406,000","1,379,000","-2,227,000","940,000","1,166,000","-1,112,000","1,065,000","2,725,000","1,072,000","1,564,000","2,298,000","-317,000","3,000,000","3,200,000","2,700,000","1,900,000","2,600,000","2,600,000","2,100,000","1,600,000","2,593,000","2,600,000","2,200,000","2,000,000","2,300,000","2,200,000","1,600,000","900,000"
		OperatingGainsLosses,"-21,994,000","-4,745,000","-10,195,000","-4,945,000","-2,109,000","-1,924,000","813,000","-2,000","-25,000","121,000","568,000","213,000","-691,000","-835,000","451,000","-1,368,000","25,000","-115,000","81,000","53,000","355,000","-48,000","-191,000","-127,000","-172,000","-83,000","-13,000","-56,000",,,"-26,000","-10,000","-4,000","-6,000","178,000","-58,000","-73,000","-214,000","66,000","90,000","-49,000","1,000","-1,000","-8,000","5,000","-13,000","39,000","27,000","-44,000","63,000","71,000","-5,000","11,000","-27,000",,,"-226,000","29,000","-4,000","-39,000","-119,000","2,000","-100,000",,,,"-609,000","-172,000","478,000","1,026,000","-59,000","462,000","1,005,000","574,000","291,000","65,000","-35,000","-200,000","-20,000","28,000","-31,000","-501,000","-513,000","267,000","1,109,000","3,115,000","58,000","10,000","173,000","-66,000","600,000","300,000","1,500,000","4,000,000","2,100,000","3,800,000","2,900,000","1,500,000","2,600,000","5,600,000","4,400,000","4,300,000","6,300,000","5,300,000","4,000,000","700,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,"-18,847,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000","-1,000","-8,000","5,000","-13,000",,,,"63,000",,"-5,000","11,000","-27,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"133,711,000","35,193,000","34,670,000","31,926,000","31,922,000","32,111,000","31,881,000","30,039,000","31,183,000","30,576,000","30,168,000","29,690,000","28,646,000","28,383,000","24,726,000","20,933,000","19,652,000","18,599,000","18,642,000","18,243,000","12,766,000","12,522,000","12,047,000","11,239,000","10,787,000","10,639,000","10,380,000","9,136,000","8,795,000","8,731,000","8,215,000","7,385,000","7,001,000","6,779,000","5,823,000","5,525,000","4,858,000","5,096,000","5,275,000","5,296,000","5,488,000","5,516,000","5,396,000","4,652,000","3,663,000","2,629,000","2,494,000","2,133,000","1,993,000","1,952,000","1,917,000","1,962,000","2,136,000","2,184,000","2,043,000","1,931,000","1,689,000","1,706,000","1,720,000","1,769,000","1,902,000","1,804,000","1,760,000","2,177,000","2,058,000","2,175,000","2,392,000","2,479,000","2,561,000","2,593,000","2,862,000","3,154,000","2,901,000","2,911,000","2,889,000","2,734,000","2,600,000","2,574,000","3,524,000","2,668,000","2,572,000","2,712,000","4,072,000","3,730,000","4,443,000","4,744,000","3,806,000","3,129,000","2,877,000","2,804,000","17,482,000","-2,700,000","-2,600,000","-2,100,000","13,156,000","-1,700,000","-2,000,000","-1,800,000","9,588,000","-1,400,000","-1,300,000","-1,200,000","4,586,000","-900,000",,
			DepreciationAndAmortization,"133,711,000","35,193,000","34,670,000","31,926,000","31,922,000","32,111,000","31,881,000","30,039,000","31,183,000","30,576,000","30,168,000","29,690,000","28,646,000","28,383,000","24,726,000","20,933,000","19,652,000","18,599,000","18,642,000","18,243,000","12,766,000","12,522,000","12,047,000","11,239,000","10,787,000","10,639,000","10,380,000","9,136,000","8,795,000","8,731,000","8,215,000","7,385,000","7,001,000","6,779,000","5,823,000","5,525,000","4,858,000","5,096,000","5,275,000","5,296,000","5,488,000","5,516,000","5,396,000","4,652,000","3,663,000","2,629,000","2,494,000","2,133,000","1,993,000","1,952,000","1,917,000","1,962,000","2,136,000","2,184,000","2,043,000","1,931,000","1,689,000","1,706,000","1,720,000","1,769,000","1,902,000","1,804,000","1,760,000","2,177,000","2,058,000","2,175,000","2,392,000","2,479,000","2,561,000","2,593,000","2,862,000","3,154,000","2,901,000","2,911,000","2,889,000","2,734,000","2,600,000","2,574,000","3,524,000","2,668,000","2,572,000","2,712,000","4,072,000","3,730,000","4,443,000","4,744,000","3,806,000","3,129,000","2,877,000","2,804,000","17,482,000","-2,700,000","-2,600,000","-2,100,000","13,156,000","-1,700,000","-2,000,000","-1,800,000","9,588,000","-1,400,000","-1,300,000","-1,200,000","4,586,000","-900,000",,
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,706,000","1,720,000","1,769,000","1,902,000","1,804,000","1,760,000",,,,"2,392,000","2,479,000","2,561,000","2,593,000","2,862,000","3,154,000","2,901,000","2,911,000","2,889,000","2,734,000","2,600,000","2,574,000","3,524,000","2,668,000","2,572,000","2,712,000","2,636,000","2,295,000","3,008,000","3,309,000","2,370,000","1,694,000","1,442,000","1,369,000","12,413,000","-2,700,000","-2,600,000","-2,100,000","13,156,000","-1,700,000","-2,000,000","-1,800,000","9,588,000","-1,400,000","-1,300,000","-1,200,000","4,586,000","-900,000",,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","1,436,000","1,435,000","1,435,000","1,435,000","1,436,000","1,435,000","1,435,000","1,435,000",,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","1,436,000","1,435,000","1,435,000","1,435,000","1,436,000","1,435,000","1,435,000","1,435,000",,,,,,,,,,,,,,,,
