name,ttm
TotalRevenue,"238,835,729"
	OperatingRevenue,"238,835,729"
OperatingExpense,"7,132,188"
	SellingGeneralAndAdministration,"7,013,905"
		GeneralAndAdministrativeExpense,"7,013,905"
	OtherOperatingExpenses,"118,283"
PretaxIncome,"231,339,209"
NetIncomeCommonStockholders,"231,339,209"
	NetIncome,"231,339,209"
		NetIncomeIncludingNoncontrollingInterests,"231,339,209"
			NetIncomeContinuousOperations,"231,339,209"
DilutedNIAvailtoComStockholders,"231,339,209"
NetIncomeFromContinuingAndDiscontinuedOperation,"231,339,209"
NormalizedIncome,"231,605,171.36"
InterestIncome,"0"
InterestExpense,"13,862,021"
NetInterestIncome,"-13,862,021"
NetIncomeFromContinuingOperationNetMinorityInterest,"231,339,209"
TotalUnusualItemsExcludingGoodwill,"-364,332"
TotalUnusualItems,"-364,332"
TaxRateForCalcs,"0.27"
TaxEffectOfUnusualItems,"-98,369.64"
