name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
TotalAssets,"62,241,456,000","60,870,701,000","60,959,110,000","59,854,876,000","56,874,146,000","52,156,913,000","50,371,477,000","49,407,593,000","45,948,545,000","44,196,096,000","43,274,659,000","42,892,358,000","42,091,433,000","41,042,356,000","39,073,106,000","38,072,954,000","37,693,158,000","37,150,249,000","36,307,966,000","35,917,617,000","35,342,126,000","34,788,840,000","33,255,275,000","32,952,212,000","33,109,169,000","32,350,922,000","31,119,676,000","30,064,072,000","29,906,835,000","28,738,049,000","28,481,130,000","27,557,105,000","27,401,026,000","24,730,068,000","24,498,835,000","23,308,406,000","23,101,955,000","22,536,110,000","21,813,165,000","21,525,734,000","21,749,782,000","21,968,667,000","21,813,046,000","21,872,708,000","21,147,026,000","20,700,537,000","20,417,246,000","19,967,321,000","20,299,176,000","20,559,212,000","12,485,930,000","12,719,515,000","12,564,524,000","12,422,816,000","11,722,316,000","11,784,900,000","11,760,210,000","11,852,212,000","11,640,163,000","10,829,357,000","10,655,232,000","10,823,711,000","10,812,302,000","10,018,291,000","9,280,535,000","8,278,256,000","7,938,378,000","6,701,584,000","6,371,028,000","6,028,880,000","5,567,847,000","4,908,579,000","4,622,860,000","4,055,433,000","3,763,476,000","3,600,593,000","3,519,768,000","3,321,489,000","3,245,839,000","3,037,902,000","2,903,220,000","2,825,303,000","2,818,274,000","2,629,751,000","2,566,459,000","2,485,971,000","2,386,525,000","2,358,401,000","2,318,403,000","2,152,600,000","2,067,600,000","2,097,300,000","2,001,100,000","2,058,200,000"
TotalLiabilitiesNetMinorityInterest,"56,538,000,000","55,033,483,000","55,268,909,000","54,307,328,000","51,589,119,000","46,887,738,000","45,245,371,000","44,420,350,000","41,045,560,000","39,178,479,000","38,391,995,000","38,157,765,000","37,499,503,000","36,618,382,000","34,828,256,000","33,958,670,000","33,714,403,000","33,308,298,000","32,526,070,000","32,247,356,000","31,776,172,000","31,361,099,000","29,877,221,000","29,655,302,000","29,892,388,000","29,227,972,000","28,048,561,000","27,059,124,000","26,968,072,000","25,887,481,000","25,713,037,000","24,856,081,000","24,776,806,000","22,365,843,000","22,186,959,000","21,050,455,000","20,758,836,000","20,153,988,000","19,494,956,000","19,230,794,000","19,466,485,000","19,656,924,000","19,551,877,000","19,643,376,000","18,989,109,000","18,586,606,000","18,032,486,000","17,628,357,000","17,993,387,000","18,274,553,000","10,964,148,000","11,242,747,000","11,029,331,000","10,872,050,000","10,457,435,000","10,512,700,000","10,656,426,000","10,680,389,000","10,473,608,000","9,774,186,000","9,617,034,000","9,804,321,000","9,830,932,000","9,080,549,000","8,377,012,000","7,544,118,000","7,241,503,000","6,140,168,000","5,836,999,000","5,514,571,000","5,075,202,000","4,485,660,000","4,215,737,000","3,693,450,000","3,420,468,000","3,274,440,000","3,207,590,000","3,019,372,000","2,957,095,000","2,766,542,000","2,646,601,000","2,580,888,000","2,582,351,000","2,412,561,000","2,358,866,000","2,299,822,000","2,208,479,000","2,194,609,000","2,161,904,000","2,002,500,000","1,919,100,000","1,951,400,000","1,852,200,000","1,907,400,000"
TotalEquityGrossMinorityInterest,"5,703,456,000","5,837,218,000","5,690,201,000","5,547,548,000","5,285,027,000","5,269,175,000","5,126,106,000","4,987,243,000","4,902,985,000","5,017,617,000","4,882,664,000","4,734,593,000","4,591,930,000","4,423,974,000","4,244,850,000","4,114,284,000","3,978,755,000","3,841,951,000","3,781,896,000","3,670,261,000","3,565,954,000","3,427,741,000","3,378,054,000","3,296,910,000","3,216,781,000","3,122,950,000","3,071,115,000","3,004,948,000","2,938,763,000","2,850,568,000","2,768,093,000","2,701,024,000","2,624,220,000","2,364,225,000","2,311,876,000","2,257,951,000","2,343,119,000","2,382,122,000","2,318,209,000","2,294,940,000","2,283,297,000","2,311,743,000","2,261,169,000","2,229,332,000","2,157,917,000","2,113,931,000","2,384,760,000","2,338,964,000","2,305,789,000","2,284,659,000","1,521,782,000","1,476,768,000","1,535,193,000","1,550,766,000","1,264,881,000","1,272,200,000","1,103,784,000","1,171,823,000","1,166,555,000","1,055,171,000","1,038,198,000","1,019,390,000","981,370,000","937,742,000","903,523,000","734,138,000","696,875,000","561,416,000","534,029,000","514,309,000","492,645,000","422,919,000","407,123,000","361,983,000","343,008,000","326,153,000","312,178,000","302,117,000","288,744,000","271,360,000","256,619,000","244,415,000","235,923,000","217,190,000","207,593,000","186,149,000","178,046,000","163,792,000","156,499,000","150,100,000","148,500,000","145,900,000","148,900,000","150,800,000"
	StockholdersEquity,"5,703,456,000","5,837,218,000","5,690,201,000","5,547,548,000","5,285,027,000","5,269,175,000","5,126,106,000","4,987,243,000","4,902,985,000","5,017,617,000","4,882,664,000","4,734,593,000","4,591,930,000","4,423,974,000","4,244,850,000","4,114,284,000","3,978,755,000","3,841,951,000","3,781,896,000","3,670,261,000","3,565,954,000","3,427,741,000","3,378,054,000","3,296,910,000","3,216,781,000","3,122,950,000","3,071,115,000","3,004,948,000","2,938,763,000","2,850,568,000","2,768,093,000","2,701,024,000","2,624,220,000","2,364,225,000","2,311,876,000","2,257,951,000","2,343,119,000","2,382,122,000","2,318,209,000","2,294,940,000","2,283,297,000","2,311,743,000","2,261,169,000","2,229,332,000","2,157,917,000","2,113,931,000","2,384,760,000","2,338,964,000","2,305,789,000","2,284,659,000","1,521,782,000","1,476,768,000","1,535,193,000","1,550,766,000","1,264,881,000","1,272,200,000","1,103,784,000","1,171,823,000","1,166,555,000","1,055,171,000","1,038,198,000","1,019,390,000","981,370,000","937,742,000","903,523,000","734,138,000","696,875,000","561,416,000","534,029,000","514,309,000","492,645,000","422,919,000","407,123,000","361,983,000","343,008,000","326,153,000","312,178,000","302,117,000","288,744,000","271,360,000","256,619,000","244,415,000","235,923,000","217,190,000","207,593,000","186,149,000","178,046,000","163,792,000","156,499,000","150,100,000","146,400,000","145,900,000","148,900,000","150,800,000"
		CapitalStock,"168,000","168,000","168,000","168,000","168,000","167,000","167,000","167,000","167,000","167,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","165,000","165,000","165,000","164,000","164,000","164,000","164,000","164,000","164,000","164,000","164,000","164,000","164,000","163,000","163,000","163,000","163,000","163,000","163,000","83,184,000","83,184,000","83,184,000","83,184,000","83,184,000","83,184,000","83,183,000","83,183,000","83,183,000","83,214,000","371,037,000","369,850,000","369,250,000","693,920,000","368,020,000","474,496,000","473,410,000","70,000","70,000","70,000","70,000","70,000","69,000","67,000","67,000","66,000","66,000","66,000","65,000","61,000","61,000","58,000","57,000","57,000","57,000","28,000","28,000","27,000","27,000","27,000","27,000","27,000","26,000","26,000","26,000","26,000","26,000","25,000","25,000","25,000","24,000","24,000","24,000",,,,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","83,027,000","83,027,000","83,027,000","83,027,000","83,027,000","83,027,000","83,027,000","83,027,000","83,027,000","83,058,000","370,882,000","369,695,000","369,095,000","693,803,000","367,922,000","474,425,000","473,340,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"168,000","168,000","168,000","168,000","168,000","167,000","167,000","167,000","167,000","167,000","166,000","166,000","166,000","166,000","166,000","166,000","166,000","165,000","165,000","165,000","164,000","164,000","164,000","164,000","164,000","164,000","164,000","164,000","164,000","164,000","163,000","163,000","163,000","163,000","163,000","163,000","157,000","157,000","157,000","157,000","157,000","157,000","156,000","156,000","156,000","156,000","155,000","155,000","155,000","117,000","98,000","71,000","70,000","70,000","70,000","70,000","70,000","70,000","69,000","67,000","67,000","66,000","66,000","66,000","65,000","61,000","61,000","58,000","57,000","57,000","57,000","28,000","28,000","27,000","27,000","27,000","27,000","27,000","26,000","26,000","26,000","26,000","26,000","25,000","25,000","25,000","24,000","24,000","24,000",,,,,
		AdditionalPaidInCapital,"1,902,874,000","1,893,557,000","1,883,871,000","1,876,079,000","1,865,933,000","1,858,352,000","1,850,396,000","1,841,748,000","1,833,617,000","1,826,345,000","1,817,100,000","1,808,896,000","1,798,958,000","1,789,811,000","1,766,055,000","1,754,711,000","1,746,541,000","1,755,330,000","1,745,181,000","1,738,556,000","1,732,585,000","1,727,434,000","1,718,249,000","1,712,572,000","1,706,856,000","1,701,295,000","1,695,265,000","1,690,384,000","1,685,699,000","1,677,767,000","1,666,069,000","1,661,549,000","1,656,867,000","1,571,670,000","1,564,105,000","1,558,415,000","1,470,674,000","1,464,739,000","1,462,270,000","1,456,361,000","1,449,971,000","1,443,883,000","1,436,940,000","1,431,305,000","1,424,440,000","1,434,277,000","1,428,893,000","1,424,213,000","1,418,648,000","1,091,047,000","929,558,000","714,274,000","697,138,000","1,167,832,000","858,020,000","855,082,000","657,438,000","652,297,000","648,079,000","561,595,000","551,229,000","544,469,000","539,168,000","531,132,000","523,541,000","389,004,000","378,309,000","266,685,000","264,422,000","260,152,000","254,753,000","205,343,000","202,850,000","171,518,000","164,080,000","159,579,000","157,691,000","155,904,000","154,922,000","150,059,000","148,491,000","145,312,000","143,659,000","133,728,000","133,166,000","118,039,000","115,782,000","111,646,000","111,355,000","111,300,000","96,500,000",,,
		RetainedEarnings,"4,863,721,000","4,683,659,000","4,513,321,000","4,335,327,000","4,158,032,000","4,000,414,000","3,875,715,000","3,755,649,000","3,695,759,000","3,689,377,000","3,545,824,000","3,414,901,000","3,305,054,000","3,160,132,000","3,020,792,000","2,883,201,000","2,740,179,000","2,576,302,000","2,520,817,000","2,417,367,000","2,328,264,000","2,187,676,000","2,106,121,000","2,025,142,000","1,951,035,000","1,872,594,000","1,809,913,000","1,744,955,000","1,675,234,000","1,598,598,000","1,531,637,000","1,468,889,000","1,410,921,000","1,360,130,000","1,305,164,000","1,252,812,000","1,201,126,000","1,151,828,000","1,095,743,000","1,040,535,000","986,195,000","934,617,000","877,595,000","824,360,000","772,986,000","720,116,000","689,356,000","650,617,000","621,896,000","604,223,000","351,721,000","431,789,000","548,144,000","572,172,000","581,561,000","623,202,000","655,433,000","657,183,000","626,241,000","590,975,000","556,590,000","525,247,000","489,197,000","456,676,000","423,067,000","393,846,000","365,844,000","339,898,000","317,069,000","296,175,000","276,144,000","258,261,000","242,744,000","228,242,000","214,263,000","200,529,000","188,243,000","178,873,000","167,850,000","156,561,000","145,905,000","135,765,000","126,965,000","117,878,000","108,880,000","99,764,000","90,837,000","82,731,000","75,041,000","67,000,000","59,800,000","53,400,000","47,000,000","41,700,000"
		TreasuryStock,"668,382,000","649,785,000","649,591,000","649,337,000","649,066,000","634,083,000","633,486,000","633,455,000","633,439,000","479,864,000","479,459,000","479,398,000","479,265,000","467,961,000","452,327,000","452,327,000","452,327,000","452,327,000","452,050,000","451,646,000","451,541,000","439,387,000","439,306,000","439,256,000","439,216,000","436,162,000","436,057,000","435,985,000","435,889,000","430,198,000","427,348,000","427,042,000","426,694,000","537,279,000","532,378,000","531,761,000","418,050,000","322,298,000","321,471,000","269,217,000","219,175,000","116,001,000","114,954,000","113,946,000","112,537,000","111,262,000","109,661,000","108,018,000","106,088,000","105,130,000","104,338,000","103,939,000","103,429,000","102,817,000","102,171,000","101,029,000","100,125,000","98,925,000","96,852,000","88,928,000","71,670,000","40,305,000","39,181,000","38,840,000","38,345,000","37,905,000","37,606,000","37,282,000","36,847,000","36,649,000","36,481,000","36,353,000","36,096,000","35,986,000","35,955,000","35,955,000","35,955,000","35,955,000","35,955,000","35,955,000","35,946,000","35,945,000","33,766,000","30,132,000","30,120,000","23,060,000","14,770,000","14,734,000","14,721,000","14,700,000",,,,
