name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,"0","0","0","0","2,680,000","1,411,000","1,061,000","1,236,000","1,154,000","1,016,000","957,000","794,000","852,000","1,029,000","1,208,000","1,794,000","2,498,000","2,959,000","2,914,000","3,261,000","2,981,000","2,562,000","2,496,000","2,830,000","3,307,000","3,798,000","4,275,000","3,531,000","3,342,000","3,453,000","3,255,000","2,708,000","2,424,000","2,376,000","2,305,000","2,401,000","2,481,000","2,410,000","2,340,000","2,558,000","2,304,000","2,192,000","2,088,000","1,301,000","1,154,000","1,135,000","1,075,000","828,000","350,000",,,"684,000","1,433,000","1,998,000","1,954,000","1,183,000","909,000","1,197,000","901,000","385,000","316,000","483,000","449,000","703,000","687,000","755,000","728,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"14,592,000","10,264,000","12,435,000","13,131,000","11,896,000","8,411,000","10,727,000","13,419,000","14,186,000","5,529,000","10,868,000","10,887,000","9,769,000","11,534,000","11,762,000","12,094,000","13,175,000","5,562,000","6,883,000","7,029,000","6,711,000","4,737,000","5,630,000","7,991,000","7,550,000","5,193,000","5,611,000","9,093,000","12,915,000","5,991,000","4,742,000","12,876,000","11,403,000","3,916,000","4,855,000","6,655,000","10,012,000","4,918,000","4,675,000","5,567,000","4,044,000","2,887,000","3,664,000","5,894,000","3,512,000","2,407,000","2,977,000","3,403,000","7,727,000","2,480,000","2,897,000","7,540,000","7,326,000","4,634,000","8,579,000","8,383,000","7,124,000","7,221,000","8,368,000","10,542,000","7,307,000","2,605,000","3,064,000","5,486,000","3,673,000","2,327,000","2,748,000","5,205,000","2,842,000","1,982,000","2,076,000","4,619,000","4,353,000","6,753,000","4,731,000","3,388,000","1,405,000","1,890,000","2,040,000","3,275,000","1,584,000","1,816,000","2,055,000","2,871,000","3,495,000","1,434,000","2,401,000","2,495,000","2,271,000","2,044,000","1,800,000","2,900,000","1,700,000","2,000,000","1,900,000","2,000,000","1,800,000","1,800,000","1,200,000","1,700,000","1,200,000","1,400,000","1,200,000","4,200,000","4,700,000","6,600,000","2,800,000","2,900,000","2,800,000","3,400,000","1,600,000","2,600,000","2,000,000","900,000","1,600,000","1,300,000","1,300,000","500,000"
	TotalNonCurrentAssets,"390,535,000","370,232,000","290,844,000","290,976,000","287,444,000","287,442,000","283,177,000","293,514,000","291,976,000","298,727,000","302,665,000","305,695,000","305,874,000","80,686,000","83,726,000","85,981,000","90,273,000","94,994,000","104,473,000","106,987,000","107,904,000","106,727,000","112,065,000","111,461,000","111,331,000","111,016,000","112,377,000","113,201,000","109,254,000","105,887,000","109,831,000","108,244,000","99,494,000","94,336,000","92,963,000","87,213,000","82,362,000","79,174,000","77,940,000","76,529,000","73,173,000","70,301,000","69,151,000","67,837,000","65,771,000","63,791,000","63,894,000","62,708,000","62,149,000","63,540,000","66,709,000","67,681,000","70,080,000","70,217,000","73,541,000","71,014,000","70,191,000","71,686,000","74,194,000","74,736,000","74,005,000","74,020,000","70,380,000","61,822,000","58,319,000","66,848,000","69,071,000","69,336,000","67,356,000","68,452,000","69,683,000","69,018,000","70,166,000","69,246,000","70,129,000","67,701,000","66,956,000","63,477,000","63,601,000","62,016,000","59,607,000","57,249,000","59,349,000","59,233,000","57,636,000","57,860,000","58,458,000","56,796,000","55,503,000","53,710,000","52,600,000","49,700,000","45,300,000","40,900,000","37,800,000","34,700,000","32,200,000","32,000,000","31,900,000","31,400,000","30,800,000","30,800,000","30,700,000","31,200,000","31,000,000","31,200,000","30,600,000","30,800,000","31,200,000","30,800,000","27,500,000","23,600,000","19,800,000","17,400,000","13,900,000","11,200,000","10,300,000","10,100,000"
		NetPPE,"332,292,000","309,485,000","273,473,000","274,343,000","269,609,000","267,964,000","265,092,000","275,636,000","275,273,000","282,788,000","291,295,000","294,391,000","296,955,000","70,605,000","74,471,000","77,254,000","81,644,000","86,276,000","93,041,000","96,046,000","97,323,000","96,216,000","102,932,000","103,363,000","102,636,000","103,386,000","106,374,000","105,817,000","103,107,000","101,294,000","101,362,000","100,648,000","93,524,000","90,193,000","89,905,000","84,765,000","80,154,000","77,364,000","76,907,000","75,670,000","72,168,000","69,232,000","67,899,000","66,660,000","64,323,000","62,391,000","62,608,000","61,503,000","60,879,000","62,162,000","65,119,000","66,054,000","69,445,000","70,217,000","73,541,000","71,014,000","70,191,000","71,686,000","74,194,000","74,736,000","74,005,000","74,020,000","70,380,000","61,822,000","58,319,000","66,848,000","69,071,000","69,336,000","67,356,000","68,452,000","69,683,000","69,018,000","70,166,000","69,246,000","70,129,000","67,701,000","66,956,000","63,477,000","63,601,000","62,016,000","59,607,000","57,249,000","59,349,000","59,233,000","57,636,000","57,860,000","58,458,000","56,796,000","55,503,000","53,710,000","52,600,000","49,800,000","45,400,000","40,900,000","37,800,000","34,600,000","32,300,000","32,000,000","31,900,000","31,500,000","30,800,000","30,800,000","30,700,000","31,200,000","31,000,000","31,200,000","30,600,000","30,800,000","31,300,000","30,700,000","27,400,000","23,500,000","19,700,000","17,400,000","13,700,000","10,900,000","10,000,000","9,800,000"
			GrossPPE,"332,292,000","529,912,000","273,473,000","274,343,000","269,609,000","477,593,000","265,092,000","275,636,000","275,273,000","482,016,000","291,295,000","294,391,000","296,955,000","267,420,000",,,,"266,811,000",,,,"265,178,000",,,,"253,561,000",,,,"240,481,000",,,,"220,843,000",,,,"200,307,000",,,,"184,280,000",,,,"172,327,000",,,,"165,196,000",,,,"166,232,000","162,938,000","160,411,000","159,588,000","161,083,000","156,065,000","156,607,000","155,876,000","155,891,000","151,761,000","143,203,000","139,700,000","148,229,000","142,927,000","143,192,000","141,212,000","142,308,000","133,635,000","132,970,000","134,118,000","133,198,000","129,588,000","127,160,000","126,415,000","122,936,000","113,786,000","112,201,000","109,792,000","107,434,000","99,277,000","99,161,000","97,564,000","97,788,000","101,755,000","97,631,000","93,831,000","89,638,000","86,500,000","81,500,000","75,100,000","68,900,000","64,100,000","59,400,000","55,800,000","54,100,000","52,900,000","51,300,000","49,400,000","48,400,000","46,900,000","46,200,000","44,100,000","44,300,000","39,800,000","40,000,000","40,500,000","39,900,000","34,300,000","30,400,000","26,600,000","24,300,000","18,900,000","16,100,000","15,200,000","15,000,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,"1,564,000",,,,"1,564,000",,,,"1,564,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"205,000",,,,"205,000",,,,"205,000",,,,"205,000",,,,"205,000",,,,"205,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,"7,525,000",,,,"6,783,000",,,,"6,636,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,319,000",,,,"57,976,000",,,,"55,743,000",,,,"63,062,000",,,,"61,984,000",,,,"58,204,000",,,,"9,109,000",,,,"9,034,000",,,,"8,953,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,"170,321,000",,,,"156,202,000",,,,"153,198,000",,,,"156,596,000",,,,"154,844,000",,,,"154,391,000",,,,"149,341,000",,,,"142,060,000",,,,"135,057,000",,,,"124,511,000",,,,"116,034,000",,,,"108,936,000",,,,"104,539,000",,,,"105,913,000",,,,"103,107,000",,,,"100,148,000",,,,"84,962,000",,,,"80,119,000",,,,"74,789,000",,,,"67,901,000",,,,"56,329,000",,,,"50,899,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"332,292,000","220,952,000","273,473,000","274,343,000","269,609,000","205,639,000","265,092,000","275,636,000","275,273,000","215,007,000","291,295,000","294,391,000","296,955,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45,721,000",,,,"41,866,000",,,,"37,731,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,"129,550,000",,,,"107,405,000",,,,"105,611,000",,,,"110,824,000",,,,"111,967,000",,,,"110,787,000",,,,"104,220,000",,,,"98,421,000",,,,"85,786,000",,,,"75,796,000",,,,"68,246,000",,,,"63,391,000",,,,"60,657,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
