name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,12/31/2004
TotalAssets,"323,991,000","326,400,000","332,270,000","352,567,000","346,935,000","348,936,000","341,723,000","339,519,000","220,078,000","224,192,000","217,065,000","218,577,000","211,229,000","207,187,000","200,310,000","203,352,000","194,759,000","190,064,000","190,357,000","193,940,000","186,857,000","158,720,000","138,334,000","142,406,000","145,009,000","151,225,000","162,390,000","171,328,000","178,626,000","180,609,000","182,353,000","181,901,000","185,489,000","181,004,000","95,120,000","96,897,000","99,033,000","56,647,000","60,086,000","63,124,000","49,821,000","52,007,000","48,304,000","46,758,000","43,726,000","44,678,000","42,427,000","42,334,000","61,960,000","63,850,000","70,471,000","72,370,000","75,771,000","46,839,000","52,112,000","67,078,000","81,417,000","94,690,000","106,896,000","116,703,000","125,819,000","135,561,000","142,706,000","106,161,000","116,112,000","63,579,000","30,067,000"
	CurrentAssets,"245,313,000","247,997,000","263,137,000","284,669,000","285,345,000","293,081,000","285,431,000","287,689,000","164,436,000","169,687,000","161,938,000","180,075,000","172,231,000","170,735,000","164,538,000","167,611,000","161,184,000","155,799,000","155,797,000","159,059,000","151,832,000","122,949,000","102,092,000","104,882,000","106,745,000","112,766,000","123,358,000","133,894,000","141,828,000","145,449,000","157,030,000","162,711,000","178,379,000","174,341,000","87,995,000","89,829,000","92,693,000","50,528,000","53,891,000","57,770,000","44,249,000","46,394,000","42,705,000","41,028,000","37,552,000","38,636,000","38,489,000","38,478,000","58,081,000","60,146,000","66,981,000","46,052,000","49,852,000","46,803,000","51,909,000","65,893,000","79,654,000","92,695,000","104,652,000","114,079,000","122,840,000","132,280,000","139,720,000","102,951,000","112,842,000","60,070,000","27,123,000"
		CashCashEquivalentsAndShortTermInvestments,"172,051,000","176,540,000","187,617,000","207,038,000","211,067,000","225,055,000","222,937,000","232,154,000","107,260,000","109,421,000","104,967,000","122,672,000","115,736,000","119,206,000","113,875,000","116,804,000","109,891,000","107,981,000","105,415,000","108,616,000","103,871,000","80,000,000","58,899,000","61,322,000","64,083,000","67,200,000","78,445,000","85,718,000","93,485,000","101,344,000","116,423,000","126,592,000","145,979,000","146,664,000","63,227,000","67,897,000","69,932,000","29,223,000","32,213,000","35,529,000","22,455,000","24,558,000","22,676,000","21,159,000","18,618,000","22,540,000","22,006,000","23,717,000","39,927,000","43,344,000","50,654,000","33,411,000","37,844,000","45,488,000","50,591,000","64,716,000","78,136,000","90,266,000","101,731,000","112,098,000","119,008,000","125,567,000","134,332,000","95,376,000","109,900,000","59,420,000","27,018,000"
			CashAndCashEquivalents,"66,953,000","65,865,000","66,864,000","71,070,000","75,333,000","73,783,000","92,671,000","185,463,000","69,572,000","65,467,000","58,939,000","74,237,000","115,280,000","118,772,000","113,370,000","116,260,000","109,305,000","107,345,000","104,747,000","107,912,000","103,130,000","79,279,000","58,194,000","60,638,000","62,174,000","65,329,000","76,651,000","83,842,000","93,485,000","101,344,000","116,423,000","126,592,000","145,979,000","146,664,000","63,227,000","67,897,000","69,932,000","29,223,000","32,213,000","35,529,000","22,455,000","24,558,000","22,676,000","21,159,000","18,618,000","22,540,000","22,006,000","23,717,000","23,552,000","23,594,000","30,754,000","33,411,000","37,844,000","33,738,000","32,059,000","40,746,000","51,825,000","43,969,000","39,875,000","56,841,000","89,049,000","24,091,000","25,193,000","10,981,000","32,385,000","4,353,000","4,640,000"
			OtherShortTermInvestments,"105,098,000","110,675,000","120,753,000","135,968,000","135,734,000","151,272,000","130,266,000","46,691,000","37,688,000","43,954,000","46,028,000","48,435,000","456,000","434,000","505,000","544,000","586,000","636,000","668,000","704,000","741,000","721,000","705,000","684,000","1,909,000","1,871,000","1,794,000","1,876,000",,,,,,,,,,,,,,,,,,,,,"16,375,000","19,750,000","19,900,000",,,"11,750,000","18,532,000","23,970,000","26,311,000","46,297,000","61,856,000","55,257,000","29,959,000","101,476,000","109,139,000","84,395,000","77,515,000","55,067,000","22,378,000"
		Receivables,"34,666,000","34,944,000","36,449,000","40,033,000","38,056,000","32,526,000","29,973,000","25,212,000","30,864,000","35,833,000","34,624,000","36,015,000","34,970,000","29,906,000","30,320,000","31,225,000","31,941,000","27,861,000","27,316,000","28,472,000","27,877,000","25,398,000","24,308,000","23,128,000","23,048,000","25,752,000","26,864,000","30,830,000","31,220,000","26,064,000","22,376,000","21,383,000","19,493,000","15,918,000","15,271,000","14,730,000","15,187,000","13,020,000","13,467,000","13,644,000","12,990,000","12,460,000","11,762,000","13,254,000","13,342,000","10,739,000","10,579,000","9,394,000","9,801,000","8,876,000","8,181,000","8,474,000","8,092,000",,,,,,,,"2,205,000","4,634,000","2,568,000","2,933,000","2,140,000","375,000",
			AccountsReceivable,"34,666,000","34,944,000","36,449,000","40,033,000","38,056,000","32,526,000","29,973,000","25,212,000","30,864,000","35,833,000","34,624,000","36,015,000","34,970,000","29,906,000","30,320,000","31,225,000","31,941,000","27,861,000","27,316,000","28,472,000","27,877,000","25,398,000","24,308,000","23,128,000","23,048,000","25,752,000","26,864,000","30,830,000","31,220,000","26,064,000","22,376,000","21,383,000","19,493,000","15,918,000","15,271,000","14,730,000","15,187,000","13,020,000","13,467,000","13,644,000","12,990,000","12,460,000","11,762,000","13,254,000","13,342,000","10,739,000","10,579,000","9,394,000","9,801,000","8,876,000","8,181,000","8,474,000","8,092,000",,,,,,,,"2,205,000","4,634,000",,"2,933,000","2,140,000",,
				GrossAccountsReceivable,"35,871,000","36,375,000","37,917,000","41,634,000","39,666,000","34,184,000","31,662,000","26,971,000","31,935,000","36,837,000","35,297,000","36,628,000","35,649,000","30,642,000","31,126,000","32,025,000","32,742,000","28,687,000","28,273,000","29,336,000","28,751,000","26,173,000","25,133,000","23,840,000","24,652,000","27,326,000","28,458,000","32,267,000","32,599,000","27,292,000","23,507,000","21,834,000","20,195,000","16,545,000",,"15,188,000",,,,"14,036,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,205,000","-1,431,000","-1,468,000","-1,601,000","-1,610,000","-1,658,000","-1,689,000","-1,759,000","-1,071,000","-1,004,000","-673,000","-613,000","-679,000","-736,000","-806,000","-800,000","-801,000","-826,000","-957,000","-864,000","-874,000","-775,000","-825,000","-712,000","-1,604,000","-1,574,000","-1,594,000","-1,437,000","-1,379,000","-1,228,000","-1,131,000","-451,000","-702,000","-627,000",,"-458,000",,,,"-392,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"32,854,000","31,671,000","33,127,000","32,313,000","33,367,000","32,506,000","29,152,000","27,706,000","24,069,000","21,472,000","19,489,000","18,058,000","19,304,000","19,679,000","18,095,000","16,605,000","17,002,000","17,401,000","17,035,000","16,897,000","16,605,000","16,169,000","16,887,000","17,440,000","18,226,000","18,237,000","15,446,000","13,966,000","13,219,000","13,957,000","14,644,000","12,890,000","11,889,000","10,283,000","8,266,000","6,243,000","6,796,000","7,161,000","6,962,000","7,061,000","7,824,000","7,963,000","7,055,000","5,818,000","4,865,000","4,321,000","4,456,000","4,319,000","4,562,000","4,048,000","4,082,000","3,369,000","2,737,000",,,,,,,,,,,,,,
