name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalAssets,"47,774,000,000","48,999,000,000","49,426,000,000","49,292,000,000","50,206,000,000","50,050,000,000","49,576,000,000","48,780,000,000","48,365,000,000","47,730,000,000","46,815,000,000","46,280,000,000","45,756,000,000","45,326,000,000","45,073,000,000","43,707,000,000","42,790,000,000","42,716,000,000","41,157,000,000","40,524,000,000","39,664,000,000","40,070,000,000","39,488,000,000","39,045,000,000","38,126,000,000","37,535,000,000","36,424,000,000","36,212,000,000","35,827,000,000","35,333,000,000","34,147,000,000","33,700,000,000","33,326,000,000","32,522,000,000","32,610,000,000","32,059,000,000","31,712,000,000","31,725,000,000","30,706,000,000","30,142,000,000","30,002,000,000","29,821,000,000","29,911,000,000","28,789,000,000","29,370,000,000","29,909,000,000","29,104,000,000","28,775,000,000","28,730,000,000","28,434,000,000","28,760,000,000","29,302,000,000","29,049,000,000","28,054,000,000","28,334,000,000","27,968,000,000","28,392,000,000","28,909,000,000","28,458,000,000","28,363,000,000","28,570,000,000","28,714,000,000","28,259,000,000","28,856,000,000","29,815,000,000","30,115,000,000","28,473,000,000","28,885,000,000","29,207,000,000","28,462,000,000","27,407,000,000","27,715,000,000","28,055,000,000","26,936,000,000","26,570,000,000","26,163,000,000","25,742,000,000","25,954,000,000","25,346,000,000","25,214,000,000","25,397,000,000","24,869,000,000","23,672,000,000","21,694,000,000","20,796,000,000","19,708,000,000","19,632,000,000","18,968,000,000","19,015,000,000","18,590,000,000","18,467,000,000","17,650,000,000","17,997,000,000","17,957,000,000","17,967,000,000","17,764,000,000","17,943,000,000","17,306,000,000","17,248,000,000","16,924,000,000","16,915,300,000","17,038,400,000","16,943,400,000","17,695,100,000","17,171,400,000","17,003,600,000","16,982,200,000","16,765,200,000","16,717,400,000","16,626,100,000","16,746,500,000","16,573,700,000"
	CurrentAssets,"4,728,000,000","6,250,000,000","6,815,000,000","3,201,000,000","3,595,000,000","3,630,000,000","4,023,000,000","3,742,000,000","3,727,000,000","3,231,000,000","3,059,000,000","3,156,000,000","3,027,000,000","3,507,000,000","3,215,000,000","3,005,000,000","2,806,000,000","3,312,000,000","3,081,000,000","3,188,000,000","2,716,000,000","3,254,000,000","3,209,000,000","3,489,000,000","3,263,000,000","3,494,000,000","3,204,000,000","3,627,000,000","4,159,000,000","4,119,000,000","3,846,000,000","3,794,000,000","3,853,000,000","3,614,000,000","3,741,000,000","3,615,000,000","3,656,000,000","3,869,000,000","3,978,000,000","3,940,000,000","3,961,000,000","3,911,000,000","4,970,000,000","3,786,000,000","4,466,000,000","5,051,000,000","3,671,000,000","3,469,000,000","3,646,000,000","3,541,000,000","3,834,000,000","4,278,000,000","3,999,000,000","4,066,000,000","5,296,000,000","4,721,000,000","4,928,000,000","4,132,000,000","3,897,000,000","3,769,000,000","3,662,000,000","3,494,000,000","3,347,000,000","3,801,000,000","4,830,000,000","4,799,000,000","3,503,000,000","3,335,000,000","3,643,000,000","3,466,000,000","3,253,000,000","3,415,000,000","3,717,000,000","3,016,000,000","2,969,000,000","3,177,000,000","2,966,000,000","3,411,000,000","3,226,000,000","3,018,000,000","3,259,000,000","3,531,000,000","3,172,000,000","2,443,000,000","2,409,000,000","1,825,000,000","2,341,000,000","1,848,000,000","2,043,000,000","1,950,000,000","2,012,000,000","1,543,000,000","1,654,000,000","1,861,000,000","1,784,000,000","1,532,000,000","1,663,000,000","1,591,000,000","1,601,000,000","1,614,000,000","1,744,400,000","1,848,700,000","1,843,000,000","1,931,100,000","1,560,100,000","1,464,600,000","1,508,000,000","1,311,100,000","1,356,900,000","1,365,000,000","1,565,000,000","1,594,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,603,000,000","818,000,000","1,811,000,000","107,000,000","803,000,000","543,000,000","966,000,000","431,000,000","799,000,000","147,000,000","120,000,000","82,000,000","65,000,000","177,000,000","88,000,000","95,000,000","118,000,000","313,000,000","278,000,000","430,000,000","193,000,000","423,000,000","450,000,000","648,000,000","592,000,000","394,000,000","271,000,000","597,000,000","1,008,000,000","402,000,000","703,000,000","570,000,000","655,000,000","493,000,000","448,000,000","164,000,000","420,000,000","379,000,000","780,000,000","765,000,000","931,000,000","834,000,000","1,242,000,000","159,000,000","900,000,000","280,000,000","607,000,000","621,000,000","593,000,000","347,000,000","652,000,000","1,439,000,000","321,000,000","229,000,000","86,000,000","251,000,000","381,000,000","421,000,000","170,000,000","483,000,000","141,000,000","292,000,000","136,000,000","218,000,000","288,000,000","608,000,000","294,000,000","332,000,000","279,000,000","316,000,000","253,000,000","470,000,000","548,000,000","191,000,000","150,000,000","218,000,000","165,000,000","147,000,000","246,000,000","175,000,000","169,000,000","377,000,000","425,000,000","183,000,000","102,000,000","115,000,000","133,000,000","121,000,000","259,000,000","84,000,000","77,000,000","69,000,000","140,000,000","78,000,000","115,000,000","77,000,000","83,000,000","88,000,000","54,000,000","351,000,000","278,900,000","454,200,000","54,700,000","546,500,000","76,200,000","66,800,000","77,700,000","131,100,000","67,900,000","64,200,000","156,600,000","324,500,000"
			CashAndCashEquivalents,"1,603,000,000","818,000,000","1,811,000,000","107,000,000","803,000,000","543,000,000","966,000,000","431,000,000","799,000,000","147,000,000","120,000,000","82,000,000","65,000,000","177,000,000","88,000,000","95,000,000","118,000,000","313,000,000","278,000,000","430,000,000","193,000,000","423,000,000","450,000,000","648,000,000","592,000,000","394,000,000","271,000,000","597,000,000","1,008,000,000","402,000,000","703,000,000","570,000,000","655,000,000","493,000,000","448,000,000","164,000,000","420,000,000","379,000,000","780,000,000","765,000,000","931,000,000","834,000,000","1,242,000,000","159,000,000","900,000,000","280,000,000","332,000,000","312,000,000","350,000,000","130,000,000","393,000,000","1,232,000,000","321,000,000","229,000,000","86,000,000","251,000,000","381,000,000","421,000,000","170,000,000","483,000,000","141,000,000","292,000,000","136,000,000","218,000,000","288,000,000","608,000,000","294,000,000","332,000,000","279,000,000","316,000,000","253,000,000","470,000,000","548,000,000","191,000,000","150,000,000","218,000,000","165,000,000","147,000,000","246,000,000","175,000,000","169,000,000","377,000,000","425,000,000","183,000,000","102,000,000","115,000,000","133,000,000","121,000,000","259,000,000","84,000,000","77,000,000","69,000,000","140,000,000","78,000,000","115,000,000","77,000,000","83,000,000","88,000,000","54,000,000","351,000,000","278,900,000","454,200,000","54,700,000","546,500,000","76,200,000","66,800,000","77,700,000","131,100,000","67,900,000","64,200,000","156,600,000","324,500,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","275,000,000","309,000,000","243,000,000","217,000,000","259,000,000","207,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,934,000,000","2,085,000,000","1,616,000,000","1,624,000,000","1,670,000,000","1,702,000,000","1,576,000,000","1,585,000,000","1,452,000,000","1,573,000,000","1,345,000,000","1,311,000,000","1,791,000,000","1,917,000,000","1,620,000,000","1,463,000,000","1,637,000,000","1,771,000,000","1,325,000,000","1,240,000,000","1,430,000,000","1,499,000,000","1,234,000,000","1,194,000,000","1,289,000,000","1,570,000,000","1,407,000,000","1,396,000,000","1,720,000,000","1,749,000,000","1,509,000,000","1,633,000,000","2,082,000,000","1,612,000,000","1,505,000,000","1,616,000,000","1,948,000,000","1,610,000,000","1,259,000,000","1,167,000,000","1,238,000,000","1,272,000,000","1,792,000,000","1,486,000,000","1,963,000,000","2,476,000,000","1,487,000,000","1,778,000,000","1,640,000,000","1,514,000,000","1,574,000,000","1,806,000,000","1,852,000,000","1,633,000,000","1,950,000,000","2,016,000,000","1,992,000,000","1,757,000,000","1,848,000,000","2,066,000,000","1,696,000,000","1,559,000,000","1,694,000,000","2,064,000,000","2,332,000,000","1,991,000,000","1,573,000,000","1,934,000,000","1,961,000,000","1,576,000,000","1,641,000,000","1,915,000,000","1,808,000,000","1,448,000,000","1,548,000,000","2,073,000,000","1,645,000,000","1,181,000,000","1,005,000,000","1,384,000,000","1,420,000,000","1,258,000,000","1,415,000,000","1,480,000,000","1,522,000,000","1,025,000,000","1,294,000,000","1,323,000,000","1,218,000,000","1,123,000,000","1,156,000,000","1,016,000,000","942,000,000","1,047,000,000","889,000,000","994,000,000","1,042,000,000","780,000,000","806,000,000","933,000,000","947,600,000","720,300,000","790,500,000","1,067,000,000","995,400,000","699,200,000","659,200,000","810,300,000","809,200,000","630,400,000","705,100,000","893,700,000"
			AccountsReceivable,"1,728,000,000","1,859,000,000","1,440,000,000","1,408,000,000","1,476,000,000","1,410,000,000","1,299,000,000","1,239,000,000","1,265,000,000","1,313,000,000","1,184,000,000","1,118,000,000","1,454,000,000","1,435,000,000","1,240,000,000","1,163,000,000","1,320,000,000","1,348,000,000","1,022,000,000","1,021,000,000","1,212,000,000","1,161,000,000","1,031,000,000","988,000,000","1,107,000,000","1,068,000,000","1,199,000,000","1,126,000,000","1,437,000,000","1,254,000,000","1,267,000,000","1,294,000,000","1,710,000,000","1,203,000,000","1,069,000,000","1,133,000,000","1,457,000,000","1,069,000,000","1,044,000,000","896,000,000","992,000,000","967,000,000","1,164,000,000","1,128,000,000","1,419,000,000","1,387,000,000","1,211,000,000","1,492,000,000","1,229,000,000","1,242,000,000","1,271,000,000","1,285,000,000","1,398,000,000","1,370,000,000","1,633,000,000","1,709,000,000","1,639,000,000","1,520,000,000","1,588,000,000","1,806,000,000","1,368,000,000","1,337,000,000","1,455,000,000","1,818,000,000","1,938,000,000","1,764,000,000","1,355,000,000","1,698,000,000","1,621,000,000","1,432,000,000","1,490,000,000","1,723,000,000","1,547,000,000","1,310,000,000","1,377,000,000","1,863,000,000","1,370,000,000","1,021,000,000","824,000,000","1,163,000,000","1,129,000,000","1,076,000,000","1,215,000,000","1,235,000,000","1,165,000,000","844,000,000","1,105,000,000","1,140,000,000","977,000,000","960,000,000","969,000,000","824,000,000","687,000,000","861,000,000","710,000,000","805,000,000","772,000,000","611,000,000","634,000,000","752,000,000","699,100,000","560,400,000","636,900,000","889,800,000","748,500,000","571,600,000","530,900,000","657,600,000","605,100,000","525,900,000","575,100,000","769,500,000"
				GrossAccountsReceivable,"2,069,000,000","2,184,000,000","1,720,000,000","1,659,000,000","1,708,000,000","1,606,000,000","1,453,000,000","1,356,000,000","1,342,000,000","1,373,000,000","1,245,000,000","1,186,000,000","1,526,000,000","1,498,000,000","1,296,000,000","1,222,000,000","1,382,000,000","1,407,000,000","1,081,000,000","1,082,000,000","1,279,000,000","1,229,000,000","1,098,000,000","1,053,000,000","1,173,000,000","1,135,000,000","1,258,000,000","1,186,000,000","1,495,000,000","1,306,000,000","1,322,000,000","1,352,000,000","1,771,000,000","1,259,000,000","1,126,000,000","1,194,000,000","1,521,000,000","1,125,000,000","1,096,000,000","952,000,000","1,053,000,000","1,023,000,000","1,228,000,000","1,197,000,000","1,484,000,000","1,455,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-341,000,000","-325,000,000","-280,000,000","-251,000,000","-232,000,000","-196,000,000","-154,000,000","-117,000,000","-77,000,000","-60,000,000","-61,000,000","-68,000,000","-72,000,000","-63,000,000","-56,000,000","-59,000,000","-62,000,000","-59,000,000","-59,000,000","-61,000,000","-67,000,000","-68,000,000","-67,000,000","-65,000,000","-66,000,000","-67,000,000","-59,000,000","-60,000,000","-58,000,000","-52,000,000","-55,000,000","-58,000,000","-61,000,000","-56,000,000","-57,000,000","-61,000,000","-64,000,000","-56,000,000","-52,000,000","-56,000,000","-61,000,000","-56,000,000","-64,000,000","-69,000,000","-65,000,000","-68,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"8,000,000","9,000,000","9,000,000","9,000,000","7,000,000","63,000,000","102,000,000","154,000,000","2,000,000","21,000,000","0","0","149,000,000","242,000,000","225,000,000","111,000,000","121,000,000","127,000,000","127,000,000","9,000,000","9,000,000","78,000,000","23,000,000","4,000,000","4,000,000","305,000,000","5,000,000","23,000,000","31,000,000","211,000,000","14,000,000","101,000,000","111,000,000","109,000,000","225,000,000","226,000,000","226,000,000","227,000,000","0","16,000,000","16,000,000","16,000,000","377,000,000","96,000,000","248,000,000","689,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
