name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
OperatingCashFlow,"82,800,000","7,000,000","46,700,000","15,800,000","13,300,000","26,000,000","56,600,000","14,600,000","59,800,000","5,200,000","44,500,000","32,800,000","34,600,000","-8,800,000","21,000,000","34,000,000","27,500,000","10,300,000","21,200,000","6,100,000","31,800,000","13,700,000","6,800,000","12,700,000","10,600,000","-5,400,000","29,300,000","40,500,000","24,100,000","3,300,000","28,000,000","20,900,000","30,600,000","-7,200,000","42,600,000","26,300,000","20,800,000","-14,900,000","25,500,000","-1,800,000","-3,800,000","3,300,000","3,500,000","8,300,000","12,700,000","-18,200,000","18,600,000","20,500,000","1,700,000","-9,600,000","22,400,000","19,400,000","12,800,000","7,800,000","-5,600,000","43,400,000","74,600,000","11,300,000","24,900,000","25,900,000","23,000,000","-8,400,000","15,000,000","13,900,000","4,900,000","-4,100,000","33,600,000","6,500,000","12,900,000","19,900,000","51,000,000","9,637,000","-10,172,000","2,035,000","17,870,000","10,259,000","29,348,000","17,900,000","10,985,000","20,216,000","23,236,000","33,913,000","18,550,000","30,499,000","24,151,000","21,913,000","21,198,000","5,240,000","21,119,000","16,833,000","19,800,000","12,400,000","37,000,000","-11,500,000","29,600,000","18,400,000","7,800,000","19,700,000","12,500,000","38,800,000","5,400,000","7,500,000","23,600,000","20,600,000","13,100,000","4,100,000","33,300,000","16,700,000","2,500,000","10,400,000","23,500,000","9,900,000","16,300,000","4,100,000","26,700,000","5,700,000","3,400,000","13,000,000","14,300,000","11,600,000","6,700,000","7,600,000","11,300,000","16,100,000","10,700,000","5,800,000","5,400,000","15,100,000","15,500,000","12,300,000"
	CashFlowFromContinuingOperatingActivities,"82,800,000","7,000,000","46,700,000","15,800,000","13,300,000","26,000,000","56,700,000","14,600,000","59,800,000","5,200,000","44,800,000","32,800,000","34,600,000","-8,800,000","20,900,000","34,100,000","27,500,000","10,300,000","21,400,000","6,300,000","32,100,000","13,700,000","9,600,000","13,200,000","10,600,000","-6,700,000","22,700,000","40,900,000","24,100,000","3,400,000","27,600,000","20,900,000","30,700,000","-7,000,000","43,000,000","26,400,000","24,100,000","-13,200,000","30,400,000","9,300,000","5,800,000","3,700,000","4,800,000","8,900,000","13,500,000","-17,300,000","24,700,000","20,200,000","2,000,000","-9,100,000","15,100,000","24,100,000","12,700,000","6,400,000","-40,200,000","61,800,000","54,900,000","-79,000,000","25,700,000","29,700,000","21,700,000","13,500,000","3,200,000","14,300,000","2,200,000","-6,400,000","44,900,000","6,500,000","12,900,000","19,900,000","51,000,000","9,637,000","-10,172,000","2,035,000","17,870,000","10,259,000","29,348,000","17,900,000","10,985,000","20,216,000","23,236,000","33,913,000","18,550,000","30,499,000","24,151,000","21,913,000","21,198,000","5,240,000","21,119,000","16,833,000","19,800,000","12,400,000","37,000,000","-11,500,000","29,600,000","18,400,000","7,800,000","19,700,000","12,500,000","38,800,000","5,400,000","7,500,000","23,600,000","20,600,000","13,100,000","4,100,000","33,300,000","16,700,000","2,500,000","10,400,000","23,500,000","9,900,000","16,300,000","4,100,000","26,700,000","5,700,000","3,400,000","13,000,000","14,300,000","11,600,000","6,700,000","7,600,000","11,300,000","16,100,000","10,700,000","5,800,000","5,400,000","15,100,000","15,500,000","12,300,000"
		NetIncomeFromContinuingOperations,"98,900,000","20,500,000","19,500,000","29,200,000","29,700,000","22,200,000","26,100,000","25,300,000","21,400,000","23,400,000","29,800,000","28,400,000","32,800,000","17,500,000","32,500,000","21,700,000","26,900,000","12,900,000","30,400,000","12,500,000","11,400,000","7,300,000","12,600,000","8,500,000","9,100,000","13,600,000","11,500,000","18,800,000","18,300,000","14,900,000","23,800,000","15,400,000","17,100,000","7,400,000","27,100,000","16,000,000","117,500,000","-600,000",,,"30,700,000","-500,000","-16,600,000","1,700,000","6,000,000","-5,300,000","-162,200,000","2,900,000","1,800,000","-3,200,000","12,400,000","4,600,000","5,000,000","1,100,000","-11,500,000","14,200,000","-13,400,000","-84,900,000","8,700,000","4,500,000","11,000,000","30,700,000","15,300,000","9,200,000","-1,900,000","100,000","-25,900,000","10,300,000","11,200,000","-200,000","6,100,000","-3,972,000","-6,627,000","2,199,000","11,319,000","9,939,000","9,578,000","6,467,000","13,180,000","12,493,000","10,712,000","1,810,000","9,777,000","9,151,000","17,019,000","11,626,000","11,271,000","15,690,000","16,184,000","15,236,000","17,000,000","13,800,000","13,700,000","13,000,000","16,300,000","16,200,000","16,100,000","10,800,000","13,400,000","15,900,000","16,100,000","13,600,000","18,300,000","15,900,000","15,900,000","11,900,000","11,700,000","14,600,000","14,500,000","10,800,000","13,800,000","12,400,000","12,400,000","8,200,000","11,400,000","10,600,000","10,600,000","7,200,000","9,600,000","9,300,000","9,300,000","6,200,000","8,400,000","8,300,000","8,600,000","5,700,000","7,600,000","7,400,000","7,800,000","5,400,000"
		OperatingGainsLosses,,,,,,,,,,"-600,000","0","0","0","-100,000","-200,000","-4,400,000","-2,100,000","-1,100,000","5,100,000","-1,400,000","-1,800,000","-1,000,000","500,000","-2,000,000","-1,200,000","-1,000,000","-500,000","-1,100,000","-600,000","-1,600,000","-200,000","-3,100,000","-1,400,000","-1,000,000","-100,000","-1,000,000","-100,000","-100,000","-48,900,000",,,"-100,000",,,"-300,000","0","700,000","-800,000","0","0","-1,700,000","-1,400,000","500,000","400,000","134,700,000","-18,800,000","-9,300,000","13,300,000","-24,500,000","7,300,000","21,700,000","-12,200,000","-10,100,000","9,600,000","5,900,000","1,100,000","30,800,000","-7,400,000",,,"-5,600,000","1,474,000","14,330,000","-3,604,000","13,957,000","0",,,"4,072,000","2,675,000","0","7,984,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,700,000",,,"-6,500,000","16,000,000","-7,300,000","-9,600,000","3,600,000","7,900,000","0","-4,700,000","-700,000",,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,"-200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,"-400,000","0","0","0","-100,000","-200,000","-4,400,000","-2,100,000","-1,100,000","5,100,000","-1,400,000","-1,800,000","-1,000,000","500,000","-2,000,000","-1,200,000","-1,000,000","-500,000","-1,100,000","-600,000","-1,600,000","-200,000","-3,100,000","-1,400,000","-1,000,000","-100,000","-1,000,000","-100,000","-100,000","500,000",,,,,,,,,"-800,000","0","0","-500,000",,,"-500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"51,600,000","13,400,000","12,900,000","12,700,000","12,600,000","12,200,000","11,700,000","11,200,000","11,100,000","10,800,000","11,400,000","10,800,000","9,800,000","9,500,000","9,400,000","9,400,000","9,000,000","8,600,000","8,700,000","9,000,000","6,600,000","5,700,000","6,100,000","5,800,000","4,200,000","3,000,000","900,000","3,700,000","3,900,000","3,800,000","3,900,000","3,800,000","3,700,000","3,600,000","3,800,000","3,500,000","3,500,000","3,400,000","3,600,000","3,000,000","1,100,000","5,500,000","5,500,000","5,600,000","5,600,000","5,800,000","4,400,000","5,600,000","5,000,000","4,200,000","3,600,000","3,900,000","3,900,000","3,900,000","3,400,000","3,700,000","4,100,000","4,300,000","6,300,000","5,400,000","4,700,000","4,800,000","1,900,000","5,300,000","5,600,000","5,100,000","4,000,000","5,500,000","6,000,000","6,000,000","5,300,000","5,084,000","6,019,000","5,997,000","4,741,000","6,742,000","6,367,000","6,585,000","6,734,000","5,719,000","5,834,000","5,708,000","7,749,000","7,583,000","7,193,000","7,733,000","7,136,000","7,325,000","7,109,000","7,487,000","7,700,000","6,600,000","6,600,000","6,300,000","5,900,000","6,100,000","5,900,000","5,700,000","5,300,000","5,200,000","5,100,000","5,000,000","4,700,000","4,600,000","4,700,000","4,400,000","3,600,000","4,100,000","5,300,000","2,900,000","2,600,000","2,700,000","2,600,000","2,400,000","2,200,000","2,400,000","2,300,000","2,300,000","2,200,000","2,200,000","2,200,000","2,100,000","2,000,000","2,000,000","2,100,000","2,100,000","2,000,000","1,800,000","2,000,000","2,000,000"
			DepreciationAndAmortization,"51,600,000","13,400,000","12,900,000","12,700,000","12,600,000","12,200,000","11,700,000","11,200,000","11,100,000","10,800,000","11,400,000","10,800,000","9,800,000","9,500,000","9,400,000","9,400,000","9,000,000","8,600,000","8,700,000","9,000,000","6,600,000","5,700,000","6,100,000","5,800,000","4,200,000","3,000,000","900,000","3,700,000","3,900,000","3,800,000","3,900,000","3,800,000","3,700,000","3,600,000","3,800,000","3,500,000","3,500,000","3,400,000","3,600,000","3,000,000","1,100,000","5,500,000","5,500,000","5,600,000","5,600,000","5,800,000","4,400,000","5,600,000","5,000,000","4,200,000","3,600,000","3,900,000","3,900,000","3,900,000","3,400,000","3,700,000","4,100,000","4,300,000","6,300,000","5,400,000","4,700,000","4,800,000","1,900,000","5,300,000","5,600,000","5,100,000","4,000,000","5,500,000","6,000,000","6,000,000","5,300,000","5,084,000","6,019,000","5,997,000","4,741,000","6,742,000","6,367,000","6,585,000","6,734,000","5,719,000","5,834,000","5,708,000","7,749,000","7,583,000","7,193,000","7,733,000","7,136,000","7,325,000","7,109,000","7,487,000","7,700,000","6,600,000","6,600,000","6,300,000","5,900,000","6,100,000","5,900,000","5,700,000","5,300,000","5,200,000","5,100,000","5,000,000","4,700,000","4,600,000","4,700,000","4,400,000","3,600,000","4,100,000","5,300,000","2,900,000","2,600,000","2,700,000","2,600,000","2,400,000","2,200,000","2,400,000","2,300,000","2,300,000","2,200,000","2,200,000","2,200,000","2,100,000","2,000,000","2,000,000","2,100,000","2,100,000","2,000,000","1,800,000","2,000,000","2,000,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,107,000","5,901,000","6,010,000","6,054,000","5,074,000","5,335,000","5,230,000","5,031,000","5,064,000","4,874,000","5,067,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
