name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019
OperatingCashFlow,"-63,826,000","-21,908,000","-15,171,000","-10,551,000","-16,196,000","-1,515,000","-9,436,000","-9,071,000","-6,250,000","-5,015,000","-4,869,000"
	CashFlowFromContinuingOperatingActivities,"-63,826,000","-21,908,000","-15,171,000","-10,551,000","-16,196,000","-1,515,000","-9,436,000","-9,071,000","-6,250,000","-5,015,000","-4,869,000"
		NetIncomeFromContinuingOperations,"-81,796,000","-12,892,000","-34,206,000","-18,259,000","-16,439,000","1,419,000","-29,106,000","-11,314,000","-13,875,000","-5,163,000","-4,731,000"
		DepreciationAmortizationDepletion,"51,000","13,000","12,000","13,000","13,000","15,000","15,000","15,000","16,000","16,000","17,000"
			DepreciationAndAmortization,"51,000","13,000","12,000","13,000","13,000","15,000","15,000","15,000","16,000","16,000","17,000"
		DeferredTax,,"-19,568,000",,,,,,,,,
			DeferredIncomeTax,,"-19,568,000",,,,,,,,,
		AmortizationOfSecurities,"3,815,000","946,000","1,125,000","926,000","818,000","229,000","87,000","67,000","54,000","25,000",
		StockBasedCompensation,"27,432,000","6,565,000","12,145,000","4,557,000","4,165,000","3,508,000","14,910,000","0","0","0","0"
		OtherNonCashItems,,,"0","0",,,"164,000","844,000",,,"0"
		ChangeInWorkingCapital,"6,173,000","3,028,000","5,753,000","2,212,000","-4,820,000","-6,686,000","4,494,000","1,317,000","933,000","107,000","-151,000"
			ChangeInPrepaidAssets,"-57,000","-1,140,000","1,835,000","95,000","-847,000","-4,352,000","64,000","-450,000","-769,000","693,000","-677,000"
			ChangeInPayablesAndAccruedExpense,"6,230,000","4,168,000","3,918,000","2,117,000","-3,973,000","-2,334,000","4,495,000","1,766,000","1,655,000","-586,000","524,000"
				ChangeInPayable,"2,426,000","3,137,000","1,145,000","515,000","-2,371,000","-4,124,000","4,517,000","-976,000","1,870,000","170,000","-159,000"
					ChangeInAccountPayable,"2,426,000","3,137,000","1,145,000","515,000","-2,371,000","-4,124,000","4,517,000","-976,000","1,870,000","170,000","-159,000"
				ChangeInAccruedExpense,"3,804,000","1,031,000","2,773,000","1,602,000","-1,602,000","1,790,000","-22,000","2,742,000","-215,000","-756,000","683,000"
			ChangeInOtherCurrentAssets,,,"0","0",,,"-65,000","0",,,
			ChangeInOtherWorkingCapital,,,,,,,"0",,,,"2,000"
