name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019
OperatingCashFlow,"214,281,000","32,303,000","47,084,000","59,771,000","75,123,000","29,002,000","37,435,000","53,941,000","28,921,000","-1,920,000","21,199,000","20,284,000","26,367,000"
	CashFlowFromContinuingOperatingActivities,"214,281,000","32,303,000","47,084,000","59,771,000","75,123,000","29,002,000","37,435,000","53,941,000","28,921,000","-1,920,000","21,199,000","20,284,000","26,367,000"
		NetIncomeFromContinuingOperations,"484,281,000","103,607,000","126,293,000","127,862,000","126,519,000","151,195,000","107,389,000","108,369,000","-52,360,000","50,182,000","17,234,000","46,360,000","31,009,000"
		DepreciationAmortizationDepletion,"26,977,000","11,688,000","11,663,000","2,446,000","1,180,000","1,338,000","1,390,000","1,393,000","1,374,000","1,599,000","1,907,000","1,910,000","1,662,000"
			DepreciationAndAmortization,"26,977,000","11,688,000","11,663,000","2,446,000","1,180,000","1,338,000","1,390,000","1,393,000","1,374,000","1,599,000","1,907,000","1,910,000","1,662,000"
		DeferredTax,"6,216,000","-4,000,000","13,916,000","-16,254,000","12,554,000","7,247,000","8,625,000",,,,"0",,
			DeferredIncomeTax,"6,216,000","-4,000,000","13,916,000","-16,254,000","12,554,000","7,247,000","8,625,000",,,,"0",,
		UnrealizedGainLossOnInvestmentSecurities,"0",,,,,"0","0","0","0","0","-25,000","-107,000","-166,000"
		StockBasedCompensation,"13,996,000","3,633,000","3,407,000","3,214,000","3,742,000","3,258,000","3,206,000","952,000","483,000","483,000","482,000","475,000","475,000"
		OtherNonCashItems,"-308,562,000","-57,408,000","-83,753,000","-72,977,000","-94,424,000","-50,769,000","-153,698,000","-157,523,000","136,531,000","-78,249,000","14,949,000","-67,506,000","-33,089,000"
		ChangeInWorkingCapital,"-8,627,000","-25,217,000","-24,442,000","15,480,000","25,552,000","-83,267,000","70,523,000","100,709,000","-57,107,000","24,065,000","-13,348,000","39,152,000","26,476,000"
