name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
TotalRevenue,"411,610,000","96,261,000","126,578,000","100,353,000","88,418,000","74,785,000","95,197,000","76,751,000","66,565,000","54,176,000","72,560,000","65,649,000","59,621,000","56,360,000","87,518,000","67,052,000","62,190,000","53,528,000","73,209,000","53,601,000","50,174,000","40,380,000","54,409,000","40,937,000","38,641,000","30,470,000","43,837,000","31,237,000","29,150,000","22,986,000","33,714,000","25,563,000","24,616,000","17,455,000","25,689,000","18,510,000","17,837,000","12,580,000","18,557,000"
	OperatingRevenue,"411,610,000","96,261,000","126,578,000","100,353,000","88,418,000","74,785,000","95,197,000","76,751,000","66,565,000","54,176,000","72,560,000","65,649,000","59,621,000","56,360,000","87,518,000","67,052,000","62,190,000","53,528,000","73,209,000","53,601,000","50,174,000","40,380,000","54,409,000","40,937,000","38,641,000","30,470,000","43,837,000","31,237,000","29,150,000","22,986,000","33,714,000","25,563,000","24,616,000","17,455,000","25,689,000","18,510,000","17,837,000","12,580,000","18,557,000"
CostOfRevenue,"63,726,000","17,809,000","17,378,000","14,338,000","14,201,000","13,482,000","12,462,000","11,284,000","10,335,000","10,180,000","9,652,000","8,768,000","8,398,000","8,326,000","7,749,000","7,052,000","6,440,000","6,442,000","5,887,000","5,436,000","4,878,000","4,672,000","4,510,000","4,116,000","3,721,000","3,496,000","3,279,000","3,044,000","2,863,000","2,833,000","2,788,000","2,590,000","2,491,000","2,042,000","1,968,000","1,652,000","1,507,000","1,349,000","1,507,000"
GrossProfit,"347,884,000","78,452,000","109,200,000","86,015,000","74,217,000","61,303,000","82,735,000","65,467,000","56,230,000","43,996,000","62,908,000","56,881,000","51,223,000","48,034,000","79,769,000","60,000,000","55,750,000","47,086,000","67,322,000","48,165,000","45,296,000","35,708,000","49,899,000","36,821,000","34,920,000","26,974,000","40,558,000","28,193,000","26,287,000","20,153,000","30,926,000","22,973,000","22,125,000","15,413,000","23,721,000","16,858,000","16,330,000","11,231,000","17,050,000"
OperatingExpense,"460,588,000","126,537,000","127,033,000","104,570,000","102,448,000","95,378,000","89,934,000","81,919,000","78,324,000","76,666,000","76,913,000","72,856,000","75,229,000","70,035,000","75,269,000","66,833,000","67,055,000","62,583,000","61,299,000","51,416,000","50,640,000","46,733,000","45,288,000","40,751,000","40,505,000","37,763,000","37,000,000","32,738,000","32,823,000","31,704,000","30,630,000","28,087,000","26,683,000","23,345,000","22,139,000","18,985,000","17,595,000","15,266,000","14,731,000"
	SellingGeneralAndAdministration,"309,198,000","82,967,000","86,890,000","70,226,000","69,115,000","65,316,000","61,996,000","57,249,000","54,257,000","53,978,000","55,039,000","52,456,000","55,507,000","51,267,000","55,824,000","49,566,000","49,338,000","47,041,000","47,740,000","39,513,000","39,142,000","36,324,000","35,661,000","31,461,000","31,600,000","28,926,000","28,825,000","24,653,000","25,024,000","23,971,000","23,131,000","20,771,000","19,851,000","16,906,000","16,272,000","13,273,000","12,720,000","10,747,000","10,552,000"
		GeneralAndAdministrativeExpense,"65,590,000","18,180,000","19,217,000","13,997,000","14,196,000","13,823,000","13,092,000","11,814,000","11,274,000","11,398,000","10,910,000","10,339,000","13,851,000","9,271,000","9,628,000","8,774,000","7,989,000","7,069,000","8,017,000","6,711,000","6,582,000","5,513,000","5,443,000","5,051,000","4,760,000","4,562,000","4,530,000","4,036,000","3,760,000","3,780,000","3,512,000","3,030,000","2,665,000","2,665,000","2,964,000","2,158,000","2,220,000","1,539,000","1,416,000"
			OtherGandA,"65,590,000","18,180,000","19,217,000","13,997,000","14,196,000","13,823,000","13,092,000","11,814,000","11,274,000","11,398,000","10,910,000","10,339,000","13,851,000","9,271,000","9,628,000","8,774,000","7,989,000","7,069,000","8,017,000","6,711,000","6,582,000","5,513,000","5,443,000","5,051,000","4,760,000","4,562,000","4,530,000","4,036,000","3,760,000","3,780,000","3,512,000","3,030,000","2,665,000","2,665,000","2,964,000","2,158,000","2,220,000","1,539,000","1,416,000"
		SellingAndMarketingExpense,"243,608,000","64,787,000","67,673,000","56,229,000","54,919,000","51,493,000","48,904,000","45,435,000","42,983,000","42,580,000","44,129,000","42,117,000","41,656,000","41,996,000","46,196,000","40,792,000","41,349,000","39,972,000","39,723,000","32,802,000","32,560,000","30,811,000","30,218,000","26,410,000","26,840,000","24,364,000","24,295,000","20,617,000","21,264,000","20,191,000","19,619,000","17,741,000","17,186,000","14,241,000","13,308,000","11,115,000","10,500,000","9,208,000","9,136,000"
	ResearchAndDevelopment,"151,390,000","43,570,000","40,143,000","34,344,000","33,333,000","30,062,000","27,938,000","24,670,000","24,067,000","22,688,000","21,874,000","20,400,000","19,722,000","18,768,000","19,445,000","17,267,000","17,717,000","15,542,000","13,559,000","11,903,000","11,498,000","10,409,000","9,627,000","9,290,000","8,905,000","8,837,000","8,175,000","8,085,000","7,799,000","7,733,000","7,499,000","7,316,000","6,832,000","6,439,000","5,867,000","5,712,000","4,875,000","4,519,000","4,179,000"
OperatingIncome,"-112,704,000","-48,085,000","-17,833,000","-18,555,000","-28,231,000","-34,075,000","-7,199,000","-16,452,000","-22,094,000","-32,670,000","-14,005,000","-15,975,000","-24,006,000","-22,001,000","4,500,000","-6,833,000","-11,305,000","-15,497,000","6,023,000","-3,251,000","-5,344,000","-11,025,000","4,611,000","-3,930,000","-5,585,000","-10,789,000","3,558,000","-4,545,000","-6,536,000","-11,551,000","296,000","-5,114,000","-4,558,000","-7,932,000","1,582,000","-2,127,000","-1,265,000","-4,035,000","2,319,000"
NetNonOperatingInterestIncomeExpense,"-8,688,000","736,000","-2,388,000","-3,234,000","-3,802,000","-1,022,000","-2,812,000","-2,553,000","-1,845,000","1,453,000","2,381,000","-482,000","65,000","-128,000","1,278,000","99,000","-811,000","978,000","-1,452,000","622,000","950,000","469,000","485,000","-187,000","-605,000","645,000","931,000","-104,000","402,000","-1,041,000","785,000","-944,000","74,000","-38,000","1,077,000","-387,000","-324,000","-679,000","2,798,000"
	InterestExpenseNonOperating,,,"1,980,000","3,234,000","3,802,000",,"3,168,000","2,553,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"-1,186,000","-736,000",,,,"1,022,000","4,538,000","2,553,000","1,845,000","-1,453,000","-347,000","482,000","-65,000","128,000","463,000","-99,000","811,000","-978,000","2,199,000","-622,000","-950,000","-469,000","35,000","187,000","605,000","-645,000","-601,000","104,000","-402,000","1,041,000","-597,000","944,000","-74,000","38,000","-1,041,000","387,000","324,000","679,000","-2,787,000"
PretaxIncome,"-123,091,000","-47,349,000","-21,920,000","-21,789,000","-32,033,000","-35,097,000","-11,737,000","-19,005,000","-23,939,000","-31,217,000","-13,849,000","-16,457,000","-23,941,000","-22,129,000","5,204,000","-6,734,000","-12,116,000","-14,519,000","6,344,000","-2,629,000","-4,394,000","-10,556,000","3,872,000","-4,117,000","-6,190,000","-10,144,000","2,778,000","-4,649,000","-6,134,000","-12,592,000","-510,000","-6,058,000","-4,484,000","-7,970,000","1,698,000","-2,514,000","-1,589,000","-4,714,000","2,242,000"
TaxProvision,"6,877,000","1,414,000","3,023,000","1,525,000","915,000","559,000","7,295,000","220,000","384,000","213,000","801,000","530,000","547,000","510,000","-1,264,000","583,000","567,000","527,000","810,000","685,000","641,000","323,000","350,000","272,000","303,000","206,000","144,000","276,000","188,000","78,000","-179,000","296,000","155,000","104,000","182,000","50,000","47,000","77,000","42,000"
NetIncomeCommonStockholders,"-129,968,000","-48,763,000","-24,943,000","-23,314,000","-32,948,000","-35,656,000","-19,032,000","-19,225,000","-24,323,000","-31,430,000","-14,650,000","-16,987,000","-24,488,000","-22,639,000","6,468,000","-7,317,000","-12,683,000","-15,046,000","5,534,000","-3,314,000","-5,035,000","-10,879,000","3,522,000","-4,389,000","-6,493,000","-10,350,000","2,634,000","-4,925,000","-6,322,000","-12,670,000","-331,000","-6,354,000","-4,639,000","-8,074,000","1,516,000","-2,564,000","-1,636,000","-4,791,000","2,200,000"
	NetIncome,"-129,968,000","-48,763,000","-24,943,000","-23,314,000","-32,948,000","-35,656,000","-19,032,000","-19,225,000","-24,323,000","-31,430,000","-14,650,000","-16,987,000","-24,488,000","-22,639,000","6,468,000","-7,317,000","-12,683,000","-15,046,000","5,534,000","-3,314,000","-5,035,000","-10,879,000","3,522,000","-4,389,000","-6,493,000","-10,350,000","2,634,000","-4,925,000","-6,322,000","-12,670,000","-331,000","-6,354,000","-4,639,000","-8,074,000","1,516,000","-2,564,000","-1,636,000","-4,791,000","2,200,000"
		NetIncomeIncludingNoncontrollingInterests,"-129,968,000","-48,763,000","-24,943,000","-23,314,000","-32,948,000","-35,656,000","-19,032,000","-19,225,000","-24,323,000","-31,430,000","-14,650,000","-16,987,000","-24,488,000","-22,639,000","6,468,000","-7,317,000","-12,683,000","-15,046,000","5,534,000","-3,314,000","-5,035,000","-10,879,000","3,522,000","-4,389,000","-6,493,000","-10,350,000","2,634,000","-4,925,000","-6,322,000","-12,670,000","-331,000","-6,354,000","-4,639,000","-8,074,000","1,516,000","-2,564,000","-1,636,000","-4,791,000","2,200,000"
			NetIncomeContinuousOperations,"-129,968,000","-48,763,000","-24,943,000","-23,314,000","-32,948,000","-35,656,000","-19,032,000","-19,225,000","-24,323,000","-31,430,000","-14,650,000","-16,987,000","-24,488,000","-22,639,000","6,468,000","-7,317,000","-12,683,000","-15,046,000","5,534,000","-3,314,000","-5,035,000","-10,879,000","3,522,000","-4,389,000","-6,493,000","-10,350,000","2,634,000","-4,925,000","-6,322,000","-12,670,000","-331,000","-6,354,000","-4,639,000","-8,074,000","1,516,000","-2,564,000","-1,636,000","-4,791,000","2,200,000"
DilutedNIAvailtoComStockholders,"-129,968,000","-48,763,000","-24,943,000","-23,314,000","-32,948,000","-35,656,000","-19,032,000","-19,225,000","-24,323,000","-31,430,000","-14,650,000","-16,987,000","-24,488,000","-22,639,000","6,468,000","-7,317,000","-12,683,000","-15,046,000","5,534,000","-3,314,000","-5,035,000","-10,879,000","3,522,000","-4,389,000","-6,493,000","-10,350,000","2,634,000","-4,925,000","-6,322,000","-12,670,000","-331,000","-6,354,000","-4,639,000","-8,074,000","1,516,000","-2,564,000","-1,636,000","-4,791,000","2,200,000"
BasicEPS,,"-0.45","-0.23","-0.22","-0.31","-0.36","-0.2","-0.203","-0.257","-0.34","-0.16","-0.187","-0.27","-0.253","0.073","-0.083","-0.147","-0.177","0.067","-0.04","-0.06","-0.133","0.043","-0.057","-0.083","-0.133","0.033","-0.063","-0.083","-0.17","-0.003","-0.087","-0.063","-0.243",,"-0.045","-0.029","-0.084",
DilutedEPS,,"-0.45","-0.23","-0.22","-0.31","-0.36","-0.2","-0.203","-0.257","-0.34","-0.16","-0.187","-0.27","-0.253","0.067","-0.083","-0.147","-0.177","0.06","-0.04","-0.06","-0.133","0.04","-0.057","-0.083","-0.133","0.03","-0.063","-0.083","-0.17","-0.003","-0.087","-0.063","-0.243",,"-0.045","-0.029","-0.084",
BasicAverageShares,,"108,204,960","107,406,930","107,028,201","106,393,429","100,246,972","95,313,234","94,842,726","94,482,873","92,679,000","91,574,082","91,140,462","90,853,263","89,483,781","88,496,712","87,845,103","86,760,942","85,087,437","83,961,648","82,786,383","81,965,511","80,853,615","80,212,671","79,476,939","78,820,140","78,351,219","77,375,667","76,102,041","74,625,681","74,223,918","73,855,296","73,549,251","73,365,777","33,248,310",,"56,893,068","56,893,068","56,893,068",
