name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,03/31/2011,06/30/2010,03/31/2010
TotalAssets,"3,361,843,000","3,295,812,000","3,168,111,000","3,180,060,000","3,128,335,000","3,097,519,000","3,032,491,000","2,943,558,000","3,103,532,000","3,266,055,000","3,132,128,000","2,791,316,000","2,650,116,000","2,448,666,000","2,521,774,000","2,205,941,000","2,078,419,000","1,928,018,000","1,950,615,000","1,949,831,000","1,880,939,000","1,656,018,000","1,617,180,000","1,584,601,000","1,572,266,000","1,602,138,000","1,569,975,000","1,392,101,000","1,487,582,000","1,514,920,000","1,398,141,000","1,358,112,000","697,148,000","650,107,000","547,722,000","546,200,000","448,406,000","345,331,391","291,674,984","147,989,318","150,251,855","145,486,821","499,695,144","313,113,088","324,080,427"
	CurrentAssets,,,,,,,,,,,,,,,,,,,"71,281,000",,,,,,,,,,,,,,,"0",,,,,"0","0","0",,"37,072,500","6,194,544","39,265,706"
		CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,,,,,,,,"39,646,000",,,,,,,,,,,,,,,,,,,,"871,554,868",,,,"27,198,421","4,058,545","22,859,624"
			CashAndCashEquivalents,"35,376,000","58,077,000","83,357,000","27,809,000","47,299,000","78,966,000","68,664,000","56,163,000","22,108,000","48,574,000","69,815,000","87,161,000","65,571,000","49,664,000","146,345,000","33,948,000","29,636,000","34,936,000","39,646,000","36,337,000","37,663,000","45,928,000","49,794,000","34,467,000","32,683,000","30,102,000","24,612,000","24,226,000","22,152,000","23,445,000","17,857,000","21,665,000",,,,,,,"12,670,690",,,,"27,198,421","4,058,545","22,859,624"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"858,884,178",,,,,,
		Receivables,"34,760,000","30,868,000","41,763,000","32,290,000","32,927,000","37,547,000","38,571,000","33,607,000","64,159,000","32,077,000","37,916,000","33,682,000","34,945,000","30,369,000","51,542,000","43,349,000","37,418,000","32,187,000","31,635,000","25,033,000","24,110,000","19,169,000","17,499,000","19,825,000","16,741,000","14,192,000","20,940,000","11,818,000","15,120,000","21,146,000","13,654,000","12,924,000",,"0","0","0","0","3,405,675","8,749,926",,,"0","4,801,469","2,135,999","16,349,799"
			AccountsReceivable,,,,,,,,,,,,,,,,,,,"3,496,000",,,,,,,,,,,,,,,,,,,,,,,,,,"15,720,857"
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,"27,800,000",,,,,,,,,,,,,,,,,,,,"8,579,017",,,,"4,801,469","2,135,999","628,942"
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,"339,000",,,,,,,,,,,,,,,"0",,,,,"170,909",,,,,,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","17,749"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,317,053",,,,"5,072,610",,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,534"
	TotalNonCurrentAssets,,,,,,,,,,,,,,,,,,,"1,879,334,000",,,,,,,,,,,,,,,"650,107,000",,,,,"291,674,984","147,989,318","150,251,855",,"462,622,644","306,918,544","284,814,721"
