name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990
OperatingCashFlow,"-26,245,228","-3,946,677","-8,657,792","-806,468","-12,834,291","-2,589,506","659,241","-341,111","3,338,507","-2,416,989","-2,510,502","-955,002","-527,626","-2,496,098","-1,506,481","-2,814,973","-4,548,027","-4,479,853","296,662","577,416","1,465,469","-2,225,962","1,165,965","-822,653","419,974","-880,448","-431,231","1,488,924","-208,388","-1,609,060","-1,220,173","2,184,341","315,196","-15,783","1,181,659","-963,617","7,764,541","3,974,772","1,017,385","1,323,491","3,980,070","3,188,847","1,863,646","2,357,460","2,070,518","431,414","2,108,763","594,566","82,702","2,872,854","441,733","-294,477","2,765,562","-169,762","3,445,791","1,634,893","257,577","1,066,952","1,284,976","-783,222","360,674","493,409","-112,908","-331,047","430,979","786,728","-618,725","242,746","-27,643","248,853","-663,214","49,615","-470,532","591,392","-387,239","-251,241","342,884","346,743","-148,378","-344,848","244,783","-151,385","-127,201","-201","-434,279","-67,079","-123,460","-187,234","-420,368","-159,376","-264,859","-1,000,000","-152,919","-1,500,000","-200,000","-900,000","-1,009,149","-600,000","-2,900,000","-1,100,000","27,463","-800,000","-2,900,000","-400,000","1,600,000","-900,000","-3,400,000","-1,900,000","-3,500,000","-1,000,000","-4,500,000","1,300,000","1,800,000","300,000","-900,000","-1,000,000","1,500,000","-800,000","-1,800,000","-900,000","900,000","-200,000","-800,000","-1,000,000"
	CashFlowFromContinuingOperatingActivities,"-26,245,228","-3,946,677","-8,657,792","-806,468","-12,834,291","-2,589,506","659,241","-341,111","3,338,507","-2,416,989","-2,510,502","-955,002","-527,626","-2,496,098","-1,506,481","-2,814,973","-4,548,027","-4,479,853","296,662","577,416","1,465,469","-2,225,962","1,165,965","-822,653","419,974","-880,448","-431,231","1,488,924","-208,388","-1,609,060","-1,220,173","2,184,341","315,196","-15,783","1,181,659","-963,617","7,764,541","3,974,772","1,017,385","1,323,491","3,980,070","3,188,847","1,863,646","2,357,460","2,070,518","431,414","2,108,763","594,566","82,702","2,872,854","441,733","-294,477","2,765,562","-169,762","3,445,791","1,634,893","257,577","1,066,952","1,284,976","-783,222","360,674","493,409","-112,908","-331,047","430,979","786,728","-618,725","242,746","-27,643","248,853","-663,214","49,615","-470,532","591,392","-387,239","-251,241","342,884","346,743","-148,378","-344,848","244,783","-151,385","-127,201","-201","-434,279","-67,079","-123,460","-187,234","-420,368","-159,376","-264,859","-1,000,000","-152,919","-1,500,000","-200,000","-900,000","-1,009,149","-600,000","-2,900,000","-1,100,000","27,463","-800,000","-2,900,000","-400,000","1,600,000","-900,000","-3,400,000","-1,900,000","-3,500,000","-1,000,000","-4,500,000","1,300,000","1,800,000","300,000","-900,000","-1,000,000","1,500,000","-800,000","-1,800,000","-900,000","900,000","-200,000","-800,000","-1,000,000"
		NetIncomeFromContinuingOperations,"-27,545,182","-14,177,830","-6,380,006","-4,294,480","-2,692,866","-2,845,981","17,227,701","-11,832,545","-3,025,380","-810,509","-3,305,101","-3,060,457","-2,774,076","-4,034,035","-2,148,798","-7,919,511","-7,930,508","-3,831,218","-4,257,152","-2,679,335","-789,889","-1,776,642","-1,366,181","-1,750,941","570,258","35,045","1,490,363","702,571","1,170,974","1,667,574","804,917","-566,121","1,159,498","375,081","1,464,603","6,590,172","726,911","3,491,669","3,533,846",,,,,,,"80,998","386,668","5,515,737","75,160","1,844,532","-698,351","2,279,168","648,254","1,974,566","1,633,391","2,365,359","540,660","1,206,138","854,611","1,165,610","357,476","357,108","-186,281","92,747","12,506","76,178","100,595","-96,252","-178,474","101,508","-1,182,438","-637,111","-18,776","-710,757","-652,244","-742,038","-248,536","-896,109","-483,486","-341,947","-2,801,004","18,079","-356,290","-194,852","44,666","-401,721","-619,349","-564,134","-832,793","-986,409","-1,306,827","-900,000","-657,316","-900,000","-700,000","-1,100,000","-909,149","-900,000","-2,200,000","-1,600,000","-4,360,303","-1,900,000","-1,900,000","-500,000","-1,300,000","-1,200,000","-2,400,000","-3,400,000","-2,200,000","-1,200,000","-800,000","1,200,000","-2,500,000","0","-500,000","-700,000","-900,000","-3,300,000","400,000","-500,000","-2,100,000","700,000","100,000","-200,000"
		OperatingGainsLosses,"4,450,000","1,229,000","209,000","1,640,000","1,372,000","53,000","-17,806,158","463,000","169,000","-469,000","394,000","953,000","-157,000","628,000","-225,000","-1,292,000","378,000",,,"64,019","5,504","0","4,469","203","218","167","111","0","0","0","3,483","61","0","0","430","0","48","409","483","-1,408","11,740","888","-252",,"-700",,,"-363,901","121,098","122,539","125,796","-253,880","111,435",,,"-92","-40",,,"-632","-619",,,"-603","-588","-51,200","50,044","110,719","29,057","64,855","377,655","155,937","49,962","43,170","43,091","201,950","125,131","247,879","219,148","264,460","2,703,361","-4,136","1,378",,,,,,,"58,279","-58,955",,,,,,,,"100,000","200,000",,"0",,,"-2,500,000","900,000","1,600,000","100,000","-1,700,000","1,100,000","1,400,000","100,000","3,000,000",,,,"700,000","200,000","-800,000","100,000","2,100,000","100,000","300,000","100,000"
			GainLossOnSaleOfBusiness,"0","0","0","0","0","0","-18,410,158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,"64,019","5,504","0","4,469","203","218","167","111","0","0","0","3,483","61","0","0","430","0","48","409","483","-1,408","11,740",,,,,,,"8,145",,,,"120","6,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"4,450,000","1,229,000","209,000","1,640,000","1,372,000","53,000","604,000","463,000","169,000","-469,000","394,000","953,000","-157,000","628,000","-225,000","-1,292,000","378,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"123,189","122,539","125,796",,"104,816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"170,280","47,061","43,228","40,681","39,310","39,620","91,783","115,582","114,762","115,774","116,623","113,411","118,999","119,148","119,863","113,681","112,497","112,825","113,045","106,899","129,843","128,253","116,013","95,241","100,951","112,275","114,406","121,723","121,152","123,444","127,939","160,155","142,293","143,146","143,749","137,952","144,134","143,307","130,911","119,692","116,315","113,018","112,422","115,361","115,893","116,056","117,599","147,062","106,059","103,178","110,245","103,827","109,065","29,425","26,065","118,218","22,254","15,277","61,336","-23,013","93,627","91,202","91,120","64,426","66,042","90,367","112,798","135,741","127,111","103,249","156,696","68,161","177,990","431,091","409,455","376,601","399,705","376,880","392,462","164,920","329,374","284,237","232,569","299,317","249,071","170,850","204,679","505,981","265,938","455,807","597,695","-100,000","933,994","-100,000","-200,000","-100,000","1,053,298","-200,000","-100,000","-200,000","1,075,084","-200,000",,,,,,"-100,000","-200,000","-100,000","-100,000","-100,000","-100,000","-100,000","-100,000","-100,000","-100,000","-100,000","0","-100,000","-100,000","0",,
			DepreciationAndAmortization,"170,280","47,061","43,228","40,681","39,310","39,620","91,783","115,582","114,762","115,774","116,623","113,411","118,999","119,148","119,863","113,681","112,497","112,825","113,045","106,899","129,843","128,253","116,013","95,241","100,951","112,275","114,406","121,723","121,152","123,444","127,939","160,155","142,293","143,146","143,749","137,952","144,134","143,307","130,911","119,692","116,315","113,018","112,422","115,361","115,893","116,056","117,599","147,062","106,059","103,178","110,245","103,827","109,065","29,425","26,065","118,218","22,254","15,277","61,336","-23,013","93,627","91,202","91,120","64,426","66,042","90,367","112,798","135,741","127,111","103,249","156,696","68,161","177,990","431,091","409,455","376,601","399,705","376,880","392,462","164,920","329,374","284,237","232,569","299,317","249,071","170,850","204,679","505,981","265,938","455,807","597,695","-100,000","933,994","-100,000","-200,000","-100,000","1,053,298","-200,000","-100,000","-200,000","1,075,084","-200,000",,,,,,"-100,000","-200,000","-100,000","-100,000","-100,000","-100,000","-100,000","-100,000","-100,000","-100,000","-100,000","0","-100,000","-100,000","0",,
