name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994
OperatingCashFlow,"1,235,000,000","994,000,000","-594,000,000","434,000,000","401,000,000","495,000,000","151,000,000","139,200,000","400,400,000","444,000,000","118,400,000","153,500,000","307,000,000","521,000,000","96,600,000","158,500,000","347,400,000","548,000,000","31,400,000","118,400,000","261,000,000","458,400,000","126,600,000","106,700,000","244,700,000","490,800,000","127,500,000","195,700,000","310,300,000","638,800,000","19,000,000","147,300,000","375,100,000","410,100,000","72,900,000","115,100,000","205,600,000","449,700,000","31,100,000","141,500,000","231,500,000","357,100,000","-22,400,000","87,500,000","175,100,000","328,100,000","-36,000,000","82,100,000","212,400,000","287,200,000","17,100,000","71,700,000","150,700,000","503,000,000","-60,400,000","112,400,000","188,400,000","246,200,000","-82,600,000","99,400,000","134,300,000","222,600,000","-100,000","86,400,000","122,000,000","88,500,000","-17,500,000","121,000,000","128,200,000","183,700,000","4,800,000","73,000,000","80,600,000","90,600,000","13,600,000","43,800,000","54,400,000","154,900,000","-4,000,000","47,800,000","78,000,000","92,300,000","29,400,000","97,400,000","89,900,000","32,500,000","-16,300,000","15,200,000","42,700,000","104,100,000","-29,300,000","-1,800,000","49,900,000","96,900,000","-3,100,000","30,200,000","34,500,000","128,700,000","-14,900,000","6,300,000","55,700,000","125,800,000","-15,800,000","-2,200,000","39,600,000","92,700,000","-18,900,000","-18,300,000","33,500,000","60,000,000","1,600,000","-14,500,000","44,900,000"
	CashFlowFromContinuingOperatingActivities,"1,235,000,000","994,000,000","-594,000,000","434,000,000","401,000,000","495,000,000","151,000,000","139,200,000","400,400,000","444,000,000","118,400,000","153,500,000","307,000,000","521,000,000","96,600,000","158,500,000","347,400,000","548,000,000","31,400,000","118,400,000","261,000,000","458,400,000","126,600,000","106,700,000","244,700,000","490,800,000","127,500,000","195,700,000","310,300,000","638,800,000","19,000,000","147,300,000","375,100,000","410,100,000","72,900,000","115,100,000","205,600,000","449,700,000","31,100,000","141,500,000","231,500,000","357,100,000","-22,400,000","87,500,000","175,100,000","328,100,000","-36,000,000","82,100,000","212,400,000","287,200,000","17,100,000","71,700,000","150,700,000","503,000,000","-60,400,000","112,400,000","188,400,000","246,200,000","-82,600,000","99,400,000","134,300,000","222,600,000","-100,000","86,400,000","122,000,000","88,500,000","-17,500,000","121,000,000","128,200,000","183,700,000","4,800,000","73,000,000","80,600,000","90,600,000","13,600,000","43,800,000","54,400,000","154,900,000","-4,000,000","47,800,000","78,000,000","92,300,000","29,400,000","97,400,000","89,900,000","32,500,000","-16,300,000","15,200,000","42,700,000","104,100,000","-29,300,000","-1,800,000","49,900,000","96,900,000","-3,100,000","30,200,000","34,500,000","128,700,000","-14,900,000","6,300,000","55,700,000","125,800,000","-15,800,000","-2,200,000","39,600,000","92,700,000","-18,900,000","-18,300,000","33,500,000","60,000,000","1,600,000","-14,000,000","44,900,000"
		NetIncomeFromContinuingOperations,"1,513,000,000","934,000,000","-96,000,000","525,000,000","150,000,000","489,000,000","303,000,000","9,700,000","84,700,000","225,600,000","212,000,000","-130,800,000","-46,500,000","396,700,000","88,500,000","-7,800,000","-11,700,000","407,700,000","434,200,000","-16,700,000","-62,200,000","311,800,000","290,900,000","-115,700,000","28,600,000","408,000,000","167,900,000","-52,500,000","-15,900,000","482,200,000","200,000","-60,000,000","-12,700,000","387,800,000","217,500,000","-54,200,000","-15,100,000","326,200,000","170,700,000","-74,000,000","-76,500,000","227,000,000","110,100,000","-48,900,000","-13,500,000","215,600,000","155,000,000","-18,400,000","-4,200,000","232,800,000","145,500,000","-11,000,000","-3,600,000","158,200,000","114,900,000","-6,300,000","15,700,000","126,100,000","80,000,000","10,700,000","11,500,000","120,200,000","61,900,000","-4,000,000","18,700,000","104,000,000","57,500,000","-8,700,000","700,000","117,300,000","78,200,000","-2,600,000","8,300,000","67,100,000","38,800,000","-5,600,000","-2,000,000","69,800,000","36,700,000","-6,600,000","4,000,000","54,000,000","24,100,000","-16,300,000","-4,300,000","50,000,000","27,100,000","-10,500,000","-4,700,000","38,800,000","21,100,000","-11,200,000","11,400,000","37,500,000","18,000,000","-11,800,000","-3,900,000","31,200,000","24,800,000","-10,400,000","-1,200,000","35,800,000","27,900,000","-12,600,000","-3,700,000","37,600,000","18,200,000","-10,600,000","-19,500,000","27,900,000","10,100,000","-3,500,000","-6,000,000"
		OperatingGainsLosses,"-1,476,000,000","-743,000,000","400,000,000","-895,000,000","-238,000,000","-99,000,000","-103,000,000","-3,900,000","-163,200,000","119,300,000","20,800,000","49,800,000","39,500,000","-4,700,000","172,000,000","-78,800,000","-95,500,000","48,100,000","-6,600,000","-42,000,000","57,000,000","44,700,000","-71,000,000","53,200,000","-30,800,000","-64,000,000","-1,100,000","9,600,000","-15,700,000","-104,500,000","229,700,000","15,500,000","-4,900,000","13,200,000","-5,200,000","-5,200,000","-3,300,000","6,400,000","1,900,000","5,100,000","1,000,000","14,700,000","-14,100,000","17,700,000","1,800,000","25,400,000","5,400,000","-44,100,000","-11,500,000","18,000,000","24,900,000","0","0","-64,600,000","24,700,000","-14,700,000","-37,700,000","89,400,000","44,200,000","-74,600,000","6,600,000","81,000,000","47,500,000","-9,500,000","2,200,000","60,300,000","24,500,000","-10,900,000","4,200,000","66,600,000","20,600,000","-6,000,000","1,500,000","55,600,000","22,700,000","-19,900,000","-2,000,000","48,800,000","30,300,000","3,500,000","-8,500,000","50,600,000","8,100,000","9,100,000","-24,700,000","27,600,000","11,600,000","-3,500,000","-3,400,000","25,500,000","3,500,000","-12,600,000","-6,800,000","34,000,000","2,600,000","-13,700,000","-5,700,000","22,200,000","11,000,000","-9,300,000","-4,800,000","20,300,000","16,200,000","-22,800,000","-6,400,000","20,800,000","9,200,000","-9,300,000","-1,500,000","1,100,000","2,700,000","1,500,000","2,800,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-36,500,000","0","0","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-1,554,000,000","-738,000,000","397,000,000","-889,000,000","-324,000,000","-89,000,000","-96,000,000","-79,900,000","-155,700,000","127,300,000","27,300,000","58,900,000","39,500,000","-4,700,000","165,900,000","-78,800,000","-95,500,000","48,100,000","-6,600,000","-42,000,000","52,600,000","22,600,000","-104,200,000","41,400,000","-67,900,000","-64,000,000","-1,100,000","9,600,000","-15,700,000","-104,500,000","229,700,000","15,500,000","-4,900,000","13,200,000","-5,200,000","-5,200,000","-3,300,000","6,400,000","1,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"67,000,000","-5,000,000","-8,000,000","-6,000,000","86,000,000","-10,000,000","-7,000,000",,"-7,500,000","-8,000,000","-6,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"509,000,000","128,000,000","129,000,000","127,000,000","125,000,000","126,000,000","124,000,000","121,900,000","122,500,000","120,200,000","119,400,000","118,100,000","109,900,000","108,900,000","111,200,000","113,800,000","118,800,000","112,200,000","110,300,000","114,800,000","104,100,000","99,300,000","98,100,000","101,500,000","98,100,000","100,700,000","100,600,000","102,600,000","92,500,000","88,000,000","91,000,000","91,200,000","90,000,000","87,700,000","94,000,000","96,800,000","91,900,000","87,300,000","87,100,000","88,300,000","84,600,000","82,800,000","60,300,000","59,300,000","57,800,000","55,500,000","55,300,000","52,900,000","51,700,000","52,600,000","53,000,000","52,100,000","51,300,000","49,800,000","47,700,000","46,900,000","46,800,000","45,800,000","44,900,000","43,600,000","42,100,000","41,800,000","41,700,000","40,000,000","36,500,000","35,900,000","36,300,000","34,600,000","36,500,000","37,700,000","37,600,000","38,000,000","38,500,000","28,300,000","27,500,000","27,300,000","26,100,000","25,400,000","24,200,000","23,600,000","23,200,000","23,500,000","23,200,000","26,900,000","26,200,000","26,100,000","26,000,000","26,700,000","23,800,000",,,,,,,,,,,,,,,,,,,,,,,,
			DepreciationAndAmortization,"509,000,000","128,000,000","129,000,000","127,000,000","125,000,000","126,000,000","124,000,000","121,900,000","122,500,000","120,200,000","119,400,000","118,100,000","109,900,000","108,900,000","111,200,000","113,800,000","118,800,000","112,200,000","110,300,000","114,800,000","104,100,000","99,300,000","98,100,000","101,500,000","98,100,000","100,700,000","100,600,000","102,600,000","92,500,000","88,000,000","91,000,000","91,200,000","90,000,000","87,700,000","94,000,000","96,800,000","91,900,000","87,300,000","87,100,000","88,300,000","84,600,000","82,800,000","60,300,000","59,300,000","57,800,000","55,500,000","55,300,000","52,900,000","51,700,000","52,600,000","53,000,000","52,100,000","51,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"447,000,000","242,000,000","-82,000,000","211,000,000","76,000,000","166,000,000","25,000,000","151,100,000","19,700,000","-29,800,000","5,000,000","-4,100,000","-9,700,000","-8,200,000","-20,700,000","113,700,000","9,000,000","-17,600,000","-173,900,000","63,200,000","-2,500,000","55,300,000","-5,900,000","500,000","27,400,000","70,400,000","-20,900,000","53,600,000","-6,200,000","26,100,000","-59,800,000","45,500,000","8,200,000","32,700,000","-19,700,000","13,200,000","16,700,000","17,200,000","1,600,000","73,000,000","-1,100,000","27,900,000","-16,900,000","57,900,000","6,900,000","38,600,000","-20,700,000","15,700,000","21,200,000","35,900,000","-10,200,000","35,100,000","8,400,000","12,500,000","-29,200,000","-700,000","5,400,000","-14,300,000","8,700,000","19,900,000","3,700,000","1,800,000","1,700,000","1,000,000","-2,400,000","-2,000,000","10,800,000","4,900,000","-2,500,000","8,200,000","1,500,000","900,000","-1,800,000","-2,200,000","6,100,000","8,600,000","-3,500,000","-9,200,000","1,300,000","2,500,000","9,000,000","200,000","-700,000","7,100,000","-8,700,000","-9,500,000","5,600,000","1,600,000","6,300,000","-6,600,000","1,900,000","7,600,000","3,300,000","-4,900,000","1,700,000","3,300,000","8,700,000","-2,800,000","900,000","-200,000","900,000","-4,700,000","1,800,000","8,600,000","2,700,000","-3,800,000","4,500,000","-2,300,000","11,700,000","-4,200,000","-100,000","5,200,000","-1,700,000"
