name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020
TotalRevenue,"5,868,146,000","1,475,991,000","1,514,357,000","1,443,264,000","1,434,534,000","1,414,994,000","1,337,713,000","1,259,997,000","1,208,971,000","1,113,521,000","1,148,656,000"
	OperatingRevenue,"5,868,146,000","1,475,991,000","1,514,357,000","1,443,264,000","1,434,534,000","1,414,994,000","1,337,713,000","1,259,997,000","1,208,971,000","1,113,521,000","1,148,656,000"
CostOfRevenue,"3,430,847,000","868,317,000","878,851,000","848,555,000","835,124,000","818,009,000","768,448,000","718,559,000","679,218,000","647,239,000","650,758,000"
GrossProfit,"2,437,299,000","607,674,000","635,506,000","594,709,000","599,410,000","596,985,000","569,265,000","541,438,000","529,753,000","466,282,000","497,898,000"
OperatingExpense,"2,169,038,000","557,735,000","552,601,000","532,760,000","525,942,000","549,236,000","502,290,000","495,401,000","464,706,000","449,917,000","437,765,000"
	SellingGeneralAndAdministration,"2,169,038,000","557,735,000","552,601,000","532,760,000","525,942,000","549,236,000","502,290,000","495,401,000","464,706,000","449,917,000","437,765,000"
OperatingIncome,"268,261,000","49,939,000","82,905,000","61,949,000","73,468,000","47,749,000","66,975,000","46,037,000","65,047,000","16,365,000","60,133,000"
NetNonOperatingInterestIncomeExpense,"-76,441,000","-19,614,000","-18,884,000","-18,751,000","-19,193,000","-20,508,000","-49,666,000","-53,746,000","-54,394,000","-60,624,000","-60,662,000"
	InterestIncomeNonOperating,"61,000","20,000","9,000","18,000","13,000","21,000","321,000","49,000","99,000","184,000","134,000"
	InterestExpenseNonOperating,"76,502,000","19,634,000","18,893,000","18,769,000","19,206,000","20,529,000","49,987,000","53,795,000","54,493,000","60,808,000","60,796,000"
OtherIncomeExpense,"34,811,000","314,000","-30,437,000","19,773,000","45,162,000","-20,838,000","-17,500,000",,,,
	SpecialIncomeCharges,"0","0","0","0","0","-20,838,000","-17,549,000","0","0","0","-19,000,000"
		ImpairmentOfCapitalAssets,,,,,,,"0",,,,"19,000,000"
		OtherSpecialCharges,,,"0",,,"20,838,000","17,500,000",,,,
	OtherNonOperatingIncomeExpenses,,"314,000","-30,437,000","19,773,000","45,162,000",,,,,,
PretaxIncome,"226,631,000","30,639,000","33,584,000","62,971,000","99,437,000","6,403,000","-240,000","-7,709,000","10,653,000","-44,259,000","-19,529,000"
TaxProvision,"60,794,000","10,000,000","9,689,000","14,095,000","27,011,000","2,679,000","10,200,000","-7,940,000","4,958,000","-10,555,000","-7,395,000"
EarningsFromEquityInterestNetOfTax,"11,621,000","3,163,000","3,393,000","2,637,000","2,429,000","2,425,000","3,530,000","1,875,000","745,000","332,000","2,115,000"
NetIncomeCommonStockholders,"181,550,000","24,693,000","28,994,000","52,752,000","75,111,000","7,560,000","-6,159,000","3,403,000","7,441,000","-31,168,000","-7,171,000"
	NetIncome,"181,550,000","24,693,000","28,994,000","52,752,000","75,111,000","7,560,000","-6,159,000","3,403,000","7,441,000","-31,168,000","-7,171,000"
		NetIncomeIncludingNoncontrollingInterests,"177,458,000","23,802,000","27,288,000","51,513,000","74,855,000","6,149,000","-6,910,000","2,106,000","6,440,000","-33,372,000","-10,019,000"
			NetIncomeContinuousOperations,"177,458,000","23,802,000","27,288,000","51,513,000","74,855,000","6,149,000","-6,910,000","2,106,000","6,440,000","-33,372,000","-10,019,000"
		MinorityInterests,"4,092,000","891,000","1,706,000","1,239,000","256,000","1,411,000","751,000","1,297,000","1,001,000","2,204,000","2,848,000"
DilutedNIAvailtoComStockholders,"181,550,000","24,693,000","28,994,000","52,752,000","75,111,000","7,560,000","-6,159,000","3,403,000","7,441,000","-31,168,000","-7,171,000"
BasicEPS,,"0.09","0.11","0.2","0.28","0.03","-0.03","0.013","0.025","-0.106",
DilutedEPS,,"0.09","0.11","0.2","0.28","0.03","-0.03","0.013","0.025","-0.106",
BasicAverageShares,,"265,050,000","264,384,000","264,228,000","264,216,000","264,215,000","215,700,000","257,014,921","294,805,702","294,805,702",
DilutedAverageShares,,"265,701,000","265,785,000","265,322,000","265,217,000","265,028,000","215,700,000","257,014,921","294,805,702","294,805,702",
TotalOperatingIncomeAsReported,"268,261,000","49,939,000","82,905,000","61,949,000","73,468,000","47,749,000","66,975,000","46,037,000","65,047,000","16,365,000","41,133,000"
TotalExpenses,"5,599,885,000","1,426,052,000","1,431,452,000","1,381,315,000","1,361,066,000","1,367,245,000","1,270,738,000","1,213,960,000","1,143,924,000","1,097,156,000","1,088,523,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"181,550,000","24,693,000","28,994,000","52,752,000","75,111,000","7,560,000","-6,159,000","3,403,000","7,441,000","-31,168,000","-7,171,000"
NormalizedIncome,"181,550,000","24,693,000","28,994,000","52,752,000","75,111,000","22,938,444","6,651,770","3,403,000","7,441,000","-31,168,000","4,634,315.172"
InterestIncome,"61,000","20,000","9,000","18,000","13,000","21,000","321,000","49,000","99,000","184,000","134,000"
InterestExpense,"76,502,000","19,634,000","18,893,000","18,769,000","19,206,000","20,529,000","49,987,000","53,795,000","54,493,000","60,808,000","60,796,000"
NetInterestIncome,"-76,441,000","-19,614,000","-18,884,000","-18,751,000","-19,193,000","-20,508,000","-49,666,000","-53,746,000","-54,394,000","-60,624,000","-60,662,000"
EBIT,"303,133,000","50,273,000","52,477,000","81,740,000","118,643,000","26,932,000","49,747,000","46,086,000","65,146,000","16,549,000","41,267,000"
EBITDA,"480,924,000"
ReconciledCostOfRevenue,"3,430,847,000","868,317,000","878,851,000","848,555,000","835,124,000","818,009,000","768,448,000","718,559,000","679,218,000","647,239,000","650,758,000"
ReconciledDepreciation,"177,791,000","46,967,000","46,794,000","42,792,000","41,238,000","41,607,000","45,875,000","42,923,000","42,471,000","43,567,000","43,944,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"181,550,000","24,693,000","28,994,000","52,752,000","75,111,000","7,560,000","-6,159,000","3,403,000","7,441,000","-31,168,000","-7,171,000"
TotalUnusualItemsExcludingGoodwill,"0","0","0","0","0","-20,838,000","-17,549,000","0","0","0","-19,000,000"
TotalUnusualItems,"0","0","0","0","0","-20,838,000","-17,549,000","0","0","0","-19,000,000"
NormalizedEBITDA,"480,924,000","97,240,000","99,271,000","124,532,000","159,881,000","89,377,000","113,171,000","89,009,000","107,617,000","60,116,000","104,211,000"
TaxRateForCalcs,"0.268","0.288","0.289","0.211","0.264","0.262","0.27","0.27","0.394","0.258","0.379"
TaxEffectOfUnusualItems,"0","0","0","0","0","-5,459,556","-4,738,230","0","0","0","-7,194,684.828"
