name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006
MarketCap,"3,625,331,068","4,232,148,236","5,492,742,959","4,539,371,472","5,119,835,466","4,308,866,321","3,564,309,144","3,293,229,466","3,730,867,714","3,785,153,626","4,509,840,941","4,683,299,747","4,758,839,586","3,852,059,893","2,841,127,592","3,595,788,439","3,276,555,588","2,989,823,660","3,196,782,844","2,710,550,641","2,432,524,022","2,455,230,074","2,306,778,687","2,285,790,211","2,172,237,084","2,683,449,432","2,531,569,996","2,642,648,272","2,946,542,348","3,176,546,436","2,818,048,941","3,073,698,152","3,149,030,072","2,918,474,081","3,134,383,064","2,976,152,974","2,826,599,191","3,301,012,123","2,989,724,356","2,727,157,418","2,888,889,268","2,849,924,061","2,562,203,967","2,011,449,843","2,659,590,832","2,692,238,920","2,497,044,701","2,401,493,513","1,740,750,137","2,089,062,698","2,235,886,271","1,976,479,592","946,300,713","628,005,775","1,232,969,033","1,650,699,709","1,669,105,658","2,037,728,116","2,279,401,322","2,306,919,092","2,843,299,334","2,873,213,246","2,377,706,731"
EnterpriseValue,"4,229,831,068","4,805,648,236","6,064,742,959","5,139,271,472","5,748,035,466","4,927,666,321","4,147,609,144","3,866,729,466","4,339,467,714","4,385,953,626","5,097,540,941","5,270,399,747","5,326,039,586","4,346,159,893","3,341,527,592","4,301,788,439","4,002,255,588","3,680,423,660","3,938,082,844","3,511,250,641","3,239,524,022","3,186,530,074","3,037,978,687","3,060,190,211","3,000,637,084","3,441,649,432","3,286,469,996","3,465,648,272","3,849,842,348","4,033,846,436","3,719,748,941","4,036,598,152","4,126,030,072","3,849,774,081","4,064,283,064","3,740,252,974","3,618,699,191","4,035,312,123","3,724,024,356","3,605,457,418","3,297,689,268","3,212,324,061","3,028,803,967","2,478,049,843","3,201,290,832","3,296,338,920","3,056,144,701","2,165,293,513","1,599,350,137","2,030,462,698","2,138,986,271","1,937,479,592","1,031,900,713","812,605,775","1,374,969,033","1,843,599,709","1,944,905,658","2,390,928,116","2,279,501,322","2,672,419,092","3,412,399,334","3,436,913,246","1,870,506,731"
PeRatio,"19.204","23.319","31.384","25.324","29.306",,,,,"16.275","20.517","24.296","27","21.879","12.102","16.262","15.084","13.799","22.763","18.046","19.409","27.411","30.29","55.838","59.318","51.457","34.383","29.288","33.936","31.404","35.014","30.601","29.301","31.14","34.915","28.33","22.332","23.191","21.05","22.73","24.828","25.668","31.561","24.777","48.989","60.882","226.316","86.479","25.361","29.762","28.625","35.163","31.113","11.469","15.225","12.902","12.226","14.858","14.911","1.585","1.954","1.97","11.614"
ForwardPeRatio,"15.385","17.575","22.883","19.342","28.011","23.474","19.38","17.391","19.841","14.993","19.38","19.724","22.573","18.018","13.605","15.974","17.301","17.699","19.157","16.835","17.153","17.606","16.584","16.393","17.606","16","16.75","17.422","18.832","19.881","21.231","18.051","16.234","14.144","17.452","16.447","13.175","15.504","15.601","14.104","13.736","13.986","15.361","11.416","14.771","16.287","21.231",,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,"2.024","1.58","1.644","1.727","1.728","1.198","0.747","0.671","0.717","0.885","0.834","0.668","0.786","0.791","0.715","0.696","0.651","0.802","0.582","0.752","0.884","1.371",,,,,,,,,,,,,,,,
PsRatio,"3.238","3.901","5.242","4.506","5.465","4.606","3.796","3.43","3.666","3.787","4.534","4.799","5.009","4.243","3.25","4.026","3.768","3.396","2.529","2.196","2.019","2.078","0.967","0.954","0.896","1.117","1.048","1.085","1.194","1.266","1.034","1.148","1.204","1.143","1.285","1.246","1.095","1.27","1.153","0.977","1.018","1.003","0.904","0.71","0.947","0.97","0.905","0.868","0.625","0.751","0.798","0.691","0.31","0.192","0.361","0.464","0.474","0.577","0.641","3.29","3.461","3.441","0.472"
PbRatio,"6.744","8.143","10.518","9.11","10.81","9.556","8.053","8.174","10.073","10.373","12.278","19.265","16.875","14.79","8.586","8.604","8.082","7.009","8.726","9.101","8.969","9.216","8.781","11.293","2.82","3.49","3.232","3.536","4.226","4.894","3.627","4.163","4.434","4.335","5.408","3.821","3.849","4.597","4.158","3.922","4.401","2.536","2.114","1.659","2.269","2.395","2.289","1.239","0.925","1.118","1.177","1.053","0.531","0.367","0.707","0.725","0.731","0.919","0.935","1.022","1.295","1.327",
EnterprisesValueRevenueRatio,"3.719","17.005","21.468","17.588","20.529","19.562","17.376","15.699","21.356","17.636","20.646","19.02","19.581","17.952","13.987","16.514","16.099","16.192","-37.685","9.978","9.793","10.103","10.198","9.138","9.547","6.019","5.692","5.263","6.085","7.316","8.404","5.542","5.811","6.068","6.146","5.126","5.121","6.485","6.077","5.19","4.645","4.809","4.645","3.203","4.276","4.811","4.754","2.927","2.207","3.082","3.276","2.573","1.462","1.216","1.941","1.983","2.099","2.887","2.674","2.926","3.707","3.981","-0.945"
EnterprisesValueEBITDARatio,"11.532","56.075","76.769","53.257","54.432","60.835","58.499","38.823","50.4","-15.937","59.068","38.47","47.853","57.718","44.2","39.942","41.431","45.214","56.582","37.117","32.722","38.162","50.633","33.083","40.659","65.431","101.122","36.101","40.355","63.425","42.174","38.628","45.794","49.483","67.401","30.911","38.212","54.753","52.674","26.826","31.893","41.936","64.306","20.412","31.202","39.102","311.852","22.208","19.624","47.888","65.815","23.231","12.112","21.052","35.806","15.236","14.45","31.46","26.201","22.289","26.701","34.611","-2.514"
