name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
		NetBusinessPurchaseAndSale,"-1,879,000,000","-436,000,000","-466,000,000","-929,000,000","-48,000,000","-20,000,000","-57,000,000","-33,000,000","-80,000,000","3,000,000","-130,000,000","-254,000,000","-31,000,000","-173,000,000","-47,000,000","-47,000,000","-216,000,000","-16,000,000","-319,000,000","-246,000,000","-111,000,000","-151,000,000","1,883,235,000","-2,818,000","-8,553,000","-1,864,000","-6,786,000","29,592,000","-889,000","-2,542,000","-2,335,000","-91,335,000","-1,112,000","-1,891,000","926,000","-146,246,000","-291,000","-4,377,000","8,678,000","-40,299,000","-13,351,000","-2,448,000"
			PurchaseOfBusiness,"-1,879,000,000","-436,000,000","-466,000,000","-929,000,000","-48,000,000","-20,000,000","-59,000,000","-26,000,000","-78,000,000","-14,000,000","-127,000,000","-257,000,000","-29,000,000","-175,000,000","-47,000,000","-47,000,000","-212,000,000","-20,000,000","-329,000,000","-257,000,000","-117,000,000","-151,000,000","-3,765,000","-2,818,000","-8,553,000","-1,864,000","-7,510,000","-1,409,000","-889,000","-2,542,000","-2,335,000","-91,335,000","-1,112,000","-1,891,000","-1,409,000","-146,246,000","-291,000","-4,377,000","8,678,000","-40,299,000","-13,351,000","-2,448,000"
			SaleOfBusiness,,,,,,,"2,000,000","-7,000,000","-2,000,000","17,000,000",,,,"2,000,000","0",,,"4,000,000","10,000,000","11,000,000",,,,,,,"724,000",,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"0","-3,000,000","-1,000,000","-5,000,000","9,000,000","-8,000,000","-1,000,000","-1,000,000","4,000,000","-13,000,000","-13,000,000","0","-10,000,000","-2,000,000","-1,000,000","-6,000,000","-19,000,000","-1,000,000","2,000,000","0","1,000,000","-1,000,000","14,398,000","-404,000","23,947,000","-36,941,000","0","0","-10,981,000","0","0","0","0","5,861,000","0","0","-60,000","60,000","70,000","-161,000","-6,715,000","-6,489,000"
			PurchaseOfInvestment,"-5,000,000","-3,000,000","-1,000,000","-1,000,000","0","-8,000,000","-1,000,000","-1,000,000","4,000,000","-13,000,000","-13,000,000","0","-10,000,000","-2,000,000","-1,000,000","-6,000,000","-19,000,000","-1,000,000","0","0","1,000,000","-1,000,000","-560,000","-404,000","-2,095,000","-36,941,000","0","0",,,,,,,"0","0","0","0","0","-161,000","-6,645,000","-6,559,000"
			SaleOfInvestment,,,"0","-4,000,000",,,,,,,,,,,,,,,"2,000,000","0",,,"14,958,000","0",,,"0","0","0","0","0","0","0","5,861,000",,,,"60,000",,,,"70,000"
		NetOtherInvestingChanges,"7,000,000","3,000,000","4,000,000",,,"1,000,000",,,,"1,000,000","0","3,000,000","1,000,000","1,000,000","8,000,000",,,"-15,000,000","3,000,000",,,"-10,000,000","1,141,000","1,631,000","-304,000","21,532,000","-1,560,000","1,241,000","204,000","666,000","-1,595,000","903,000","90,000","-661,000","609,000","-984,000","1,590,000","-1,077,000","-182,000","-1,201,000","795,000","-2,323,000"
FinancingCashFlow,"-923,000,000","144,000,000","-138,000,000","-66,000,000","-863,000,000","-168,000,000","-198,000,000","-53,000,000","-73,000,000","107,000,000","-343,000,000","39,000,000","-200,000,000","228,000,000","-158,000,000","-201,000,000","-52,000,000","-41,000,000","45,000,000","93,000,000","-34,000,000","-176,000,000","-2,205,857,000","24,397,000","-97,550,000","-4,990,000","-270,974,000","5,263,000","-9,877,000","26,342,000","14,033,000","9,709,000","-157,093,000","3,007,000","-33,305,000","-1,516,000","139,737,000","-33,959,000","-80,021,000","-8,192,000","-5,367,000","-53,293,000"
	CashFlowFromContinuingFinancingActivities,"-923,000,000","144,000,000","-138,000,000","-66,000,000","-863,000,000","-168,000,000","-198,000,000","-53,000,000","-73,000,000","107,000,000","-343,000,000","39,000,000","-200,000,000","228,000,000","-158,000,000","-201,000,000","-52,000,000","-41,000,000","45,000,000","93,000,000","-34,000,000","-176,000,000","-2,205,857,000","24,397,000","-97,550,000","-4,990,000","-270,974,000","5,263,000","-9,877,000","26,342,000","14,033,000","9,709,000","-157,093,000","3,007,000","-33,305,000","-1,516,000","139,737,000","-33,959,000","-80,021,000","-8,192,000","-5,367,000","-53,293,000"
		NetIssuancePaymentsOfDebt,"703,000,000","626,000,000","77,000,000","36,000,000","-36,000,000","-7,000,000","-97,000,000","-36,000,000","-40,000,000","515,000,000","-58,000,000","375,000,000","50,000,000","380,000,000","460,000,000","-75,000,000","551,000,000","79,000,000","402,000,000","663,000,000","314,000,000","1,132,000,000","-1,275,384,000","-12,785,000","-12,308,000","-12,523,000","-12,865,000","-13,160,000","214,659,000","-1,210,000","248,960,000","-6,263,000","-132,000","-334,000","-1,850,000","-982,000","-350,521,000","-34,304,000","169,652,000","-5,792,000","-5,640,000","281,918,000"
