name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
MarketCap,"2,769,699,340","4,461,863,440","4,138,052,450","6,191,319,100","7,065,782,640","6,865,038,680","5,781,582,897","4,536,437,528","3,385,390,244","2,571,230,046","2,136,000,919","1,796,024,756","1,632,728,820","1,507,383,237","1,143,044,420","1,301,442,775","966,261,960","578,033,687","660,619,702","541,285,454","572,919,634","374,449,152","343,513,098","292,714,192","313,243,591","245,837,095","284,728,620","351,884,127","623,194,934","650,336,322","570,969,914"
EnterpriseValue,"2,795,085,340","4,396,169,440","3,974,641,450","5,918,749,100","6,732,866,640","6,806,187,680","5,696,150,623","4,417,901,973","3,225,214,413","2,625,818,779","2,174,033,649","1,829,842,609","1,648,631,501","1,499,828,849","1,142,194,357","1,304,308,490","969,222,619","575,849,428","664,050,358","548,110,270","576,645,846","377,540,975","349,016,785","298,995,103","312,977,462","234,557,682","265,728,663","328,337,997","590,777,221","614,077,070","772,353,189"
PeRatio,"1,214.331",,,,,,"1,069.887","930.417",,,,,,,,,,,,,,,,,,,,,,,
ForwardPeRatio,,,,"181.818","555.556","294.118","270.27","222.222","625","222.222","107.527","74.074","344.828","294.118","116.279","125",,"1,666.667",,"1,666.667",,,"112.36","38.462",,"25.253","94.34","36.9","51.546","42.194","100"
PegRatio,,,,,,,,,,,,,,,,,,,,,,,"28.194","1.538",,"1.011","3.773","1.474","2.067",,
PsRatio,"5.414","10.356","10.212","15.991","19.436","19.806","18.639","14.893","11.658","9.339","9.129","8.162","7.878","7.732","6.104","7.352","5.772","3.628","4.329","3.716","4.108","2.784","2.639","2.316","2.593","2.113","2.575","3.434","6.59","3.053","6.783"
PbRatio,"3.912","6.199","5.719","8.601","9.795","17.416","14.656","11.795","8.867","19.588","17.257","15.273","13.623","12.482","9.786","11.531","8.447","4.945","5.971","5.05","5.385","3.474","3.282","2.873","3.035","2.365","2.771","3.432","6.068","6.29",
EnterprisesValueRevenueRatio,"6.021","33.261","34.303","55.012","61.988","72.86","67.392","52.475","40.325","37.459","33.064","28.037","27.453","27.373","22.117","25.676","20.351","13.339","16.317","13.304","14.427","10.939","10.247","8.657","9.484","7.457","8.798","10.74","20.832","22.698","31.514"
EnterprisesValueEBITDARatio,"3,331.449","-577.456","11,102.35","856.796","5,676.953","-2,583.974","1,840.922","499.981","566.28","1,653.297","235.388","245.259","-1,142.432","3,570.027","209.112","358.411","12,511.264","-5,842.925","135.837","158.596","818.187","1,030.595","79.48","83.747","-346.864","543.955","52.978","882.11","-2,529.077","-787.651","368.549"
