name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,06/30/1994,03/31/1994,12/31/1993,09/30/1993,03/31/1992,12/31/1989,09/30/1989
OperatingCashFlow,"178,213,000","28,515,000","50,155,000","61,593,000","37,950,000","41,176,000","63,342,000","62,144,000","55,262,000","45,058,000","78,980,000","69,794,000","67,690,000","17,766,000","72,812,000","57,006,000","58,833,000","38,698,000","54,234,000","45,535,000","41,989,000","40,259,000","96,873,000","46,281,000","43,596,000","-14,528,000","50,139,000","56,343,000","43,006,000","45,611,000","55,999,000","42,759,000","39,801,000","50,440,000","37,256,000","49,437,000","46,948,000","49,843,000","35,138,000","46,524,000","31,399,000","44,222,000","23,022,000","67,651,000","30,595,000","57,747,000","35,505,000","46,620,000","63,064,000","39,938,000","57,306,000","58,001,000","42,331,000","62,767,000","52,291,000","75,216,000","29,659,000","74,168,000","30,378,000","89,486,000","49,432,000","50,521,000","27,887,000","86,965,000","71,022,000","55,692,000","21,381,000","41,261,000","35,884,000","26,621,000","52,473,000","26,826,000","40,816,000","33,068,000","33,449,000","26,133,000","33,872,000","25,339,000","33,525,000","37,494,000","24,166,000","23,499,000","43,024,000","26,946,000","44,502,000","26,901,000","51,410,000","4,048,000","23,464,000","23,321,000","21,012,000","16,900,000","28,700,000","21,900,000","15,541,000","9,400,000","22,800,000","21,500,000","13,072,000","10,000,000","5,400,000","5,100,000","1,636,000","500,000","200,000","200,000","97,000","200,000","0","200,000","0","300,000",,,,,
	CashFlowFromContinuingOperatingActivities,"178,213,000","28,515,000","50,155,000","61,593,000","37,950,000","41,176,000","63,342,000","62,144,000","55,262,000","45,058,000","78,980,000","69,794,000","67,690,000","17,766,000","72,812,000","57,006,000","58,833,000","38,698,000","54,234,000","45,535,000","41,989,000","40,259,000","96,873,000","46,281,000","43,596,000","-14,528,000","50,139,000","56,343,000","43,006,000","45,611,000","55,999,000","42,759,000","39,801,000","50,440,000","37,256,000","49,437,000","46,948,000","49,843,000","35,138,000","46,524,000","31,399,000","44,222,000","23,022,000","67,651,000","30,595,000","57,747,000","35,505,000","46,620,000","63,064,000","39,938,000","57,306,000","58,001,000","42,331,000","62,767,000","52,291,000","75,216,000","29,659,000","74,168,000","30,378,000","89,486,000","49,432,000","50,521,000","27,887,000","86,965,000","71,022,000","55,692,000","21,381,000","41,261,000","35,884,000","26,621,000","52,473,000","26,826,000","40,816,000","33,068,000","33,449,000","26,133,000","33,872,000","25,339,000","33,525,000","37,494,000","24,166,000","23,499,000","43,024,000","26,946,000","44,502,000","26,901,000","51,410,000","4,048,000","23,464,000","23,321,000","21,012,000","16,900,000","28,700,000","21,900,000","15,541,000","9,400,000","22,800,000","21,500,000","13,072,000","10,000,000","5,400,000","5,100,000","1,636,000","500,000","200,000","200,000","97,000","200,000","0","200,000","0","300,000",,,,,
		NetIncomeFromContinuingOperations,"11,503,000","6,101,000","4,603,000","974,000","-175,000","6,964,000","19,086,000","276,133,000","4,020,000","8,087,000","16,874,000","6,820,000","6,769,000","4,066,000","122,710,000","-43,262,000","13,136,000","44,705,000","73,844,000","19,046,000","7,698,000","21,271,000","-12,370,000","7,884,000","-1,323,000","46,310,000","-62,700,000","20,308,000","3,058,000","8,594,000","-1,869,000","8,882,000","2,174,000","-2,245,000","21,002,000","11,088,000","7,180,000","3,919,000","-26,698,000","17,089,000","6,802,000","9,336,000","-4,602,000","6,611,000",,,"-4,991,000","-6,616,000","-5,600,000","-399,000","-4,127,000","7,308,000","5,781,000","-873,000","16,689,000","2,679,000","12,820,000","11,292,000","33,510,000","2,367,000","1,204,000","19,372,000","24,116,000","564,000","-11,556,000","-2,642,000","8,628,000","15,794,000","8,930,000","9,415,000","8,527,000","21,166,000","18,160,000","12,450,000","40,968,000","17,400,000","13,524,000","13,917,000","12,747,000","13,968,000","12,800,000","23,469,000","6,888,000","10,271,000","8,534,000","9,140,000","10,924,000","19,845,000","10,799,000","10,590,000","8,506,000","11,100,000","7,800,000","7,200,000","6,228,000","9,600,000","10,400,000","8,800,000","6,501,000","4,800,000","1,600,000","2,100,000","-62,000",,,,"-224,000","-200,000","-300,000","-100,000",,,"200,000","0","-100,000","-5,900,000","0"
		OperatingGainsLosses,"19,488,000","3,666,000","2,926,000","5,724,000","7,172,000","4,857,000","-6,345,000","-266,113,000","2,001,000","-696,000","-3,456,000","-1,388,000","913,000","158,000","-97,953,000","118,000","-2,318,000","-35,076,000","-68,236,000","-13,832,000","-2,516,000","-21,157,000","43,740,000","-3,266,000","-469,000","-107,505,000","-17,052,000","-7,720,000","-1,295,000","-8,856,000","6,080,000","-260,000","-395,000","-1,175,000","-23,792,000","-329,000","-9,830,000","-5,659,000","23,894,000","-10,322,000","-9,671,000","-14,255,000","13,310,000","-13,053,000","360,000","-7,849,000","4,755,000","-11,634,000","-399,000","-6,271,000","-5,127,000","-8,174,000","-13,339,000","-9,401,000","-45,111,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,"-8,045,000","-2,059,000","-1,535,000","0","-104,970,000","0","0","-37,263,000","-52,186,000","-13,758,000","0","-14,582,000","-471,000","-10,472,000","-3,128,000","-5,929,000","-7,418,000","0","0","0","0","0","282,000","135,000","0","0","2,260,000","-5,304,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-9,939,000","-10,168,000","-14,666,000","-3,381,000","0","-3,836,000","-2,791,000","-4,665,000","3,000","0","-6,349,000","-2,275,000","7,000","1,225,000","-194,000","-7,096,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-1,875,000","-897,000","0","-910,000","-68,000","-2,067,000","-14,974,000","-271,901,000","-201,000","-2,586,000","-519,000","-606,000","-250,000","-1,001,000","-3,148,000","0","-2,802,000","-22,000","-23,246,000","-953,000","-1,088,000","-7,323,000","-11,402,000","-84,000","727,000","-115,456,000","-9,089,000","-9,102,000","-1,571,000","-9,019,000","-203,000","-2,967,000","-900,000","-1,187,000","-26,122,000","0","2,260,000","-5,304,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"24,336,000","4,563,000","5,899,000","6,634,000","7,240,000","6,924,000","8,704,000","5,788,000","2,202,000","1,890,000","5,108,000","1,277,000","2,698,000","1,159,000","10,060,000","118,000","484,000","2,209,000","3,263,000","879,000","-1,428,000","748,000","2,180,000","7,290,000","1,932,000","723,000","-545,000","1,382,000","276,000","163,000","1,295,000","101,000","223,000","-123,000","1,338,000","-340,000","-9,520,000","-358,000","-493,000","-434,000","-753,000","163,000",,,,,,,"-844,000","-1,114,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"181,544,000","43,782,000","46,802,000","48,175,000","42,785,000","40,343,000","42,969,000","43,533,000","49,743,000","52,038,000","51,267,000","55,627,000","51,131,000","51,980,000","43,351,000","43,900,000","43,717,000","43,291,000","46,773,000","42,429,000","44,263,000","45,892,000","46,940,000","46,956,000","46,907,000","48,873,000","58,674,000","58,314,000","50,930,000","51,111,000","50,796,000","52,616,000","52,587,000","52,570,000","47,665,000","50,607,000","50,155,000","50,304,000","48,217,000","48,738,000","50,171,000","51,453,000","55,096,000","54,239,000","58,054,000","51,721,000","73,531,000","39,282,000","26,753,000","53,694,000","40,607,000","22,272,000","49,028,000","48,132,000","33,559,000","52,298,000","56,561,000","56,479,000","60,066,000","60,529,000","57,960,000","65,454,000","62,963,000","103,484,000","38,234,000","59,368,000","29,598,000","29,183,000","36,988,000","21,203,000","32,600,000","19,352,000","18,029,000","16,943,000","17,121,000","16,630,000","16,472,000","16,335,000","16,356,000","15,198,000","17,053,000","15,134,000","20,589,000","21,050,000","22,738,000","20,201,000","23,283,000","16,772,000","15,742,000","17,378,000","17,654,000","17,900,000","18,700,000","18,200,000","16,602,000","12,300,000","10,900,000","8,200,000","5,489,000","4,300,000","3,500,000","2,300,000","1,636,000","700,000","300,000","200,000","302,000","300,000","500,000","300,000","300,000","400,000",,,,,
			DepreciationAndAmortization,"181,544,000","43,782,000","46,802,000","48,175,000","42,785,000","40,343,000","42,969,000","43,533,000","49,743,000","52,038,000","51,267,000","55,627,000","51,131,000","51,980,000","43,351,000","43,900,000","43,717,000","43,291,000","46,773,000","42,429,000","44,263,000","45,892,000","46,940,000","46,956,000","46,907,000","48,873,000","58,674,000","58,314,000","50,930,000","51,111,000","50,796,000","52,616,000","52,587,000","52,570,000","47,665,000","50,607,000","50,155,000","50,304,000",,,,,"55,096,000",,,,"73,531,000","39,282,000","26,753,000","53,694,000","40,607,000","22,272,000","49,028,000","48,132,000","33,559,000","52,298,000","56,561,000","56,479,000","60,066,000","60,529,000","57,960,000","65,454,000","62,963,000","103,484,000","38,234,000","59,368,000","29,598,000","29,183,000","36,988,000","21,203,000","32,600,000","19,352,000","18,029,000","16,943,000","17,121,000","16,630,000","16,472,000","16,335,000","16,356,000","15,198,000","17,053,000","15,134,000","20,589,000","21,050,000","22,738,000","20,201,000","23,283,000","16,772,000","15,742,000","17,378,000","17,654,000","17,900,000","18,700,000","18,200,000","16,602,000","12,300,000","10,900,000","8,200,000","5,489,000","4,300,000","3,500,000","2,300,000","1,636,000","700,000","300,000","200,000","302,000","300,000","500,000","300,000","300,000","400,000",,,,,
