name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
	CashFromDiscontinuedInvestingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"399,000","59,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinancingCashFlow,"-415,031,000","-193,513,000","-32,329,000","-56,042,000","-133,147,000","-23,938,000","-24,313,000","-26,293,000","-207,420,000","86,119,000","37,077,000","-34,081,000","-10,435,000","-11,808,000","-132,959,000","-37,579,000","-37,213,000","-45,291,000","-109,846,000","-33,538,000","-19,472,000","-65,614,000","-163,770,000","-8,645,000","210,286,000","-47,300,000","-90,733,000","-7,964,000","-12,985,000","-37,791,000","-132,476,000","-67,835,000","-26,746,000","-2,893,000","-71,568,000","246,657,000","-7,955,000","-103,000","-17,526,000","-5,869,000","-14,747,000","-12,445,000","-29,521,000","231,000","-1,679,000","1,681,000","2,463,000","-5,371,000","335,000","-44,588,000","2,064,000","210,000","-1,014,000","433,000","-133,000","642,000","-890,000","-24,617,000","-70,517,000","302,845,000","10,168,000","1,250,000","5,861,000","2,540,000","1,851,000","6,246,000","-2,076,000","-67,487,000","-11,916,000","2,950,000","-47,217,000","8,320,000","1,239,000","-20,723,000","-55,495,000","28,490,000","843,000","33,272,000","113,093,000","638,000","-49,966,000","49,678,000","723,000","186,000","878,000","420,000","870,000","-17,426,000","15,649,000","-276,000","-100,000","-10,700,000","20,300,000","-9,100,000","-5,800,000","-9,900,000","-5,200,000","59,500,000","-8,200,000","4,000,000","-17,100,000","5,000,000","1,700,000","-16,100,000","-78,800,000","-600,000","-4,700,000","-2,100,000","2,000,000","-1,600,000","-13,600,000","-2,000,000","8,800,000","17,000,000"
	CashFlowFromContinuingFinancingActivities,"-415,031,000","-193,513,000","-32,329,000","-56,042,000","-133,147,000","-23,938,000","-24,313,000","-26,293,000","-207,420,000","86,119,000","37,077,000","-34,081,000","-10,435,000","-11,808,000","-132,959,000","-37,579,000","-37,213,000","-45,291,000","-109,846,000","-33,538,000","-19,472,000","-65,614,000","-163,770,000","-8,645,000","210,286,000","-47,300,000","-90,733,000","-7,964,000","-12,985,000","-37,791,000","-132,476,000","-67,835,000","-26,746,000","-2,893,000","-71,568,000","246,657,000","-7,955,000","-103,000","-17,526,000","-5,869,000","-14,747,000","-12,445,000","-29,521,000","231,000","-1,679,000","1,681,000","2,463,000","-5,371,000","335,000","-44,588,000","2,064,000","210,000","-1,014,000","433,000","-133,000","642,000","-890,000","-24,617,000","-70,517,000","302,845,000","10,168,000","1,250,000","5,861,000","2,540,000","1,851,000","6,246,000","-2,076,000","-67,487,000","-11,916,000","2,950,000","-47,217,000","8,320,000","1,239,000","-20,723,000","-55,495,000","28,490,000","843,000","33,272,000","113,093,000","638,000","-49,966,000","49,678,000","723,000","186,000","878,000","420,000","870,000","-17,426,000","15,649,000","-276,000","-100,000","-10,700,000","20,300,000","-9,100,000","-5,800,000","-9,900,000","-5,200,000","59,500,000","-8,200,000","4,000,000","-17,100,000","5,000,000","1,700,000","-16,100,000","-78,800,000","-600,000","-4,700,000","-2,100,000","2,000,000","-1,600,000","-13,600,000","-2,000,000","8,800,000","17,000,000"
		NetIssuancePaymentsOfDebt,"-17,898,000","-979,000","-14,811,000","-1,025,000","-1,083,000","-1,145,000","-8,018,000","-23,536,000","-201,077,000","191,174,000","44,988,000","-30,005,000","-4,899,000","-4,853,000","-4,252,000","-4,154,000","-4,158,000","-4,172,000","-104,167,000","-4,163,000","-4,170,000","-4,147,000","-100,243,000","-4,559,000","215,266,000","-4,838,000","-4,925,000","-5,238,000","-4,723,000","-5,365,000","-4,823,000","-4,750,000","-4,728,000","-4,868,000","-53,443,000","249,528,000","-398,000","-392,000","-326,000","-345,000","-592,000","-755,000","-4,571,000","-370,000","-138,000","-163,000","-200,985,000","194,691,000","-89,000","-44,875,000","-864,000","-928,000","-1,286,000","-1,048,000","-960,000","-963,000","-1,787,000","-25,307,000","-75,423,000","295,958,000","-194,000","-297,000","-491,000","-49,000","-88,000","-42,000","-114,000","-70,019,000","-12,495,000","2,357,000","-47,792,000","7,958,000","943,000","-21,080,000","-55,805,000","28,068,000","-8,000","32,904,000","111,983,000","541,000","-50,907,000","49,319,000","605,000","-170,000","-169,000","-123,000","602,000","-17,557,000","15,622,000","-276,000","-10,200,000","-10,600,000","20,100,000","-6,300,000","700,000","1,700,000","-5,500,000","37,000,000","-8,300,000","3,900,000","-17,300,000","5,000,000","1,700,000","-16,100,000","-79,300,000","-600,000","-4,600,000","-7,100,000","7,000,000","-1,600,000","3,200,000","-2,100,000","8,700,000","17,100,000"
			NetLongTermDebtIssuance,"-17,898,000","-979,000","-14,811,000","-1,025,000","-1,083,000","-1,145,000","-8,018,000","-23,536,000","-1,077,000","41,174,000","-5,012,000","-5,005,000","-4,899,000","-4,853,000","-4,252,000","-4,154,000","-4,158,000","-4,172,000","-4,167,000","-4,163,000","-4,170,000","-4,147,000","-100,243,000","90,441,000","-4,734,000","-4,838,000","-4,925,000","-5,238,000","-4,723,000","-5,365,000","-4,823,000","-4,750,000","-4,728,000","-4,868,000","346,557,000","-472,000","-398,000","-392,000","-326,000","-345,000","-592,000","-755,000","-4,571,000","-370,000","-138,000","-163,000","-200,985,000","194,691,000","-89,000","-194,875,000","-864,000","-928,000","-1,286,000","-1,048,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,,,"0","0","0","0","0","0","0","300,000,000",,,,,,,,,,"0",,,"0","400,000,000",,,,,,,"0",,,,"350,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,"-17,898,000","-979,000","-14,811,000","-1,025,000","-1,083,000","-1,145,000","-8,018,000","-23,536,000","-1,077,000","-258,826,000","-5,012,000","-5,005,000","-4,899,000","-4,853,000","-4,252,000","-4,154,000","-4,158,000","-4,172,000","-4,167,000","-4,163,000","-4,170,000","-4,147,000","-100,243,000","-309,559,000","-4,734,000","-4,838,000","-4,925,000","-5,238,000","-4,723,000","-5,365,000","-4,823,000","-4,750,000","-4,728,000","-4,868,000","-3,443,000","-472,000","-398,000","-392,000","-326,000","-345,000","-592,000","-755,000","-4,571,000","-370,000","-138,000","-163,000","-200,985,000","194,691,000","-89,000","-194,875,000","-864,000","-928,000","-1,286,000","-1,048,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetShortTermDebtIssuance,,,"0","0","0","0","0","0","-200,000,000","150,000,000","50,000,000",,,,,,,,"-100,000,000","0",,,"0","-95,000,000",,,,,,,"0",,,,"-400,000,000",,,,,,,,"0","0","0","0","0","0","0","150,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,,,"0","0","0","0","0","0","0","200,000,000",,,,,,,,,,"0",,,"0","0",,,,,,,"0",,,,"0",,,,,,,,"0","0","0","0","0","3,000,000","0","150,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,,,"0","0","0","0","0","0","-200,000,000","-50,000,000","0",,,,,,,,"-100,000,000",,,,"0",,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
