name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
TotalAssets,"333,286,000","351,015,000","209,359,000","216,929,000","163,550,000","183,445,000","200,317,000","217,122,000","123,884,000","130,377,000","142,509,000","155,149,000","166,763,000","171,415,000","176,683,000","74,703,000","76,329,000","15,598,000"
	CurrentAssets,"328,249,000","344,720,000","203,973,000","211,355,000","157,804,000","177,492,000","194,122,000","210,610,000","117,168,000","123,339,000","135,404,000","147,758,000","159,115,000","166,683,000","171,041,000","69,944,000","74,731,000","15,165,000"
		CashCashEquivalentsAndShortTermInvestments,"319,725,000","333,707,000","193,325,000","203,762,000","150,665,000","170,880,000","186,824,000","205,165,000","112,802,000","118,392,000","131,673,000","144,974,000","157,212,000","163,875,000","169,654,000","68,408,000","73,740,000","14,192,000"
			CashAndCashEquivalents,"145,548,000","200,695,000","161,536,000","178,771,000","105,579,000","93,087,000","117,820,000","160,814,000","50,917,000","40,326,000","66,579,000","59,716,000","62,833,000","44,973,000","169,654,000","68,408,000","73,740,000","14,192,000"
			OtherShortTermInvestments,"174,177,000","133,012,000","31,789,000","24,991,000","45,086,000","77,793,000","69,004,000","44,351,000","61,885,000","78,066,000","65,094,000","85,258,000","94,379,000","118,902,000",,,,
		Receivables,"1,545,000","2,029,000","1,040,000","1,044,000","857,000","1,833,000","1,769,000","1,524,000","1,221,000","1,378,000","1,048,000","565,000","840,000","1,584,000","510,000","1,223,000","738,000","734,000"
			AccruedInterestReceivable,"516,000","499,000","86,000","113,000","85,000","113,000","125,000","116,000","139,000","224,000","269,000","300,000","381,000",,,,,
			TaxesReceivable,"410,000","977,000","954,000","931,000","772,000","1,720,000","1,644,000","1,408,000","1,082,000","929,000","574,000","265,000","44,000","1,016,000","0","566,000","495,000","503,000"
			DuefromRelatedPartiesCurrent,"619,000","553,000",,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,"225,000","205,000",,"415,000","568,000","510,000","657,000","243,000","231,000"
		PrepaidAssets,"5,362,000","8,072,000","9,608,000","6,549,000","6,282,000","4,779,000","5,529,000","3,921,000","3,145,000","3,569,000","2,683,000","2,219,000","1,063,000","1,224,000","877,000",,"27,000","141,000"
		OtherCurrentAssets,"1,617,000","912,000",,,,,,,,,,,,,,"313,000","226,000","98,000"
	TotalNonCurrentAssets,"5,037,000","6,295,000","5,386,000","5,574,000","5,746,000","5,953,000","6,195,000","6,512,000","6,716,000","7,038,000","7,105,000","7,391,000","7,648,000","4,732,000","5,642,000","4,759,000","1,598,000","433,000"
