name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
		LongTermDebtAndCapitalLeaseObligation,"193,298,000","336,211,000","328,356,000","320,089,000","358,394,000","447,936,000","458,893,000","458,853,000","453,663,000","648,929,000","641,465,000","634,698,000","616,987,000","609,864,000","602,839,000","595,912,000","16,078,000","18,859,000","21,597,000","24,293,000","26,948,000","29,563,000","32,138,000",,"204,653,000","205,372,000","202,951,000","200,567,000","198,219,000","195,908,000","193,631,000",,,,,"1,970,000","5,494,000","13,443,000","24,410,000","39,388,000","34,151,000","20,286,000","49,987,000","29,975,000","30,577,000","22,851,000","28,618,000","29,386,000","34,341,000","36,274,000","45,374,000","46,171,000","46,860,000","2,178,000","172,000","266,000","403,000","627,000","889,000","1,259,000","1,641,000","2,156,000","142,070,000","142,314,000","143,804,000","170,175,000","170,195,000","170,829,000","171,115,000","171,092,000","171,258,000","167,256,000","170,846,000","170,052,000","155,250,000","158,653,000","155,250,000","155,250,000","7,051,000","2,640,000","2,879,000","136,758,000","137,061,000","142,173,000","133,344,000","131,705,000","120,196,000","118,721,000","117,109,000","136,700,000","154,600,000","92,800,000","91,100,000","90,500,000","49,700,000","48,900,000","52,100,000","51,400,000","49,700,000","51,500,000","50,800,000","54,000,000","48,100,000","51,300,000","50,600,000","49,900,000","49,600,000","12,000,000","12,300,000","12,300,000","2,300,000","2,300,000"
			LongTermDebt,"176,540,000","320,717,000","316,889,000","315,318,000","352,313,000","442,293,000","454,973,000","449,672,000","444,432,000","638,959,000","631,533,000","624,209,000","616,987,000","609,864,000","602,839,000","595,912,000","16,078,000","18,859,000","21,597,000","24,293,000","26,948,000","29,563,000","32,138,000",,"204,653,000","205,372,000","202,951,000","200,567,000","198,219,000","195,908,000","193,631,000",,,,,"1,970,000","5,494,000","13,443,000","17,876,000","32,033,000","26,435,000","20,286,000","40,816,000","20,114,000","20,029,000","22,851,000","28,618,000","29,386,000","29,057,000","30,993,000","45,374,000","46,146,000","46,806,000","2,178,000","172,000","266,000","403,000","627,000",,,,,"139,371,000","139,463,000","140,553,000","166,745,000","166,834,000","166,919,000","167,002,000","167,089,000","171,258,000","167,256,000","170,846,000","170,052,000","155,250,000","158,653,000","155,250,000","155,250,000","7,051,000","2,640,000","2,879,000","136,758,000","137,061,000","142,173,000","133,344,000","131,705,000","120,196,000","118,721,000","117,109,000","136,700,000","154,600,000","92,800,000","91,100,000","90,500,000","49,700,000","48,900,000","52,100,000","51,400,000","49,700,000","51,500,000","50,800,000","54,000,000","48,100,000","51,300,000","50,600,000","49,900,000","49,600,000","12,000,000","12,300,000","12,300,000","2,300,000","2,300,000"
			LongTermCapitalLeaseObligation,"16,758,000","15,494,000","11,467,000","4,771,000","6,081,000","5,643,000","3,920,000","9,181,000","9,231,000","9,970,000","9,932,000","10,489,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"6,534,000","7,355,000","7,716,000",,"9,171,000","9,861,000","10,548,000","0","0","0","5,284,000","5,281,000","0","25,000","54,000",,,,,,"889,000","1,259,000","1,641,000","2,156,000","2,699,000","2,851,000","3,251,000","3,430,000","3,361,000","3,910,000","4,113,000","4,003,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"39,480,000","59,095,000","63,026,000","60,053,000","56,812,000","64,598,000","13,508,000","23,340,000","21,769,000","32,937,000","3,761,000","694,000","9,614,000",,,,"3,000,000","3,846,000",,,,"357,000",,"326,000","107,000","0","2,374,000","5,448,000","5,200,000","5,204,000","3,299,000","3,189,000","3,236,000","3,533,000","3,047,000","2,986,000","2,916,000","3,428,000","5,200,000","5,534,000","6,034,000","5,988,000","4,475,000","4,428,000","5,410,000","2,918,000","2,972,000","3,397,000","3,823,000","5,197,000","6,994,000","30,731,000","33,181,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,"39,480,000","59,095,000","63,026,000","60,053,000","56,812,000","64,598,000","13,508,000","23,340,000","21,769,000","32,937,000","3,761,000","694,000","9,614,000",,,,,,,,,,,,,,"0","3,059,000","2,797,000","2,792,000","1,214,000","1,104,000","1,151,000","1,098,000","962,000","901,000","791,000","725,000","2,662,000","2,812,000","2,664,000","2,522,000","3,184,000","3,137,000","2,864,000","372,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredRevenue,,,,,,,,,,,,,,,,,"3,000,000","3,525,000",,,,,,,,"0","2,083,000","2,083,000","2,085,000","2,085,000","2,085,000","2,085,000","2,085,000","2,085,000","2,085,000","2,085,000","2,125,000","2,369,000","2,538,000","2,722,000","3,370,000","3,466,000","1,291,000","1,291,000","2,546,000","2,546,000","2,972,000","3,397,000","3,823,000","5,197,000","6,994,000","30,731,000","33,181,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,399,000","29,003,000","28,378,000","28,108,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCommonStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"0","0",,"8,344,000","8,344,000","8,344,000","8,344,000","8,344,000","8,344,000","8,344,000","8,344,000",,,"12,345,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"36,636,000","39,460,000","33,911,000","37,127,000","38,270,000","40,115,000","34,924,000","36,476,000","28,151,000","28,815,000","15,974,000","16,006,000","20,636,000","7,776,000","10,039,000","9,709,000","7,511,000","9,660,000","5,891,000","4,775,000","3,950,000","3,246,000","4,341,000","4,210,000","4,361,000","3,330,000","7,941,000","11,745,000","9,252,000","9,730,000","14,137,000","14,951,000","16,229,000","22,628,000","21,354,000","22,776,000","26,340,000","25,465,000","16,782,000","10,801,000","25,164,000","43,787,000","14,839,000","37,046,000","40,243,000","12,807,000","15,995,000","11,213,000","15,155,000","7,968,000","21,168,000","16,331,000","9,015,000","109,021,000","93,364,000","96,124,000","97,017,000","92,568,000","124,513,000","124,927,000","112,921,000","125,735,000","114,572,000","113,708,000","113,214,000","19,652,000","19,671,000","19,803,000","19,878,000","19,979,000","4,913,000","8,592,000","5,714,000","6,426,000","8,661,000","6,068,000","10,080,000","10,809,000","2,700,000","6,324,000","6,690,000","6,864,000","7,043,000","2,700,000","8,257,000","8,427,000","2,700,000","2,700,000","2,700,000","2,800,000","2,900,000","40,000,000","40,000,000","50,000,000","50,000,000",,"100,000",,"-100,000","100,000",,"-200,000","-100,000","100,000",,"-100,000",,,,,"100,000","-100,000"
TotalEquityGrossMinorityInterest,"793,192,000","821,159,000","812,066,000","786,517,000","745,840,000","709,525,000","697,824,000","695,003,000","661,896,000","767,232,000","850,581,000","1,041,453,000","1,079,974,000","560,914,000","699,520,000","619,813,000","497,178,000","418,647,000","424,763,000","409,409,000","398,778,000","370,853,000","370,393,000","391,916,000","392,077,000","304,391,000","292,181,000","69,053,000","32,395,000","24,408,000","42,783,000","63,086,000","65,001,000","49,613,000","44,815,000","39,268,000","30,596,000","26,485,000","21,235,000","18,452,000","19,243,000","8,646,000","2,367,000","5,327,000","5,009,000","-4,849,000","-9,440,000","2,656,000","2,145,000","3,744,000","-9,497,000","-12,259,000","-14,698,000","-10,365,000","1,954,000","19,021,000","24,534,000","29,115,000","26,290,000","34,232,000","69,747,000","27,352,000","-251,190,000","-238,502,000","-224,358,000","-110,419,000","-108,414,000","-102,390,000","-93,956,000","-75,317,000","40,959,000","47,999,000","60,371,000","70,728,000","62,596,000","27,057,000","38,023,000","74,015,000","80,665,000","87,012,000","31,022,000","-57,875,000","-52,174,000","-45,628,000","-38,228,000","-55,125,000","-30,340,000","-16,809,000","-12,642,000","-25,600,000","-45,000,000","-30,300,000","-15,800,000","-11,400,000","7,300,000","13,700,000","22,800,000","34,300,000","16,100,000","23,100,000","32,200,000","34,500,000","8,500,000","12,700,000","22,200,000","28,100,000","32,700,000","26,100,000","26,300,000","32,700,000","28,500,000","35,900,000"
